sentiment_scores	genuineness_scores	summary
0.994224	0.8767872999999999	great sound quality 
0.6183681999999999	0.7520529	this head set has a weak flip out mic
0.026292294	0.6938939000000001	beware non retail packaging bluetooth headsets
0.9980889000000001	0.7772859000000001	great
0.7672354	0.6892246	people tell me i m hard to hear when i use it 
0.6900989000000001	0.85088694	awesome bluetooth text message capability is sort of a scam
0.35661072	0.7267866999999999	love the headset beware the bulk packaging
0.8682091000000001	0.81034964	new bluetooth
0.6640587	0.65344155	this is my 3rd
0.7285060999999999	0.79077935	solid packaging good performance
0.13274306	0.71383965	worst bluetooth ever
0.8496834999999999	0.87375015	motorola h17txt bluetooth
0.3848966	0.85583484	excellent sound misleading claims cost it
0.9181187	0.6941210999999999	easy to install works well
0.8528434000000001	0.9313802	with the motospeak app you ll wonder why you can t just leave your phone at home 
0.9681908000000001	0.8636404000000001	this is oneof the best bluetooth s ever
0.053401798	0.631143	cheap parts
0.85168016	0.74065757	works great
0.85584235	0.8343531	great sound superb fit querky interface
0.03322327	0.694329	poor reliability
0.44681459999999995	0.30817459999999997	didnot resive the3 product 
0.49857393	0.6903517	its ok at best
0.9321246	0.6842795	works well very loud so it is easy to hear 
0.98755085	0.9386966	creative design easy for the ears and starting off with it is easy
0.013609827	0.6454147	5 headset in a row didn t work
0.046017468	0.12408599	motorola h17txt bluetooth headset 
0.17515647	0.6511005	this motorola h17txt bluetooth will not work very disappointed 
0.8315872999999999	0.8641578000000001	oustanding comfort and performance but motospeak costs extra 
0.06551209	0.45549989999999996	return
0.089871466	0.53573567	great headset now make it compaitble for iphone 
0.89346313	0.7285841	great deal
0.027503818	0.5935595	no a2dp
0.08703557	0.6029722	could not get it to work
0.7664350000000001	0.76188755	best on the market
0.99478126	0.98064494	everything you want in a headset
0.16717255	0.6364196999999999	disconnects from phone during calls
0.53574663	0.8214661	ok headset with a few major issues
0.019538581	0.6588722	poor quality product
0.9968152	0.8640211999999999	excellent bluetooth option 4 thumbs up from our family 
0.121911675	0.5511166999999999	what s the point of motospeak
0.053321242000000005	0.7054269	not recommended for android 2 2
0.99902713	0.9267752	best headset ever 
0.99409354	0.71504676	wow for the price
0.014467776000000002	0.77899617	2nd boom falls off in 6 months
0.9543129000000001	0.8913568000000001	functional stylish hi tech
0.9728266999999999	0.90552765	can you hear me now yes 
0.7066	0.78810215	very good but not exactly great
0.9394984000000001	0.85606724	good bluetooth headset
0.48632246	0.7928586999999999	not reliable
0.34532833	0.5654425999999999	just what i wanted with minor disappointment
0.06772491	0.5521423000000001	would have liked it if it worked
0.9567448000000001	0.9024179	motorola h17txt bluetooth headset is best by far
0.9782991	0.7981279	great sound quality
0.017080069	0.44540066	is this a counterfit 
0.45136213	0.65881974	not bad
0.78805244	0.7767463000000001	nice bluetooth
0.25732955	0.61962914	works well with my iphone
0.93913317	0.7775234000000001	all is good
0.17127886	0.78501034	finally someone agrees with my review 
0.99776983	0.85259366	great bt headset
0.0111450255	0.5875755	misleading product description
0.0062172413	0.5707954000000001	didn t last
0.9992003	0.8079319	awesome bluetooth
0.865475	0.8875380999999999	motorola h17 txt bluetooth headset graphite gray 
0.5443455	0.92771643	excellent headset but with a catch 
0.0076009035	0.76223505	if it lasts longer than four hours call your doctor
0.007392525699999999	0.32065147	disappointed
0.9986384	0.9037504000000001	excellent bluetooth and excellent bargain 
0.009695649	0.7794894	variable product
0.003258258	0.6779696999999999	bad ear hook
0.23718125	0.7131261999999999	motorola h17txt bluetooth
0.05139094599999999	0.6062569	unacceptable
0.9973989999999999	0.77619755	awsome
0.98576987	0.89788973	great value
0.056144445999999994	0.55074096	poor ear interface design
0.92872477	0.3163517	excelente producto
0.9953598	0.79813683	love it 
0.0029027759999999997	0.71049386	motorola really 
0.047666132	0.6855831	h17txt bluetooth
0.9443875	0.5517269	affordable reliable and easy to use
0.9042139000000001	0.90051776	remarkable improvement over previous ear pieces 
0.047984302	0.7834127	don t buy 
0.48219579999999995	0.7621492	ear loop issues
0.99810684	0.8332895	dash mount great
0.15687782	0.7464894	great with one major exception
0.7179085999999999	0.6726314999999999	bluetooth works well
0.5182513	0.8271748999999999	fantastic idea horrible pull off 
0.97940576	0.7993001000000001	motorola h17 with motospeak
0.7215326	0.8706284	the evolution of the bluetooth headset gives us the motorola h17txt
0.9771190999999999	0.88012266	thank goodness for quality
0.009055346	0.37162563	bad unit
0.024314432999999996	0.54110104	not so wonderful
0.06300783	0.33108374	duplicate
0.030061900000000003	0.5183032	item not working
0.29278457	0.5972215	great but concerned 
0.24485278	0.6912205	fake
0.94230205	0.8162050999999999	good product for the money
