summary	sentiment	genuineness
no micro usb connection for charging	0.023677737	0.62483114
Not worth the wait	0.022205204	0.42489746
Do not waste your money	0.31500292	0.8474468000000001
Buyer Beware: Battery dies and will not take a charge...	0.05174905	0.71853065
Not for Walking Around?!	0.37715188	0.8061351999999999
Almost perfect bluetooth headset	0.829987	0.7382797
very good	0.4367357	0.6915939
Mostly satisfied	0.049705118	0.43993664
Comfortable with great sound	0.9888643	0.8828799999999999
Super clear sound and comfortable	0.9870728000000001	0.9045561
nice earpiece	0.6598135	0.8246546999999999
Disappointed, Period.	0.4995877	0.5644486999999999
Back to Plantronics	0.36842453	0.80617523
performance degrades after time LOOK ELSEWHERE	0.004480779	0.6239059
Love It.	0.9742129999999999	0.82388544
Arkward on the ear.  Poor signal	0.11207965	0.53510904
Not satisfied with sound Quality	0.40682453	0.6519967
Best Plantronics Headset I've used	0.9067242	0.85723424
This is the best bluetooth headset I've ever used!	0.9243223	0.74193144
Good Headset	0.5512519	0.72967064
HIGHLY RECOMMEND	0.9945242	0.8235402000000001
Disappointed	0.35454178	0.5835925999999999
Nice product	0.9845921999999999	0.7707583
It's no Voyager Pro.	0.8377620000000001	0.73870337
Product Not Tested	0.07977489	0.5287510999999999
Good Headset	0.8999845999999999	0.83095384
Was my go to headset	0.9034764999999999	0.8265296
Don't bother	0.012073338000000001	0.34861457
Great Bluetooth.	0.8699190999999998	0.86121476
DON't BUY - TURNED INTO A BRICK JUST AFTER ONE DAY!	0.0046396554	0.74006116
Attached to My Ear	0.9589694	0.8374959999999999
Plantronics Legend headset	0.9910513000000001	0.8266867
My Boss can finally HEAR me!	0.97559655	0.82842624
disapointed	0.17513403	0.6309097
Unimpressive - Sadly	0.17554411	0.6877969
Good at first, until no one can hear me anymore	0.46713212	0.68886715
Great bluetooth headset	0.57408947	0.8105781
Awesome... Simply Awesome	0.9407860999999998	0.7950187
Great Product	0.9958368000000001	0.8679319999999999
Great sound, easy to use	0.9470028	0.86147004
Almost perfect	0.9142348	0.82202965
Second purchase	0.5385035	0.5978823
bluetooth headset	0.94419324	0.80476713
Stay away from junk software.	0.042464525	0.59069216
Like it very much.	0.84919363	0.7494398
Poor	0.17896146	0.7240274999999999
Reception faded in and out.	0.20519668	0.45606968
