summary	sentiment	genuineness
I may have to return this...	0.02543652	0.42266497
Not a true Pay as you Go	0.2459794	0.43281993
Inexpensive, Functional.	0.8883892	0.6856711999999999
Worst phone ever	0.0043253004999999995	0.40537396
Offline Navigation System that doubles up as a Smartphone	0.9891194999999999	0.87521154
Lumia 520 Review	0.9066542	0.703519
not like what i expeced	0.044598818	0.38956162
Nice,very reponsive, light,dual core processor and high resolution screen with only 99$ ,its amazing!	0.96901846	0.5394966
amazing smartphone	0.9872081	0.7414505
In Russia I can't use AT&T. I didn't know that it's locked.	0.029091775	0.37800455
this is a good windows	0.29450744	0.5232709
Good Phone	0.87638247	0.7019225
Nokia Lumia	0.49159390000000003	0.48630029999999996
Not as Advertised	0.30131918	0.31696144
code to use the phone with any mobile operator	0.20443076	0.33733368
Awesome phone !	0.96390665	0.7046678000000001
Great Basic Smart Phone	0.99563277	0.9115679
Windows Platform is Interesting	0.68063265	0.50202435
Thinking not to buy more in Amazon	0.17467293	0.6573175
Nokia Lumia 520 GoPhone (AT&T)	0.9506159	0.7586255000000001
Best Entry Smartphone. Period.	0.99542236	0.89864653
Best Value Smart Phone on the Market	0.9983951999999999	0.90917414
Disfunctional	0.0030467212	0.6450056
Used to have an iPhone, never going back now	0.97437346	0.7588227
Great phone!!	0.97582597	0.7042662
This is a good phone for easily handling	0.8459626	0.6588849
Very disappointed	0.009474396999999999	0.65680355
Not a droid!	0.11363417	0.5483047
Great phone	0.97624403	0.7829640999999999
awesome	0.9810458000000001	0.6623806999999999
Tried and sent it back	0.34552914	0.57394457
Awesome	0.9240359	0.5073437
Pretty good phone harware.  Still windows though.	0.95562947	0.736977
wow windows	0.6110091999999999	0.63498205
Perfect for the price	0.61042076	0.62248826
Great off contract phone at a steal of a price.	0.97985375	0.8889109000000001
Didn't think I'd enjoy a Windows 8 phone	0.79304224	0.6071054
A Great Phone for the Price!	0.99886394	0.92960584
A great, inexpensive phone	0.84511125	0.89385563
Good Deal, Great Phone... Data Sense available but it will void your warranty.	0.6727618000000001	0.7543001
Not the best phone	0.029323578	0.61942625
a great smartphone for budget conscious folks!	0.5583415	0.82742155
Very good value	0.9857495999999999	0.89408463
awesome phone	0.991608	0.81990886
Awesome Phone But Easy Breakage	0.6869478	0.59255356
IT Sucks!	0.0008498727999999999	0.56013435
Not very satisfied... Android phones are way better	0.46646827	0.79763675
Would highly recommend to anyone who wants a reasonably priced Windows Smart Phone	0.81088096	0.7552118
NO NO NO No!!!!!	0.65567654	0.44926557
Very good phone!!	0.21978328	0.4184204000000001
Cheap, but not cheap	0.9922291999999999	0.83074325
A steal	0.9979898000000001	0.88986844
EZ to use at great price	0.9957280000000001	0.8393699
not good	0.28135812	0.36803544
Digged it for price	0.8630161	0.7157819000000001
need this phone unlocked	0.8058645999999999	0.32143563
I use with monthly 25dollars plan	0.99675	0.5946084
useless	0.0008171499000000001	0.5714431
Good phone had some problems at first but now it works great	0.796294	0.80143297
Good functional phone, but it has its issues.	0.46189220000000003	0.80085164
Good for the sale price	0.8468674	0.80897915
NIGHTMARE PHONE!!	0.053540766	0.5664768
Nokia Cell Phone - Not so good	0.010818422	0.46071538
Excellent value for a phone	0.9256995000000001	0.83601207
Great phone! A real bargain!	0.99088585	0.787388
Good little phone for the price	0.73448205	0.73516715
I hate this phone!	0.033407778	0.46618792
Great!	0.98467696	0.7738896
Well worth the price!!	0.8537495	0.7358522
Five Stars	0.112439215	0.517025
The best entry Windows8 phone	0.97010225	0.77789795
A gift for my 13 year old daughter	0.9834861999999999	0.69706154
Great phone. Great (and cheaper) iPod Touch Alternative.	0.9199516	0.8698051
Just what I needed	0.70058155	0.76067066
Please no more Windows follies!	0.34808487	0.62345797
Great!	0.9731681000000001	0.70105654
Use it as my mp3 player	0.9625759	0.82105
I am not satisfied with this purchase	0.004273832	0.5259581
Junque	0.3504943	0.5045951
greate all around phone	0.99436283	0.5985481
