sentiment_scores	genuineness_scores	summary
0.29469687	0.5920111	don t get white 
0.9700351	0.7466524999999999	bulky but protects 
0.5966134	0.8251755	case scratched my phone
0.33711004	0.36478204	what i thought it was
0.9964900999999999	0.7363529999999999	great product
0.86988306	0.6231166	exactly what it says for a great price 
0.3249262	0.76048565	disappointing screen protector
0.97563165	0.8072550000000001	solid stylish but could need something extra
0.9101769000000001	0.69556034	awesome case 
0.0067957044	0.48108637	worst service
0.98630303	0.85588205	very well done 
0.6510600000000001	0.7349991	unbelievable 
0.9578661	0.7430507	love it
0.9756143	0.7998881	better than i heard
0.9900985999999999	0.7728795999999999	enthused
0.20581165	0.45188513	it s ehhh
0.40306479999999995	0.5887806999999999	it s okay
0.54710686	0.5396489999999999	otterboxes good
0.058811665	0.6472263	very poor quality counterfeit product
0.9886549000000001	0.74948776	amazing item 
0.008953989	0.4596773	out of stock
0.9987753	0.80461484	the real thing only cheaper 
0.9366832	0.8430466000000001	good protection at a cost
0.99697226	0.7667257	otterbox rocks 
0.016717702	0.5507649	cannot be docked
0.9962492000000001	0.7140094	fantastic protection 
0.95718837	0.67843693	great case 
0.0025863647	0.7781431	plastic holster is rubbing against rubber ruining it 
0.9901030999999999	0.8432549000000001	excellent case
0.021699667000000002	0.70727223	damaged otterbox
0.32800716	0.24418348	please make sure that you know what you are doing 
0.9891838	0.7744181	nice quality
0.92427295	0.7809258000000001	otter finally has a girlfriend
0.99684453	0.74572057	insurance supplement
0.40068018	0.5736531	better than i thought
0.93346107	0.70846736	fantastic protection
0.71449417	0.6588460999999999	best case
0.60705185	0.3930922	great if redneck is what you re going for
0.03298679	0.35230774	otterbox for iphone 5c
0.99941826	0.7157600000000001	best phone case ever
0.38204607	0.72788644	good not 100 
0.97277176	0.80460405	no longer worried about my phone
0.9668958000000001	0.79235506	awesome protection 
0.98721397	0.7930696	awesome case
0.98657894	0.7722899999999999	great case
0.007738948000000001	0.86831665	otterbox defender series is junk
0.6422216	0.70775044	stretched out
0.7587515	0.43364134	perfect option
0.9859235000000001	0.6143259	teenager proof
0.10112855	0.50448185	price dropped significantly
0.39482367	0.47635654	it not so good
0.86040854	0.82623017	exactly what i wanted
0.99876904	0.8761459	awesome
0.9908737	0.7713095	best protection for the iphone
0.35693878	0.61322427	don t get it
0.78862166	0.5652393	iphone 5 case
0.0026021302	0.45102614	received damaged product
0.69943255	0.656411	otterbox iphone5 case
0.5665376	0.6208733000000001	good real
0.114145875	0.4970963	otter box for iphone5 unacceptable
0.55814314	0.5462414000000001	really useful
0.53612053	0.59122735	nothing protects better than otterbox 
0.11994213	0.582742	china vs mexico
0.9766879	0.78324866	reliable coverage for an expensive phone
0.64240944	0.63061297	hard to type
0.9715818000000002	0.6314018	perfect fit 
0.20788386	0.5509887	when water gets in it is a major problem 
0.12548506	0.2274239	different cover
0.78099257	0.44508192	the protection is excellent when i was looking for a case i 
0.10069871	0.6059861999999999	cheap version
0.19290352	0.43267322	yes you you over there you need one of these clutz 
0.29302365	0.7236239999999999	don t order this from amazon
0.99879885	0.80384445	love it
0.38150802	0.5450026	good case
0.18996829	0.48378488	fake 
0.99681306	0.7158420999999999	great product
0.37413603	0.5600762	it s not right takes a much greater pressure than the ones sold at at t stores 
0.8293636999999999	0.76120436	loves it 
0.81613994	0.7725571	virtually indestructible
0.9941181999999998	0.8398532	my husband loves it
0.9988413	0.8146964	super cheap 
0.95414007	0.7720292	i love my otterbox 
