sentiment_scores	genuineness_scores	summary
0.93975073	0.6992654	awesome case
0.058325768	0.43228644	brand new galaxy s5 broke in this case by april 21st
0.9314545	0.75187814	not too bad
0.99791247	0.86504084	love this product
0.0014155507	0.5682856	piece of crap
0.19765559	0.6124854999999999	samsung galaxy s5 case
0.2785098	0.6315592	does not fit galaxy s5 phone 
0.0047698617	0.7626622	lasted 1 month
0.46000209999999997	0.6906306999999999	close 
0.9212419	0.8815814000000001	first belt clip case i ve liked great value 
0.9574549000000001	0.85908777	nice product
0.96281826	0.5242498999999999	satisfied 
0.455074	0.62788	a good buy
0.02329278	0.5509941999999999	not recommended
0.011197865	0.5391451	2 thumbs down 
0.6179502	0.49663764	great case 
0.99149036	0.7322196	very happy
0.112116605	0.7879510999999999	read this before buying
0.9819789000000001	0.83115536	very versatile case and optional belt clip attachment
0.9949508	0.8148519000000001	blason premium black leaders kindle touch case
0.9459994	0.88773155	nice case especially at the price
0.07401526	0.64929515	inadequate
0.014809698	0.56597716	cheap
0.9989292	0.84100044	kindle leather cover
0.99500585	0.95059407	worth the price
0.53797084	0.6103393	great cover
0.8294958	0.7277756999999999	great case for the price
0.32158434	0.70862895	barely fits the phone 
0.07730904	0.65596545	alright case
0.058968157	0.7834683000000001	i blason samsung galaxy s5 case
0.42280114	0.74140453	good belt clip flimsy silicon 
0.0075782537	0.37594962	unsatisfied customer
0.9880351999999999	0.8038063	very sturdy
0.0018002093	0.4774452	crap
0.8869505999999999	0.57797456	great case 
0.9998261999999999	0.880324	top of the line product 
0.0014281570999999998	0.40711132	the worst quality ever
0.7176887	0.7321042	over all nice one 
0.56675404	0.6767181	not quite sure we will see
0.26313109999999995	0.71162516	decent
0.07867110000000001	0.6136166999999999	could be better but it works
0.8192905	0.705109	quality
0.042474835999999995	0.6370518000000001	sucks except for stand 
0.6570395	0.60990274	not what i thought 
0.12735835	0.58121556	clip breaks
0.9918723	0.77530134	great quality
0.9968744	0.6871379	phone case
0.28247947	0.7257719	s5 case
0.99622893	0.7025614	i blason samsung galaxy s5 case prime series dual layer holster
0.14583036	0.7632456999999999	you get what you pay for 
0.27761018	0.5844206999999999	bad fit
0.6617510999999999	0.761958	absolutely not a 5 star case 
0.9534471	0.6915591	its extremely protective 
0.3190937	0.5128068	workable
0.04952702	0.59675276	don t bother
0.99072456	0.8000305	a perfect holster case for s5
0.035082906000000004	0.48164153	not the best
0.052018404000000004	0.64666235	flimsy protection
0.03883186	0.73703	very unhappy
0.36561509999999997	0.5415408	very thin silicone 
0.40064320000000003	0.4108147	not what i thought 
0.9832219000000001	0.8571813	so far so good
0.41081163	0.4488063	decent
0.045407772	0.5035082000000001	awful
0.060521572999999995	0.52696013	i blason belt clip
0.032740742	0.5899656999999999	i just don t really care for it 
0.18443424	0.54882324	it s ok
0.84416306	0.7871894	a nice case works well
0.9984950999999999	0.8247328000000002	highly recomended for galaxy s5 user
0.16267711	0.4215377	phone case
0.9988511	0.79452026	excellent
0.88680685	0.77625453	nice case
0.16223472	0.63925827	maybe i got a lemon 
0.05780974	0.5731304	low quality
0.8300414	0.8102473000000001	good case for the price
0.005641103000000001	0.6492398	does not fit s5 active 
0.08000019	0.7169679	the clip broke on first day
0.24704453	0.5300166999999999	great case little whack
0.9376054	0.82279396	works great
0.9379588	0.6057808000000001	works well 
0.00042572617999999995	0.45150977	buyer beware
0.97342944	0.90024555	pleasantly pleased
0.9973841999999998	0.889374	great deal
0.9969008	0.7216098000000001	nice belt mount holder
0.5446917	0.6796861999999999	it s ok not wowed
0.06503683	0.51905864	didn t fit
0.999826	0.88013494	i blason samsung galaxy s5 case
0.99900234	0.75366795	excellent 
0.5212974	0.52206236	nice case for cheap
0.9804152	0.80959445	great phone case
0.970493	0.84450406	overall quite nice 
0.9885831	0.9104688	excellent
0.9720791999999999	0.75423753	nice slim case
0.9891529	0.8364754999999999	very pleased with this phone cover
0.9890780999999998	0.801822	great case not flimsy 
0.9859252000000001	0.8924824	super duper
0.3554777	0.7482823000000001	great protection for your phone which is good because you ll need it 
0.42004037	0.5392813	will not protect your screen
0.1838705	0.71019065	does not fit correctly 
0.9961114999999999	0.8335438000000001	excellent case 
