sentiment_scores	genuineness_scores	summary
0.87919533	0.6327065	it is just what i wanted
0.8832120000000001	0.7339326999999999	great
0.99451447	0.7455725000000001	adorable case 
0.26447988	0.38973853	worst
0.99756384	0.7543926	affordable and cute 
0.9991957	0.78465664	wonderful and adorable 
0.99820113	0.8279540000000001	quality cover
0.9805005999999999	0.77666175	super cute 
0.12949502	0.13983124	where
0.9964988000000001	0.7514069999999999	cute bukit
0.98760366	0.79791874	impressed
0.9946401	0.8279153	nice
0.8407110999999999	0.8487133	protects well looks cute
0.9895181000000001	0.6958579	kawai 
0.13213968	0.48607594	loveee
0.98179615	0.728789	thank you so much 
0.9952735999999999	0.6247136999999999	the little things
0.99650717	0.74661136	bear case cover
0.519145	0.50854963	brown bear ipod touch case
0.97081584	0.7832376	adorable 
0.9233766999999999	0.8581078000000001	cute ipod case
0.9996197	0.83362126	i freaking love this 
0.9987158000000002	0.82044494	fits perfectly 
0.99729633	0.76556754	cute cheap
0.9963982	0.7961979	great case 
0.8989804	0.72209275	great product but 
0.9969610000000001	0.6901008000000001	i love it
0.9948975	0.7511972	perfect 
0.9980171	0.80610704	cute case
0.9711281999999999	0.73102933	cute
0.97101486	0.6398555	it s so cute
0.41566262	0.4732728	good
0.9919914000000001	0.75306445	it s adorable 
0.99961233	0.8591324	cheap for amazing quality 
0.9995038	0.7946032	great product
0.45869750000000004	0.24226892	silicone case
0.5383808000000001	0.58655053	cute but stinks 
0.99553186	0.723011	love
0.95462906	0.73088	adorable i pod case
0.99776673	0.8053416999999999	awesome 
0.9805939	0.7848655	adorable case 
0.2964617	0.35859245	this was for my sister
0.29214448	0.6743965999999999	cute but the case is so thick that i can t plug my ipod into my dock also i tend to have trouble pushing the outer buttons 
0.9921777	0.7693454000000001	i love it lt 3
0.89822555	0.65107757	amazing 
0.9571841	0.6298541	soft silicone skin case cover
0.860275	0.8031236999999999	exactly what i wanted
0.9919635	0.78654623	adorable 
0.9086315	0.72681683	the cutest thing ever
0.68414396	0.591658	warning not for iphone 
0.89210594	0.61274856	very cute 
0.7527168000000001	0.68192136	great prize for the amount of stuff 
0.483654	0.6196784000000001	was too big for ipod
0.95065236	0.5810436	awesome
0.5966678000000001	0.66861933	so adorable 
0.9985335999999999	0.8260854999999999	ipod touch cover
0.011598200000000001	0.51145506	 free items are cheap useless junk
0.99697316	0.79195005	cute
0.9844885	0.6204921999999999	love it 
0.9994379000000001	0.8613861999999999	great purchase 
0.99851286	0.80729085	i love this case 
0.9522371	0.7771298000000001	one of the best cases i ever had
0.01598224	0.5812204000000001	not happy
0.11815277	0.30915415	its to small thats why i dont like it
0.9808452	0.7551321	very cute 
0.13405758	0.3822286	the product came just as described
0.13538802	0.70041287	did not fit snuggly
0.9775265999999999	0.6877746	teddy bear case
0.9989571	0.8648646999999999	very cute 
0.99329466	0.66990006	amazing
0.99493396	0.7530333	ipod case
0.9834494	0.7336155	my 14 year old loved it 
0.9493635	0.70717937	makes my ipod cute 
0.99391127	0.77628756	bearygood
0.98690796	0.7391926999999999	christmas gift for my 12 yr old niece
0.8848063	0.76479757	adorable and great for its price 
0.09112397	0.5903417	does not fit 
0.7697516	0.6123344000000001	bear 3d silicone skin case
0.9864219000000001	0.7510379	too cute 
0.9108468000000001	0.34395617	very happy with company n product 
0.9890950000000001	0.7000861999999999	amazing 
0.99367046	0.79177344	bukit cell tm brown bear 3d cartoon soft silicone skin case cover
0.88890916	0.7002744000000001	brown bear review
0.9750583	0.7651087	cute case for the price
0.8882251	0.8428819	so cute
0.02246043	0.5177716	what happened 
0.98612064	0.7650161999999999	really cute
0.95451677	0.59875953	love it 
0.6537995	0.69211674	so cute 
0.16078192	0.42684996	so cute 
0.9947165000000001	0.6989316999999999	gift
0.99720454	0.81179404	cover
0.9987031	0.81816864	cute ipod touch case
0.9964675999999999	0.8629306000000001	my daughter s loved these 
0.9990152	0.89949095	so cute 
0.99549127	0.7739974000000001	cute product
0.5686167	0.6181071	sooo cute
0.9903873	0.60187364	gift for my daughter
0.9547273000000001	0.776528	i love it 
0.99722093	0.8137473000000001	brown bear ipod touch g4 cover
0.48646629999999996	0.5232537	cute but bulky
0.9311088	0.70265585	cute and fast service
0.99073017	0.67910457	so cute protect good soft material
0.897576	0.6699859	very satisfied
0.8379916999999999	0.6139739000000001	best purchase ever 
0.11771372	0.45966434	ehhhh
0.97768044	0.72733605	super cute 
0.0161165	0.2697115	let down
0.99370944	0.69899786	perfect 
0.99380726	0.7515130999999999	i love it
