sentiment_scores	genuineness_scores	summary
0.09978142400000001	0.5630996	not a good upgrade from 903 
0.0057155190000000005	0.48480039999999996	please read before you buy 
0.9967521999999999	0.8094015	great
0.019504964	0.36610362	okay
0.9351173	0.85473555	absolutely brilliant 
0.00856185	0.58929026	didn t listen to reviews
0.89959705	0.79305637	a nice set of blue tooth stereo earbuds
0.5253197	0.9053220999999999	best wireless earbuds so far
0.019548059	0.7291875	still could be better
0.9317324	0.6346086	good stuff
0.12280789	0.46593457	can barely hear music other apps very uncomfortable
0.12442008	0.7631395000000001	don t sweat in them 
0.90869653	0.7989628000000001	very neat technology
0.17110094	0.6609949	good but could use improvement 
0.7918434	0.68166	it s not for everyone
0.028668344	0.43887332	wasn t expecting this product
0.04218012	0.5211307	plantronics bluetooth headset
0.0010829866	0.4792883	save your money these are the most poorly engineered earbuds ever made 
0.954835	0.8263666999999999	great for running free 
0.61212504	0.7454103	very good earbud headphones
0.9676448000000001	0.7642532	light weight with great connection
0.12443757	0.62405044	a good choice however consider other options 
0.0037752688	0.43129343	terrible 
0.82228804	0.7372356	greatest of all times
0.9989895000000001	0.8195503000000001	my review
0.92225945	0.8312465	good headset bluetooth compatibility issue
0.9977312	0.92591655	sound great and fit anywhere
0.80062866	0.84256816	great sound but some design flaws
0.9903337999999999	0.73792934	great product
0.53288853	0.71489084	much better then i expected 
0.9643023999999999	0.7227539000000001	works great 
0.9928551999999999	0.70822924	my favorite headset for their simplicity and ease of use
0.997049	0.69482815	good get
0.34641933	0.6961024	uncomfortable 
0.060157984000000005	0.5079351	not for runners or while doing cardio 
0.09821015599999999	0.6121794	disappointed
0.4323861	0.20482627	just have item
0.032993972	0.49173474	sound quality is awkward i have to return and find another one 
0.43267563	0.4481607	it s ok 
0.5082243	0.63563967	i like them
0.90076256	0.7009591	delivered as promised
0.41911918	0.7807071	great if you don t sweat not so great if you do 
0.10714674	0.46116742	these headphones suck 
0.9158447000000001	0.7598005999999999	much better bluetooth stereo headsets out there
0.7802857	0.7806183000000001	stop the tangle go wireless buy backbeats
0.9962728000000001	0.8796004999999999	back beat is worth it
0.002723813	0.6916800000000001	uncomfortable tinny sound quality
0.028786212000000002	0.48446244	short recharge life
0.77949	0.6373326	succinct
0.13174560000000002	0.68057674	good earbuds poor battery life 
0.038367897000000005	0.5067772	terrible rustling sounds
0.952809	0.88527966	not bad at all
0.91869426	0.6481560000000001	great
0.23673528	0.8039311	not so ok headset
0.66430986	0.8115914000000001	great sound
0.008853108	0.6068988000000001	never worked contacted the seller no reply 
0.85765606	0.6870359	i like it
0.0070768	0.5595319000000001	dropped connection every time i put my iphone in my pocket bad 
0.60382557	0.7709526999999999	great except for one flaw
0.7702379	0.8070305999999999	acceptable not exceptional
0.11363283	0.54475695	this item really blows
0.011409968000000001	0.31141728	i hate it
0.0032823384000000002	0.60460216	this was a terrible purchase
0.041314393	0.5384808000000001	nice design atrocious audio quality
0.977675	0.668882	the best
0.013963968	0.49926132	awful heaphones
0.9679549000000001	0.7855395000000001	earbud version of the backbeat
0.14172003	0.76927763	not for music or phone use
0.9785209999999999	0.75448084	excellent set of bt earphones 
0.6496801	0.80474246	so so sound poor fit in my ears not easy to use poor packaging
0.005444139200000001	0.5684691999999999	do not buy 
0.3600359	0.8102714	great concept very convenient but has it s drawbacks
0.016125053	0.5134729	going back to wired earbuds
0.6511106	0.8515623999999999	i love these 
0.004612565	0.36047578	worst packaging of the product
0.333534	0.17310622	am not happy 
0.010505021000000002	0.3805992	sucks bad no it really sucks bad 
0.056498587	0.5802976	thx thx thx thx thx thx thxthx
0.7950722	0.79996157	awesome cordless earphones
0.22547418	0.6957635999999999	plantronics back beat go
0.686712	0.7381169	great headsets too bad i washed them 
0.002188623	0.53481334	too large
0.5806326999999999	0.83252436	i really wanted to like them but 
0.42922628	0.64586735	good earbuds but sometimes falls off 
0.96780646	0.85457206	these things have an incredibly long talk time 
0.28896612	0.07924402	just works 
0.92667425	0.8134103	worked within seconds 
0.17177925	0.5239408	did not meet expectations
0.19119701	0.59959304	audio is good but 
0.7789563	0.9188125	there s better much better
0.41011798	0.6022493	so close but so far
0.11161202	0.7344363	not quite there yet 
0.050207287	0.66081274	worse headset ever
0.9692298	0.82558066	awesome 
0.02791804	0.46888729999999995	high expectations
0.96086943	0.7320459	good quality worth the purchase 
0.0067825913	0.64215654	don t expect too much from it 
0.31400347	0.61293995	average in every way imaginable
0.992818	0.75895876	very comfortable and good quality
0.9939667	0.92021537	wow i guess 
0.0806593	0.63645864	why have wires 
0.12697509	0.51282096	poor reception and range with the iphone spotty sound
0.61722803	0.6469302	good
0.5288649999999999	0.291163	great earbuds for phone conversations
0.9461721	0.8073939	so far so good
0.96314454	0.6179989	nice
0.2583962	0.6168699000000001	medicore bluetooth earbuds
0.46097058	0.6400118	pretty good sometimes 
0.0066774487	0.39183727	impossible to keep in ear
0.7736399	0.6480116	it is better than i thought it would be
0.77939093	0.7733456	great buds survive the gym and 10 mile run
0.9069195999999999	0.8082304	stop 
0.09387225	0.4228661	not good ear buds were toooo big for the ears 
0.9951018	0.86313677	awesome 
0.04722157	0.6908287	short life span
