sentiment_scores	genuineness_scores	summary
0.96941614	0.7611183000000001	works great
0.9862175	0.7769736999999999	great customer service
0.77205706	0.6523076	does what it says 
0.99782705	0.7773473000000001	perfect
0.014977991999999999	0.63234544	terrible product
0.99609447	0.74073184	perfect 
0.9924146	0.7503873999999999	awesome 
0.8688072	0.7591405	yup yup yup
0.14259622	0.5663596	can t use and im very experienced 
0.998026	0.82506716	screen protectors fit perfectly 
0.9824360000000001	0.85678357	crystal clear 
0.8578162	0.68454623	great product well thought out and clear instructions
0.8755934999999999	0.8280896999999999	best screen protectors by far 
0.9464176999999999	0.73031473	five stars
0.8382790999999999	0.6430501999999999	hd band wagon
0.051345735999999996	0.5768274	not as expected
0.7936581	0.6289931	good but not great
0.958773	0.5827985999999999	five stars
0.9935309999999999	0.73317623	easiest screen protector to apply 
0.8000483	0.7701666	htc one screen protector
0.9971829	0.7340383	fits works great 
0.11528987	0.44646769999999997	flip case review
0.93029946	0.6767869000000001	seems to work well
0.96263576	0.7744397	if you keep the dust off they re amazing 
0.0004528165	0.48125973	scam
0.9739002	0.82635665	worth every penny 
0.092394054	0.45279333	i wasted all three
0.7068116999999999	0.59765005	good product 
0.20136914	0.47810810000000004	finger prints glares scratches
0.9277233	0.6933828000000001	so far so good
0.9970361999999999	0.66004777	perfect fit awesome 
0.16261283	0.6733599	poor adhesion 
0.9950540000000001	0.9000504999999999	decently surprised
0.9988619000000001	0.72261405	does not perform like a 66c screen protector
0.9896809000000001	0.8236401	great 
0.36595267	0.64418566	will not come off screen
0.18897003	0.6794931	work protects screen anti glare but hurts display quality
0.9759171	0.77333397	great 
0.91413164	0.75503016	screen protector
0.95876026	0.49182615	five stars
0.1268855	0.6459594	its ok
0.2785323	0.2939509	make it easy to apply 
0.97722363	0.7855569	fit great went on easy
0.86243975	0.7895245	not good at all
0.732669	0.71714634	good protection
0.97937036	0.6932893	satisfied 
0.9681806999999999	0.8186386999999999	good product
0.011956155	0.49429315	wouldn t buy a third time
0.10199407	0.40205374	this could ve just been because i suck at installing these
0.09322655	0.37343937	bubble and issues 
0.20426661	0.58832896	sticky
0.9858965000000001	0.76338387	love this screen protector 
0.99542445	0.83263683	great product
0.05170718	0.44329274	very dissapointed
0.99950874	0.8291663	great screen protector 
0.9854312	0.6975848000000001	perfect protector 
0.99628067	0.78833044	great product better support
0.98200667	0.8462120000000001	nice
0.99896103	0.8316754999999999	great screen protector for the m8
0.99560046	0.8807039000000001	what s not to love 
0.9958544	0.7823189	i am very happy with this product
0.0088992715	0.42209940000000007	better off with nothing
0.93548405	0.8994943000000001	excellent low cost matte protector 
0.016475856	0.46709958	not worth your time
0.9974934000000001	0.81037533	best ever 
0.99934554	0.89065176	this is a great product 
0.8403466999999999	0.7287491999999999	exactly what i wanted
0.48105276	0.58996767	affordable but not perfect
0.07888505	0.38086659999999994	seems to work ok but took 3 tries 
0.9440875	0.7089399000000001	t mobile and works great on first try
0.36347842	0.5821163	good buy for the money
0.95485485	0.6131169	good screen protector
0.9935934999999999	0.7402148000000001	fits perfectly
0.6301833	0.6972331	good product
0.99165916	0.79910475	amfilm premium screen protector film matte clear
0.9963751000000001	0.8151898	five stars
0.011454998999999999	0.54606354	worst thing ever
0.9987328000000001	0.8021009	item number 108 9136413 0372257
0.9954562	0.8298931	best anti glare no smudge screen protector
0.9979285	0.8706765	easy quick and flawless installation
0.28819937	0.7290260999999999	good but not fantastic too much friction 
0.9828781999999999	0.7859079999999999	clear as glass
0.6234890000000001	0.71257854	perfectly clear and easy to install
0.9931853	0.84822166	save the screen on you m8
0.013894409	0.25691010000000003	sticky and dirty
0.28448755	0.6391304	not so perfect
0.98080945	0.7459965999999999	works great
0.99966466	0.8402405000000001	five stars
0.13312095	0.40617558	don t waste your money 
0.8863138	0.69855547	concise instructions comes in a 3 pack 
0.31631908	0.38777140000000004	excelent
0.0005992055000000001	0.53415	horrible cheap wish i could get a refund
0.9970380999999999	0.6857575	five stars
0.9268489	0.5317172	high quality 
0.96200335	0.57512677	one of the best 
0.25947547	0.4266808	it s a screen protector
0.8703171000000001	0.798329	it s the perfect size covers the screen almost edge to edge
0.0052905083	0.34237373	there are multiple one star reviews of this product for a reason
0.8511523999999999	0.79640365	no bubbles and no scratches after 5 weeks of usage 
0.99404657	0.75407517	don t even know it s there 
0.5372418999999999	0.5656169	doesn t fit perfectly on htc one
0.9462440000000001	0.81543314	for the price you can t beat it
0.9035841999999998	0.6543378000000001	htc one screen protector
0.14772984	0.57140267	absolutely terrible
