summary	sentiment	genuineness
this is garbage	0.015590584	0.5570329
Best for the money	0.7594034	0.7539705
The affordable red dot	0.95449096	0.6066669
UTG	0.36251944	0.49771145
Better than i expected.	0.9802997	0.62143266
UTG Red/ Green 38mm Dot Scope	0.9583279	0.5926844
great	0.99820375	0.8291019
Built for airsoft	0.8735911	0.7300672
Great scope for the money..	0.9259362	0.79562765
Awesome for the money... so far	0.97167754	0.9033759
Excellent product	0.9857771	0.5685532
Impressed.	0.90647906	0.7510862
Liked it, then found out it was a COUNTERFEIT	0.23877437	0.71673024
LOVED THIS RED DOT SIGHT...	0.9998166	0.029827157
Works Great on AK	0.95955926	0.8081583
Solid & reliable on a Mossberg 500	0.99326974	0.8152445
Great sight for the money	0.7633298	0.67531294
A different kind of review ...	0.9364794	0.8620168
Great Red / Green Dot sight for the money	0.9833814	0.8115194
HOLDS IT'S ZERO!	0.5500716	0.5741307
Solid dot, doesn't stay center.	0.41354662	0.6897503
Nice scope	0.90732735	0.55708706
Dead On!	0.9900407	0.79762626
Nice Sight	0.98941094	0.80537874
Ok scope	0.6726561	0.43573463
UTG  Red Dot Sight	0.9565833	0.8215799
Inexpensive optics	0.89433753	0.70987254
Leapers Golden Image 30mm Red/Green Dot Sight,	0.93332	0.33323315
AWESOME!	0.9697384	0.4886938
Not sure about this one yet	0.7784151	0.31265643
Fantastic Red/Green Dot	0.96778685	0.7923734
Mounted on my WASR 10/63 AK!	0.89996654	0.5255463
Red Dot Scope	0.7998222	0.800692
not what i expected.	0.07467783	0.6027852
nice product	0.8020224	0.54268587
Looks OK, received defective unit	0.090358295	0.7100683
Cheap but Effective	0.9406666	0.8617761
Good optic	0.96419454	0.7355474
UTG Red Dot Sight	0.98145527	0.84256184
Awesome Scope with a scuff mark	0.79129934	0.70536435
Great sight at a very low price.	0.97194326	0.8232265
Geat Product and Service	0.9659986	0.4018431
Excellent Red Dot for .22LR	0.8802123	0.8567185
Wrong Item Received! Was Also Defective!	0.07739874	0.44357687
Re: previous review	0.17944296	0.58909917
Leapers Red dot sight	0.8076457	0.06596407
Nice Unit	0.41029	0.45814684
Not a Clean Dot	0.10897891	0.7830029
Buyer Beware	0.4466278	0.41894743
Leapers Golden Image Red/Green Dot	0.6506036	0.5610622
Great CQB scope for the price.	0.92876846	0.82982486
LEAPERS 38mm Perfection	0.94385475	0.65985143
Leapers Golden Image 38mm Red/Green Dot Sight, Integral Weaver Mount..	0.026364464	0.57895154
awesome site	0.7872875	0.7067123
not happy	0.101904005	0.37015995
Good Sight, Great Value - Highly Recommended	0.9825209	0.81836754
good	0.6029604	0.6812027
Good for the money	0.9802792	0.8441564
Excellent so far	0.99946934	0.8330167
Amazing Sight, No Need To Spend More	0.98440856	0.84889597
Great for the money	0.99586934	0.54305923
Anybody needs a cheap and good Red Dot?	0.835201	0.667984
Great sight for the money	0.7925711	0.77114534
Love it!	0.994521	0.7630126
Worth it!	0.9936619	0.6831003
Better than $100 dollar scopes!!!!!	0.9833143	0.6277053
Can Not Sight in	0.047553457	0.36152393
For the price = yes, for overall performace = maybe	0.7681874	0.5637755
fits like a glove	0.99353784	0.8672233
Good at first	0.5601209	0.61419284
Great for the money	0.8750342	0.81049275
After 2 of them	0.8701064	0.72164786
Better Than Advertised	0.96139866	0.87281233
unable to site it in	0.52973044	0.2783008
Great red dot for price	0.20098467	0.63470095
piece of crap	0.02448303	0.5014331
Do not buy for a Weaver rail	0.8137484	0.72373337
Perfect sight for a tactical 10/22	0.99057215	0.7850286
my comment	0.7831075	0.4460025
Good product	0.53581905	0.65815336
Works well	0.86349094	0.6944785
Didn't even make it onto the gun	0.35331848	0.6260645
Great Scope	0.9961643	0.76619095
Awesome Red dot	0.9992623	0.74796337
holds together	0.96980816	0.7330568
Battery doesn't last..	0.04277452	0.5332822
A very nice item, esp. for the price	0.93523467	0.32816306
INCREDIBLE!!!!	0.76054513	0.47908282
Good Value	0.9240445	0.7624506
Great Scope For The Money!	0.94878674	0.8388883
Decent turkey scope for mounting on a shotgun	0.97330123	0.77603287
Get this red dot!	0.9705254	0.72963095
UTC 38 mm Red & Green Dot Reticle Sight	0.20196687	0.36095798
GREAT bang for the buck!!	0.9982461	0.786242
Verry Good	0.92506164	0.54234976
happy with it	0.9555897	0.8092492
Red Dot - Green Dot - NO Dot	0.028687645	0.38890618
Nice red dot	0.99233586	0.7560721
Leepers Red Dot Rifle Scope	0.99222374	0.78732294
Good enough for 7.62	0.86867636	0.65243036
IMPRESSED FROM THE BOX!	0.9973546	0.84041953
Cannot be beat	0.86317915	0.67723334
can not rate yet	0.3536921	0.14167506
Doesn't mount correctly on standard rails - but not a big problem.	0.19937816	0.6541794
Great scope FOR THE PRICE	0.93934625	0.74212337
Excellent sight, great value.	0.9976672	0.82557315
red/green dot scope	0.99835396	0.68526167
Great value for the price, surpassed expectations	0.9250268	0.847286
Red Dots and Paintball	0.49678728	0.79247195
Maybe good for a low recoil rifle, can't handle my 7.62x39	0.12113754	0.7216046
Awesome!!'!!!!	0.98854405	0.71499217
Seems very nice...	0.5824827	0.7423584
Sight Unseen	0.9420784	0.72962815
Good Product	0.7594658	0.7235019
100% WIN!!!!!	0.95989734	0.68118143
Good Value	0.7883893	0.7754944
