sentiment_scores	genuineness_scores	summary
0.8670604	0.70051676	great phone 
0.96276534	0.8657481	not worth buying
0.22418705	0.7623465	don t buy the phone for use in the us 
0.9945655000000001	0.9222196	impressive 
0.749128	0.81174487	good basic touch phone
0.763219	0.26151055	necesito realizar la transaci oacute n antes de navidad
0.0027547777	0.84213114	you should know this about this phone and some of the sellers
0.8351129	0.80908775	good phone great value 
0.21049559	0.40347373	how good is your russian 
0.7034453	0.31507140000000006	justo lo necesario 
0.43511537	0.5863229	lg kp 500
0.6359763	0.7625807	lg cookie is a very good phone
0.6307205	0.6841991999999999	try it for yourself a good phone 
0.6361882	0.75634325	i wouldn t recommend it
0.65809345	0.4582840999999999	great customer service
0.84855926	0.35548579999999996	ok kind
0.70200706	0.77548814	good phone for the price
0.6609103000000001	0.5861456	review
0.94066393	0.86759055	lg kp500 verizon phone
0.8472950999999999	0.78982824	slightly over average
0.0021679997	0.63583446	this phone is deeply problamatic
0.35575145	0.64893603	little disappointing
0.7729295	0.8123362	sweet little cookie smartphone
0.8478190999999999	0.44492957	trustable product
0.0017665625	0.5290446	absolutely useless do not buy 
0.85958433	0.6436801	really good one
0.85834736	0.7857204000000001	nice phone but cheaply made yes it was made in china 
0.028461217999999996	0.45064467	no internet capability through at t
0.98649174	0.89011335	average user
0.98583686	0.88795984	should have waited one week
0.69571126	0.7890674	great product at a great price
0.6769341999999999	0.6115465	useful phone
0.8044698	0.76245964	cell ph accessories
0.0019495189000000002	0.6066035	worst phone ever
0.9020958	0.69798005	not bad 
0.22576159	0.48926902	not as great as everyone said
0.5636504	0.7991383000000001	here is how to get picture texts on at t improved 
0.99731016	0.9069459000000001	love it love it love it 
0.9927166999999999	0.81087685	great value phone
0.99815047	0.9012948000000001	love this phone 
0.988728	0.8173642	not bad at all for the price
0.020547092	0.5564089	terminal battery issues
0.49193859999999995	0.5064824	does not send mms messages
0.5570444999999999	0.53327894	not happy
0.99927866	0.5263058	lp kp500 cookie unlocked phone with 3 2 mp camera and digital media player black 
0.84035766	0.92606413	great unlocked basic touchscreen
0.9860346999999999	0.925215	the most accurate convenient cost efficient phone i ve ever had
0.7450571	0.8598968000000001	nice bang for the buck
0.9785108	0.88321173	a good gsm phone for the price
0.87569165	0.64778435	touch phone
0.6698196	0.33989358	lg kp500 cookie unlocked costa rica
0.22990229999999998	0.73750913	never recieved
0.026626945	0.6181568000000001	beware autolock
0.6114149999999999	0.63683385	don t buy it
0.9884552	0.7297977	small easy and simple
0.009885907	0.51257265	worst product
0.001192838	0.7372441999999999	worst cell phone ever made 
0.27743363	0.19955176	not happy 
0.97651654	0.9365998	works like a charm
0.06717205	0.45173252	the phone does not ring at all 
0.9213635	0.29543817	super cool cell 
0.79261804	0.8763943000000001	not a texting phone
0.0066655576	0.6113514	absolute worst user interface ever hate it
0.0024552941	0.6453707	bad especially the camera 
0.71663576	0.5012689	my cell and service
0.0019756258	0.53299135	dont buy it
0.04475397	0.34653902	no sound
0.9909707	0.76556605	good price for a smartphone
0.9939643	0.8318529	amazing gadget w amazing price 
0.124001116	0.6937482	battery problem
0.45716065	0.8864027	not a text friendly phone but good for the price
0.9949901	0.65922654	amazing cell
0.9988236999999999	0.7769903	sharp looking cell phone
0.96345985	0.6316520999999999	excelent
0.6923429	0.69452184	joey s review
0.9953192	0.6870245	good product
0.27370572	0.73945767	don t buy this phone 
0.82499254	0.80091393	so far so good
0.99673104	0.7335844	excellent phone 
0.020953953	0.69256645	beware
0.8986190000000001	0.69164175	great price for this unlocked quadband 
0.8012049	0.7808906	an honest review
0.97726464	0.82436943	worth every penny 
0.060014635	0.5161212000000001	does not work with at t gps service
0.9911221	0.7619705	wonderful device
0.9444618	0.8245231	excellent features as close to smart phone as possible
0.368159	0.640278	disappointed
0.014209926000000001	0.42153752	lg kp500
0.6577119	0.35910767	me gusta 
0.010538398999999999	0.50628215	not worth the money
0.005630046	0.59208095	nothing good to read good for nothing 
0.012327313000000001	0.72596234	unusable for texting
0.94249845	0.7703129	lg cookie
0.08783507	0.43314978	where is it 
0.8518778	0.79656214	works well with t mobile including mms
0.5618217	0.72616553	compatibility issues
0.9300709999999999	0.8391533000000001	nice little phone 
0.9269439	0.8634938	great phone for the price
0.97755253	0.7026898	good phone 
0.97618705	0.8935533000000001	nice for the time it was made but they are always getting better
0.9987428	0.8597834000000001	the best phone and able to afford 
0.8738445	0.28636158	un muy buen celular
0.9851629999999999	0.9093654	very nice phone for the price
0.97235495	0.8432245999999999	good price value
0.30171335	0.7078236	good phone but the talk time 
0.13192752	0.83993626	this phone is moody review for usa customers
0.65151167	0.8813271999999999	once a good value simple smart phone 
0.67723507	0.5845284000000001	its good for the price
0.42985186	0.9242094999999999	lg kp500 problems limitations
0.96842545	0.5448346	lg kp500 from tech dealers
0.009616971	0.55067825	do not buy this phone 
0.8215686	0.7571374	worthy phone for what you spent 
0.52202284	0.66826314	a nice touch screen phone
0.8662931999999999	0.77506053	low battery life 
0.972504	0.91614056	great package for an affordable price
0.9485747999999999	0.7881477	great phone for a great price
0.9682002000000001	0.7872771	love it 
0.07772529	0.6320544	malfunction prone
0.9898745000000001	0.8072164000000001	nice phone for small budget
0.37162524	0.8322275	not good
0.9956941999999999	0.8295655999999999	great phone for what we do with it
0.9749211999999999	0.7819762	wonderful budget international phone
0.87854886	0.5319709	excellent phone excelente tel eacute fono
0.9074131	0.82339865	sleek simple and affordable 
0.0610556	0.7383526	lasted 2 years then smoked 
0.46483237	0.7621845	kp500
0.9615988000000001	0.8491337999999999	can t love it
0.66343784	0.6517151999999999	not a smartphone a great phone still
0.88439023	0.66059625	beast phone
0.9293140999999999	0.7588298000000001	excellent with minor shortcomings
0.93555117	0.9225251	one of the best most inexpensive unlocked phones 
0.9821869000000001	0.8759165999999999	excellent phone
0.9974878	0.91102636	excellent value for this price range
0.024656594	0.5805895999999999	a b plus phone not bad for the price 
0.96190107	0.7523002	lg kp500
0.97232324	0.80696607	great phone for the price
0.9139700999999999	0.8777661	great phone if you don t need 3g gps or wifi
0.01399973	0.70584583	great phone but useless adapter
0.9764277	0.7690015	good for the price
0.95277244	0.81245553	usefull
0.93574244	0.75621533	good deal on a good phone 
0.46870714	0.830217	cell is great but battery is terrible
0.46992895	0.71089005	lg kp500
0.9964646	0.8313046000000001	i love this phone
0.5966134	0.8251755	too many problems 
0.5824913	0.8128582	okay basic phone
0.7236296999999999	0.83298576	good phone no mms function in u s 
0.40407646	0.7794533	it s okey but lg made a very annoying mistake 
0.9988302	0.8988009	amazing little phone especially for the money 
0.9978338	0.818355	easy to use and fun 
0.72469026	0.79361784	great read this if you re having doubts from other reviews 
0.9985473	0.76222646	phone is really nice
0.68185204	0.8446049000000001	avoid this phone flawed electronics and bad battery
0.28375417	0.29945523	good product but can not set pin code
0.58359426	0.44621843	good phone
0.9729911	0.62783635	phone
