summary	sentiment	genuineness
Does its Job	0.8785344	0.8323718
Not breathable! Waking up in middle of night sweating!	0.16089004	0.7639499
Almost perfect	0.77391595	0.8333652
It's TERRY CLOTH surface	0.88674605	0.87919474
Best on Market	0.93261534	0.8310777
Just as expected and better.	0.5887484	0.76423264
A quality product	0.86814964	0.7111579
Great product but starts to make sound after a few weeks of use	0.34287244	0.6424439
Works	0.96806383	0.7761673
totally waterproof.	0.989075	0.78866124
Thanks for great service!	0.9869442	0.41863155
Very comfortable and sturdy	0.93694717	0.8531214
Brief Comment	0.9876714	0.8677222
Excellent	0.9808836	0.82241005
Nice and fits well.	0.69840074	0.7052749
Same as the others have said, good quality at a good price	0.22311933	0.81558275
Mattress Cover	0.8998804	0.8328121
So far so good	0.5367355	0.6807353
Excellent Malouf Mattress Protector from Amazon	0.95091844	0.87528956
Great Product!	0.8861472	0.85618395
Not as advertised	0.06890473	0.62983114
Great Mattress Protectors	0.9979091	0.8922787
Great Product	0.9041144	0.78215575
Perfect so far	0.84787446	0.4980495
Great Price, No Complaints!	0.98653257	0.8267296
Good product.	0.9758326	0.8970692
Quiet and fits well	0.91942364	0.7757702
okay	0.1933604	0.61340284
question	0.26360404	0.48468545
Its a mattress protector	0.3078996	0.61885744
Perfect for mattress + topper	0.88526404	0.8394689
Ahhhh ... a product you can believe in!	0.9760435	0.73756987
Review of Mattress Protector	0.9928757	0.78577125
Better than expected	0.9464412	0.73902804
Great mattress - took a few nights to fully appreciate it.	0.99303645	0.8174517
Worth every penny!	0.77989095	0.84937125
These leak!!	0.046703268	0.7852035
Not completely water proof	0.8196432	0.7237201
Horrible	0.32453525	0.72224134
Elegant/Effective/Inexpensive protection for your investment	0.8687577	0.86002374
So far so good	0.8255633	0.5495496
Doing the job	0.8471565	0.6558303
Horrible experience and defective product!!!!!	0.0028390517	0.44999525
Worthless did not protect my mattress	0.062100705	0.5256956
Does NOT protect from BED BUGS	0.7311914	0.7121024
Perfect Price, Almost Perfect Product. Still 5 stars.	0.9980069	0.91217315
NOT waterproof!	0.04400497	0.76208526
Great Product!!	0.999154	0.93629944
Great!	0.935204	0.83061266
Does the job!	0.81043506	0.8320244
Great fit, right price!	0.47414407	0.55302215
Had no problems	0.9806502	0.79894114
Excellent Price, Excellent Product	0.7781083	0.8137464
Not Waterproof	0.053058803	0.52913547
Not waterproof or cat pee proof either!	0.20070745	0.6153744
it works perfectly!	0.98144525	0.7344304
Great mattress protector	0.4082108	0.6887845
Doesn't go all the way around mattress	0.060934693	0.5496762
Mostly Waterproof	0.72095406	0.82366943
Works as described	0.9508412	0.514128
Sleep Tite for sure	0.6249249	0.64284945
Saved our brand new memory foam mattress	0.9915733	0.7951958
Fit perfectly, Comfortable, Would Buy Again	0.9543205	0.7226838
As good as the one I purchased for 90 dollars !!	0.8663771	0.79245
Sucks	0.076009125	0.421729
Works great	0.96876746	0.86740243
So far, so good	0.8216098	0.15929618
Maybe even more comfortable than our own matress	0.9456592	0.6937126
I really like mine.	0.99526876	0.8036491
Fit Perfectly	0.97150326	0.8321272
