sentiment_scores	genuineness_scores	summary
0.100431055	0.5908960999999999	smart pad melted 
0.19616035	0.7086551	nearly perfect with some flaws broke after 21 months
0.25884742	0.7099283000000001	suction cup mount won t hold
0.83898044	0.86612016	satechi mount for bb torch
0.4337652	0.4281028	excellent merchant
0.003017515	0.61109084	terrible don t waste your money
0.91163146	0.90444136	great mounting solution for the iphone
0.9984851999999999	0.8225323	amazing
0.9972029	0.8716735000000001	fantastic phone mount
0.9308360999999999	0.7859439	versatile and easy to use
0.19711268	0.65412635	good and bad
0.91304326	0.776492	solid product great customer service 
0.8231386	0.9498139999999999	very happy with product versatile strong hold no shaking 
0.98284376	0.7609679	my husband loved it 
0.26445138	0.7439609	works great for nexus 5
0.4922032	0.76228833	destroyed my dashboard
0.78906465	0.6236628000000001	it worked
0.35104072	0.6731515	great mount for your iphone in your car
0.15320316	0.6912786	does not fit iphone 5s 
0.99204075	0.7866484	buy it 
0.99315953	0.85281724	satechi cr 3600 car holder
0.4521889	0.66748524	impractical
0.8426235999999999	0.7286104	good device
0.9614541999999999	0.81736267	solid mount
0.08505243	0.5873786999999999	it took a bit but it works well
0.9878198	0.7792133000000001	satechi makes a good product
0.01150009	0.5359224	terrible product
0.93306553	0.8884424999999999	fine product
0.30544534	0.5994164000000001	phone holder not so good 
0.014691919	0.40799317	 smart pad not too sturdy
0.9051319999999999	0.7700906	great for the car
0.9438045	0.89354765	very nice but not without issues
0.9746758	0.8074703000000001	perfect for iphone 4
0.9953056999999998	0.8257542999999999	you won t regret it 
0.89540726	0.82316124	a great universal cell phone holder
0.996575	0.80188847	excellent and easy
0.9984677	0.86158156	great product 
0.11026278	0.62579715	don t buy 
0.98610175	0.9596906999999999	brilliantly engineered well made and versatile mounting solution
0.98895776	0.6874081	satechi cr 3600
0.072134644	0.7915244	ok for the first week
0.95537484	0.7771324000000001	simple easy to use and secure mount
0.8141025	0.7901925	versatile and sturdy
0.96740806	0.8534497	good and sturdy
0.9997785	0.9245424999999999	awesome iphone 4 mount 
0.99487156	0.780822	the best 
0.99759674	0.90417725	best mount for top of dash
0.7490791	0.6814363	okay here we go i do not work for this company nor am i connected to it in any way 
0.9984065000000001	0.83134854	pay a little more buy it once 
0.9802384	0.8614700000000001	great product 
0.9811690999999999	0.8016873999999999	the best car mount i ve ever owned 
0.9342773000000001	0.84039986	needs better instructions but 
0.43599567	0.7074239	good solution for iphone and mazda3
0.9581591	0.86828625	great build quality not very iphone friendly
