sentiment_scores	genuineness_scores	summary
0.85837877	0.73108894	great phone
0.88119274	0.8056422	good phone
0.94326353	0.69552577	pretty impressed
0.8068446	0.7982832	great condition
0.8950609	0.8463733	she likes it she likes it 
0.80897874	0.83812046	great basic phone
0.2789065	0.6497009	i had issues at first
0.0677045	0.6974189000000001	terrible phone with verizon known problems
0.014082611	0.5406105	not satisfied
0.6386198000000001	0.48087879999999994	replace old env3 with new env3 
0.034195483	0.5860003	liked it but it needs repairs already now a few months later hinge broken 
0.9848293	0.916323	5 starts for the phone 3 for the seller applewireless
0.09347674	0.4230358	terrible service 
0.828167	0.8985521999999999	best phone i ve had
0.027995199	0.48471677	rebooting
0.96545064	0.91165555	best possible non smartphone works with pageplus prepaid cell service
0.007586837	0.7000069999999999	phone
0.017816901	0.70608205	don t buy 
0.020674855	0.64729786	not satisfied
0.030738323999999997	0.6618371999999999	phone quit charging after 3 weeks and port for charger broke off
0.025398105	0.49621218	lg env3 vx9200 verizon cell phone
0.95744437	0.8264268	good phone
0.99696565	0.86342466	happy camper 
0.99433446	0.83504355	excellent quality
0.79974794	0.8503169	ole trusty
0.9941293	0.7872813	very good
0.0070225596	0.52500045	not a great experience but they did refund my money 
0.9991283999999999	0.8741136999999999	great phone great price
0.99278355	0.82130146	great little phone
0.41953152	0.6196564	great purchase 
0.0040890276000000005	0.3073252	contacted the company and they never responded
0.9941656999999999	0.7753538000000001	so happy amazon directed me to this phone
0.023512006000000002	0.7295163	what a disappointment
0.9980976	0.79198766	bought for my daughter
0.84038794	0.7242218	lg enve
0.22447029	0.5816773000000001	doesn t work
0.8979068000000001	0.78794634	great phone
0.37755865	0.6653792	bad phone but planet mobile is highly reccomended 
0.29206637	0.33195737	4 a friend
0.99972105	0.8890167	works great 
0.8826544	0.5154373	love it 
0.9915513000000001	0.87298006	purchased as a spare phone for the family
0.88003236	0.81913334	lg env3 easy fix for random shut down 
0.89223367	0.60862726	on time everything fine 
0.96537626	0.74043953	cell phone
0.30236268	0.71718156	bad bad bad sold me a stolen item 
