sentiment_scores	genuineness_scores	summary
0.9743799000000001	0.6887946	good choice
0.77198946	0.48342478	good product
0.25420266	0.6607974	cord no longer works but the charger is fine
0.99515814	0.79241264	great car phone usb charger
0.36947179999999996	0.7024868000000001	the charger is worth it 
0.35213014	0.564828	super fine charger for iphone 5s
0.06404444599999999	0.7448765	what the h l happened 
0.0025146902	0.57351303	doesn t work with iphones purchased in usa 
0.48930392	0.28889580000000004	no complaints
0.04671359	0.64948905	does not work with iphone 5c
0.00676316	0.3989935	terrible
0.18157801	0.653609	faulty cable returned it 
0.2918045	0.7361181	nice charger cable worked for a month
0.11643955	0.5491115	not worth your money
0.0034045875	0.59396577	my iphone5s did not recognize this
0.9945494	0.56478864	great product
0.75527865	0.48350498	good
0.47566226	0.6639119000000001	good but not great
0.03833005	0.50079906	excellent products
0.12355989	0.5816916999999999	lightning cable does not work with iphone 5
0.960729	0.81654966	great quality
0.027617067000000002	0.67913854	avoid
0.07912925	0.83010703	poorly made product i blame belkin 
0.009423315500000001	0.5363435999999999	won t charge the iphone 5
0.9283674999999999	0.68445224	bruises 
0.09549016	0.40565234	lighting to usb
0.14918026	0.55677	cable is not apple certified
0.82406425	0.63696706	so far so good for me 
0.40988559999999996	0.50980335	charges fast but sometimes its not detected by iphone
0.9856403	0.6824334	works great
0.45174432	0.5868485999999999	cable didn t work
0.0032190978999999996	0.7792618	piece broke off in my phone really belkin 
0.7549132	0.7487126999999999	works great for charging two phones simultaneously
0.96503496	0.81422216	good buy 
0.11117396	0.49853328	does not work with my iphone 5s after it was updated to ios 7 
0.019735783	0.71878517	did not work for long
0.37004462	0.66657245	nice charger bad lightning cable
0.16929093	0.45197445	doesn t work
0.02245292	0.678375	fake
0.33642113	0.47208184	okay device
0.89209425	0.6669210999999999	works great 
0.9962084000000001	0.63531464	her pleased with product
0.040408462	0.7220941	dangerous i ll find another option 
0.028444677999999998	0.64853644	broke after a few uses
0.038222163999999996	0.5597333000000001	works great for about a month
0.99386716	0.74698514	works great 
0.004863739000000001	0.7245743	don t buy
0.04829818	0.6650801	bad product 
0.13638362	0.6117063	lightning cable does not work iphone 5s 
0.002070576	0.6269437	phone won t charge
0.028145403	0.48260218	like all iphone 5 chargers not made by apple it doesnt work 
0.13182846	0.654828	not reliable 
0.99446774	0.85164696	great car charger
0.12169194	0.60528445	do not buy this piece of crap
0.0008129775500000001	0.6786839	junk
0.026676863	0.67034346	didn t work out of the box
0.9986225000000001	0.74588156	very good
0.19581139	0.64969206	errors indicating it is not a valid accessory
0.003341347	0.3500022	didn t work
0.065846175	0.50276214	best charger
0.96585715	0.6968711	well worth it 
0.041601747	0.75382316	beware cable quit working after 3 months
0.23846236	0.6644474	what a piece of junk
0.45433792	0.70841205	what a steal
0.0047493875	0.77246445	counterfeit belkin product 
0.72209156	0.715069	poor quality cable
0.039587796	0.64006406	this doesn t work in my car fast enough to matter 
0.98398066	0.83304316	a car usb charger with real juice
0.0019462705	0.4080233	bad product
0.007277161	0.6919121	this charger does not work with iphone 5s 
0.17228854	0.50831336	one bad port
0.0030076206	0.6802102	the worst product ever dont buy this item
0.52451617	0.6560564999999999	no juice
0.03478411	0.58427143	it didn t work 
0.04801029	0.59969836	bad
0.9652351	0.8004599	worked fine until it didn t
0.9873576	0.6724069	haney
0.038518876	0.627741	pay for two but only one works
0.05156091	0.5026997000000001	does not recognize iphone
0.07153672	0.36076725	don t buy it nnn
0.007828414	0.57394403	garbage
0.84281135	0.8273611999999999	no issues to date
0.012837976000000001	0.5643361	doesn t charge consistently 
0.96826404	0.7593694999999999	good product
0.0066957474	0.71661204	don t waste your money
0.99466383	0.79414797	great product
0.060732216	0.59528875	returned did not work properly
0.9501386999999999	0.5353359999999999	why pay 
0.9725207	0.6334361	belkin 2 port car charger
0.95369023	0.5730481	so far so good 
0.0015220344	0.67562413	error message this cable or accessory is not certified and may not work reliably with this iphone 
0.6921213	0.54382366	belkin rocks 
0.03560275	0.6380574999999999	belkin car charger
0.97388124	0.82444113	great it does it s job 
0.9656162	0.7476861	works great with iphone 5s not so well with iphone 5
0.9314992	0.799804	handy dandy
0.9705826999999999	0.6502496	good product especially when traveling
0.9790426	0.6711003000000001	good charger
0.9703691999999999	0.73804307	small and powerful
0.83988786	0.7314875	nice small rapid charger
0.089751095	0.49092966	defective lightning cables
0.044234872	0.7608298000000001	two stars
0.99851525	0.7930909	best car charger i ve tried 
0.85063994	0.7383295	message appears after connecting it to the i phone
0.012448668500000001	0.70559466	do not buy 
0.0024811327	0.56831807	not compatible beware
0.0035942197	0.4583788	doesnt work
0.65969825	0.5873892	great charger
0.02949518	0.49068412	works only 50 50
0.21271315	0.55083704	worth it this one costs more but it works well 
0.0023133159	0.39673309999999995	avoid 
0.9671281999999999	0.7865634	great deal for the price charge two devices
0.1431647	0.5887711999999999	charger works cable doesnt 
0.0065169035999999994	0.6273652	dead on arrival
0.035740286	0.7068051	bad product or bad design
0.005815536	0.56459916	didn t fit
0.8926665000000001	0.45870942	thank you
0.08334419	0.8000102	caveat emptor
0.012339383	0.6730086999999999	charger worked cable didn t
0.2877848	0.6548792	nice car charger for iphone5 with cable 2 amp 
0.0012956858	0.7062075	piece of junk
0.011262268	0.5621068	dont waste your money
0.27983427	0.59169567	one week 
0.9956363000000001	0.7123345999999999	good charger 
0.008011161999999999	0.65538645	did not work 
0.005448639399999999	0.59547114	not apple certified cord
0.12008765	0.6547074	faulty cord
0.3414145	0.68021125	charges like it says
0.97158575	0.8535913	works with iphone 5s 
0.019992292	0.46251097	poor quality for lightning connector
0.023490697	0.65104353	poor charging cord
0.8323596999999999	0.720561	one feud fixed 
0.9587778	0.8037816	works with iphone 5s
0.033742666	0.65083593	no charge really 
0.017540306000000002	0.60578245	usually a great company 
0.9340384	0.6433291	great customer service and very very prompt like reply was within minutes
0.9718760000000001	0.79222846	best dual charger hands down
0.05348584	0.57571876	lighning cable isn t compatible with 5s
0.30004240000000004	0.6973577	not happy
0.0018100142	0.64491045	fail
0.377091	0.18761796	cable not compatible
0.27275172	0.51347375	lightning cable did not work with my iphone 5s charger works fine with my oem cable
0.90902877	0.78940284	iphone 5 ios 7 unauthorized cable
0.351428	0.2907685	bad bad bad
0.81962824	0.6231962	a lightning cable that works 
0.0071010888000000005	0.66849834	julia a 
0.12752101	0.64841235	did not work with iphone 5c
0.0017897785	0.81262445	cable not certified to work with iphone 5s after a month 
0.94920105	0.80335045	belkin charger is great
0.99775755	0.74464947	great item
0.1813901	0.5772093	wire problems
0.0067329705	0.58949876	does not work for iphone 5s 
0.9925504	0.7461624	great product 
0.00558728	0.59748614	don t buy this for 5s 
0.20718953	0.7234758000000001	don t buy if you need the lightning cable
0.23253584	0.41331333	good charger chord doesn t work
0.016184121	0.57813466	ipad overheats
0.9712844999999999	0.83539367	best car charger for iphone 5 love having 2x 10 watt chargers lightning cable included 
0.8095359999999999	0.72417927	great charger but 
0.90864646	0.6226188	works great an the price is right
0.99229234	0.7469604999999999	great 2 port car charger
0.99161136	0.72744936	nice 
0.051068187	0.81708825	not effective as expected
0.9870204	0.70175433	something for the new apple stuff
0.11629367	0.7493111	ruined iphone ipad radar detector high voltage problem
0.00439173	0.54311347	avoid 
0.9852709999999999	0.6647779	perfect
0.0062292219999999995	0.5397542	not good
0.99694335	0.7563470999999999	great value
0.9746294	0.73592865	works great
0.12625402	0.6028756	doesnt work in my car charger port
0.00836727	0.59075385	charger for iphone doesn t work
0.007622659	0.72714806	not good quality 
0.0033340156	0.5179640999999999	doesn t work with iphone 5s
0.015303194499999999	0.32909644	doesn t work on my phone
0.1521295	0.5869525	def works
0.007579088	0.61920816	bad lightening cable fresh out of the box 
0.99600375	0.8001017	reliable charger that will last
0.021803886	0.4837055	don t buy belkin
0.99821657	0.86095095	great investment
0.047270864	0.68779325	won t buy again 
0.75410783	0.7059963	nice charger
0.018876016000000002	0.62280035	doesn t work with iphone 5 ios 7
0.21413416	0.4167653	incompatible with latest apple products 
0.013763994	0.4821548	didn t work 
0.00875628	0.52247214	dont work
0.015182972	0.47896317	not workiing
0.9217504000000001	0.6292705	great product 
0.95400286	0.7214558000000001	works as advertised
0.012039303999999999	0.5360838000000001	very bad product
0.24808621	0.56544024	great add on
0.97943205	0.7423805	okay 
0.9819614	0.79750437	works great
0.014001458999999999	0.64743257	belkin has disappointed
0.99610406	0.7462034000000001	powerful charger and great lightning iphone 5 cable
0.9326423	0.7691569	satisfied
0.98279655	0.7248043000000001	great for 2 iphones old and new in care
0.010491341000000001	0.5377357	would be nice if it works as advertised 
0.01692909	0.7190683000000001	don t buy it if you are expecting it to work with iphone
0.21619129	0.73537815	despite the price this doesn t appear to be a certified cable 
0.0068662167	0.5733236999999999	not worth it
0.9908915	0.85943836	great double charger with plenty of power
0.9592875	0.7992355	good
0.10802418	0.56199414	usb problem
0.9871453000000001	0.8491827	best charger on the market
0.98182833	0.7557919	great device
0.11046949	0.45391414	shorted by one cable
0.8144509	0.7901584	charges my iphone 5s perfectly
0.9930419	0.80641055	just as advertised
0.21993831	0.52371013	don t buy this 
0.4216457	0.5719301	not apple certified
0.1529943	0.46454212	not for iphone 5s
0.795255	0.5453289000000001	fantastic car charger 
0.9921328000000001	0.7047315	very handy
0.037341833	0.6143495	high hopes but really disappointed
0.0015142261999999999	0.67015105	dont waste your time
0.9106834	0.67752564	works with ios7 update 
0.045090973	0.43111384	looks good so so at charging 
0.99752045	0.7761568	works great
0.02112636	0.51382023	epic fail
0.005393445500000001	0.7956214	do not buy this
0.10622236	0.6246031	does not fit all cars
0.08957654	0.5182074000000001	only half of the charger works
0.35007405	0.68153113	are you serious one week and the cord broke in a way i have never seen before 
0.9948316999999999	0.73714846	very quick charger nice long cord oem quality 
0.99979025	0.793329	would definitely buy again
0.21793875	0.44011563	nice stuff superb quality little expensive
0.0022096634	0.47536993	don t waste your money 
0.013150573	0.40603238	poor quality control 
0.019026428	0.69187695	probably counterfeit lightning cable does not work
