sentiment_scores	genuineness_scores	summary
0.018966705	0.6001109	not for lg vx8300 only good for one call
0.92793477	0.78666127	a good blue tooth headset but doesn t fit me that well
0.0763796	0.73932564	my unit is not as good as others have reported
0.39803332	0.72640836	plantronics voyager pro bluetooth 1st x user
0.9963869000000001	0.9579319	excellent bt headset one of the best i own
0.9723497	0.8790738000000001	bullet proof and confidence inspiring
0.29926193	0.64249754	will not charge its going back
0.9545058000000001	0.89227605	solid product
0.9991003	0.88979113	best handset out there
0.31768608	0.7379905999999999	voyager doa
0.04327908	0.46954173	too big
0.9748191999999999	0.8689561	simply the best 
0.5675564000000001	0.5535798000000001	too big 
0.9732511	0.8485023000000002	excellent product
0.97407115	0.8492528	unbeatable noise cancelling 
0.99004674	0.84205985	finally 
0.99529964	0.8941474	state of the art phone
0.9982549999999999	0.88145006	excellent product
0.9636653000000001	0.86513263	nice device the pros outweigh the cons 
0.38805518	0.79461324	worked fine while it was in one piece 
0.43407068	0.87948215	it s ok but not up to the hype
0.997973	0.8559154	the best ever bluetooth headset 
0.39485872	0.7646135000000001	great headset
0.794623	0.8807149999999999	after 400 and 5 other headsets i chose this one
0.0013271272	0.4424264	rubbish
0.9911612	0.8099721	wonderful bluetooth
0.0018081069	0.40706915	wind smart flop
0.68219614	0.7526560999999999	it works
0.18095368	0.5783680999999999	good to use
0.8499094000000001	0.77664435	east coast mom
0.99022174	0.7837878	bluetooth headset
0.96057785	0.78275627	i love this bluetooth
0.70973074	0.7929949000000001	not well made 
0.9752741	0.94685984	great sound quality 
0.1683259	0.60689396	beware skype pc users
0.25430137	0.67324287	only phone calls no other audio on iphone
0.99339736	0.8762030000000001	excellent bluetooth 
0.9459902	0.791065	not as good as the reviews 
0.96265185	0.59196997	great
0.018747002	0.7310846999999999	excellent sound but way too fragile literally fell apart 
0.82404137	0.8642964	had this one for three years it s just ok
0.99728096	0.5173919	plantronic voyager bluetooth
0.75956523	0.76927936	can t imagine a better bt headset
0.23196298	0.77960676	brittle plastic makes this worthless
0.8584726999999999	0.77862763	it is great even better than the original voyager
0.9838325000000001	0.8295796	the best bluetooth ever
0.48328152	0.7616393	not a good as reviewed 
0.98853695	0.8040025	love it
0.06427786	0.734009	if i could give this zero stars i would 
0.071991086	0.68936765	dont bother with this headset
0.030654967	0.8118247	a longtime plantronics happy customer disappointed with the earpiece and controls
0.27917695	0.58716	okay
0.067956746	0.5700719	good sound does not work well when windy 
0.021369337999999998	0.74611557	buyer beware mine died
0.95740795	0.8159054	great sound quality
0.30375755	0.7086384	was good at first degraded badly over time
0.9668931000000001	0.8379087	great headset
0.6350307	0.7484689	listen to the reviews
0.9888097	0.80315036	excellent bluetooth
0.41863469999999997	0.7096085	great headset
0.9059991	0.8875773000000001	great for soft top jeep
0.99169827	0.8358475000000001	i love it
0.16324225	0.5820630999999999	it works well enough but some claims are ridiculous and not true
0.9002017	0.7087611	awesome headset until it stopped working
0.037780732000000004	0.49712429999999996	it s ok
0.9304545	0.94619226	one of two best when performance matters
0.9920357	0.78299296	plantronics bluetooth
0.8686301	0.8955924999999999	they got it right this time
0.12634757	0.72465324	excellant sound quality poor manufacturing quality 
0.0046821237	0.25254905	plantronics bluetooth
0.7857466999999999	0.76284075	volume is an issue 
0.014237702	0.8024769	 red flags pun intended right out of the box 
0.96349406	0.8974835999999999	best headset ever great sound and so comfortable 
0.9879638000000001	0.86874217	simple sturdy quality
0.07965177	0.6126244000000001	sadly disappointed
0.9787633	0.85323954	best yet
0.14805672	0.53261214	junk yes i said junk pure junk disguised as a premium headset imo
0.7418102	0.70061815	works perfectly w iphone
0.9847733	0.86633813	wow 
0.8644031999999999	0.90845156	one of the better bt headsets out there
0.3901676	0.63806695	was great until the first charge ran out
0.13919047	0.90079343	better and worse than the voyager 510
0.8226321	0.7503009	road warrior reviews
0.012799828999999999	0.52680343	amazon purchase of plantronics pro bluetooth headset
0.94701886	0.88782644	king of bluetooth headsets
0.015898883	0.7123403	not like my voyager 510
0.5160388	0.7856981	plantronics gets it right 
0.99095035	0.8041278000000001	bluetooth that works
0.96738744	0.7077226	worth the money
0.14429209	0.41265792	headset
0.97238004	0.90374255	best bluetooth headset i ve ever had 
0.7713802	0.7392894	i guess the fifth one is the charm
0.9071053	0.91878295	plantronics voyager pro bluetooth headset
0.28538406	0.8344456	best bluetooth headset i have found with one caveat 
0.99615383	0.78615344	excellent successor to the voyager 510
0.94433546	0.92709523	the best in sound an performance 
0.9336331	0.8362196	the best headset i have ever used hands down
0.042236835	0.79512346	stay away from this product
0.960644	0.9099704	maybe the best bluetooth ear iece i ve ever owned
0.18155596	0.87412506	good quality on other end but fit and volume didn t work for me
0.9518542999999999	0.89310217	it works 
0.042272747	0.7730674	breaks above the swivel
0.9390627	0.8619966999999998	plantronics voyager pro bluetooth headset for htc touchpro 2
0.46433896	0.8753629	first look at the voyager pro
0.6278031999999999	0.6430619000000001	too big
0.988931	0.8470360999999998	excellent headset
0.9909955	0.86678827	exactly what you expect from plantronics
0.99360955	0.7996939999999999	takes a beating and keeps on ticking 
0.8101158	0.86215866	could have been plantronics best
0.8408747	0.76606274	one of the best 
0.9293636999999999	0.84060335	plantronics voyager pro bluetooth headset
0.020162523	0.6538042	spotty
0.06042865	0.7725004	does not work with lg phones
0.41950312	0.69277793	voyager pro
0.90647674	0.93154895	doesn t get any better or bigger 
0.04622525	0.57332855	plantronics voyager pro bluetooth headset
0.05798486	0.71045864	comfortable and disappointing
0.9891181	0.85396385	no beard pulling excellent reception
0.9838886999999998	0.88612664	the best bluetooth headset ever but that s not saying much 
0.026925236	0.6800183000000001	pro pro and pro hd problematic 
0.0116532445	0.52109736	returned the first one should have returned the second one
0.20126563	0.7390295	traps wind noise no way 
0.8109675000000001	0.8861556999999999	outstanding headset
0.9893966000000001	0.9777348	amazing i m so happy i tried it 
0.44813415	0.6456376	beats the blueant v1 in sound quality now if we could do something about those looks 
0.9885444999999999	0.81856453	great product
0.08812258	0.5600185000000001	big and bulky 
0.992301	0.7710755	great product
0.40578428	0.6422873	the product
0.8125454000000001	0.79902136	finally a bluetooth headset that really works 
0.04535675	0.7517897	audio is great but consctruction is weak
0.090129614	0.63347787	i didn t like it 
0.014752208999999999	0.47412089999999996	not a good fit
0.10322279	0.42687914	just calls with iphone 
0.6894246	0.82303065	big ears glasses firm fit reliable bt connection links to iphone but w o password 
0.7699236	0.5022728	the best
0.9957440000000001	0.9222419	another excellent bluetooth headset from a trusted leader in headset peripherals
0.0810858	0.43980536	best earpice evert 
0.9021162	0.7748888	after 3 years it broke
0.043970168	0.47373077	bypass the pro and stick with the 510
0.6261717	0.80440086	the only headset that works watch out for overstocks closeout
0.9921565	0.8686334000000001	by far the best i ve tried
0.04567066	0.5698748	did not work well or for long
0.9854437	0.8435144	voyager pro review positive
0.92669386	0.8979261999999999	fantastic product 
0.97797966	0.8972029	mom and dad approved 
0.8957813	0.7699161999999999	solid bluetooth ear piece
0.9943049999999999	0.8713936999999999	plantronics voyager pro a all the way
0.9310019	0.74339366	reminder no one looks cool with a bluetooth on no one
0.8805069	0.713535	survived the washing machine 
0.9846183000000001	0.8148466	great headset with minor drawbacks
0.003334254	0.5903078	bluetooth
0.95211166	0.76184493	comfy clear 
0.95650375	0.6968603	plantronics as usual
0.9973164000000001	0.8177135999999999	great headset
0.71359783	0.8880676	great range and voice clarity
0.97569704	0.9411188	hands down the best hands free headset i ve ever used 
0.44506484	0.56611216	ok
0.569322	0.5387053	nothing that special
0.07848674	0.79232705	annoying headset
0.014831275	0.42806980000000006	returned the plantronics voyager pro for the jawbone icon
0.41875982	0.7633405	very comfortable but 
0.97361124	0.8108449000000001	comfortable and sounds great
0.8063019	0.85303885	so far so good
0.93508744	0.69297147	amazingly fast shipping 
0.9946905	0.79057336	the best bt headset period 
0.45113945	0.8161055	finally a great bluetooth with excellent sound and stays in place
0.0025352538	0.6165371999999999	good until it dies
0.9527453000000001	0.8176501	plantronics voyager pro
0.9408641999999999	0.8040563000000001	smart toy for smart devices
0.28095388	0.7370666	dont believe the video
0.9693516	0.883279	nice lightweight bluetooth headset
0.9996103999999999	0.9633593	plantronics voyager pro truly flawless 
0.079702854	0.79293954	great sound poor construction 
0.9566593000000001	0.9002913	you can trust the quality of the headset and the service of the plantronics 
0.9917301	0.81007344	one that actually works
0.9485916999999999	0.68510675	excellent plus
0.089413255	0.51165944	plantronics voyager pro bluetooth headset
0.768966	0.8632245000000001	good reliable bluetooth headset
0.99910945	0.87057513	best yet 
0.6568082	0.92410207	excellent headset thanks to superior dual mics but 
0.9477005999999999	0.61192596	truck driver
0.51483816	0.8035008000000001	really impressed even with small ears and glasses plus it cancelled out downpour in the car
0.9859289000000001	0.85716057	best one yet
0.9895208000000001	0.8964901	crystal clear and comfortable
0.0101005435	0.26696414	faulty device
0.99489355	0.8649374	tolerates being washed and dried
0.990841	0.9489181999999999	far and away the best bluetooth earpiece i ve owned
0.0020138025	0.6584722	eglobal wireless rips you off
0.9708502	0.93468046	bt headsets still evolving but this is the best so far 
0.9977048000000001	0.6758746	plantronics voyager pro
0.98120344	0.8210025	awesome product
0.89676154	0.82603544	incredible sound large size
0.15393677	0.74400866	dont buy this unit
0.9948802999999999	0.9081521999999999	best bluetooth headset ever
0.05456972	0.675146	dont be fooled by other reviewers waste of money 
0.03223607	0.76451266	great looks poor performance
0.85571015	0.703088	plantronics voyager pro bluetooth headset
0.97562015	0.8896072	finally a bluetooth headset that suits my lifestyle
0.24742046	0.7431336	long lasting
0.14234449999999998	0.84369797	great sound quirky user interface incompatible with some glasses and hats
0.5668723000000001	0.33611779999999997	manos libres plantronics voyager pro bluetooth headset
0.074590355	0.5895604999999999	the model 510 was much better for me
0.035254925	0.8312465	don t buy from best buy
0.67475057	0.7436906999999999	not bad thought it d be better
0.98041093	0.8236711999999999	great product have been using it for a year 
0.12288171	0.8306984000000001	a very average item maybe less than that
0.02700907	0.6666623	sound is good but that is were it ends
0.9568412000000001	0.6558271	incompatible with apple ipad
0.19461057	0.6558537	unusable in mute mode 
0.98412836	0.8059616	wonderful 
0.98549414	0.85355175	plantronics score again 
0.51674175	0.7311611	be cautious of this below average headset
0.98297733	0.9144379000000001	voyager pro headset review
0.89672506	0.7853246	works great but not you wear glasses
0.8976203000000001	0.8139701	excellent choice
0.73531675	0.7757759	voyager pro jawbone prime
0.2489272	0.6987859000000001	broke
0.99099016	0.7325264	voyager pro
0.9922027	0.83338475	very happy
0.8675441999999999	0.88751423	one of the best headsets on the market
0.13975948	0.58455414	i miss my nokia bh900 
0.36081675	0.5737057	good sound
0.92244756	0.76882184	great product but bulky
0.9155488000000002	0.7471426	excellent headset
0.9369315999999999	0.79115903	very comfortable design
0.97394466	0.87446976	works great with iphone 3g
0.99739236	0.8491492	what a relief
0.9976845	0.86854935	fabulous bluetooth headset
0.01719442	0.6451608	not enough volume and drops connection
