summary	sentiment	genuineness
Sweet.	0.9975274	0.80243754
Love it, but...	0.56400275	0.90644175
broke again	0.024796056	0.8364675
Definitely worth the money!	0.974209	0.933966
Fast and Easy Little Vacuum	0.5424087	0.915747
Reclaim your house from the dog hair!	0.7835446	0.8243833
don't use on sawdust	0.21745287	0.82621217
Fantastic product for a small apartment	0.9882002	0.89705914
Easy and convenient!	0.99829346	0.8535771
Does NOT Include Any Crack, Crevice and Corner Tool!! ONLY works as an upright.	0.6586964	0.8553311
My Vacuum Solution	0.996485	0.88086796
Shoddy materials	0.005408852	0.78920734
Nice light vacuum, with some limitations	0.4483746	0.829174
Died less than a month later..	0.63400126	0.8348755
Poor Quality	0.11522541	0.7358491
Worked great for a few weeks only!	0.0061733993	0.67284644
WOW	0.92088324	0.8454801
Amazing!	0.99884087	0.93420136
I. Love. This. Vacuum.	0.96106625	0.92269015
Wow this little vacuum has some power	0.9982181	0.9264141
I love this vacum	0.9805125	0.89359367
Handle Broke After Five Months!!!	0.021140989	0.90536505
Great for quick cleaning	0.9783085	0.87112385
"Best ""stick"" vacuum ever!"	0.98089117	0.91196936
Great but....	0.043155998	0.77863383
Hoover Linx cordless stick vacuum	0.9937256	0.81178975
Love This	0.98649234	0.815434
Brilliant for a daily swish through the room, especially for pet hair.	0.99874973	0.92000073
Love it!	0.9766545	0.8672537
Great Vacuum for Quick Clean Up	0.6477131	0.8494374
boo hoo	0.047917724	0.6492042
The roller brush has died (vacuum will not operate on this setting) making it completely useless. I loved this unit right up unt	0.00022093895	0.941408
Life Saver	0.9583185	0.92333794
just the best	0.9848011	0.90753114
Works well at first... BUT watch out!	0.20170906	0.9340436
Best emptying design	0.9574504	0.88768613
Best stick vacuum ever	0.98122567	0.82782733
The bomb!	0.9970805	0.8356701
Great Cordless Vacuum	0.98168564	0.7192303
Absolutely love this vacuum!	0.98720086	0.8827079
Two Broken Vacuums... short battery life.	0.013411707	0.8658742
Highly recommend! Great for pet hair!!	0.99531424	0.88578874
Easy to use and powerful.	0.9994825	0.8513567
Cordless with time to spare...	0.99808747	0.9065177
Only lasted a year.	0.02163701	0.8634142
Great Vacuum	0.9104538	0.86471635
Great vac, needs some accessories though	0.9816056	0.9492685
excellent purchase	0.9861238	0.9021928
Good for quick cleanup esp. hardwood, charges quickly; shouldn't be your only vacuum, has a few shortcomings	0.47370005	0.7755722
Finally have a dog hair vacuum!	0.9922874	0.94259447
I LOVE IT	0.9981316	0.7997988
Love it!	0.9939394	0.8743906
Caveat emptor	0.0065626604	0.8640376
Review after 2 years of regular use	0.015568585	0.9086284
Light and handy	0.9501725	0.96563584
Still Well worth the extra it cost!!  LOVE IT!!!  15 mo. later!	0.9963471	0.9698916
Good Concept, Gets Clogged, Low Battery Life	0.49982762	0.8603853
Obviously The Best	0.89017963	0.6749413
LOVE!	0.9960919	0.87649643
My niece is begging her parents to buy one	0.99934536	0.92021143
Not as great as I expected	0.08977056	0.7898015
Greatest little helper!	0.99713767	0.9329541
THE RIGHT VAC FOR THE RIGHT JOB!	0.8521348	0.8855635
Great for the first year, then it breaks	0.00013882159	0.93301755
3 weeks old and broken	0.114826	0.59451985
The BEST!!	0.998502	0.94388425
charger not convenient	0.83120316	0.8996171
New Vacuum	0.99561644	0.92084044
Great Little Vac!	0.9347309	0.8464645
Everything it claimed to be	0.7583786	0.86723304
On my third vacuum in under 3 months!	0.0033887217	0.80351436
Amazing vaccum	0.9806191	0.8618372
WOW!  Just plain WOW!	0.98920447	0.8606105
Hoover Warranty A Sham	0.0011623938	0.87302285
PICKS UP TONS OF PET HAIR!!!	0.992525	0.87871253
Excellent design	0.99675494	0.87803787
Great little vaccuum	0.8556735	0.8704482
the best portable vac ever	0.99459004	0.8670367
Excellent Floor Cleaner	0.9879304	0.5094795
almost perfect	0.67240965	0.8656676
This Vac Makes Me WANT to CLEAN!	0.99969864	0.9452712
Exactly what I need	0.6213122	0.87932545
15 minutes if you are lucky	0.161944	0.76105577
Hoover cordless Linx vacuum	0.9193634	0.84380144
Happy owner for over 2 years!	0.9637201	0.9776699
Great vacumn	0.99438065	0.8937338
Works great	0.9028283	0.8518313
Doesn't really clean - poor build quality	0.008069114	0.82140046
I've had this vacuum for over three years now.	0.93826205	0.9394262
Best present I ever got!	0.9988576	0.8071629
hoover linx	0.01650077	0.73956543
Great Vacuum	0.9744573	0.9018376
This thing is wonderful!	0.9910986	0.90710574
POOR BRAIN POWER ON THE SHIPPING END.	0.99890924	0.031990774
Fantastic for getting up cat and dog hair	0.9290958	0.8596072
not up to standard!!	0.2911113	0.83745784
Best vacuum cleaner out!	0.9989166	0.9197813
Great for hardwood floors	0.9786442	0.92597973
Doesn't last	0.10173001	0.72279716
Doesn't Suck!	0.0821439	0.6992849
A great vacuum	0.9984688	0.92795587
THIS IS THE BEST STICK VAC ON THE MARKET	0.9103814	0.84668845
Service agent hates it!	0.037228435	0.8236181
Design flaw	0.33727577	0.92183447
Hoover Cordless Vacuum	0.99845946	0.79547554
Does a decent job	0.37755278	0.820017
Just does not work	0.044424538	0.73367155
Best vacuum you'll ever own	0.936806	0.8688792
Best Cordless Stick Vacuum	0.9852747	0.9328354
Love my Hoover :)	0.99782276	0.9008859
Still going strong after a year (with a few hiccups)	0.4338032	0.85906065
Weakness is handle	0.31686565	0.8515956
Hoover met expectations	0.38612267	0.7459162
Love this vacuum!	0.9921749	0.8580663
Very Dissatisfied!!!!!!	0.29595348	0.4085531
Great tool but fragile handle	0.7897516	0.8420109
Easy to use for touch ups	0.9939469	0.8634964
Excellent product, time-saver, convenient, effective	0.9997272	0.9594724
not worth the $$$	0.11240561	0.7668393
Great Item	0.3826329	0.7387194
Works great, that is until the motor in the vacuum head goes bad again.	0.0127101485	0.8803921
Where has this been all my life?	0.8352091	0.7993105
Works Great	0.75097245	0.7883519
Great vacuum but poor battery life	0.1807208	0.7190746
Perfect	0.9934402	0.8863161
Light, easy handling vac	0.98204523	0.7832477
Great for daily cleanups.	0.9947595	0.9206025
Ecellent for quick pickups, holds charge for long time	0.9688872	0.923001
Love it!	0.99524117	0.8983599
a year later, still my favorite cleaning tool	0.99817467	0.8490444
Not for pet owners	0.5258493	0.7620924
Surprised by the Good Reviews	0.21259518	0.80454713
stopped suctioning after 2 months	0.20397395	0.7180735
Kicking myself for not finding this sooner	0.98454154	0.93755245
Great performance but very pricey!	0.7142106	0.8042325
Possibly the Best Stick Vac Available	0.99488527	0.9087164
Cheaply made plastic	0.0125101125	0.8455355
Best battery operate vac ever.	0.977458	0.8656656
Wonderful product	0.9189383	0.81068087
Sparkling Clean White Marble Tile Floor!	0.99608433	0.81944615
Buyer Beware	0.006761939	0.77980894
Best in cordless stick class!	0.99699485	0.96242625
Pretty impressive	0.94437	0.90567714
Finally, a cordless vac that works	0.17279169	0.9436667
LOVE IT	0.9357244	0.8849864
Love at second sight	0.32039016	0.747476
Great vacuum, but has needed some repair	0.6744367	0.9376159
works great, fell apart after a year	0.14111462	0.9192827
AMAZING!!	0.9916487	0.8886248
Best Vacuum Ever!	0.99802786	0.908149
Battery Problem	0.027085695	0.79639596
So far, fantastic.	0.9964678	0.8958079
dud gift	0.009278207	0.8357057
Great little vacuum!!	0.9984023	0.9158284
A great little vacuum	0.99465644	0.9416535
Disappointing	0.065358855	0.70991606
battery died in a few months	0.5282966	0.8414081
Quality	0.997572	0.7937185
Very handy vacuum	0.99556774	0.9141157
A good product	0.75338584	0.7930787
Good vacuum, bed charger	0.28292575	0.50320995
Performance suffers after 6 months	0.011912496	0.88421327
Just short of excellent	0.99163646	0.95216036
At last!	0.99840873	0.90343606
Not what I hoped for.	0.036708143	0.7345373
Use it every day	0.954048	0.94771504
FABULOUS vacuum!!	0.98201454	0.9217845
Suck It Up	0.9688464	0.8669947
Great idea but a piece of junk!	0.0003089902	0.8422009
Amazing household tool..About time!	0.9903347	0.8880687
Five Stars	0.9918755	0.734088
I really like it	0.961428	0.9304098
This thing is great!!!!!	0.9922814	0.71908194
Fabulous cordless vac	0.91979957	0.7973203
Hoover Linx Cordless Stick Vacuum Cleaner	0.1477882	0.6010358
Loved it at first - hate it now	0.0023396905	0.81097037
Fantastic for hardwoods and area rugs!	0.98706925	0.9345565
Hoover Linx Cordless Stick Vacuum	0.9868521	0.92854077
Love this vacuum	0.991297	0.934925
Vacuum Snob	0.9427015	0.9208921
Super easy  and effective clean up	0.99792176	0.91613054
This is the perfect vacuum that could have been	0.42461032	0.6887057
Great for Daily Kitchen Floor Clean up	0.99385697	0.9477486
Fantastic Stick!	0.997009	0.73368937
Best Gift I've Ever GIven Myself	0.98948485	0.89763576
AAA+++ Customer Servie	0.37057683	0.79035074
Update!  CLEAN THE FOAM FILTER!!	0.92912257	0.9096
It's OK	0.383236	0.8396263
Best hard floor vacuum ever!	0.8869803	0.8968417
Great little Vacuum for the money	0.971619	0.8723916
Great little vacuum!!!	0.9976088	0.8411227
Amazing	0.9889816	0.91827726
Finally the jackpot... Or so I thought... Downgrading again	0.41694838	0.96345943
very short battery life	0.122634515	0.8162416
Wood floors and carpet...meet your match!	0.9471953	0.86989754
Great Performer Except Battery Life	0.34011927	0.8934061
Hoover Linx Cordless Stick Vac	0.9962836	0.9108519
GREAT BUY!	0.8705961	0.6654739
So much better than ElectroL**!	0.95159954	0.8727482
GREAT WHILLE IT LAST&#8230;.	0.98511434	0.21069525
I think I'm gonna like this!	0.8635476	0.8973468
Great for pet hair and kitty litter	0.9841495	0.9223722
Awesome little vacuum	0.9971802	0.93777937
The Linx is the answer!	0.98136866	0.9073989
Love it!	0.9878647	0.8496141
This works just or almost as good as my $500 dollar Miele.	0.73939395	0.79286546
Like(d) this vacuum	0.63370854	0.88317096
Best ever cordless vacuum!!!	0.99886334	0.8806769
Pretty useless	0.012745146	0.81871176
Works much better than I expected.	0.9459313	0.9208814
No power loss!	0.98958194	0.7833566
Hoover Linx Cordless Vacuum	0.96532184	0.87699896
Most positive reviews probably from new owners	0.07270655	0.825255
great suction & manuverability, poor canister emptying, good battery	0.3186932	0.7889988
Great at what it is meant to do!!	0.99466264	0.903893
Hoover LINX Cordless Stick Vacuum	0.9798093	0.9077083
Beware of this vacuum!	0.00693712	0.697795
Lightweight and Easy to manage	0.99689853	0.8692125
My wife loves to vacuum now!	0.9090574	0.8824606
Could have been a great stick vac	0.12979008	0.8015952
Great vacuum	0.9974337	0.91172403
Great for an apartment	0.99660754	0.88866657
Best vacuum i've ever owned.	0.9883521	0.9361947
Head & shoulders above the competition...	0.8999997	0.9354429
longitudinal swivel = good design	0.9958656	0.8423547
Nice design but not powerful enough	0.16539194	0.7807291
you need this!	0.99644804	0.87480724
Disappiontment	0.014720803	0.7324848
Performs well across variety of floors, great for pet owners	0.9972097	0.92177665
Our little power machine	0.9767262	0.8675986
Best cordless vacuum ever! Love it!	0.960981	0.91374254
The vacuum queen says: Almost perfect!	0.99890184	0.9777543
This vacuum is the best!!	0.99743795	0.9189104
You can't beat it for performance and convenience	0.7110803	0.86966693
Great Vacuum	0.9954846	0.77028084
Best cordless Vac	0.8985251	0.7705807
Fantastic cordless vacuum	0.9964677	0.9018989
DOES NOT PICK UP CAT HAIR - NO SUCTION - NOT HAPPY AT ALL	0.006776118	0.7131212
Fantastic - I use it more than my Dyson!	0.970553	0.90689695
Great for my Man Cave	0.96621776	0.8373991
We loved it and then it tipped over	0.026937596	0.83714163
