sentiment_scores	genuineness_scores	summary
0.010574548999999999	0.6116301	nice concept poor implementation 
0.93465704	0.71119916	works great 
0.13588494	0.7379161999999999	inconsistent charge defective 
0.7600335	0.6380485	no negatives
0.9865725000000001	0.7007988	fast charge
0.9907421999999999	0.8220745	a great powerhouse 
0.97741413	0.79685724	wow super charger
0.74355155	0.54387605	only good for ios devices 
0.9763453000000001	0.71196514	20w dual usb charger
0.5941808000000001	0.57280546	works well
0.9667475	0.73185337	love love love this charger
0.8571434000000001	0.7515006999999999	this has a fairly bright blue light
0.9963908000000001	0.8115076	powerful wall charger
0.6378756999999999	0.7210361	the one i got will not charge a ipad air on either usb port
0.06237584400000001	0.7042449000000001	good to begin with then burned out
0.014822334	0.7102329000000001	pos it came apart 
0.07323816400000001	0.607804	good basic charger high amp use insufficient
0.98208547	0.8062359	nice adapter 
0.19273093	0.55974466	died the first time i plugged it in
0.019266427	0.63735783	does not deliver the actual current 
0.88892686	0.5893291	solid built charger
0.0032749474	0.43333015	both ports did not work
0.99784404	0.8597075000000001	very nice fast charger for ipads
0.9544524	0.6775595	does exactly what is says it does 
0.68763125	0.82026684	charges everything 
0.984728	0.81714356	very very fast
0.9394153000000001	0.7495213000000001	fast easy charging
0.022585302999999998	0.67939246	worked great for a couple weeks then quit
0.99535227	0.83749217	works great for ipad and ipad mini
0.9077983000000001	0.68463427	bulky but good
0.7823425	0.7197111999999999	works but better options out there
0.532922	0.5265763000000001	the charger apple should have made
0.5741093	0.6388593000000001	a bit large
0.9950912000000001	0.7370238	great product 
0.96828693	0.77448595	big block of a charger that does work
0.99230516	0.7942185	works great charges quickly 
0.85368246	0.7470502	great high capacity charger
0.7061769	0.7327170000000001	good amperage compact design for traveling
0.028134674	0.510944	lasted about a week
0.68286264	0.7602248	fast charging short battery life
0.05496633	0.63408124	wish it worked
0.9485094999999999	0.70598507	great portable charger
0.20898899999999998	0.6050651999999999	only charges selective devices
0.98086184	0.78009367	does exactly what it says
0.021110057999999998	0.57090366	not for nook color
0.73053354	0.76166844	works well
0.98811746	0.86994076	wall charger for power users
0.0060780643999999995	0.5868291999999999	not compatible with apple products 
0.010514378999999999	0.68842804	mine broke 
0.044733077	0.6374623	lousy quality look elsewhere
0.9468119	0.40313065	works great with iphone 
0.6202152	0.7113489000000001	just ok ordered 2 and 1 arrived doa
0.98529154	0.7311133000000001	works with samsung galaxy note 3
0.35107106	0.6992315	nice
0.024163425	0.72488195	does not charge as advertised
0.57976294	0.56553864	best charger i have found for kindle fire hd
0.7677385	0.7263212	will not charge samsung tablets 
0.97896	0.7453444	good charger for phones and tablets
0.99816	0.8284976000000001	a must 
0.007118255	0.6689253000000001	broke upon arrival when plugging in
0.92874753	0.7596531999999999	makes recharging for two devices easy 
0.9673523	0.6954648	why pay extra for the name 
0.9964611999999999	0.6193373000000001	excellent for travel
0.15628135	0.5633688	terrible charger
0.16229284	0.7624918	cannot supply 4 2a to certain devices
0.89558566	0.63293177	great charger
0.98621845	0.6347218000000001	great charger 
0.03738752	0.4863943	slow charger
0.017206043	0.55991405	would not recommend
0.001129955	0.6518148	failed after a month 
0.07406819	0.44899574	just okay
0.9752291	0.7837538000000001	great idevice travel charger
0.6936368	0.6986793	fast charge for phone slow for tablet
0.96924746	0.8666645000000001	great for home and office not quite so good for travel
0.47024056	0.72641695	quite possibly the last charge you will ever need
0.092051834	0.7204721	don t waste your time with another usb charger 
0.9143007	0.68034494	i ve had it forever 
0.9881032	0.71706414	nice kit
0.2608598	0.63316596	doesn t meet the stated output power
0.99444014	0.78273284	dual charger
0.99545693	0.80915153	quick fast charger 
0.99328315	0.5958033	convenient
0.9469774999999999	0.69022274	ixcc for 2 chargers
0.9821578000000001	0.5642822	works perfectly
0.9902704	0.7995583	powerful works well
0.00823608	0.44315365	disappointed
0.15926623	0.50254726	melted
0.98832434	0.7498384	excellent
