summary	sentiment	genuineness
Zune - This is a great product	0.6428808	0.74328834
Great hardware, miserable software!	0.6939953	0.9006993
Great Product	0.9567292	0.40451723
well, i actually like it....	0.99283445	0.7695385
Worst mp3 player I have ever owned	0.005496735	0.51385236
Zune is doomed upon arrival. Don't get stuck with this mess!	0.19221881	0.6682036
Bought used---Big Mistake!	0.013387015	0.46123508
Zune	0.9848964	0.2917164
Nice player, but no one else has one for me to social with	0.5134494	0.42623922
Terrible Product	0.041935004	0.55568373
Hardware is great	0.7000583	0.73771775
Zune	0.9733064	0.55963355
Excellent player	0.9509631	0.8154917
Solid Entry	0.27690497	0.8186696
The Zune is the MP3 Player of Choice	0.9505759	0.86391884
"Great Performance, But Lack of Support and other Problems Plague this ""iPod Killer"""	0.9373142	0.8583751
More or less	0.32580385	0.11526593
ZUNE or IPOD???	0.46629333	0.85374624
brown zune 30gb	0.7957018	0.51375854
Horrible device, huge waste of money	0.001208495	0.43150547
1 hour with my ZUNE caused 3 days on the phone with Tech Support!!!	0.02289828	0.55658674
Just as crappy as Microsoft Word and Windows	0.008595512	0.44915572
Zune is a fair product	0.2099813	0.5250474
simply wonderful !	0.99564064	0.60831344
Doesn't live up to the hype	0.04823813	0.4099806
Not worth the trouble	0.108553186	0.7178851
A good starting point	0.6506978	0.70610976
Great MP3 player	0.99092484	0.83312905
I love it!!!!!!!	0.9971105	0.80912983
Good hardware, poor software	0.016544601	0.542699
Better than the Ipod	0.9261252	0.69169486
Don't do this to a loved one	0.019900734	0.44134635
looking for a zune? read this first!!	0.54449624	0.81671625
Awesome media player!!!	0.9717723	0.6028108
How can they...	0.28489906	0.3735889
Subscription sealed the deal.	0.9648767	0.93273085
Examine merits, not focus on brands	0.6274386	0.9294564
LOVE MY ZUNE	0.5120859	0.22702396
Purchase this product if you don't mind carrying around a masssive hunk of plastic...	0.9133149	0.76213217
You just can't compare it to the ipod anymore	0.82826704	0.72314775
Good buy	0.5863114	0.75160974
I love my Zune!!	0.9835687	0.825119
As good as ipod, but different	0.87934047	0.77339053
Zune 30GB Digital Media Player	0.36681777	0.5494683
Great Non Apple Mp3 player	0.606925	0.7001686
Still waiting on purchased item	0.1234937	0.27473748
Zune	0.6410584	0.6223249
Yes, it's better than iPod	0.934728	0.8546626
Good Player! But has room for improvement.	0.095933065	0.5491188
Ummm, less than I had expected	0.12753496	0.4117326
Amazon price too high	0.43717644	0.62026364
Excellent!!!!!!!!!!!!!	0.9764072	0.60560113
Beautiful Product	0.98390514	0.88663596
3 years and 3 Zune's later, I'm still loving the whole family.	0.99876094	0.85777026
Better value, Better durability	0.71922064	0.7305844
Good gadget	0.92658967	0.81903046
Daughter very happy	0.9709554	0.76637393
Loving It!!	0.99048597	0.7717292
delievered as promised	0.9975732	0.82199943
Caveat Emptor!	0.027859619	0.36678213
Beautiful Player	0.79144883	0.89179915
Microsoft Zune: What's Not To Like?	0.9487579	0.8615412
ZUNE 30 GB Beware the screen cracks easily	0.22831734	0.6068116
Major Disappointment	0.018891703	0.60100174
Software is terrible	0.026443146	0.44298947
Good Value for the bucks	0.99498296	0.8220214
this is a great media player	0.86821	0.67089367
Good device; definitely recommend to consider	0.96642506	0.78729737
Zune Player Pro's and Con's	0.7413864	0.87781084
Its really this SIMPLE...	0.2417929	0.42262575
In Love with my Zune	0.99104816	0.9040206
Great Device, Terrible Software	0.26478553	0.51966363
ZUNE	0.9401105	0.8098479
Good, to a point	0.6645139	0.8115337
Forget the iPod, Get the Zune	0.9817317	0.8687425
It was a Gift!	0.6513031	0.3564804
Zune MP3 Player	0.4632647	0.46455947
Disappointed	0.48173812	0.43087426
It feels so good!	0.9396582	0.84973925
turrn_n_burn509	0.6326455	0.7017014
Microsoft Zune- the MP3 player for tech savvy people!	0.68920743	0.8238219
Good Device, Terrible Software	0.8225093	0.61444247
ZUNE 30 GB DIGITAL MEDIA PLAYER (WHITE)	0.99918073	0.8469716
Another great product from MicroSoft	0.94724214	0.52522343
What about the Zune?	0.10422248	0.8277709
This is a quite cool device - totally recommend it, you'll have fun!!!	0.9970462	0.9188812
We have a new winner!!	0.9969502	0.8466438
It's a good thing	0.9951933	0.8180281
There is room for improvement...	0.98647434	0.96528137
I could not be happier	0.8420384	0.748334
Gave it shot, and am pleased after a week trial...	0.95688206	0.9118847
Zune tastic	0.99266875	0.8123684
At 89 dollars a great value	0.110491335	0.296504
Better than what you might think	0.9955325	0.8302112
Good but not GREAT!	0.8887614	0.9012329
zune player	0.9405853	0.6296017
Zune	0.9695672	0.6305105
zune 30 gb	0.9212728	0.17046572
Excellent sound and picture quality	0.8374329	0.5905125
Nice for the Money	0.5961745	0.7379572
So much better than and Ipod!	0.9469232	0.42941388
Zune needs to learn from Apple	0.07852813	0.5050736
Zune Christmas Present	0.97474015	0.58284116
zune 30	0.89513355	0.5476347
Zune Review	0.9646458	0.9064669
Zune is awful--get an iPod	0.014895739	0.45690358
Love my new zune!	0.9645116	0.8983027
Zune	0.93255484	0.59386253
Welcome To The Social.... Misfit	0.60928494	0.5140164
Love it!	0.9686319	0.8692532
The OG Zune	0.9908558	0.90646034
Round 2	0.9735729	0.78130764
I love the Zune	0.9955781	0.8231892
Satisfied	0.9671455	0.63378084
Zune is King!	0.9954703	0.6934551
Zune a great buy!	0.9259045	0.6387625
Is Zune for You?	0.80100596	0.8660074
Quick Review: Great MP3!	0.8857288	0.8372861
Meh.	0.041624524	0.5627762
Zune 30 GB	0.89896894	0.50945926
Loving It!!!!!!	0.98393655	0.42749894
Zune	0.9964882	0.74723244
zune purchase...	0.16382729	0.39243063
Definitely Beats The IPOD!	0.99783677	0.8344759
Not for people without experience with Media Player	0.7352109	0.8121854
was thinking about buying this. here's why not	0.13224913	0.34703466
No Better than iPod!	0.18733646	0.4536953
Zune = Toshiba. Software = Microsoft	0.3289814	0.38295522
Great!	0.9900141	0.64407986
Typical Microsoft	0.2395435	0.6842237
Late to the game	0.422307	0.5406815
Brown Zune	0.9489939	0.5855728
Sucks	0.026556972	0.31725818
User friendly...THE BEST	0.8593884	0.8163212
Zunepod	0.001601925	0.49148044
For those who want a great alternative to the iPod	0.9344223	0.778997
Great	0.85005647	0.699665
Works well and is a good value	0.87641335	0.8441846
Everything good but the Sync	0.6711039	0.6769744
What problems?? This works great!!	0.44882473	0.6775594
Disappointed	0.01979168	0.55982935
Average.	0.42151242	0.69548833
No iPod killer (why would you want to kill it anyway) but works great!	0.9635663	0.9202475
WOW!! Apple iWHAT?	0.8697123	0.7620025
"I told my Ipod ""Say hello to ebay!"""	0.22354032	0.6084752
So far, so good	0.97379553	0.88937527
Zune or Ipod?	0.99694496	0.9204349
Zune Media Player	0.6998575	0.4586841
Nice Player!	0.93165463	0.86755466
I love my brown Zune	0.9779701	0.85743797
The ipod has nothing on this!!!	0.77296036	0.55174327
No player is perfect	0.7108522	0.87179875
