summary	sentiment	genuineness
Three Stars	0.87509304	0.65447295
Five Stars	0.53404516	0.70268434
lay this body down on such soft comfortable comforter. Goose me forever	0.6844373	0.6575195
Good	0.9953881	0.8080921
Great comforter	0.99778265	0.8464403
not what it implies	0.042769924	0.7143249
Very soft comforter...	0.78009933	0.79107153
Pretty Warm	0.908006	0.82962793
thin	0.22211663	0.42141667
Very Nice	0.9977664	0.8556433
Well...I had high hopes!	0.510635	0.8044264
Great item, great price.	0.56087554	0.741223
love it	0.99673307	0.7469461
Chezmoi Collection white Goose down Alternative Comforter	0.9847766	0.8295173
Chezmoi goose down comforter	0.87994057	0.7432753
Comforter tore after first laundry and not what you expect.	0.0010559859	0.8017909
3 of 5	0.49597925	0.8190818
Pretty comfortable and feels soft	0.9882627	0.64942133
bought 2	0.9859812	0.8294663
generic	0.070486315	0.3382556
It's OK	0.8870737	0.7443145
Amazing!	0.9936352	0.8146974
awful quality	0.008434282	0.7152062
Stupid piece.	0.52083105	0.6358828
First non-down comforter in years	0.9941454	0.83497465
Just right	0.90615183	0.8544519
Love it!!!	0.8694132	0.8447386
Great!	0.68378335	0.74457514
AWESOME!	0.9895466	0.93979645
Very warm!	0.96198684	0.86746097
Super soft and comfy!	0.9705659	0.8194921
Very comfortable!!	0.99918336	0.94177306
Waste	0.12495524	0.7090568
Very warm.	0.9820608	0.845341
Love it!	0.9927769	0.8785463
Great comforter	0.90454876	0.7671989
Amazingly warm and even more amazing price!	0.9974069	0.7610154
Love it!	0.9505812	0.70642346
Great	0.9544329	0.73541874
Not bad for the price! Be careful, it is not Goose Down!	0.94897515	0.86744493
Great Comforter	0.6880511	0.8153476
Comfortably warm	0.89201564	0.82692575
pleasantly surprised.. the price is just great..	0.97916335	0.8606314
Great buy	0.80450416	0.85576195
This is the best comforter that I have ever found.	0.99506617	0.8093479
I am SO pleased with the quality.	0.9514182	0.8914203
great buy!	0.98201674	0.83098817
Great comforter!	0.9838133	0.8200496
Very warm	0.9291362	0.8063743
Down Alternative	0.96734333	0.8175854
Value Duvet pleases those on budget	0.9940983	0.8937883
love them, ordering another set!	0.99236465	0.7781591
They look great makes my bed look a million buck	0.7877049	0.841673
LOVE!!!	0.9778169	0.7959388
it's okay	0.15026678	0.77809715
Nice for the price	0.96341074	0.9093179
Was a great buy!	0.9936761	0.80064183
Fluffy but not too hot	0.8790067	0.84159917
comforter	0.99763334	0.80827713
does the job	0.94007057	0.80377406
You get what you pay for	0.025057914	0.7407781
Quality!	0.9098394	0.939652
bedding	0.18814425	0.48567232
So Happy	0.99019986	0.81743085
Comfy comforter	0.821979	0.7697421
Fantastic! It's light!	0.98665595	0.8483239
Very warm comforter!	0.99073035	0.8682481
bugs or mites	0.62998736	0.73982483
flat like a sheet	0.0850677	0.5573396
Yes!!!	0.9906599	0.84263295
I like it!	0.9831855	0.86390144
disappointed	0.040455375	0.767668
Chezmoi Collection White Goose Down Alternative Comforter, King	0.9658103	0.81718546
Enjoying the blanket so far	0.38559952	0.7246523
so comfy	0.9984742	0.90474766
warm	0.9988778	0.71441716
Comfy but not plush or thick like I had hoped	0.39846244	0.74889225
Love this comforter!	0.80856	0.89358604
LOVELY	0.9935421	0.92559445
Fantastic	0.99001896	0.6605414
nice	0.9759135	0.45792913
Don't like it	0.30773193	0.19303101
great comforter	0.9165964	0.7384076
White Goose Down Comforter	0.8154605	0.33299342
So Cozy	0.9802831	0.8160643
I live in the Mountains	0.4851383	0.68942153
A cheap comforter that smells bad	0.9767145	0.86680305
Nice, fluffy, lightweight and still warm	0.9823391	0.7982253
Perfect comforter, looks great	0.98902416	0.67792475
quality is everything people say, plus...	0.7035708	0.8710362
Good for the Price, not Super Puffy	0.8801967	0.84361684
will buy another once this one falls apart	0.98737	0.84011406
My own high hopes ... generally on the mark	0.90969867	0.90107894
Nice Product	0.46754125	0.64491045
Warm, Inexpensive (cheap) Comforter - Needs better product description	0.016763862	0.8720021
Warmer than I expected	0.8669669	0.85484767
Bought this as a gift	0.9736013	0.87623703
Eh	0.17845142	0.728841
LOVE IT	0.98905677	0.72709334
Its wonderful!	0.9903502	0.80350316
Great product	0.9981749	0.8138247
MUST BUY!!!READ WHAT I SAID PLEASE	0.98677605	0.85360616
Pretty good!	0.9435441	0.8515995
Comfy	0.97133213	0.8120635
horrible!! false advertised!!!!	0.0082761245	0.77023065
Great	0.9881345	0.6708167
Wasn't warm enough for me	0.5104535	0.73791003
Perfect. It met all my expectations and more.	0.9948553	0.8348583
Great value	0.9846756	0.80561656
Very thin	0.27621645	0.71793085
Thin and cheap	0.018862754	0.69437885
It's the best!	0.9975616	0.8189424
Great buy!	0.9882663	0.7023668
Love this comforter	0.99307793	0.8993312
"Said ""damaged"" right on it!!! And it was."	0.39055017	0.518617
Disappointed customer	0.015975365	0.67743903
not that great	0.0060993973	0.7646739
so soft!	0.8417928	0.85190856
Love it	0.99467444	0.7616468
Great purchase	0.9534827	0.86828756
Unexpectedly Good Quality	0.9947567	0.88986313
Very Soft and Warm	0.89439493	0.842037
down alternative comforter	0.9990038	0.83846813
Better than expected!	0.93734807	0.86584413
Not what I ordered	0.0012886573	0.54662824
So soft and warm!	0.8173219	0.8121944
Great blanket for the price	0.969828	0.83833987
Totally satisfied!	0.99791735	0.8460247
Excellent comforter for the price!	0.99452496	0.8742586
perfect	0.9795496	0.38663802
Awesome - Great Buy	0.9391376	0.8516774
Looks great; feels great; content clumped after two washings.	0.42394146	0.7835786
Happy Customer	0.97664726	0.81920034
Great Price! Great Comforter!	0.98814374	0.78443044
Light and Comfortable	0.9961349	0.7808167
Not sure why this got so many good reviews	0.021268936	0.48083815
Not as thick as you may think	0.27932683	0.78636247
Like very much	0.060929097	0.6656491
It is nothing like the picture.	0.054111082	0.76458013
love it	0.8057216	0.8388258
Great comforter!	0.99100435	0.84578496
POOR QUALITY!	0.0076185926	0.74155116
Excellent buy!	0.8999284	0.8567501
Chezmoi Collection White Goose Down Alternative Comforter, King	0.45844007	0.72935516
It's just not soft enough	0.03767449	0.78223145
Love!	0.9867163	0.8825975
Great Comforter	0.9976374	0.9365049
great	0.70363146	0.87415344
Yep	0.9928678	0.73877037
Great for the price	0.90034866	0.8974625
Comforter	0.9964875	0.84605056
Multiple purchased but not all the same..	0.06474639	0.8203817
Very warm and deserve to own	0.9846198	0.8309718
Very flat	0.009900769	0.69913924
At this price, do yourself a favor and get it	0.9926785	0.80786276
Great comforter for $50!	0.84698415	0.77479416
REALLY WARM	0.98968947	0.86388093
