sentiment_scores	genuineness_scores	summary
0.6948681999999999	0.6825496999999999	it works
0.99534243	0.88793355	huge signal strength increase wow this thing works great 
0.067032486	0.36355442	didn t work
0.8736379000000001	0.7302941	rediscover your iphone in a dead zone 
0.6104377	0.81509066	a for functionality solid b for usability
0.9520596	0.74845994	incredible cell phone reception
0.7320395000000001	0.88313305	even works inside a building with a better antenna
0.96104115	0.74822885	great
0.034616202	0.5194045	be careful not for an ipad 
0.026080221	0.52048296	more harm than good 
0.8504459999999999	0.6694386999999999	no dropped calls
0.9944812	0.85872465	fantastic
0.69111055	0.31452394	good product
0.97798496	0.8723443999999999	extremely happy with the sleek been using mine 24 7 for a year and a half
0.017835766	0.65464056	performance customer service
0.65227735	0.6692776	things you need to know 
0.1159555	0.46908903	wilson signal booster
0.80989486	0.7880869	i just fixed the network 
0.8280787000000001	0.63529575	it works very well and just as described 
0.97431684	0.8894736999999999	works as advertised
0.045717657	0.40435859999999996	improved signal where i had none 
0.31113905	0.42975056	sent mine back
0.9463004	0.9198849	20 db gain in 3g signal strength 
0.9994991	0.91692495	wilson electronics sleek cell phone signal cradle booster for all cell phones with mini magnet mount antenna for single user
0.2606365	0.5590961999999999	cute but not effective
0.9514036	0.8300290000000001	product actually works 
0.016850948	0.53149897	it will boost signal in location that already has signal not anywhere else
0.5502709	0.57176745	small signal improvement but not huge
0.97070414	0.88673425	harshest environment to test
0.026799917000000003	0.6416403	read if you have a smart phone 
0.22809288	0.72649586	it is an improvement
0.9851850000000001	0.645841	great device
0.89669275	0.7943039000000001	works great
0.09741738400000001	0.4455635	just descent 
0.8799857	0.8996271999999998	preliminary result very good product
0.47464929999999994	0.7589556	works
0.8547950000000001	0.89855665	hardware 5 stars ergonomics 3 stars
0.8378126	0.6838858	true to advertising so far
0.9955323	0.85513175	works great 
0.20990628	0.4418241	didn t work for me 
0.4902473	0.8584775	no more dropped call 
0.8587278	0.8914994	all that i wanted and more
0.97324586	0.860326	works great 
0.9930216000000001	0.7860379	sleek
0.89017063	0.9038086999999999	easy test pass torture test coming soon 
0.32301593	0.73393947	did not work for htc one v
0.010425895	0.43472868	a waste of money
0.9870773000000002	0.85143745	from 2 to 5 bars in the blink of an eye 
0.5752779	0.7781826999999999	works well
0.011176496999999999	0.41855597	it doesn t boost signal well with antenna supplied
0.9890491	0.91304183	works with cell phone mifi
0.9928459000000001	0.9133614999999999	wow it just plain works easy set up
0.9912144	0.82015216	great product it works
0.9742130999999999	0.76855344	work s wonder s 
0.53224146	0.7992183	signal boster
0.99741954	0.89414024	wilson signal booster
0.9770255999999999	0.815621	great little booster 
0.018980086	0.39623547	does not work
0.82400835	0.7366706000000001	huh i dont ever write reviews but 
0.9805109000000001	0.9068016999999999	awesome 
0.91659355	0.8401723	works as advertised
0.9851234	0.8946974	wilson sleek
0.9126724	0.800967	next2dixie
0.88151693	0.6068331	works good
0.8874241	0.82792294	great device beware of antennas
0.96639395	0.8882629000000001	works as advertised
0.9801072	0.9486319	this really works boost your cell phone signal even for at t service on the iphone 4
0.5771835999999999	0.82253003	sleek works but will need a bluetooth headset
0.9354415999999999	0.9004283000000002	it works and i am happy 
0.57048786	0.65295774	it really does work
0.99084824	0.78407407	definitely works
0.9938073000000001	0.85944706	definitey a 
0.954285	0.82222277	100 satisfied
0.09689760000000001	0.72979987	this is not a booster for verizon 4g
0.97283363	0.83804214	most happy
0.34379476	0.86247736	excellent signal booster update
0.9910855	0.96069944	using in home w magnet mount antenna on metal roof works great
0.9968127	0.7704122	awesome product
