sentiment_scores	genuineness_scores	summary
0.99935365	0.850024	perfect cover
0.8498744	0.67436713	complete solution
0.9981823000000001	0.8543470999999999	great product
0.99732524	0.8513464	good functional product
0.58234763	0.5598411	actually high quality 
0.5820192	0.75534487	very happy with my inexpensive screen protector
0.35339224	0.63411796	great protection for your iphone 
0.00038722157	0.53120977	these are terrible
0.6015768	0.76439804	saved my screen big time 
0.9780691999999999	0.69617176	good service 
0.8671428	0.82809097	junk
0.5450854	0.58763194	not very clingy
0.02692774	0.45236433	great if you need five covers for the back of your iphone
0.99812937	0.79875326	best protective screen 5 stars
0.7794278	0.6428159000000001	great screen protector
0.58830416	0.656564	good product
0.04368767	0.24017876	it s not for 4s 
0.9920869000000001	0.7665266	works great easy installation
0.0031900406	0.6133748	horrible
0.0035102963	0.41083074	buck
0.9836601999999999	0.8249271	aduro clear protector
0.9987476999999999	0.86012113	good screen protectors
0.9863	0.80795455	best screen protector i ve found
0.98354685	0.7772434	great item at a great price 
0.9952257999999999	0.7829706999999999	works perfectly 
0.9197540000000001	0.65205365	great product please dont use ups they are very problematic
0.9949231	0.6513547	great buy
0.7829193	0.53466254	great product 
0.03294331	0.27457702	disappointment
0.09431648	0.51051396	great for anti scratches not great for falling off bicycles 
0.098356634	0.58010495	peeling off in 2 days
0.5952847	0.56534886	adequate screen cover
0.33782703	0.47767147	just like every other screen protector
0.81544054	0.71291655	scratches really easy
0.07031363	0.37781927	very clear
0.9935571	0.8885915000000001	great value and great quality
0.22960070000000002	0.4536691	ok so far
0.96760297	0.88020205	fantastic ultra clear smooth and durable
0.9705976000000001	0.7910812	it s okay for the price
0.07013184	0.5243158	i m sure it s good but it s not for 4s
0.9904583	0.75328875	impressed
0.037200123	0.398316	poor quality
0.6802474000000001	0.75379395	satisfactory
0.10011563	0.5857469	not the bests
0.95518225	0.86114013	the best screen protector ever
0.6741333	0.704121	okay screen protectors
0.97377264	0.8288615	great screen protector
0.06378198	0.27833396	instructions confusing
0.9828912000000001	0.8059435	totally worth it
0.36392979999999997	0.4303066	works as advertised
0.96706283	0.83011985	really like these 
0.98699605	0.8777306999999999	perfect and best iphone screen protector yet
0.39115185	0.6679311	just some films nothing remarkable
0.9930334999999999	0.81870854	good and worth
0.10760099	0.5257367	bad protector for iphone 4s
0.9953419	0.74524283	best screen protector to date 
0.99295735	0.8069913000000001	iphone 4 aduro membrane
0.99610806	0.7759191999999999	best screen protector for the price
0.9573673	0.6855654999999999	nice clip
0.053784788	0.48143122	difficult installation
0.98074543	0.8135179	super easy and fits well
0.96312785	0.6816857	great product
0.97994775	0.7141334	great product 
0.6431068	0.8051796999999999	good not great
0.8618218000000001	0.7791045999999999	great product
0.9880419	0.7330114999999999	great 
0.91059315	0.50665975	best screen protectors 
0.0065366924	0.58808345	bait and switch
0.92890424	0.7623800999999999	bang for your buck 
0.9597313000000001	0.8830530999999999	better than average
0.9968318000000002	0.8281639000000001	perfect screen protector
0.9902	0.9051731	fits perfectly
0.9920776	0.79766273	totally invisible 
0.9479254	0.7460405999999999	good quality
0.98600364	0.76526064	best ever 
0.3577134	0.5492245	mixed feelings
0.5100312	0.5230874	not clear matte
0.9982215	0.8057785	da best
0.94299805	0.76160705	goes on completely invisible but fingerprints are a problem 
0.75484616	0.7069999	will not work with otterbox case
0.9470885	0.7657058000000001	nice protector but smudges a bit
0.5266407	0.19406179	cant review yet
0.992134	0.8149853	screen saver
0.9740331	0.78874063	good buy
0.98949075	0.759771	tired of paying 5 00 for screen protectors i go through alot
0.10667604	0.45630848	not fit well 
0.09948	0.49374136	great product 
0.9777648000000001	0.703286	great product
0.75012314	0.79568434	as advertised but 
0.81194365	0.6898280999999999	exactly what i wanted
0.18545443	0.43896228	protects your screen but leaves fingerprints on screen
0.9512081	0.74008435	good screen protector
0.42480959999999995	0.62087196	great quality but don t fit with case
0.9256215	0.8345505	the best iphone screen protector i put used bought even though i only bought 2 before this one 
0.99781275	0.8084448000000001	good protector good price
0.77918905	0.7498465999999999	good quality
0.46173770000000003	0.5980058000000001	hey
0.0036274195	0.50648105	not for iphone
0.96907467	0.8324159	best of the screen protectors i ve tried
0.97607076	0.9104974	this product is boss
0.62080663	0.6972718000000001	good
0.005986690500000001	0.30074757	product totally not all that 
0.9255968000000001	0.83270776	great screen protector
0.12100077	0.27026492	terrible
0.8835787	0.7467942	great screen protector just make sure you get it right the first time 
0.9312735999999999	0.775456	great value quality price 
0.19292548	0.43574092	bubbles
0.8404756999999999	0.9006948	best screen protector hands down
0.8976274999999999	0.61130846	my phone got scratched 
0.9059961999999999	0.761834	what 
0.99795425	0.8077738	great product 
0.19346395	0.39888215	cheap
0.21767887	0.5103425	be aware the phone can t be use with a screen protector
0.0019524395000000002	0.39607728	lasted a day half
0.99378824	0.79664946	just as good as the expensive ones 
0.29135153	0.61407995	distracting
0.98155737	0.8069632	quality phone shield
0.8672837999999999	0.7333893	aduro is better on the eyes 
0.9502879999999999	0.77125835	love love love buying again 
0.87034017	0.752602	nice product
0.9612248	0.7781901	the best screen protector i ve bought
0.05380127	0.48087183	disappointment
0.9991288	0.8815907	perfect
0.99544716	0.7782121999999999	hand down the best 
0.9908707	0.73071235	the best one i have ever used 
0.98555756	0.7698851999999999	money well worthed
0.37384343	0.42371570000000003	perfect
0.90756595	0.54944474	nice
0.3308645	0.5848526	great for the price
0.0016447902	0.67577714	impossible to apply cheap product
0.42815068	0.43356565	where s the hole 
0.367958	0.5583804	failed screen protector
0.02476409	0.38359190000000004	anti glare ok
0.6687131	0.66959167	clear clear clear 
0.86657774	0.69967777	just what i needed missing a front though 
0.52594906	0.4787055	was skeptical but it works well 
0.6412661000000001	0.62025297	back film does not 100 fit 
0.054066837	0.6354165	okay
0.88052213	0.7255194	no bubbles perfect fit
0.8510175999999999	0.66308534	very hard to apply and set
