sentiment_scores	genuineness_scores	summary
0.019962817	0.38692537	do not buy any blackberry product
0.5970052	0.40499657	answer
0.0917846	0.53104174	this is a verizon phone unlocked
0.7928196	0.4299396	question 3g bands
0.99503654	0.8590324	blackberry tour 
0.8346462	0.42130065	producto recibido
0.99500966	0.6203561	excellent
0.65712684	0.30392823	calcification 
0.43824142	0.4658991	alfredo gonzalez
0.19566667	0.58148557	misleading 
0.9853351999999999	0.755599	great for travel outside the us
0.9454802	0.55361897	bb
0.031152934	0.76931095	not truly unlocked
0.46999007	0.6909395	great phone great price 
0.0071367025	0.5900358	blackberry tour review
0.026843399	0.3612938	blackberry tour
0.10721198	0.71283007	operation of the equipment
0.6133736999999999	0.4118273	no muy bueno
0.04350692	0.21657032	i dont like it i am sorry for i can not to buy more cell phones to you 
0.65196055	0.6129926	ya llego
0.31377757	0.5963267	equipo da ntilde ado
0.61342156	0.18429792	hi i m not the seller i m an actual expert dont read them
0.98972315	0.9226093000000001	blackberry tour 9630
0.95119286	0.81209946	great phone 
0.640651	0.54494023	its alright
0.35164320000000004	0.44664840000000006	world wide distributors customer service is horrible 
0.19586235	0.25792247	phone
0.08315492	0.5959953	the worst seller in whole my life
0.38973024	0.6513384	bad store
0.023712635	0.64809334	beware
0.6580095	0.21307802	question
0.27332854	0.18990937	question
0.99756664	0.8543438	blackberry curve 9360 os7
0.09320599	0.73961073	wrong claim
0.4062009	0.17446774	estafadores venden cosas usadas y ponen que es nuevo
0.77770644	0.7140388000000001	great phone
0.01606372	0.50909734	great camera but useless cannot activate bis no service pack cannot set up email on gsm no ussd
0.9185809000000001	0.67443097	gabriel
0.012690097	0.7397069000000001	terrible seller not what you are buying 
0.42560509999999996	0.3293816	equipo da ntilde ado vendido como restaurado y da ntilde ano un gran error haberlo adquirido
0.06745225	0.60110235	fraud 
0.56644243	0.7713523	subpar
0.06283009	0.49475217	unactivated data service
0.012934834	0.45664787	not working and not new 
0.027549743999999998	0.39190266	it does not work
0.5268739	0.41762143	un tel eacute fono vino con la pila mala
0.005534768000000001	0.68491036	worst phone of 8 i ve had
0.0066961645999999994	0.62529373	phone is blocked
0.60564554	0.34089738	question
0.9816251	0.5329854	happy owner of a new blackberry tour 
0.22522077	0.701765	it only works to call and text no internet at all
0.82784617	0.7569363	doubt
0.9305502	0.44759518	gran vendedor
0.9894084000000001	0.81463057	great phone for price 
0.051645637	0.59393394	is nt unlocked 
0.42231846	0.53912747	modelo de phone
0.27525342	0.39187798	sold as new and actually used 
0.005594045	0.477759	do not purchase this 
0.011257172	0.5990455	refurbished phones
0.20795378	0.42644662	oferta enga ntilde osa
0.26926512	0.13278046	is it at t or t mobile
0.7451477	0.7935293000000001	great phone
0.803075	0.33972836	t mobile
0.06755012	0.5773341	hugely disappointing 100 return fee
0.9700489999999999	0.79806864	great blackberry
0.99308324	0.68345964	good deal 
0.716467	0.3322897	hi i need an info
0.35243732	0.5295297	no conforme
0.0070999563	0.48636648	please beware of this seller 
0.008596778000000001	0.7309479999999999	another junk phone from amazon
0.0035076440000000003	0.6056691999999999	amazon is a cellular scammer
0.17051023	0.39498445	not satisfied 
0.44035262	0.66479766	phone was not unlocked
0.5095382	0.32568818	no me resolvieron mi problema
0.009936839	0.6760526	seller sends fake products envia productos enga ntilde osos
0.12635553	0.21111241	i still am waiting
0.16573247	0.16723168	venezuela
0.7768090999999999	0.35408807	the best tool i ve bought in a long time
0.20224765	0.3087785	mi compra no la pude disfrutar
0.016580254	0.3956323	thanks for nothing
0.29103017	0.6383239	maximiliano
0.745517	0.7098813	been using it for years 
0.36941805	0.32820988	no he recibido el telefono
0.96401554	0.82678604	amazing
0.9809406999999999	0.90665776	blackberry tour 9630 unlocked gsm cell phone black 
0.015770942	0.5588276999999999	photo lie
0.02118057	0.6144356	it is not unlock
0.5534528000000001	0.6352538000000001	great phone great seller great price 
0.047789603	0.49585432	great item terrible shipment
0.8650853000000001	0.41757983	hi i need an info
0.9988870999999999	0.786131	good value for money
0.9591632	0.45190567	excelente vendedor 
0.4326201	0.13472727	no me ha llegado el producto aun
0.9832339	0.7734668	it did the job 
0.08096132	0.29132140000000006	estafadores
0.05838573	0.40911093	disappointed
0.104916215	0.36951905	unbelievable
0.00032144785	0.59756285	unlocked but it was actually locked
0.95326674	0.6795589	great product works with t mobile
0.0070497096	0.5703045999999999	stolen phone very disappointed
0.44717386	0.596813	blackberry tour 9630 unlocked gsm cell phone black 
0.6046957	0.38126257	blackberry 9360 bandas 3g 850 900 1800 1900
0.78751427	0.7937465	60 satisfied
0.023635954	0.5890943000000001	all must read 
0.48675379999999996	0.5026666	banda para 3g especificaciones del modelo bb 9360
0.940897	0.74283624	good starter phone 
0.040701926	0.6236454	not unlocked
0.85154593	0.5838783000000001	good
0.2998823	0.5757324	bad phones
0.9281198	0.25279266	susan
0.021581292000000002	0.58658475	less than 1 star horrible
0.64232093	0.6585795999999999	my phone
0.05195549	0.6646678	disappointed
0.35252142	0.34100223	venezolano
0.32808664	0.38834873	desepcionada
0.20904177	0.5452621	wrong phone
0.9744902	0.6463323000000001	great product
0.43027326	0.6370423000000001	quickly damage the battery is
0.109782904	0.40236285	muy mal producto
0.26314032	0.6983037	this is a sprint phone
0.013889521	0.5534690999999999	frustrations
0.09686583	0.46072814	the truth i feel cheated 
0.015874146999999998	0.7433422	unreliable seller
