sentiment_scores	genuineness_scores	summary
0.9846538	0.83502066	great gadget for ps3 owners
0.9931928	0.8002451	best bluetooth mic
0.90024644	0.5337905	charger
0.95044315	0.7837595	slight discomfort but the quality makes up for it
0.85867286	0.756718	it s not a game why does amazon think this is a game 
0.7802048	0.81800294	the best there is for a ps3 
0.02323091	0.48328313	painful to wear poor sound quality
0.050067514	0.37351727	dont purchase playstation 3 bluetooth headset
0.20680946	0.6844636	sound is ok design not so much 
0.11247018	0.48669055	bluetooth head set
0.9776064	0.8096225	works great
0.16193843	0.5890062	ps3 bluetooth
0.99812675	0.8030510999999999	bluetooth for your ps3
0.46616167	0.9120308000000001	you can find better
0.0015926063	0.37610078	dont buyy iittt 
0.8358627000000001	0.6299866	promp service
0.8346733000000001	0.7978592	great headset perfect for hearing and talking 
0.9104129000000001	0.7157437	it s ok
0.973132	0.8044571999999999	great headset 
0.6611781999999999	0.8312476999999999	a bit expensive but worth it
0.08516008	0.52772063	terrible headset
0.9869207	0.69973993	yay
0.8193655999999999	0.7789222	ps3 headset
0.91518116	0.7706604	great headset 
0.9429888000000001	0.43623720000000005	i haven t use it want to know why 
0.99857885	0.9095103999999999	awesome bt headset 
0.66172326	0.77787626	it s bulky and uncomfortable but sound quality is great
0.0007734895	0.4050968	ps3 headsets
0.109460235	0.71867985	good quality but painful to wear
0.99315566	0.89193135	good headset
0.090295166	0.56205195	charging dock sucks
0.9947921999999999	0.8156502	nice headset
0.16818413	0.49460740000000003	good
0.40906167	0.3123571	ps3 bluetooth headset
0.030161797999999997	0.71657467	piece of junk
0.6729444	0.7911005	great noise cancelling
0.14033002	0.60993624	hurts my ear
0.90744674	0.85687506	official reliable
0.05202779	0.5183299	dead in two weeks without using it
0.0007230043400000001	0.40037093	total waste of money it does not work
0.20062774	0.29046009999999994	headset
0.12424034	0.7722492	i returned it
0.022540629	0.5659404	slick design zero comfort
0.0038932264	0.5040102	my bluetooth didn t do what i wanted it to do 
0.9991131999999999	0.8899826	perfect 10
0.8538617000000001	0.82596016	an all around good bluetooth gamer or not 
0.000439018	0.47793198	bluetooth disapointment
0.37972516	0.63822895	seems fairly good except one thing 
0.014962912	0.57243556	crap
0.31652826	0.78536886	ps3 bluetooth headset
0.92320305	0.89596623	close to perfection 
0.9684504999999999	0.6939839	the best ps3 headset
0.91462743	0.93279374	it took sony to make a quality headset
0.35783535	0.5834489	i dont really know
0.5966134	0.8251755	get it 
0.6854563	0.88926405	great but not perfect unique ps3 functionality
0.9916290000000001	0.90703833	overall the best headset on the market for the ps3 
0.8058479000000001	0.8847370000000001	great functioning headset
0.97675896	0.8304214	quality bluetooth
0.10055706	0.61655384	nice product would have givin it a 5 but it just won t stay on my ear as i use it 
0.6058229	0.6114808	sony bluetooth ps3
0.97461975	0.68403757	awesome 
0.9510145000000001	0.6879853	without headset better don t play games online
0.8896824000000001	0.7215062	not bad but pricey
0.6522730999999999	0.6042963000000001	1 thumb up
0.06458101	0.60478306	ps3 bluetooth fragile
0.88292706	0.7599813	bluetoof 
0.97730666	0.8760846999999999	extreme precision
0.98902553	0.76475734	awesome headset
0.99934995	0.89004403	the best headset
0.7302699	0.767935	good headset
0.9970440999999999	0.75330263	good headset
0.76854277	0.2837973	yay its awesome
0.9598204	0.51503015	bluetooth headset
0.9809065999999999	0.7954551999999999	great
0.81026375	0.5754718000000001	a bit expensive but 
0.9966514000000001	0.81666005	excellent ps3 and apple iphone 3g bluetooth headset
0.023061335	0.44916934	part stopped working after two weeks
