sentiment_scores	genuineness_scores	summary
0.009819597	0.5827818	does not fit the verizon 3g iphone
0.016263396	0.48639446	why would you spen money here and get crap when you get help at a real store 
0.6068372	0.7709602	nice fit and finish but won t last long 
0.9895661	0.37067997	pesimo
0.9888502	0.7827001	fits great
0.25606874	0.6897207	nice enough case until it got tested and failed
0.982299	0.8485115	sleek elegant and protects 
0.7433174	0.47431993	keeps the iphone save from scratches
0.030693501	0.64041036	peels 
0.30041495	0.6032462	not much difference 
0.047835975999999995	0.5855206000000001	wont fit
0.06938934	0.70018584	coating peeled away
0.02707082	0.5881566999999999	absolutely terrible 
0.7758501	0.69492954	great but
0.11320251	0.4235677	really bad
0.05171472	0.5194522	great but still has the flash problem so quite useless overall
0.99346113	0.74293447	best iphone case i own 
0.96483886	0.77714944	great case
0.99921566	0.8204104	love it
0.95109934	0.72966015	cool case
0.99257207	0.9300081	fits like a glove great protection and keeps on working 1 5 years later
0.9869476	0.8465133	case crown metalic iphone 4s case
0.95845354	0.67501664	great
0.99671423	0.7920611999999999	elegant
0.9213485999999999	0.86327267	cheap and effective
0.9625411	0.79891205	nice
0.99732935	0.8055104999999999	perfect fit great design 
0.5494710999999999	0.8343257	just okay
0.9937568000000001	0.7814466	good for the price
0.97913307	0.7697899	really nice
0.9920764000000001	0.7322328	very durble
0.97694075	0.8331361999999999	just got it
0.5856979999999999	0.5883835	best case i ve ever had 
0.99153745	0.8316693000000002	exactly the case i was looking for 
0.9693723	0.76327634	excellent
0.99869	0.8649957	iphone 4s case
0.9880382	0.75289506	does the job
0.99083775	0.8438308000000001	works well 
0.9970578000000001	0.7217344	great case and compliments the iphones slim design
0.9966427	0.84063494	great case 
0.97144866	0.80836725	great value
0.9972469999999999	0.8611214	iphone case
0.96468675	0.7663089	fits iphone like a glove
0.9985895	0.8876325	why wait get it
0.90635484	0.8189249	no worries
0.9705563	0.814042	good for what it does
0.9876123	0.7417958	great case
0.82573724	0.82016265	great case 
0.7966049	0.80266213	good case 
0.99933004	0.8226771999999999	great value 
0.876922	0.7419296999999999	exactly what i was looking for
0.98064053	0.6667512	has been an iphone saver
0.9600128000000001	0.8656784	great case
0.26279622	0.51158226	tip about the case
0.9860401	0.85117847	the best phone case i ve found
0.75519747	0.80199385	worth every penny
0.9891039	0.7915526999999999	wonderful 
0.9951241	0.86497164	great iphone case
0.9764315999999998	0.7329095999999999	nice looking easy isntallation
0.98701054	0.82454306	very clumsy and it still lasted a year
0.9881473	0.81527793	this is the case you want 
0.9527568000000001	0.78545606	a great case
0.9342554	0.5340351	glove
0.9455621	0.83065206	a great case 
0.99781126	0.82201004	gift for husband 
0.99900526	0.8180516	makes my iphone looks fancy 
0.9849609	0.7877888000000001	best case i have had
0.96338105	0.8120173	simple and protective
0.9949309999999999	0.8557895000000001	very good case
0.90298676	0.77507174	nice case
0.8732847	0.83108735	casecrown lux glider case for apple iphone 4 4s
0.5736774	0.72135484	love this case 
0.8836364	0.7719214	very attractive cover
0.9890626	0.8352902	perfect fit for the 4s
0.4314112	0.7590508	expected better
0.96322024	0.774282	its very good 
0.9144025	0.6272975000000001	love it
0.88754165	0.18009299	received on time and as described
0.9863056999999998	0.778	great so far and pop resistant
0.95327365	0.7278994000000001	best case i ve owned
0.9885107	0.8271773000000001	great case
0.9724457000000001	0.8074744	just what i wanted
0.9379214	0.70911217	clean snug fit
0.9719859000000001	0.84001935	it s just the best case 
0.9969466999999999	0.8901689	near perfect
0.9819795	0.85065067	love this case
0.13061330000000002	0.6267475	you just can t go wrong with this one 
0.97049224	0.82415557	iphone 4s great case
0.8537499	0.73654	works well in pocket
0.48162788	0.6393374	black case crown case
0.9282773000000001	0.82714105	slim functional
0.9852622999999999	0.6422884	love it
0.8772745999999999	0.7137237	casecrown glider case
0.99714875	0.8247328000000002	the perfect iphone 4 case 
0.98810935	0.8598634	6 months later my phone is still safe
0.9439639999999999	0.82679313	still great after more than a year
0.9955189	0.86473453	best case i ve ever had
0.9899020000000001	0.8099946	solid case for the money
0.983317	0.7489075	slim fitting and feels good in the hand
0.84834504	0.83445436	for what it is it works
0.9880066999999999	0.88007396	freaking love this case 
0.859722	0.8986441999999999	great case for the iphone 4s one caveat
0.97297436	0.81170505	great phone case
0.9879924999999999	0.8677689000000001	great case
0.9846084	0.88725173	great little hard case
0.880798	0.8159274000000001	met and exceeded all expectations
0.9981259	0.88565993	perfect minimalist case
0.9878186	0.79782856	slim and sleek
0.99982774	0.8663423000000001	best case out there
0.9989709999999999	0.8815662000000001	awesome
0.81062007	0.7341342	nice sleek case
0.79948926	0.8366232	good case for the price
0.99771965	0.78931534	nice tight fit and not super slippery 
0.91064894	0.5498361999999999	awesome
0.9681841	0.6922203	sleek and awesome
0.9878439	0.80574334	perfect low profile case for i phone 4
0.98169017	0.82925475	great case 
0.98754305	0.67018104	great
0.9897927	0.85192627	great case
0.99717563	0.8510253000000001	great
0.9944426	0.92132753	nice slim case
0.9370098	0.7898286	good protection
0.8089834	0.7951479	good balance between bulk and protection
0.11900145	0.70841867	wrist strap loop coatinig peels off 
0.9307608	0.87939084	best case i ve owned 
0.98779595	0.83389354	great case
0.99771667	0.87407875	great case works with accessories
0.9844868	0.69492644	nice case
0.81194156	0.77782965	so far so good 
0.7058591999999999	0.7105551	fast and good product
0.9862931999999999	0.8342646999999999	great case 
0.9988104	0.8460152	casecrown lux glider case
0.9985255	0.799127	cool case 
0.99921215	0.86337996	great product
0.89109135	0.7361021	a good deal
0.8753677	0.68188107	very well built phone case
0.9981694	0.8152795	great case 
0.9086125	0.77883077	my favorite iphone case out of all that i have bought
0.027796447000000002	0.71189904	case peels
0.5764143	0.7169965	just the right thickness
0.95320547	0.83516	slim and strong 
0.9712328000000001	0.8795046999999999	great cover
0.9447377	0.89230716	very nice case
0.9892390999999999	0.8624889000000001	excellent case
0.9997636000000001	0.8461546999999998	awesome case 
0.98058426	0.8739896999999999	perfect cas
0.9906013000000001	0.81914735	best case i ve had so far
0.3500905	0.47030634	its a case that will protect your iphone
0.9935414	0.80401254	amazing case
0.99661106	0.8324242000000001	great case 
0.17718798	0.49991477	not very good
0.99816346	0.88507056	amazing case 
0.97150135	0.8219155999999999	great case 
0.67718196	0.80606854	i love this case
0.93534887	0.80723774	perfect
0.9963259	0.86927986	excellent case
0.9842603000000001	0.81716084	best case
0.99284005	0.8338139000000001	great fit and looks
0.9855328999999999	0.7807689	perfect for 4s
0.8672733	0.7737779	suits my needs
0.83795124	0.6902715	solid 
0.98282325	0.79974496	perfect 
0.99537945	0.77532923	nice product and worth the wait 
0.9791476	0.837476	the smarter cover
0.9983625	0.8098267	excellent cover
0.9418241	0.8238511999999999	great case 
0.9981996999999999	0.80953276	very sturdy love it
0.94388556	0.8025401999999999	perfect amount of protection
0.99684894	0.83913445	great basic case
0.99583673	0.7781623000000001	nice case for my 4s
0.80151576	0.70622396	great case
0.99072134	0.77635133	best case for iphone 4s ever
0.99985015	0.9127599000000001	best phone cover ever 
0.90977156	0.8461579	the perfect case for my iphone 4s
0.9986671	0.8902858	perfection 
0.99786067	0.8327663000000001	awesome case
0.99372	0.8529667999999999	great buy for a small price
0.81388134	0.76685864	best case so far 
0.99062103	0.8924958000000001	your search is over
0.9647113000000002	0.8521626	best case i ve had for any iphone
0.993332	0.85418355	superior
0.95817685	0.75942737	nice case
0.89976287	0.63261634	good quality iphone 4 case
0.99610656	0.85187334	great case for the money
0.70636976	0.68166363	thin and protective
0.98752993	0.8150086	just what i wanted
0.9833149	0.77438295	great case 
0.9335360999999999	0.83652616	great case
0.76922476	0.7735411999999999	does what it s supposed to
0.9600865	0.7689668000000001	highly recommend
0.91703874	0.7805232	excellent case
0.039541095	0.42689118	hard plasticy and offers no protection to screen
0.3839618	0.6114665	did not fit iphone 4s black 
0.5798669	0.6620803000000001	good case
0.9421325999999999	0.78625834	solid protection at very good price
0.8818389000000001	0.8038531	keeps my phone protected
0.9153429	0.70276916	good quality
0.980793	0.8798713	best bang for the buck
0.97107255	0.76963496	great case 
0.33056533	0.45395085	great case
0.024617434	0.37230998	hard fit for iphone 4s white
0.8316778	0.87323713	all around solid case
0.9399620000000001	0.78979635	good slim case
0.96760595	0.7757427	exactly what i need 
0.07236311	0.5254821999999999	not a good fit no help from case crown
0.010754108	0.35221678	did not fit 
0.01812452	0.60713905	didn t fit my at t black iphone 4s 64gb
0.52825093	0.35621965	buen producto
0.08180162	0.6234456	will not slide
0.0038262903999999997	0.68426013	will scratch your phone 
0.98003346	0.83707166	perfect minimal iphone 4s case
0.9944253000000001	0.8926228	a perfect case
0.99292195	0.82474387	art of perfect fit and non slippery in hands 
0.9661869000000001	0.83957267	great looking slim fit case for my iphone 4
0.99689865	0.8428761999999999	casecrown vs incase slider case worth to try casecrown
0.99954253	0.83241427	great look great feel great case 
0.99032885	0.84308755	great case thank you casecrown
0.77508175	0.82281876	ended up returning
0.010885358000000001	0.6019722	can t snap two pieces together
0.9965303	0.8985527	awesome case
0.89250314	0.8574375	awesome case 
0.9994644	0.92935216	high quality and affordable
0.047458947	0.50571	screen broke with this case
0.25934386	0.8160307	not so fantastic 
0.88462895	0.82023036	i don t get it
0.9752716999999999	0.8853867	perfect iphone 4s case
0.8021232	0.762653	great slim case
0.99879193	0.8995171000000001	slim effective case
0.9666945	0.75850356	omfg it s an iphone case 
0.021531223999999998	0.5550866	does not fit iphone 4s white
0.9961706	0.9062396	best iphone case there is 
0.9962553	0.7312464	simply good 
0.378349	0.71261144	cute but will not protect 
0.99079776	0.87590194	expectations exceeded
0.028505117000000003	0.79583335	great look awesome grip but the poly coating wears off
0.6790411	0.64576244	great case
0.9785957000000001	0.8473723	great iphone 4 case 
0.16618192	0.6378585	great feel poor protection
0.97158563	0.8539568000000001	great feel and wrap around edge protection 
0.8270476999999999	0.8252010000000001	amazing
0.85905814	0.8949139000000002	your search ends here perfect like a glove 
0.89301056	0.8208525	fit s like a glove
0.6767754	0.61375034	man fits real close
0.9840673000000001	0.721403	second purchase of the same item
0.9932339	0.7343848000000001	great protection great product
0.9862664000000001	0.8567829	saved my phone from terrible kung fu 
0.88066316	0.8822139000000001	perfect case for me 
0.98041123	0.7965996	solid case absorbs hits
0.9672253000000001	0.7908364999999999	great simple case 
0.7162254	0.76113653	you may want to look at another case 
0.9905111999999999	0.76654065	amazing product 
0.829643	0.83677363	excellent case highly reccomended 
0.6655783000000001	0.72591245	not too impressed
0.98683083	0.8376790000000001	very nice case
0.71831757	0.8586788000000001	like the texture and slim design
0.8694693000000001	0.75336814	wish it had a raised edge to help protect the screen 
0.99929	0.8057622	good fit for my 4s
0.9757809999999999	0.8636510000000001	great case 
0.9944445	0.8232646	amazing amazonian buy 
0.9993386000000001	0.90622795	nice case good overall value
0.9953243	0.8616171	great case 
0.88266647	0.7579508	snug fit
0.9255598	0.7925978	excellent case
0.10876992	0.50073767	does not fit the white iphone 4s 
0.97947264	0.86714196	high quality
0.97107863	0.7556819	perfect case
0.7150234999999999	0.7074428	casecrown iphone 4 case
0.98154926	0.8000448	case crown
0.92072916	0.70597225	everything more 
0.6612610999999999	0.7615554	get it 
0.9845473	0.8429325999999999	iphone 4 case crown a 
0.98343223	0.87770593	have tried roughly two dozen cases since my first 3g iphone and this is my favorite hands down 
0.912235	0.9070075000000001	simple elegant nice feel slim
0.9736971	0.81217086	holds up like a beast
0.9995530999999999	0.9063121	best case i ve found ever 
0.9862459000000001	0.7760296999999999	nice case for the price
0.9909197	0.78044665	awesome case
0.98854584	0.74835724	best case for iphone
0.91050994	0.74226207	casecrown
0.23483542	0.7435284000000001	matte finish peeling off within a month
0.49873370000000006	0.61473703	poor design
0.97270083	0.8069527	nice product
0.9519863000000002	0.8441318000000001	soild product
0.9951508	0.9294435999999999	excellent case glad i ignored the negative reviews 
0.98862064	0.8753382	casecrown case for apple iphone 4 4s
0.041755676	0.76158595	not so good for taking flash pictures at night
0.76374835	0.81446385	i d recommend it but with a catch
