sentiment_scores	genuineness_scores	summary
0.8226462999999999	0.46043718	why to pay if you get it free
0.09077239	0.34961390000000003	the product was never sent 
0.97892666	0.75767046	works just fine
0.83952665	0.6489409	beats 25 at some dealers
0.029489785	0.74519306	laughable almost 
0.078398585	0.6211058	at t sim cards
0.8749833	0.8486488000000001	easy and cheap
0.35746711	0.56804234	sim card
0.9588747999999999	0.57261765	awesome
0.6126764	0.32411557	bad buy
0.65995085	0.82280743	beware data plan does not work on all 4g devices
0.4854236	0.7284946999999999	sim works well
0.031219095	0.54970014	would not trust for iphone 4
0.40832270000000004	0.56261545	not for blackberry
0.6628892	0.6287043000000001	so easy to active
0.83535385	0.45257312	at t sim card
0.45970237	0.5603281999999999	works great
0.23115265	0.64148796	works great
0.98599684	0.6239435000000001	good
0.0107316375	0.6381146	effectively useless for iphones
0.65799296	0.78768384	it works as a prepaid sim card
0.57795054	0.8092928	great activated an at t gophone with it 
0.05406156	0.570701	do not waste your time
0.7428720999999999	0.8613548000000001	acivation is simple if you know how
0.21018070000000003	0.61792094	don t get hit with unnecessary connection charge buy this 
0.9133718000000001	0.84171164	works out of the box
0.009676844	0.58528775	don t buy this 
0.996851	0.7342653	works great 
0.9218402	0.81808674	sim card works perfectly
0.36599440000000005	0.4938268	good
0.82695186	0.36334175	i brought my phone from china can i use this card
0.84835285	0.85680056	excellent worked on iphone 4
0.59496737	0.49441376	fast shipping 
0.8537503000000001	0.6045678000000001	fast ship exactly what i expected no problems thanks 
0.049646616	0.7698204000000001	a big con
0.750728	0.76796865	it worked 
0.9053699000000001	0.6036491999999999	trustworthy
0.9236472	0.8028856	works great 
0.046055853	0.60719526	not what i expected 
0.72442347	0.71558625	fast and accurate
0.9768678	0.8160395	at t sim card worked perfectly
0.8838104999999999	0.44704464	works as advertised
0.055870116	0.48960257	waste
0.98727405	0.79468656	no problems 
0.92684853	0.51087564	great customer service
0.8604881999999999	0.7272128999999999	nice price fast service
0.22909266	0.65387374	works but att will auto rebill you monthly
0.9854079	0.7138835	perfect 
0.37284398	0.7108462	sim worked and painlessly
0.90740156	0.85384864	awesome 
0.40147877	0.6995319000000001	cheap fast shipping works with iphone 3g
0.95022464	0.7217804	sim card
0.99126107	0.8957508	brand new at t 3g sim card
0.08481726	0.45726222	pointless
0.30668226	0.7265699000000001	what a great value 
0.6586523	0.42673618	work with my thai cell phone
0.013371468000000001	0.40082964	bad customer service so it does not work
0.06369686	0.55914164	consumed minutes rapidly 
0.9639791	0.6961552	gives you what you need
0.7610375	0.57397866	mavtallia
0.61551905	0.8093201	works ok with my hp voice messenger
0.82135856	0.81014144	worked perfect great seller
0.8113503000000001	0.61081785	great purchase low price
0.9773568000000001	0.71093524	wow
0.9793324000000001	0.7114706000000001	good deal indeed
0.94988036	0.77072304	exactly what i needed
0.039236516	0.8186427	sells at a fraction of the retail store price and it works 
0.030220807000000002	0.55363196	bait and switch
0.17118663	0.4737396	one in a million 
0.99398595	0.7500134	works fine with my hp veer phone 
0.13928059	0.71320105	works for go phone on iphone 4
0.8173653000000001	0.72915554	5 stars for the seller and merch not the service
0.9740443999999999	0.7830513000000001	as described
0.14682293	0.44166684	works with iphone 4 
0.9476599	0.75041294	wow
0.96022224	0.7370603	great sim
0.85903656	0.53512067	happy with the purchase 
0.96219325	0.53202516	works as advertised 
0.98254	0.71246415	perfect for international students
0.7350498000000001	0.59578073	great deal
0.03907776	0.62999177	the sim card is cheap but the at t rate plans are not 
0.76012766	0.5452344	very good
0.14100689	0.31362087	no activation instructions
0.9659358	0.766206	perfect 
0.2997631	0.55633265	go to an at t store first 
0.7777397	0.43353885	perfect for activating and iphone 3gs 
0.78413486	0.63679576	quick and prompt service
0.98972607	0.83082837	great card 
0.26026934	0.63225126	want a prepaid iphone 3gs 3g 
0.35062915	0.82900906	works fine 
0.19761837	0.6413776999999999	a greater bargin 
0.8934675999999999	0.60655886	can this sim card be used in at t lg thrive go phone 
0.010133386	0.55093306	not as picture shown
0.2606153	0.50794965	just fine
0.45335442	0.7727015	works with the 1st generation iphone
0.75707513	0.83545816	extremely cheap
0.47356084	0.6314113	just as described
0.0038043559000000005	0.7267975999999999	defective cards with postage due
0.76887625	0.2845196	dont know
0.056256622	0.33796304	should state not for smart phone bad service
0.9819186	0.8833525	perfect for people traveling to the us
