sentiment_scores	genuineness_scores	summary
0.35146886	0.53089553	 my case 
0.021108001	0.64517343	okay but cheap
0.31606606	0.37998182	i love stitch
0.87975836	0.79635483	this is so darn cute 
0.9460724	0.5535751999999999	my daughter s friend loved it 
6.207824e-05	0.6289203	piece of trash
0.0038156807	0.47580186	it was broken 
0.92158717	0.7773098	oh mah glob awesomness
0.009970455999999999	0.60247004	don t bother
0.16768771	0.61835945	ear broke right away
0.7440223000000001	0.7040941	loved it 
0.0061500072	0.67916167	no good
0.35732937	0.41103667	terible don t buy it
0.9854236999999999	0.7735684	kids love this case
0.34324133	0.7016611	super cute for a while 
0.97609854	0.6438165	daughter
0.96074003	0.68758017	my girlfriend loved the case
0.07066101	0.54778826	cute but crap
0.33093148	0.5164486	ok
0.03226602	0.76502836	cute but cheap
0.015001655	0.4942144	did not get what i ordered
0.8614503000000001	0.6952904999999999	it was a hit 
0.9944511	0.6567728	so amazed
0.8999635	0.658779	this is so cute
0.5707022	0.740901	so cute
0.97993743	0.6879390000000001	cute
0.9392099	0.7225512	stitch
0.014103919	0.58060855	terrible
0.96567273	0.7512999	realy nice strong case 
0.97001565	0.7213042	perfect 
0.9266869000000001	0.60700595	great gift idea
0.7290959	0.5893219	phone case
0.96682435	0.7385986999999999	very cute loved it
0.045110196	0.51782024	hurry 
0.6008292	0.6873908000000001	like it but 
0.99991375	0.89414644	amazing
0.1390135	0.6758124	i hate to be so negative but 
0.7854463	0.45747855	people who have iphone 4s don t buy it really 
0.9097084000000001	0.8106611	ighht 
0.09130368	0.50906026	vibrate switch opening 
0.8555571	0.7644899000000001	great 
0.62214947	0.43702495	case
0.20244905	0.7240583	stitch case
0.29851955	0.55878043	hard cover
0.02563873	0.53863144	terrible
0.9965209999999999	0.7709265000000001	present for a friend
0.1276483	0.5607745	it s huge
0.99178755	0.78363836	very cute 
0.008159786	0.5963970999999999	this case blows 
0.98789084	0.71302104	great price and good looking
0.046670437	0.5600053	does not fit ipod touch
0.012354195	0.32337856	bad
0.03435424	0.6584848000000001	broken
0.107935965	0.46921474	it was bad
0.97727513	0.7081323	best case ever 
0.9904455	0.6293901	ya man fun
0.018001527	0.5117161	truly disappointed
0.71901757	0.72639805	adorable with it s kicks
0.00036233664	0.5702783	get what you pay for
0.006146878000000001	0.63708633	cute but 
0.044304132	0.57860726	adorable but the left ear is defective total bummer
0.9879834999999999	0.6852358000000001	good 
0.06432894	0.7444161	cute
0.6682446	0.5994828000000001	stitch
0.054922044	0.52636296	i like it but it s fragile 
0.06443024	0.43411437	it says hard case not silcone
0.030038892999999997	0.67163557	very disappointed 
0.06506503	0.656573	disappointed
0.95602965	0.60981214	will this fit ipod touch 4g
0.9522877000000001	0.67329663	i love disney
0.6260631999999999	0.85348845	definitely cute but be careful not the most durable choice 
0.6335748999999999	0.7624049	stitch 
0.08012149	0.51434124	the worst
0.43198127	0.4550484	grate
0.010038614	0.22117391	worst
0.98835075	0.7642329999999999	the greatest purchase i have ever made on amazon
0.5215167	0.7003206	cute but does not protect that much
0.8229934000000001	0.8188922	it s ok 
0.009724438	0.5413845	what the heck 
0.103678614	0.16184714	haven t received
0.8727017	0.716933	happy place 
0.021499782999999998	0.5582075	cute but not worth it
0.83738554	0.7217022	love stitch
0.7503383000000001	0.7705652	3d stitch movable ear flip hard case cover iphone 4
0.20690769	0.6749326999999999	cute but doesnt protect at all
0.009509176	0.6037475	not what i expected 
0.6120819000000001	0.74413157	ear is already broken 
0.20804727	0.5990309	breaks too easily
0.0011465847	0.7050004	just for looks
0.9150771999999999	0.76314884	absolutely adorable 
0.38167018	0.61959743	cute
0.9955216	0.77442414	adorable
0.9952791999999999	0.7591641	adorable and protective 
0.95679057	0.81774086	soft stitch
0.0032489896	0.57283264	horrible experience horrible seller 
0.19755846	0.28266364	is it good for ipod 4 gen 
0.03786239	0.542863	fail
0.9914980999999999	0.7036611	stitch case
0.012188137	0.58096	ears are broken
0.019004047	0.5427866	worst ever
0.61752397	0.8116266	super cute
0.5076579000000001	0.6383199	good but shipping took forever
0.004526674699999999	0.5470626999999999	it sucked
0.99212503	0.746255	amazing product
0.92361116	0.8268498	cutest phone case ever 
0.95330256	0.71717525	awesome case 
0.7098583	0.72919905	luv it
0.16935346	0.34080756	great item 
0.9932556	0.84124506	i love it
0.11142051	0.54551446	im indicisive 
0.7776630999999999	0.7038876000000001	good transaction no complaints
0.015704244	0.75550926	not worth your money 
0.107861996	0.59386456	cute but not strong enough 
0.53802013	0.08568779	not received 
0.023216635	0.517422	not a great product
0.053995102999999996	0.63077664	it sucks
0.05584371	0.46001074	where is it
0.69745153	0.7356126999999999	amazing case but broke in a month 
0.06477326	0.659875	stitch case
0.9947280999999999	0.7113111	disney 3d stitch iphone cover
0.51048416	0.27594677	missing case in action
0.020335257	0.60527563	stitch
0.9995036	0.88096714	soo frickin adorable 
0.80780387	0.76471066	i love this case 
0.12802488	0.6669145000000001	cute
0.8485412	0.74653125	so cute 
0.006954550699999999	0.4303407	broken first day we had it 
0.0001808703	0.49583736	garbage
0.12388185	0.5484897	it came broken
0.07908788	0.30455506	wrong case
0.72891563	0.74500823	like it but 
0.85861933	0.74703956	silly and cute my gf loves it
0.74247473	0.4337153	stitch
0.8316581000000001	0.7112504	cute
0.82386696	0.660801	amazing 
0.0117048025	0.57434493	the ears keep breaking 
0.33338696	0.56299317	got what i paid for
0.16604662	0.44328064	horrible itean
0.23098174	0.5222922000000001	great fun for less than 24 hours
0.012113154	0.40144855	spacememory is garbage
0.9673113999999999	0.47905174	freaken adorable 
0.0047715306	0.5243066	cute but it was broken
0.868762	0.685354	another great gift 
0.008382738	0.38642642	 _ 
0.009218723	0.38805935	still waiting
0.8765627	0.76510507	love love love it
0.04986897	0.64089525	cheap but cute
0.47072378	0.7198207	not too sturdy but i love it anyway
0.004674703	0.6846061999999999	broken
0.019396036999999998	0.6533715	grrr
0.27420396	0.47354355	eh
0.89281034	0.47825837	loved it 
0.010957986000000001	0.6628954	broke 
0.9662360999999999	0.6594029	my kids love it 
0.007558793	0.58970743	cute but cheap
0.6538029000000001	0.5461911	cute case 
0.51472515	0.6948470999999999	oohs and ahhs and ughhs
0.63305855	0.6852324000000001	love it
0.0052885413000000004	0.6495751999999999	stitch iphone case waste of money 
0.05720818	0.5645493	cute but in the way
0.05545935	0.60554206	funny case but 
0.96952784	0.7175855	stitch
0.0030357540000000003	0.5449644	junk 
0.24187157	0.6329238	cute
0.44372386	0.5857922	maybe my hopes were too high 
0.9802404	0.7956141	stitch 3d cell cover
0.9871186	0.80733263	beyond adorable
