sentiment_scores	genuineness_scores	summary
0.10061458	0.7028063	it s great but not always practical 
0.089868486	0.72630453	beware if you re buying this to use while exercising 
0.821974	0.82765865	pretty good except headphone audio quality
0.029230446	0.5630178000000001	horrible sound quality 
0.8984264999999999	0.38914478	wireless headphones anywhere
0.37226278	0.9028835	great stereo good handsfree
0.07946426	0.49681735	this is not worth 60
0.4498598	0.87182736	a qualified recommendation jabra s clipper bluetooth stereo headset a critical review 
0.7466043000000001	0.8203905	durable worth the price
0.9905927	0.90159047	great for exercising w ipod touch
0.923182	0.6781813	gets choppy at times 
0.034951627	0.5903775	a prime example of lying though marketing
0.10293010000000001	0.58780897	very poor product
0.3314916	0.7983786	great option for disconnected listening
0.07969119999999999	0.55217963	to use with a mac read here
0.73644376	0.77545416	good for runners exercisers but not for me 
0.4288403	0.74370253	very convenient bluetooth headset 
0.98350227	0.73935175	4 months use washing machine still going strong
0.6292963	0.5196403	i wish the clip would open up more
0.94453907	0.8781338	great value device
0.8222950000000001	0.71706724	disappointed
0.02289939	0.64577246	disappointing at best
0.7347602	0.81146014	nice compact bluetooth headset
0.06703317	0.78788674	not crazy about it 
0.38819763	0.53729147	good bluetooth headphones
0.009235412	0.7976340999999999	disappointed
0.97984123	0.8278976	great for running 
0.9169074	0.9128549000000001	flawless with nano 6th gen and i10s bluetooth adapter
0.16312164	0.6048865	gotta get the sequence right
0.82022595	0.85835433	great for certain activities but not all 
0.16125876	0.45476922	great device
0.0062936246	0.48786166	complete crap 
0.42826772	0.73417974	can t get it clipped on
0.15520279999999997	0.5605935999999999	bluetooth is atrocious 
0.041271687	0.5692514	always choppy
0.035620123	0.6106906	faulty
0.07311511	0.42051533	don t move and don t buy 
0.6009167	0.6056806	battery drains way to fast
0.4040836	0.80970275	 but the battery life 
0.023144841	0.45386156	don t buy this
0.0104756355	0.7258266999999999	not sweat proof
0.7830822	0.7973646	fantastic idea and execution
0.75998855	0.871511	the key to my perfect snowboarding audio setup 
0.052261323	0.53261983	not for me
0.58983177	0.77153796	works well for exercise
0.02832359	0.62978154	stop pairing after 1 week
0.7749361	0.693936	pretty good 
0.5974866	0.7500198	finally thank you jabra 
0.009398967	0.7020143	dull sound from deep underground
0.9684905999999999	0.79328394	tuff product
0.8298449000000001	0.6840338	great product
0.82547367	0.83070314	i like it 
0.60627645	0.75097334	android 2 2 samsung galaxy s
0.90937006	0.7077781999999999	great for gym
0.37753972	0.71383333	good for what it is great for the price i had my hopes set too high
0.016641557	0.69148993	jabra clipper
0.4443157999999999	0.672037	nice idea but with limitations
0.11560178	0.63539904	just okay 
0.25640264	0.56436944	works as expected
0.87427306	0.8350266	works minor issues
0.25926864	0.6641611	very good product
0.115582705	0.6232264	good idea bad implementation 
0.31044543	0.6970954	average performance
0.060110062	0.64388704	reason to keep windows media player
0.056538075	0.50511926	too hard to set up
0.39534974	0.66258323	works great 
0.93700725	0.8950191999999999	a great iphone accessory convenient and easy to use
0.7968354	0.7513772	oh yes 
0.8908292999999999	0.7457578	perfect 
0.95459557	0.78237104	great product for iphone
