sentiment_scores	genuineness_scores	summary
0.31192672	0.5928397	constantly falls off the mount and the grips are breaking off with normal usage
0.97152823	0.85943586	great mount 
0.9848665000000001	0.90002114	i couldn t imagine it working better 
0.26920396	0.6154632	would not recommend
0.99787235	0.8324360999999999	use it every day excellent value
0.96795416	0.89318204	the best i have found 
0.045410603	0.6636086999999999	nice design idea but doesn t last long
0.95709705	0.74975467	arkon dashboard windshield
0.95053625	0.67348605	works well 
0.97730625	0.7243016999999999	mobile phone car holder
0.892215	0.78170174	wow slim grip what a concept 
0.9352573000000001	0.8905569	highly recommended works with other smartphones too 
0.0036445558	0.51989853	it sucks 
0.87558514	0.8805248999999999	fast shipping better than expected
0.97937626	0.91630816	perfect 
0.9853281999999999	0.7519520000000001	great buy 
0.20954117	0.810238	plastic holders are cheap
0.13583338	0.5727545999999999	doesn t hold iphone 
0.02324003	0.5206337000000001	not a good choice for a iphone 4
0.100342065	0.54315925	it s ok
0.9337441999999999	0.80289066	absolutely love it 
0.97719777	0.81063676	well worth the price
0.9677007	0.8207235	works well and durable
0.9828056000000001	0.7260443	arkon ipm515 windshield dashboard mount with slim grip phone arkon
0.87409496	0.6903403	life saver
0.9990189	0.81625307	solid 
0.9878575999999999	0.6218614	two thumbs up 
0.18434829	0.7253469	worked for awhile
0.9930153	0.84897876	perfect car holder for iphone4s
0.26838166	0.5962784000000001	good idea difficult to use 
0.97622097	0.66137576	great product
0.9927474000000001	0.75323635	wonderful
0.7707734	0.7456759	good item but cheap
0.5413366999999999	0.8031305000000001	okay product
0.96203196	0.69420075	allright
0.10473335	0.42653105	does not fit a samsung galaxy s3
0.96469915	0.6549908	great iphone 4 windshield dashboard mount 
0.9788399999999999	0.7028262	great product 
0.97685707	0.87335145	works great
0.99862665	0.8430715	sturdy and easy to use 
0.9815575000000001	0.8323226	still works on my new iphone 5 
0.9848423000000001	0.9052094999999999	great product outstanding customer service
0.9564902	0.87374216	works like a charm 
0.017594784	0.5957491	do not buy it 
0.6864569	0.77339333	a must have for iphone 4s
0.9993895	0.87823457	great product for iphones
0.9364916	0.7767316999999999	great product
0.2573514	0.6792029	not a good design
0.9860889000000002	0.7077866999999999	good
0.9974605	0.7979841	iphone 4 akron windshield holder
0.9827915999999999	0.8600009	for the price very good 
0.9964933000000001	0.8878554	works with devices of all sizes
0.96178913	0.8413571	excellent product highly recommend 
0.9882431999999999	0.67026347	this is amazing
0.3608941	0.6573737	worked well while it lasted
0.9570665	0.71410775	great for all devices 
0.99129176	0.8008510999999999	great especially for the price 
0.7126515999999999	0.8198809000000001	nice fit
0.013428926499999999	0.48028848	won t stay up for any amount of time
0.8496145	0.8463712999999999	excellent quality adjustable product for the right price
0.087008744	0.6937382	almost too well constructed
0.99297774	0.82045484	great holder 
0.036964923	0.55694187	worked only one day 
0.2441248	0.6680052	sturdy yet compact
0.001737535	0.3897364	the worst
