sentiment_scores	genuineness_scores	summary
0.98113406	0.86236835	excellent value for the price especially 
0.98986274	0.82605326	great case prompt shipping not horribly expensive
0.010621786000000001	0.6941935	false advertising 
0.14413099999999998	0.83372015	they keep telling us it s genuine leather
0.94994557	0.7201642	great fit color and price
0.0030125082	0.51740944	not turquoise 
0.155974	0.47434294	it was ok
0.2933813	0.6415935	unnecessarily thick back
0.99322677	0.7637844	exactly as pictured and expected
0.9915993000000001	0.84699583	caseology turquoise case for s4
0.28043962	0.54860735	looks good but slips from hand sometimes
0.91941726	0.84945565	preferred case
0.31943299999999997	0.66579854	thick and slippery
0.63620764	0.74884796	nice case but 
0.91857135	0.83222854	works very well
0.98600006	0.75823706	samsung galaxy s3 matte navy blue 
0.9513067	0.8578892	durable and well fitting
0.35432670000000005	0.62462497	nice looking
0.94954765	0.68822587	good case but not for me
0.9954381999999999	0.8261579	awesome case
0.7235265999999999	0.71336114	great 
0.0069247186	0.37412143	worst case 
0.98038775	0.7331345	great case
0.06295255	0.6372905	cheap case see pictures
0.99384475	0.8363638000000001	great case slim but protects
0.9469059999999999	0.7778957	simple good product
0.04992482	0.26830208	shook proof is not accurate
0.48875087	0.71560526	caseology slim fit s4
0.6508646	0.6898102	case is more slippery than i was expecting rather hard plastic 
0.11970365	0.60039926	does not fit as intended
0.9306486999999999	0.8218405000000001	simple and effective
0.97529566	0.5926764	came a day late but i love it 
0.006187349599999999	0.5221672	junk
0.73905337	0.71215326	perfect fit
0.044451863	0.49574935	decent case
0.005968362	0.578104	cheap
0.8959556999999999	0.70274025	great product quick shipping
0.005668342	0.61511016	low quality tpu stay away 
0.74885416	0.6633889000000001	great simple case 
0.99643886	0.8326546	perfect
0.99627626	0.85095525	love the color
0.12516573	0.6841546	genuine plastic 
0.9953837	0.79676265	great protector
0.08257729	0.6249875	false advertising
0.4715167	0.8104745	very nice not quite perfect
0.67027634	0.60705787	very slim case
0.9862114	0.79283035	great case great price 
0.9897362	0.87193084	good protection that doesn t bulk the phone 
0.9964589	0.81071603	great product
0.99037457	0.8647169	love this case more than expected
0.9708775	0.7613751	sooooo cheap
0.84899974	0.7354096	good case
0.9347757999999999	0.78418595	just the right thing for a galaxy s3
0.9654476000000001	0.9247025	well made and designed case that s thicker than expected 
0.99776477	0.7867472	it is perfect 
0.073310465	0.52575594	matte case is a dirt magnet
0.81185436	0.7012433000000001	love it
0.8586546	0.8260304	caseology vs otter
0.03129065	0.6899352	looks cheap nothing like the picture
0.018034577	0.5098002	flimsy not sufficiently protective
0.9936626000000001	0.86325085	perfect fit for galaxy note 3
0.058324754000000006	0.38371515	not good
0.04151061	0.6863816999999999	seems decent for the money
0.06824219	0.4629642	poor quality
0.98738766	0.8621271999999999	the best case i ve ever had
0.93579423	0.8073566999999999	caseology matte slim case galaxy s3
0.73045397	0.70596474	back for more
0.9521858	0.77211225	undecided but i love the color 
0.74628496	0.76366615	nice with a catch
0.99082583	0.74234533	fantastic
0.008203894	0.56777954	does not stay on the phone
0.76287675	0.7006215	galaxy s3
0.19508079	0.59423256	peeled
0.0010199249	0.52858233	do not buy
0.9109583	0.57790935	fadded
0.47357604	0.7692613	caseology matte finish slim case for sgs3 navy blue 
0.08575401	0.51936704	nice looking but very slick hard to grip
0.061629474000000004	0.68636787	matted case peels off looks terrible now
0.9992396000000001	0.8641325999999999	perfect fit great quality
0.9123558	0.6357534	better than an otterbox
0.3430248	0.7704191	just a bit thicker and looser
0.99187434	0.7754960999999999	love this case 
0.051813602	0.53226423	does not fit galaxy s4
0.9970252000000001	0.81039476	beautiful 
0.9867139000000001	0.66786724	even has hidden pocket for credit card work badge 
0.99285334	0.87611437	perfect
0.012548268000000001	0.6594097	poor quality
0.77322876	0.67037356	good product
0.5380315999999999	0.715119	great skin
0.9926303	0.88199985	great product
0.4385544	0.4050935	great for the money 
0.0641225	0.5413185	loose
0.99768424	0.7940955	love love love
0.9941464	0.7227914000000001	galaxy case s4
0.034965128	0.24524564	i wish i can give a zero star
0.94317365	0.60393536	nice attractive case with all around support
0.99906355	0.8615814	superior and slim
0.9772603000000001	0.84643877	galaxy s4 case
0.0029076338	0.28569055	really 
0.014257312	0.6064463999999999	this vendor knows how conduct business 
0.888757	0.5736733	beautiful and flexible protective case
0.48205394	0.54561573	like my new case 
0.010241121	0.29142568	i hate it its awful
0.34067506	0.59040314	nice
0.9924463	0.7989518	great case
0.825343	0.7438673000000001	sturdy and colorful
0.99386024	0.8634622999999999	professional looking yet durable protective material
0.16381171	0.56501395	as slim as my mother in law 
0.99554014	0.82051086	great protection for my s4
0.03284377	0.66517407	false advertisement
0.029815674	0.5219853	pretty design not the best protection
0.9976790000000001	0.81017447	better than you would imagine 
0.9355931000000001	0.82495725	it works
0.9854325999999999	0.67679083	service issues when using this case
0.6264705	0.6389786	not as tight 
0.00010621548	0.60893655	not what i expected 
0.060459554000000006	0.5805848000000001	not my favorite
0.98761916	0.80728704	great product incredible value 
0.23641384	0.56490374	unhappy with the fit
0.2777595	0.6062709	great aesthetics poor fitment 
0.7633161999999999	0.6799356	so pretty 
0.010274589	0.59684336	false advertisment
0.99605966	0.7731524999999999	amazing
0.9846108	0.87985086	great case 
0.061371117999999995	0.63837826	not leather or anything close to it 
0.91672325	0.85501635	secret credit id card compartment
0.99842656	0.879358	works great
0.5669166999999999	0.49466407	fixes the slippery phone problem 
0.33335823	0.78126764	doesnt fit right on the galaxy s4
0.97927636	0.8071377	love this cover and the color
0.9625442	0.64046896	great product 
0.39209679999999997	0.7821059	looks ok but doesn t offer much protection
0.4999163	0.6687258	good quality and great price
0.07812917	0.6317223000000001	pink color is off
0.33871537	0.6511876	not the best case but does its job
0.9943002000000001	0.79236066	snug fit may become loose overtime
0.41900940000000003	0.7612680000000001	big dissapointment
0.67548823	0.7525316999999999	maybe not better than nothing at all 
0.017133921	0.35879135	nothing wrong with it but
0.54284614	0.7283185999999999	perfect 
0.00037541986	0.66161567	beware counterfeit product sold by amazon 
0.991032	0.8343414000000001	the best case
0.9952798	0.8568302	fits like a glove
0.71816087	0.76055634	nice case
0.9886286	0.82983947	nicest case yet for my note 3
0.17738539	0.74453026	not good for verizon galaxy s4 black
0.36121905	0.5093448	i have seen better
0.99832493	0.6592033	i love it this case so much perfect case
0.10487506	0.69788957	negative experience with purchase
0.07375625	0.7563270999999999	too loose two tone looks cheap
0.070672005	0.577512	does not work with rnd dock 
0.02066943	0.5214673	didn t help when i dropped my phone
0.08371431	0.7732958000000001	not bad for the money mold seams usb port issue
0.9732508	0.6921608	great case
0.99391055	0.76065725	nice case 
0.99112326	0.85001314	nice case
0.9831319	0.8063779999999999	perfect for what i need
0.0055655240000000005	0.6210414000000001	not a great case 
0.013097376	0.6097858	read before buying
0.0041766167	0.72879326	the picture is deceiving not what i was looking for 
0.94127524	0.8606273000000001	good case
0.9262973	0.88701844	wasn t quite pleased with the protection quality but the case itself is very sharp looking 
0.8604908000000001	0.78976	i love this cover
0.39707929999999997	0.7103238000000001	matte finish gets dirty
0.6188173	0.69652426	slippery 
0.025884837	0.43230838	lame 
0.9629779	0.8126836	great case works as advertised
0.9976055	0.8100799	excellent case 
0.35968590000000006	0.6808868	case is neat but has a few draw backs
0.002171278	0.58365405	doesn t fit phone
0.9951651	0.85034233	quality case
0.12669677	0.5477602	two layers of blue matte looks malformed
0.9070464	0.846066	awesome
0.86966956	0.7424951999999999	great case 
0.9932929	0.85373265	everything i expected and more 
0.0064765513	0.66920465	counterfeit 
0.9346839	0.8175029	it s got some back fat
0.044602484000000005	0.65024865	hard cover
0.99079084	0.83170664	perfect fit 
0.99468833	0.8808174000000001	great case for the galaxy s3 
0.97958785	0.86189055	great case
0.0021831095	0.5809479000000001	not as advertised
0.9981754	0.7745603	5 stars
0.9087521999999999	0.7701899999999999	high quality
0.99918365	0.79803467	great product great price 
0.45403597	0.753021	great fit great feel 
0.22176585	0.47087923	its looks good
0.79195327	0.7541479	great
0.8945841999999998	0.9200305000000001	excellent design and construction
0.8761211	0.7952507	a solid buy
0.17877674	0.5177252	ouch 
