summary	sentiment	genuineness
It is cheaper for a reason	0.032090034	0.56910616
Fits nicely in my rack of Windows tools	0.9735709	0.83109266
keyboard	0.27593437	0.2123665
Exactly what I expected!!	0.9666698	0.849661
ASUS Transformer Book T100-TA-C1-GR 10.1 inch Detachable 2-in-1 Touchscreen	0.33354053	0.5592365
Same unfortunate experience.	0.008069603	0.6871197
Keyboard and screen	0.087370075	0.59255534
Great Product	0.928161	0.94640636
Super Product	0.9944186	0.6195941
Solid Windows 8.1 Tablet	0.95754987	0.931417
My wife loves it!	0.9497916	0.8492782
Need SD Driver Issue Resolved	0.92989	0.7865396
Very portable, still going strong after 8 months.	0.09724674	0.7599498
Every Bit As Good as it seems!	0.87634146	0.87260824
Looks Great, Now to use it	0.8672073	0.44101492
The complete package	0.9985146	0.956917
Transformer tablet is great	0.99448276	0.8179422
Perfect for a Medical Sales Rep!	0.9084003	0.8393826
Fantastic Value for a full powered Windows 8 machine	0.9535505	0.96257144
I have headache after buy this asus t100ta	0.06274903	0.39110804
Excellent, Durable, Fantastic Battery Life	0.9922518	0.9298534
Well Worth the Money!	0.8845565	0.8896596
ASUS Transformer Book	0.93367785	0.68777627
I recommend it	0.9431429	0.7070506
Awesome flexibility and convenience/ Win 8.1 is fantastic.	0.27997583	0.47716227
windows 8.1	0.9977704	0.8719527
Not Happy	0.006474593	0.5198957
Won't charge...	0.053940553	0.49379888
Gift for my best friend	0.9898343	0.36891118
A good alternative to RT, but not a laptop replacement	0.97296935	0.95766455
Good idea but just hasnt worked all the bugs out	0.7073091	0.7431931
Pretty sweet, great value ... no problems so far	0.7842388	0.9241923
20+ years experience with Windows computers, and I absolutely love this device	0.9906256	0.93423957
Great little computer!	0.9942162	0.80766255
Great choice for its price. However the platform is still buggy, treat with care.	0.63038373	0.37100336
the main issue is touchpad on a dock keyboard	0.30985957	0.6169986
I've had to return it twice...	0.1255377	0.7427207
Buy it. Now.	0.99520797	0.73826146
All what I need	0.32688388	0.3245537
DO NOT BUY THIS TABLET!!!!!!!!!!!!!!!!!!!	0.52267265	0.6903706
Great Notebook	0.6570555	0.5155515
Bad thing!	0.116947494	0.23447533
Good Buy... Until Windows Updates Try To Install	0.038213808	0.6326716
The best purchase I've made all year	0.9937603	0.9041086
Another DOA.	0.00902013	0.42542058
Great machine	0.81628424	0.8272042
So much more than I expected	0.9804293	0.79891855
ASUS Transformer Book T100TA-C1-GR 10.1-Inch Detachable 2-in-1 Touchscreen...	0.76859903	0.718127
This is a great little convertable tablet/laptop	0.8841774	0.8725798
A mixed bag of decent power and features in a cheap, poorly made form	0.027718151	0.6268926
My companion in need.	0.9489557	0.9063485
Awesome	0.83977395	0.77914524
like it... now	0.82056826	0.57454556
Nice product	0.97335726	0.7748092
ASUS T100TA-C1 review	0.8703315	0.6670608
Great purchase for our family.	0.71656215	0.8527309
Review Asus Transformer T100TA-GR 10.1 Detachable 2-in-1 Touchscreen. Review by Abi	0.13147469	0.5011917
If you pay for a new compute why was it opened?	0.07169554	0.20986106
Damn! I really wanted to love this but can't - horrible product reliability and even worst service	0.003674174	0.58566654
Good Thought but needs more tweaking.	0.0019968476	0.5921285
Good... But why isn't it charging?	0.76273966	0.56162494
I love this thing!	0.95113754	0.96234906
Coolest gadget ever!	0.92376626	0.5532872
perfect for my wife's pictures and bill paying	0.98459965	0.41534942
terrible	0.016498841	0.72738904
rip off	0.02666358	0.28461623
You get what you pay for...and a little more!	0.9208134	0.93777
Good buy for what you get. Very happy with purchase.	0.96539456	0.9420767
Great tablet/laptop with a Win8 learning curve	0.93627226	0.8976683
Perfect specs, design not quite there.	0.8112601	0.8401144
Great netbook/tablet, with a couple minor flaws...	0.9782447	0.8488446
Asus t100 has gorilla glass	0.15704626	0.6402527
Best Tablet/Netbook Hybrid - SLOW charging issue solved!	0.7333639	0.88508844
Great device.	0.562182	0.5086502
Great for the price	0.9420268	0.8521345
A DUD!!	0.8564754	0.87511975
Good prodact for day to day use	0.88369703	0.63866043
Great Device for home and office use	0.9677723	0.75453794
best of PC and tablet	0.98276454	0.61948925
Not so much	0.11336467	0.38963908
If it worked, would be great. Unfortunately that did not happen	0.09079999	0.5219286
Greatest value around	0.8457493	0.8645009
Perfect	0.9824777	0.8711672
Dead pixels three after days of life	0.035403702	0.5167716
Unbeatable price / feature purchase	0.99789834	0.89015216
Wonderful!	0.997601	0.904934
Very Happy With Asus T100TA	0.96807665	0.7510033
portable	0.97594506	0.8406927
It's the best-affordable windows tablet I could buy.	0.69013244	0.8555576
Great Win 8.1 laptop/tablet - light, snappy, and smooth	0.9826859	0.9682676
Nice	0.8151358	0.30355045
Could not use attached keyboard or update software successfully.	0.036229193	0.36711204
Best deal for the price, hands down.	0.9811436	0.8221733
Impressive value / speed / ease of use ... for price!	0.9800597	0.84748906
Love it.	0.96412426	0.38309443
Best Windows 8 convertible hands down - ignore touchpad and balance concerns	0.95090264	0.9467464
Amazing, love it, great value	0.99545395	0.56393707
Great price put aside, it's a great machine too	0.99659365	0.7958399
I love this thing...	0.9502587	0.90219694
came used, not new	0.017619751	0.4031883
Great Windows 8 Tablet!	0.9986571	0.93565446
Not recommended. Go for an Android.	0.8552264	0.43772927
Windows updates crashed the computer	0.07977907	0.60505676
Love It can't go wrong.	0.81811863	0.7581271
A great product at the price point (if no defects)	0.3880848	0.88964796
JUNK - Won't charge	0.05243986	0.68632865
A great buy - with one improvement requested of Asus	0.8065285	0.8444274
Cheap and does what it should	0.92898107	0.7400385
Good in theory, but bad execution on some fronts	0.088371985	0.7094675
college student seeking laptop/tablet	0.9828756	0.78783846
Light Windows 8.1 Tablet + Netbook + Office	0.708885	0.8799222
nice budget win tab	0.85202533	0.7759987
ASUS Transformer Book T100TA	0.88244236	0.6669217
Great tablet PC	0.98327565	0.42986944
Great product, great price	0.9976101	0.7931137
Great tablet, awesome price	0.98723036	0.8690341
Just what I needed!	0.98950267	0.66593516
Asus did a great job with this 2 in 1 device!	0.96873695	0.7785714
Valiant effort by Asus, let down by Microsoft.	0.23940589	0.7175381
Worked amazing until it became a brick,	0.020016477	0.5510043
Returning next week....	0.49212793	0.6026282
Windows Update killed my machine.	0.08318849	0.29008818
Did all ad said it whould do.	0.715421	0.42585328
Power button stuck on 4th use	0.21540287	0.16974978
Have to learn to use it	0.83402485	0.39089033
Good concept and fun to use - not great for using too long at a time if using the keyboard.	0.7913123	0.6579759
Great Value.  Full featured Windows 8.1 Tablet at a very attractive price.	0.9962709	0.8879679
It Would Be Perfect With a Few Tweaks	0.9261901	0.88869876
Loved the tablet - Beware of Customer Support	0.0025536923	0.733651
Great for the price.	0.78506964	0.7851767
Lovely Gem of a tablet	0.9988882	0.9201054
great laptop	0.9925485	0.873904
Great	0.6933426	0.8649302
Does not have the experience of a real notebook	0.08394627	0.7815582
I love my transformer	0.40346628	0.683656
Great computer! But ...	0.10125613	0.43525058
Hate The Keyboard1	0.32154915	0.58106065
Nothing but issues	0.004350258	0.6253757
Fantastic device after some initial pain.	0.3896343	0.7337086
Nice tablet!	0.9814084	0.77724093
Would not turn on	0.01583644	0.55058026
Extremely Pleased	0.9525494	0.80077374
Not worth the headache!!!	0.4692791	0.55906177
Great Machine, but New on the Market	0.51025426	0.7222409
pretty good tablet but keybord broke	0.673693	0.7365927
It is ok, But I hate windows 8	0.53996754	0.43669087
Very good; makes the right compromises... just make sure those compromises work for you.	0.82669115	0.9644617
Great Device!	0.91103023	0.6652994
fast and highly capable	0.4078849	0.5514645
Good little tablet	0.6228246	0.66599923
Fast, Stable, Clear	0.48723257	0.50481695
It's does everything I wanted	0.9885753	0.86146134
Great value but not perfect	0.41417342	0.78030086
Didn't last more than 2 weeks.	0.03238689	0.6692772
STAY AWAY	0.024476996	0.7449539
So far so good	0.94646007	0.5843914
Sometimes things really are too good to be true	0.023775434	0.6896969
easy to use	0.99138945	0.74566305
What the Surface tablets should have been.	0.972607	0.9270375
More than I expected	0.9981311	0.90974367
SUCKY TABLET just buy an Ipad or a windows tablet	0.012796035	0.39348006
Great hardware at a fair price.	0.8685443	0.9228797
Phenomenal Value	0.8956708	0.87324774
Great little machine	0.8930427	0.72389776
Cool Device	0.95269	0.88335836
I love it except for the battery charging	0.82277673	0.71312886
Bad pixels Great Performance for this category	0.19343029	0.6919952
"Best Windows Tablet/Hybrid, I am loving ""windows everywhere"""	0.9911623	0.8151594
Ok until updates	0.05062924	0.6045964
great fast tablet pc i love it	0.6349358	0.7374744
Happy with a 2nd Unit	0.013033861	0.5910691
Coolest Laptop EVER!!!	0.97546023	0.7520948
A value? Or just plainn cheap. You get what you pay for...	0.013884694	0.69451374
Good option for young adult	0.9952036	0.81636566
Okay, but some issues working with touch screen	0.6065771	0.71716464
So far, so great	0.97112805	0.81615686
Good choice	0.8052682	0.8069936
Great Computer	0.99660826	0.6835597
Issues fixed. Tablet cover finger print solution.	0.8376648	0.8137909
Never has there been better tech for your money	0.97612244	0.8828177
Everything You Want in the iPad But Can't Get	0.9655329	0.90969336
You Get More Than You Pay For	0.97614914	0.85307676
Still major power problems	0.1355145	0.78729254
