sentiment_scores	genuineness_scores	summary
0.96590984	0.8247143	love it
0.5509349	0.54904145	yeah no
0.025375843	0.7331065999999999	doesn t charge very quickly and cord is loose
0.0012753606	0.6234041	aweful
0.09777269	0.8104812	ok but
0.88422275	0.8407988000000001	solar charger works well
0.0032950640000000003	0.6232616999999999	did not work
0.13514692	0.67968893	it worked one time
0.98252666	0.7763547	great product
0.03568691	0.7517469	third time was not a charm
0.9863211999999999	0.7895736	opteka bp sc6000 solar charger
0.01963228	0.6760461	doesn t work
0.99557793	0.6814520000000001	great buy 
0.9658271	0.7271263000000001	can t wait to try it out 
0.7919984	0.76808214	charged fully once now doesn t charge beyond 25 
0.023661405	0.27159977	save your money 
0.19234955	0.7269021	update to disappointed charging by solar power 
0.97072196	0.86112195	saved my sanity 
0.88575214	0.7833108	this really works
0.7553009	0.66086143	works as specified
0.0016967057999999998	0.5205787000000001	defective
0.89562094	0.900893	excellent backup power for cell phones gpss e readers etc 
0.96188384	0.73912376	works well
0.8248353999999999	0.86645126	oaky dokey but 
0.16843057	0.6901084	not worth it
0.9884284999999999	0.77902687	no more forgotten devices
0.09469941	0.70614904	no solar charge
0.7014866	0.76931465	works well
0.90270114	0.6666546999999999	awesome
0.994339	0.84568644	works like a champ 
0.9188296999999999	0.7361515000000001	good back up
0.12607269999999998	0.4784759	stopped working after 1 week
0.97329307	0.86762166	great product terrible user manual
0.29024023	0.6578169	help
0.26570538	0.34260726	opteka 
0.5761213000000001	0.42107093	seems to work
0.9121351000000001	0.72482526	great product
0.9166279	0.8659406999999999	has limitations but is perfect for the price
0.6536964	0.74528176	doesnt charge with direct sunlight
0.99658674	0.695976	far exceeds expectations 
0.9933028	0.78276414	nice backup for devices
0.47790077	0.82663655	some compatibility issues
0.52648556	0.908592	solar is a gimmick as it doesn t really charge the battery
0.8619828000000002	0.79881144	better than most 
0.033586532	0.5023446	borderline ok 
0.10276559	0.53576374	do not buy it 
0.06485602	0.73371404	great battery so so charger
0.40288267	0.83478934	good battery backup poor solar recharging 
0.658404	0.50562906	good product
0.008407116	0.7470989	bad battery 
0.88926846	0.7320639	great product
0.7193879	0.66057473	great portable charger
0.9579373999999999	0.75103927	it works
0.0057050884	0.6586655	solar only charges to about 50 after two weeks 
0.07990745	0.53065795	worked for 1 day
0.9356984	0.71535856	fast charger
0.68438566	0.7645755	good product trouble charging
0.9238001	0.7718470000000001	consistent quick
0.9240636999999999	0.7571671	solar charger
0.017491788	0.5479892	works only once 
0.97773707	0.8789748	great product fast charging
0.0012902617	0.7038538000000001	doesn t charge
0.97896546	0.7832687	opteka bp sc6000 solar charger
0.98070884	0.5258916	great charger
0.98540235	0.80485463	i was sceptical but it s a great product
0.0008364916000000001	0.63900685	bought for two week camping trip it wouldn t charge properly
0.9739790999999999	0.69537836	y
0.44254629999999995	0.57307833	new user
0.9843257	0.8150033	why did i not buy this sooner 
0.09419	0.73466945	backpacking for 5 days
0.39309826	0.7992263000000001	great external battery pack but terrible solar charger
0.97804344	0.81861216	so far so good
0.20897860000000001	0.7238286	solar charger 
0.96005046	0.79484075	great
0.14724890000000002	0.6126031999999999	worked great at first
0.055790245999999995	0.61367625	the battery is dead after a few months 
0.75140685	0.6011247	great device
0.46735257	0.7143019	dead after 1st use
0.015914649	0.71240073	nice size battery to charge with but solar charger too slow
0.92875004	0.74932384	handy portable battery charging is slow and not automatic
0.9005574000000001	0.78205633	quick charge
0.7278744	0.61153936	perfect product for the application
0.97717917	0.88676095	it is there when you need it
0.70553637	0.8249533000000001	great value for the dollar
0.33166647	0.372189	good stuff
0.9667906999999999	0.69370043	works great
0.005656421	0.5663857	loose wiring
0.9522735000000001	0.70303035	great for travel and camping 
0.9022780999999999	0.729167	worked great 
0.99350667	0.7028707	like it
0.12174317	0.68592846	impractical
0.872859	0.694545	opteka bp sc6000 ultra high capacity 6000mah backup battery solar charger 
0.7930083	0.7281525	solar ipad charger
0.17820549	0.7199061	ok but needs lots of sun
0.0072010756000000006	0.75902927	not charging
0.06488979	0.74963355	just ok 
0.5214922000000001	0.59464043	slow
0.0036982297999999998	0.4828241	don t buy
0.8134949	0.85670483	impressive for the price 
0.97570956	0.7053052	works just fine
0.0015911162	0.58126545	 they cancelled my order 
0.6992295999999999	0.6937107	very stupid
0.07801467	0.47814822	started bubbling like an exploded battery before 1st use
0.9833181999999999	0.5736773000000001	great product 
