summary	sentiment	genuineness
Not nearly as good as I thought!!	0.1609054	0.8016888
Not a Bissell	0.021183364	0.920991
Puts the Shark to shame!	0.105789624	0.892182
Not impressed with the Eureka Floor Steamer	0.0027116719	0.86155033
Good cleaning concept, but others do it better	0.39429745	0.87571263
not what she wanted	0.39373183	0.2634456
useless	0.0039933342	0.7612572
Eureka Steam Mop a Failure!	0.027247047	0.80099994
Simplifies a dreaded chore.	0.9974093	0.89299124
Over rated by most	0.005838062	0.5616673
Don't Wast Your Money!!!!	0.032922868	0.83833796
Eureka Eviro steamer	0.9283939	0.7723553
Disappointing...not a whole lot better than Swiffer	0.08599502	0.7255448
Looks good but a piece of crap...don't buy it.	0.26610088	0.70373213
Unusable outside States	0.0139671	0.25210354
Eureka Enviro Hard Surface Floor Steamer	0.9882208	0.90277374
I wonder if I really needed it in the first place	0.4954337	0.842803
Don't even think of buying it ! Go to shark.	0.01156822	0.7539503
So pleased with this	0.9463675	0.9114693
Maybe I got a Lemon	0.019034969	0.593431
Eureka 313A steamer does the JOB	0.97151303	0.8406217
Worst Ever	0.00863687	0.79738784
Don't waste your money	0.81994474	0.7285276
Get a Haan instead	0.08798288	0.71167505
This is junk!	0.020682354	0.53875923
Good Value, Works Great	0.9258733	0.85887736
This thing is terrible! Does not clean just blows steam	0.10002268	0.7866107
Wow!	0.978889	0.82492405
A Dud	0.10169313	0.6912545
Not enough steam	0.4857891	0.48649806
Not what I had hoped for...	0.9557878	0.85682064
Does the job	0.983022	0.8377689
All Hype!!	0.007020389	0.6511789
totally impressed	0.99973136	0.8769695
Eureka!!! I found a good steamer.	0.42831957	0.843447
Steam?  Nope	0.009554809	0.8226766
Obviously a Refurbished Model.. without the Refurbishing.	0.042879015	0.7346035
Its ok It makes the floor too wet	0.43878692	0.7788965
Don't waste your money!	0.1763657	0.47475255
Eureka Enviro Steamer Great Product!	0.9921944	0.82541585
HATE THIS STEAM MOP!	0.032238927	0.7864236
Eureka Hard surface cleaner just ok	0.13105804	0.6161308
No cleaners on my floor I'm in love	0.99671364	0.89559406
Adequate But	0.002981832	0.87401116
May not be perfect but it serves the purposes	0.9626806	0.86650974
hard floor steam cleaner	0.8745585	0.8551154
Does the job!	0.5906169	0.73883146
it's okay, but there are better steamers out there	0.32274348	0.86994004
love it	0.94105345	0.8089853
Eureka Enviro Steamer	0.79646456	0.6466
Love it!	0.99596894	0.8757426
Nice basic steamer	0.9268078	0.8872883
Doesn't seem to get hot enough to do much and really wet	0.037005506	0.46546012
Not Pleased	0.0029998003	0.71648395
Awesome floor cleaner for the three months it worked	0.94238204	0.9324743
Not what I was hoping for	0.22532952	0.6628939
Eureka 313A Enviro Hard-Surface Floor Steamer	0.21102801	0.8283882
Very Dissatisfied	0.060911544	0.7423439
Fantastic!	0.9992919	0.8145152
A Disappointment!	0.50550884	0.8001229
Easy to use.	0.99889106	0.89595693
Love it!	0.97064096	0.8679552
Disappointing!!!!!	0.0034662588	0.67289287
Eureka 313A Steam Mop	0.3508802	0.78533214
WHAT A TURD....	0.054228473	0.75312054
Died after 1.5 years	0.11177233	0.79418993
Broke on the second use	0.031180922	0.77345634
eureka enviro steamer	0.99764144	0.87266415
Works good	0.42319506	0.7381382
cheap, but does not make floors clean	0.24386294	0.8420286
Like the size of it, dont like the amount of steam it produces	0.92503005	0.6444718
Quit working	0.027433624	0.7005408
A great fresh aroma after used.	0.98086584	0.92666256
so far so good	0.81616455	0.8079712
This purchase is a gift, exactly what I wanted.	0.8877369	0.15608786
Basic Steam Mop, Now Somewaht Out of Date	0.3035939	0.92323536
Steamer	0.7671253	0.688614
I like it	0.67829454	0.34605983
Didn't work at all!	0.13854046	0.6061631
STOPPED STEAMING AFTER JUST 20 DAYS.	0.00064725545	0.8297823
Not good	0.0068522547	0.8299741
floor steamer	0.9213815	0.7683619
Eureka	0.48180386	0.6860769
Best buy ever!!!	0.99901557	0.088864066
Not What I Hoped For	0.016686957	0.7504818
Maybe it's just me	0.5244219	0.6076786
Steam mops are all poorly designed	0.06363015	0.820106
not clean enough	0.5344671	0.74834937
not what I expected	0.48414433	0.6250829
Worst Steam Mop......PERIOD!	0.11158239	0.79380214
leaked	0.0049336995	0.8287712
SHORT LIFE FOR EUREKA HARD SURFACE FLOOR STEAMER	0.30173615	0.73688984
Can't recommend this one	0.024370354	0.8569013
excellent transation, nice light weight machine	0.9971103	0.85617006
save your money	0.0054659974	0.87214243
Heating element gave out -- about 10 uses in 10 weeks	0.14811184	0.69875425
very bad and not practical	0.03861678	0.68591803
Eco-friendly yes, but...	0.68293613	0.81545216
Not so good if your house is bigger than 22 sq. ft.	0.5410273	0.7692293
Steam floor cleaner	0.93500346	0.81581503
Does not perform as a steamer	0.013317333	0.6583075
THE WORST	0.013518794	0.6880925
Wanted to like it.... but couldn't	0.01864874	0.8235168
"LOVE this great ""green"" machine"	0.7647411	0.88942003
Really, really awful!!!	0.0033150194	0.74176323
Works	0.92542475	0.50897616
A complete waste of money	0.10621279	0.6434032
Jury still out	0.95484203	0.6249787
Wow don't believe the reviews on here!!!!	0.73654354	0.829235
Heats Up Fast and Mops Well, Just Wish Design Was Different!	0.831296	0.8770702
Convenient but doesn't actually clean	0.21471174	0.8509885
Horrible steam mop!	0.008034476	0.5341047
3 Uses Already dead	0.06544383	0.70128447
Sucks	0.010584656	0.5312518
A regular map would have done a better jod	0.003434268	0.47709817
I loved this for a month	0.21214251	0.7926233
Love it!	0.9992416	0.8851651
Ruined my wood floor - ran out of water quickly	0.064552635	0.7826763
Would Give Zero Stars If I Could	0.007846214	0.7174171
Worked ok.....dead in 23 months	0.019042097	0.75967485
One use & now it won't work	0.012073233	0.7409122
Junk	0.013085094	0.8945611
So far we love it!	0.8544252	0.8171716
DOES NOT CLEAN!!!!	0.40524277	0.8471248
Leaves Streaks, But I Love Everything Else About It.	0.96419287	0.85656184
wonderful	0.9814704	0.88246775
Not that well made....  :-(	0.012765574	0.73137796
Love it!	0.8484151	0.8905252
Great product.	0.9990264	0.895184
This is my 2nd one!!!!	0.94282573	0.7085631
Piece of junk	0.01122185	0.79356456
It did not clean my floor and left it dirty	0.027513213	0.5337786
Haven't really used it.	0.24601021	0.5595886
Okay--Not that great	0.48765987	0.68595445
I like It.	0.8132806	0.1566263
