sentiment_scores	genuineness_scores	summary
0.8849814	0.7709311	great value great protection 
0.9786618	0.7879939	all in one 
0.9822078000000002	0.65727484	good purchase
0.9990294	0.76940167	love it
0.991707	0.65193224	i love this item
0.90939546	0.8117145	i like my phone even better 
0.9852591	0.68997586	j e l i o u s
0.9970424000000001	0.93294823	elegant useful design for samsung galaxy note 2
0.016991048999999998	0.8146854	piece of crap
0.9939834000000001	0.91485304	this is perfect for samsung note 3 phone
0.94859695	0.83086	i love it 
0.99511516	0.70893824	wonderful case
0.9957855	0.74228233	great 
0.27969986	0.5853019	fantastic wallet 
0.99466014	0.79641783	love it
0.21216881	0.44865596	vegan leather what is that 
0.9135641	0.5144148000000001	amazing
0.97350585	0.69453543	review of product
0.58971715	0.45313638	dissatisfied
0.6756827	0.47965640000000004	good
0.99493587	0.7004195	everyone wants it 
0.9635696	0.8462360999999999	great case
0.84445053	0.7856236999999999	woot 
0.992865	0.78273	super handy
0.6773906999999999	0.6161854999999999	perfect case for note2
0.07474911	0.60222715	was not as described
0.006811111999999999	0.63527393	magnets and phones don t work 
0.104958445	0.69784385	not a good case for the note 3
0.9461258	0.6408687	color is pretty
0.20228192	0.24648732	wrong thing
0.78462756	0.75010383	functional
0.31661564	0.52170235	 it s ok 
0.77516073	0.74828863	amazing protection functional 
0.010167539	0.58475554	broke in 2 days
0.99836516	0.82265556	convenient and cute
0.018579513	0.18923247	galaxy 2 note
0.9854424999999999	0.8115474	color 
0.7927675000000001	0.6548794	leather case
0.8960259	0.703933	good quality
0.99261796	0.7369738	this is great 
0.92287624	0.85869896	great product wish they made a vertical one
0.9984390999999999	0.6549455	great case
0.98184264	0.5946431999999999	kool
0.9908041	0.7571014	love it
0.6033251000000001	0.6499202	phone cover
0.23763606	0.68506855	decent for the price
0.98503053	0.8096522	i am delighted with this case
0.07990900000000001	0.83487844	keep looking
0.9024658000000001	0.8086159	perfect case replaces the need for a clutch when going out
0.98180044	0.73662966	nice cover for the price
0.9889610000000001	0.76787275	great capacity
0.081391394	0.8330665	you get your money s worth
0.802431	0.7691104	great case for saving pocket space 
0.96179456	0.69548124	came sooner than expected
0.9942155999999999	0.45511260000000003	dope i love this case
0.7297964	0.3411278	loving it
0.98310304	0.77668965	note 2 case
0.5441505999999999	0.743204	nice 
0.9898292	0.73691505	i just love this phone case 
0.32899898	0.4072615	note3 case
0.9438171000000001	0.73785925	got it quick
0.941836	0.7798611999999999	missed it by that much
0.9238179	0.7181695	great product if
0.99952143	0.9098488000000001	great snap closure pocket book style note 2 case 
0.0937258	0.7338113	fatal flaw on the galaxy note 3 version of this case
0.99033785	0.6658443000000001	the best
0.9147978000000001	0.43132250000000005	love it
0.06271368	0.51112366	it s ok
0.14089409	0.74265784	broke in less than 10 days
0.008019745	0.65568167	very cheap material
0.96290034	0.65777314	great product
0.6706494000000001	0.3249216	samsung galxay not 2
0.11678147	0.5981812	magnet
0.92395735	0.8521006	maybe useful for some people
0.9655106999999999	0.65898544	great really meet my expectations
0.010522604	0.72569954	not really what i wanted
0.9547114	0.62389815	nice cover for galaxy note 2
0.15138021	0.56340563	its ok 
0.6400663000000001	0.5724942	good quality 
0.1248807	0.52191836	convenient but does not protect your phone 
0.9928367	0.73268485	a must have item 
0.9951514000000001	0.8015061	love it 
0.99376273	0.8993863000000001	well designed high quality for the price 
0.9273912	0.5840236	neat
0.9943546	0.80626136	great quality and fitment
0.050816238	0.205877	not adequate
0.98993325	0.6487305	black leather galaxy 2 cell phone case
0.083652765	0.5201283	loose and cumbersome
0.9944656999999999	0.73959374	great
0.96244115	0.7055251	i bought 3
0.9292642	0.58577305	excellent
0.35198906	0.57196075	a good idea
0.86160004	0.67553014	good until you use it
0.99728477	0.6462232	wallet case for my samsung note 2
0.0052993	0.6630043000000001	not durable
0.968281	0.6126644	great product 
0.93357706	0.68498045	very good for this price better than i thought
0.92758304	0.7873769	exactly what i was looking for 
0.9953233	0.8861346	great case
0.8046943	0.6190357	good
0.98740435	0.7171079	white phone case
0.9982909	0.73752457	love it
0.40611327	0.86031127	i m pleased with my wallet style case for my samsung galaxy note ii phone 
0.07092425	0.5726125	bad
0.98470294	0.87782365	great clutch replacement for a night out
0.9824016	0.74626535	love it 
0.8829280999999999	0.67352974	veryy cool
0.9805069	0.6973901	very nice phonecase 
0.9773959999999999	0.7215696	fits galaxy note 3
0.53325975	0.6960182	not impressed with the snaps
0.9979087	0.7737553	love
0.117690265	0.6776439999999999	loses 3 stars for the magnetic clasp
0.9528935	0.7052624	nice
0.99542856	0.92516166	the best value for the price of any similar product
0.99380016	0.8167299	stylish and functional
0.9330404	0.75889444	love it
0.64022684	0.75799817	pretty good case
0.9986134	0.7462753000000001	great phone protector
0.6048786	0.79614687	renders the s pen useless 
0.6532876	0.5844832	good for the price
0.15888661	0.39909506	not worth than a dollar
0.9869913	0.8174381	polished and beautiful note 3 case
0.022043824	0.68928903	exterior case peels
0.767336	0.77795744	good but not great
0.9992610000000001	0.75181234	love it
0.87331796	0.76526916	not as useful as i thought
0.20915341	0.6208333	more for your money
0.98529637	0.7191185	nice
0.99483824	0.6184361999999999	awesone
0.8391502000000001	0.7305056	s pen design error
0.013919204499999999	0.4047903	crap
0.07626456	0.38430005	fall fashion accessory for your new samsung galaxy note 2 ii n7100
0.9859892	0.8370763000000001	great
0.011066168999999999	0.33690679999999995	dissatisfied
0.99386746	0.7024239999999999	elegant pink red vegan leather wallet style phone case
0.6536371999999999	0.6741319	it s okay 
0.9965576999999999	0.7246260999999999	very handy
0.01312241	0.5394554	oversight
0.9880129999999999	0.6758404	good
0.10614681	0.53569	not satisfied
0.9671929	0.701347	nice product 
0.99215084	0.72672164	love it
0.9947572	0.78370035	very happy
0.9973264999999999	0.69593143	love love it
0.101964	0.28536922	it s ok
0.99504006	0.72189826	great product 
0.011941314	0.60050637	overall poor construction
0.16908309	0.79526305	if you don t use a bluetooth headset this may not be for you
0.80187565	0.6019760999999999	nice leather cover
0.949836	0.6083208000000001	favorite case 
0.972568	0.6746732	 excellent safe case
0.89792746	0.68379235	nice
0.9729078999999999	0.74081767	love it
0.7818125	0.5037809	kind of what i expect
0.055164545999999995	0.6801033000000001	garbage
0.99079037	0.82324016	note ii case
0.9874518	0.59115237	i say yes to buy it can t beat the price 
0.6065065	0.5843875	nice cheap case
0.83625954	0.4686795999999999	pretty case
0.15374666	0.28824311	not the right product for my galaxy s iii
0.14432615	0.42624283	great product
0.9986674999999999	0.84021556	i love it 
0.99018866	0.6935988000000001	samsung galaxy note ii leather wallet style case
0.98545724	0.6049394	great everyone that sees it wants it 
0.99544764	0.68406427	very nice case indeed 
0.08391696	0.58873844	leather wallet bad quality
0.034434438	0.6087182	first case i got for the note 2
0.9946011	0.7001739	hope customer
0.87093693	0.72790575	an alternative to what s out there 
0.9943582000000001	0.7359836	just what i was looking for
0.99643326	0.772043	love it
0.81853616	0.75993985	the closure is a snap not a magnet 
0.99924624	0.8007772	love love love it 
0.20806706	0.49843216	not bad just makes a big device larger
0.9904554	0.7807278	great for the price
0.99617416	0.79406774	great products
0.9706184999999999	0.6739888	great case 
0.9645529	0.67113477	my mother loves it
0.18911707	0.70571756	you get what you pay for
0.7253265	0.49453557	good case
0.85531974	0.7976985	good for the price
0.9232646000000001	0.81200564	own a samsung galxy note ii buy this item
0.98704433	0.8024583000000001	great case 
0.01765886	0.41119194	you won t post it
0.9994075000000001	0.78683925	galaxy note ii case
0.9943593000000001	0.80623114	i love this case
0.49274206	0.5890816999999999	not the color you think
0.9939812	0.79876286	just what i needed 
0.9724107	0.7558993	love it
0.29149258	0.54458064	i love this case 
0.9972768	0.8046175	love it 
0.07228604	0.6427936	galaxy note holder
0.966949	0.79637825	love my case
0.9981139000000001	0.7854693	very pleased
0.99349976	0.73698914	wonderful note2 protector
