sentiment_scores	genuineness_scores	summary
0.008952975	0.6699148	worst phone i have ever owned
0.004462719	0.36655402	bad phone and worse service
0.9456228000000001	0.8421949000000001	outstanding phone
0.8228636999999999	0.48058408	cingular razr headache
0.9938889000000001	0.8518671999999998	great phone 
0.9790339	0.85899687	great phone bluetooth tip 
0.00096929073	0.6434810999999999	unacceptable
0.9906461	0.9184559999999999	nice phone easy to use bright screen
0.02185151	0.7022225999999999	fancy looking crap phone
0.015096456000000001	0.54536164	good fashion but function is horrible
0.2680238	0.17460954	need your help
0.01452142	0.67755735	too many quality issues 
0.97237504	0.82265055	great phone read this 
0.03590688	0.5512537	utterly awful
0.3830577	0.84453034	not a bad phone
0.95613647	0.7574631	excellent we both love it
0.9009572	0.79924375	wow 
0.18810382	0.5548514	i miss it 
0.13637066	0.44903279999999995	nice phone but beware you cannot get rebate if you take your old number cingular 
0.8440247999999999	0.7337674	awesome
0.28958035	0.53673625	this phone stinks literally 
0.010472238	0.6760026	not a good product i m on my 3rd razor in 5mos 
0.93707174	0.77165055	reliability is what makes this phone worth it
0.052713364000000006	0.60313284	as a phone the razr is awful stay away from this phone 
0.73060733	0.67415434	great phone
0.64161384	0.78514904	i got a v3 razor silver
0.48755598	0.5884333	really sharp cell phone but
0.89215374	0.7758562	motorola razr v3 is off the hook 
0.9373144	0.8604031999999999	good phone however
0.68314624	0.9181950000000001	can you hear me now 
0.14594692	0.65955967	eh its
0.23208007	0.5177957999999999	at t former customer need to save current cell number 
0.4359964	0.3516769	never got the rebate
0.9955705	0.85937846	i luv the razr
0.6561767	0.6586886	very nice product 
0.9662774	0.9427073	great phone
0.15426695	0.7784506999999999	junk worst phone i ve ever had
0.038775116	0.82624125	it s tough looking cool
0.3490603	0.4686315	amazons poor policies
0.11337364	0.7607231	good quality bad feature set crippled usb
0.9288465	0.86455774	better than my past phones
0.031330675	0.46462905	phone not yet shipped
0.5899671999999999	0.77941585	great phone with many capabilities however a few drawbacks 
0.6274651	0.71976066	good times 
0.99431336	0.7388698	two words love it 
0.44346833	0.6341760000000001	beware of buy com offer for free razr 
0.015466571	0.501955	cingular is a weasal company
0.9891615	0.82176316	the best cell phone i ve owned
0.16192624	0.6311449	problems with motorola razr black
0.81893706	0.7996482	excellent phone
0.8638364	0.9227948	small annoyances overall good phone 
0.44025055	0.7244871	form before function in my experience 
0.120208055	0.6523576	razor problems
0.69718176	0.74343926	my first motorola
0.009183049	0.49173459999999997	don t get it
0.07411221	0.45648676	cant damn screen 
0.29780716	0.38848355	rebate
0.2895922	0.39857182	i hate this phone 
0.9391794	0.76323247	awsome
0.39181688	0.64281124	coolest phone
0.54696363	0.8354378	not the most reliable phone
0.3963308	0.7635579	good phone no rebate if ported 
0.10762718	0.7379048	i m glad i got insurance when i bought this phone
0.93121606	0.55578613	best
0.78661484	0.7478268	reception issue
0.9425187	0.73464304	overall great phone couple mirror things 
0.4108935	0.6157108	way too outdated but can t complain too much for being paid for using it
0.9984393	0.9149984	overall quite impressive indeed 
0.023479253	0.859001	nice hardware terrible interface 
0.054924995	0.6263218	too many problems
0.63141245	0.7859789	okay phone
0.83412766	0.635324	for truck drivers cingular
0.9845624	0.8446146000000001	does what a phone is supposed to do
0.8320898999999999	0.74053615	verly slick phone but can t use my existing headset
0.7883845	0.8233294	public service announcement differences between black and silver razr
0.026317865	0.7297884	no quality control
0.2922141	0.59040177	some featerus i really want but missing
0.15376297	0.7160938	beware what a phone if you cannot listen 
0.34746975	0.5925536	1 year contract with this phone 
0.8976255	0.8563837	great phone poor manual
0.034992665	0.7058766	2 razrs down 3 i m out
0.40996954	0.5780988	style but no substance
0.18210238	0.8484075000000001	nothing to it after the bling 
0.9934396000000001	0.8945136999999999	phone works great and stylish
0.99072856	0.9467238000000001	a road weary user gives his 2 cents worth
0.99723446	0.8883999	five months and still good 
0.07251385	0.7102289	worst cellphone i ever had
0.943442	0.6481539000000001	this phone is an amazing feet of ssience 
0.94904226	0.79974043	great phone great color right price but one caveat
0.7298889000000001	0.7846715	you should like this phone
0.18503273	0.8472091	 
0.9697216999999999	0.66902107	great phone
0.9927443000000001	0.91167104	razr thinn good features easy to use no issues whatelse you want 
0.33711305	0.75172436	wait for the next version toarrive 
0.087756604	0.7084959	very poor functions in a cute package
0.37960005	0.47915965	good phone bad headaches
0.8603146999999999	0.6729856	gimme a break 
0.9598799000000001	0.85496277	awesome phone with everything you have ever wanted
0.5710751000000001	0.8569821	looks great but lacks performance features 
0.054852813	0.67064416	lots of problems
0.049494624	0.595497	beware
0.9927408999999999	0.82389927	never had a problem just a great phone 
0.78823024	0.7590182	morons 
0.521475	0.57590187	oh razr how i loved you so 
0.19587961	0.29542497	amazon shipping
0.0032466053999999998	0.5649283	nice plastic phone
0.6506909000000001	0.6185016999999999	moto razr
0.6368878000000001	0.8633243	good phone good service
0.29467112	0.6060677	bad celly bad 
0.35750157	0.68986714	yes
0.059729964	0.6849092	caveat emptor
0.11999035	0.6715767	great phone with one major flaw
0.02284789	0.6086638000000001	power off problems
0.99870735	0.9533385	great phone especially at this price 
0.7324995	0.68939465	customize it if you don t like it
0.99633026	0.78062916	sleek and sexy
0.1886895	0.6520179	very disappointed
0.010455220999999999	0.7329055999999999	if you re going for looks it s a 5 for durability and usage it s a 1
0.9833497999999999	0.8885673000000001	motorola razr v3 top of the line cell phone
0.033230335	0.69147766	attracted to the phone because of it s size and slim ness but very dissapointed
0.42525652	0.70790863	good phone avoid cingular service
0.96579576	0.8464408000000001	works great so far 
0.050952822	0.35167529999999997	amazon s number portability
0.18352413	0.75354683	good features but fragile phone
0.53491277	0.7589610999999999	happy i ignored the 1 star reviews
0.30879754	0.46144637	caution read the fine print
0.92904985	0.8196716000000001	love phone battery charge is too short
0.1015867	0.61304426	nice little phone
0.013632476000000001	0.75601345	sleek but problems already 
0.99709857	0.8522371	best phone that i have ever owned 
0.31533927	0.40077683	poor cust serv on amazon s part
0.08197367	0.8112326999999999	didn t meet expectations
0.23112726	0.70386827	razr doesn t cut it
0.94247746	0.82856226	cell manufacturers take note
0.9958651	0.84642136	excellent phone
0.7873435000000001	0.4907682	would love to buy
0.97021055	0.9268055000000001	great sound quality but quirky software 
0.89337236	0.8021493000000001	difficult to operate
0.99155134	0.9406718000000001	tips and add ons
0.10726294	0.34514190000000006	amazon sucks
0.80672216	0.8167316	messaging issue
0.7486232	0.76516455	mostly i love this phone
0.85396594	0.91105855	once great cell phone
0.15097961	0.24511951	what rebate 
0.6911295	0.91815865	nice phone with lots of feautures
0.53188056	0.5627693	worth the cost
0.075417966	0.5388593	cheap motorola krap
0.9256457	0.8768374	slick phone read the manual 
0.99475217	0.85920763	cool phone
0.11698377	0.44164068	looks but that s it 
0.9252005999999999	0.8083509	unbias review
0.9483243	0.69993997	great phone except for earpiece volume
0.01527828	0.5886818	overhyped status symbol jack of all trades master of none
0.09642216599999999	0.5650024	don t make the same mistake as me
0.02609229	0.5591215	not a good phone
0.14957306	0.27378386	caution rebate issues
0.15847236	0.763257	style vs function
0.99576664	0.77640045	motorola
0.05602342	0.6889565	not impressed contemplating taking back 
0.43153995	0.47158999999999995	dont buy from amazon
