sentiment_scores	genuineness_scores	summary
0.5051535	0.7004836999999999	great idea
0.03618723	0.6730334	cell phone bust
0.28171244	0.14100757	hate it
0.00799495	0.51567924	upset
0.9808711999999999	0.8193009	very handy and exactly what i wanted 
0.009083866999999999	0.72738785	doesn t charge phone
0.03180936	0.8087959	was great until it wasn t
0.0014414787	0.70854545	caught on fire 
0.007277161	0.72303784	nice design but doesn t work
0.0037683845000000002	0.7098561	junk don t buy
0.74209905	0.57431436	awesome charger
0.015438288	0.5191098	no
0.99710786	0.82346433	works great with iphone 4s 
0.93653643	0.7566191	works perfectly 
0.9731506	0.6949301999999999	car charger i phone and i pod syle
0.9832226999999999	0.74692893	does the job well for a good price
0.07642582	0.6142025	audio doesn t work but does charge
0.21720666	0.21732426	okay
0.55009633	0.6732344	charger for iphone
0.18639907	0.64025843	gps doesn t speak when connected 
0.022874862000000003	0.7431844	broke in only a few weeks 
0.9790985999999999	0.83293396	works great 
0.9895214	0.83160895	reliable and efficient car charger
0.04789278	0.5437701	don t work
0.41256407	0.67624176	half right
0.9454739	0.7905514	meets my needs
0.03422278	0.52301604	works
0.17003673	0.67479795	no more audio
0.45711663	0.74728954	glad i went for the retractable cord
0.05664611	0.37783787	slow
0.14672363	0.7405331999999999	the case matters
0.03734392	0.68806577	worthless
0.014982551	0.69953054	item doesn t work don t waste your money
0.038170457000000005	0.6719941999999999	prevents audio playback
0.9879011999999999	0.86420214	excellent and compact
0.97842693	0.8443139000000001	works perfectly
0.029165626	0.578972	the worst product i ve ever bought
0.0033316612	0.7366696999999999	does not charge my iphone 4s
0.0010724664	0.7050582	this usb charger will not stay plugged into my iphone 4s
0.68838847	0.6797428000000001	great device at a very reasonable price 
0.99336386	0.7922151	nice and compact
0.9691870000000001	0.7208376999999999	perfect for my iphone 4s
0.4424219	0.6995916	cheap
0.9596442	0.73604155	somewhat impressed with product great vendor
0.062600285	0.70910144	does not work for my 3gs iphone
0.37136614	0.4182344	it would have 5 stars if 
0.12386158	0.54323995	purchased this by mistake
0.13982007	0.6723091	convenient to keep with me but
0.95250356	0.77547014	works great 
0.5975592	0.5244305	convenient charger
0.6349655	0.637436	needs instructions
0.7213139000000001	0.72374177	nice and compact extra usb is nice
0.4741641	0.6878241	convenient
0.70573026	0.76164	great product
0.5730304	0.8597437	great phone charger
0.007135241999999999	0.54432327	does not work on iphone4
0.12777996	0.18067550000000002	car charger
0.99673337	0.7311826	i phone car charger
0.96130896	0.7359458999999999	amazing product 
0.041326523	0.537447	this item did not work for my iphone 4s 
0.039885342000000004	0.57715744	this car charger after using it twice in maybe 5 months does not retract anymore i cannot believe the quality it charge
0.67263055	0.67081624	great recharger
0.9942008	0.79996324	best car charger ever owned
0.643914	0.72898215	great 
0.0002425313	0.6485853	this did not work
0.9259125	0.7893925	cell chargers
0.99526465	0.7219087	perfect 
0.08780455599999999	0.6231228	did not work 
0.18856993	0.76075613	iphone 4s issues
0.019340843	0.5720702	lasership is horrible
0.99147856	0.5400478	very good
0.10405579	0.8149615	not bad for price good customer service
0.99900055	0.84478605	hole in one 
0.032303214	0.6301729	bad purchase
0.9979453000000001	0.7002939	works great 
0.46314797	0.7756939	good while it lasted 
0.42188892	0.540461	it works
0.8430530999999999	0.7516438	charges fast retracts well
0.7873861	0.6939453000000001	retractable iphone car charger
0.040298134	0.45963329999999997	does not work for iphone 4s
0.13311744	0.5444852	not good
0.85952747	0.75050616	great charger but not with speck candyshell
0.301572	0.62640226	works adequitely 
0.36123854	0.6696828	good charger but 
0.08821523	0.49195778	another disappointment
0.9528948	0.8578034	really like this charger 
0.52726066	0.8305063	best car charger i ve bought from amazon for iphone
0.25478515	0.7220804	doesn t work for iphone 4s
0.69623446	0.71496254	so far so good
0.019277513	0.41903433	not a iphone4s charger
0.5933741	0.6823218000000001	works perfect with iphone 4 and 4s
0.9708648999999999	0.70865345	does the job perfectly 
0.17516974	0.37688327	okay but bulky
0.23405373	0.7084348	junk
0.3499143	0.7174929	4s charges way too slow
0.9270443000000002	0.7966974	works great
0.731896	0.7697347	almost
0.9906379000000001	0.79046214	charges super fast 
0.116238594	0.6153107	worked well for a month 
0.026167989	0.56282556	doesn t allow phone to ring 
0.015794098	0.58459544	quit working in short time
0.008220195999999999	0.7515055	very unhappy with item
0.98246187	0.7047349	iphone charger
0.29828548	0.68944824	works but
0.0015639067000000001	0.6569182	good idea crappy manufacturing
0.64028764	0.7359197	don t believe the negative reviews 
0.12297103	0.47258976	buy this
0.2168223	0.6454761	smoked seconds after plugging in 
0.012233286999999999	0.5401719	does not work on iphone 4s
0.030205846	0.62460446	big problem after a bit
0.04108745	0.5791426	ehh
