sentiment_scores	genuineness_scores	summary
0.89439845	0.6375916	case
0.88485485	0.7524914	worth it 
0.9909659	0.7682289000000001	great 
0.9437860999999999	0.7107344	yes 
0.688951	0.7565316	perfecttttttt 
0.46170405	0.6866361	ignore the bad reviews 
0.95361024	0.74477875	great
0.9977944999999999	0.782737	amazing case
0.057974637	0.5961852	broken 
0.010029227	0.63556385	waste of 
0.06424755	0.44862643	hey
0.86037207	0.7136216	bestitem
0.02445361	0.6127394	broke within a week
0.019521445	0.6187535	it broke after a month of use 
0.05021113	0.56396985	cracked case still works
0.0033154786	0.6487440999999999	no good
0.99784297	0.77624863	great product 
0.9904321	0.7895314	awesome
0.99795425	0.86163414	my daughter loves it it was a christmas gift so cute would love to get her different prints in this case 
0.9985272	0.78033644	99 128561 i m so glad i bought this quick
0.9909053	0.78289425	good case for the 
0.9991431999999999	0.83216524	great product 
0.99906707	0.7538666	great design
0.99296224	0.78657484	protective and cute
0.0071902573	0.81030583	nice but 
0.99562776	0.67064226	l o v e it 
0.9990709000000001	0.7809166000000001	love it lt 33
0.9992916	0.8089745	great case
0.81859815	0.6656538000000001	cover
0.5319858000000001	0.5745326999999999	missing wipe
0.042233765	0.43448493	didn t fit description
0.0006197691000000001	0.6523100000000001	horrible product
0.84739435	0.42378628	yessss
0.99250305	0.8589882999999999	love it
0.99745405	0.7340883	love it 
0.09729794	0.3896805	upset 
0.0064023435	0.5746927	one of the tabs
0.12252599	0.7510793	not terribly sturdy
0.06888142	0.7606	cute but breaks easily 
0.9688492	0.7656776999999999	love the design 
0.9948405	0.6943128000000001	very good
0.99609816	0.8353678	awesome
0.94778216	0.6349104	 lt 3 lt 3
0.012122005	0.62571144	quality of the case itself
0.6267045	0.5332237	i love it
0.9898517	0.7824677	i love it 
0.18960279	0.6159722	breaks quickly 
0.74325186	0.7860118	a great buy
0.98318934	0.80983806	love ittt
0.9917703999999999	0.60198885	hybrid case
0.99217296	0.7482388000000001	great item
0.9922885	0.7350401999999999	best cell phone cases for a very reasonable price 
0.016390383	0.5918642	ordered in may already broken
0.8972254000000001	0.75505996	love it 
0.7816468000000001	0.755707	i love this case
0.8749894	0.8092276999999999	okay
0.9955818000000001	0.7683793000000001	love this item
0.9728316999999999	0.7607003000000001	i just love it 
0.9995854999999999	0.7990751	great 
0.11713341	0.7250194000000001	it s ok
0.9715110999999998	0.84082365	very nice
0.9995016999999999	0.7809802	love this case 
0.9823209999999999	0.78299695	great product
0.00068080425	0.48649890000000007	terrible case
0.039669126	0.50345343	cracks easily
0.91480637	0.8139088000000001	this is a very attractive case 
0.89306474	0.683708	saved my ipod
0.87197626	0.82402766	solid case be careful when you put it on to 
0.989282	0.7683281	birthday present
0.33235604	0.5148667	good covet
0.8085608	0.5276951999999999	love
0.99658394	0.7304262	cute 
0.04683897	0.7254411000000001	not cool
0.8744476000000001	0.71181136	love it
0.35344845	0.58357954	hold up 
0.022868305	0.7672009	it s okay 
0.9936151	0.73899925	great product 
0.83086896	0.6698533	it was good but 
0.115397125	0.588806	the pandamimi
0.986392	0.6985078	amazing
0.4527928	0.6377801	ipod case
0.9922718	0.85072696	she loved the design and i loved the price
0.9916277	0.73358685	so cute
0.6447375	0.72350967	good case
0.98150325	0.8903207000000001	worth every penny 
0.98541105	0.7585235	pandamimi ulak hybrid pink hard aztec tribal pattern blue silicone
0.0037991405	0.48664498	don t buy it 
0.013219595	0.6143253000000001	four stars
0.99849	0.82080036	very cute 
0.8684721	0.7505541	attractive ipod case
0.8045888000000001	0.5900415	i love it 
0.9995404	0.71492183	amazeballs
0.97909844	0.54689085	my case
0.23586348	0.83983815	fun colorfull case you just have to be careful with it 
0.004481107	0.6970294	poor quality
0.016177416	0.5817165	cheaply made 
0.027772277999999997	0.35039770000000003	one star
0.0033217967	0.46504614	bad package i received it broken 
0.26119733	0.55949914	don t buy
0.8617822	0.6307113	i loved it
0.98378074	0.7598822	love the thing 
0.9892088	0.7543569999999999	love my case
0.9851776	0.6820239	perfect
0.9723815	0.83342075	please read this is a great case
0.9968398	0.7607986	excellent
0.011290729	0.6730182	already broke
0.91346145	0.44336125	five stars
0.06162092	0.6181554	a few weeks after i got it the sides chipped 
0.023875207000000002	0.65912485	wouldn t buy again
0.58463585	0.6303043	awesome 
0.996025	0.84379816	very satisfied 
0.017724454	0.49454436	broken easily
0.99101675	0.8308753000000001	i luv it
0.00871551	0.6859454	broke in a week
0.75707364	0.7916231	yay 
0.98596257	0.7245684	beautiful design and it has everything advertised above
0.9956746999999999	0.71866864	amazing 
0.019838303	0.6048678000000001	horrible quality
0.9991215	0.85660565	nice design
0.9982358	0.7627147	perf
0.81592596	0.8388094000000001	this case is ok
0.49673346	0.6291625	great customer service
0.9991299000000001	0.8265226999999999	great product and quality for the price
0.9901365	0.7834656999999999	elegant at its finest
0.013393462	0.6521437	waste if money
0.99838734	0.7756436999999999	quite durable 
0.10963693	0.59770495	not durable
0.15539765	0.62501854	okay but slightly disappointed 
0.9725925	0.758375	great phone case
0.9949783000000001	0.77774036	great case pandamini ulak 3 in 1 green aztec tribal pattern case for i touch 5
0.02833128	0.3294304	i give zero star
0.10059756	0.6458689999999999	attractive but not durable
0.029486775	0.6868371	dont buy 
0.9831281999999999	0.70992285	amazing 
0.9819492	0.8219472	great case
0.9872871999999999	0.6393565	review about this product
0.7409973000000001	0.6451762	one major selling point
0.99058217	0.75340277	best case i ve had 
0.99909294	0.7315003000000001	high quality case 
0.019854367	0.5700845	not really recommended
0.09996548	0.6576595999999999	okay 
0.97643095	0.78160477	very happy with this product 
0.047899425	0.6843278	ipod cover
0.050379395	0.6780633	not that great don t get it 
0.021378785	0.68836135	umm
0.10935637	0.544511	not to good 
0.9343389000000001	0.77190524	really nice case 
0.07888806	0.45004135	 
0.70040065	0.76156163	sad story 
0.011687517	0.5443963	crap
0.9975841000000001	0.8429960999999999	awesome case 
0.5320644	0.17477646	two stars
0.99719363	0.7718384	love it
0.99257934	0.7940904000000001	so pretty 
0.5392637	0.8021029000000001	good protection while it lasts
0.014104992	0.7223959	side clips do not stay clipped
0.01771319	0.76094615	be watchful 
0.07135621	0.788061	bad quality
0.96652573	0.5638673000000001	five stars
0.92704237	0.7941334	perfect
0.99459803	0.7750379	i love it
0.035536587	0.67683166	not impressed to say the least 
0.9997505999999999	0.8529985999999999	daughter loves it 
0.9932728000000001	0.6794926	perfect 
0.99520636	0.8135134	great case
0.04376009	0.7171398	lovely design but 
0.7481939999999999	0.72463804	put a little muscle
0.9591905999999999	0.7171430999999999	love it
0.6410859999999999	0.720966	case was defective customer service was wonderful though 
0.3873176	0.4652375	my case
0.9292370000000001	0.7482584	okay
0.9933455	0.8245094999999999	cute and protective
0.02179408	0.80726266	i would not recomend this case 
0.28353184	0.770622	nice but broke after bought it
0.0053554773	0.688247	loved the look poor quality 
0.99929965	0.81814396	green tribal azteck ipod case
0.94591045	0.80048466	came early
0.9899429	0.71887565	pretty case
0.22991782	0.6182814	beautiful case
0.99213815	0.7573954	amazing case
0.99362934	0.8142842	sturdy and super cute
0.9070009	0.7687349	sooo cute
0.03440225	0.7666997	fragile
0.060544968	0.49960779999999994	cant go wrong for the price
0.0012856424	0.7805685	broke after one day 
0.9801456000000001	0.79555595	great case for protection cuteness 
0.9365684000000001	0.8446802	good protection
0.9958289	0.72897166	it came early 
0.88609713	0.71086085	case 
0.5415472	0.6736063	pretty but 
0.26439267	0.75736415	piece of broken junk 
0.9943141	0.7205524	must buy 
0.99762255	0.81129193	ipod mom
0.99964345	0.84257865	my sister loves it 
0.99822223	0.8147439999999999	i m very happy 
0.07633084	0.44241056	nope
0.91082907	0.742125	ordered for daughter s new ipod
0.9825163	0.7620375	this item is even better when you see it
0.5451168000000001	0.7213158000000001	stylish
0.99784607	0.83181775	great case
0.9986676	0.75182736	tribal case
0.1383394	0.5911834	don t get me wrong
0.9333142	0.7501124	5 star
0.0112045705	0.8156394	axtec tribal pattern case
0.008142531	0.34569484	flimsy
0.35483426	0.61265725	so cute but im sad
0.0026568174	0.6862229999999999	broke
0.9938568000000001	0.7864523	superb case 
0.9901658000000001	0.7236749	very nice
0.99943936	0.84543717	great so far 
0.9330673	0.83553016	great case for the price
0.9895526	0.81980264	great ipod 5 case
0.008713037	0.43610707	broke 
0.9911243000000001	0.75456643	fun functional
0.12735373	0.5539086999999999	broke after 3 days
0.97986484	0.6347735999999999	cute
0.83949304	0.7184293	great case horrible smell 
0.9964931	0.7814021	perfect
0.99926114	0.8338491	love it 10084 65039 
0.9843238999999999	0.77732444	awesome
