sentiment_scores	genuineness_scores	summary
0.21766001	0.72789335	disapointed
0.02913034	0.5571765000000001	locks phones prevents calls incoming or outgoing
0.98522025	0.86356324	works as advertised and is very simple to install 
0.8486568000000001	0.7452506	oh my goodness great
0.9980564000000001	0.88871765	works
0.06493384	0.70253885	no joy 
0.042738587	0.59609324	did not help
0.9521748	0.70636874	works great
0.01957938	0.4771491	didn t work
0.043251127	0.3664878	didn t work at all 
0.34725505	0.614348	amazing 
0.8838414000000001	0.7922486999999999	a savior for the country life
0.20713145	0.44088998	take 5 
0.04135403	0.3552714	wilson signal booster
0.8066666	0.73755807	good job wilson 
0.9993011	0.8286532	great product
0.9992735999999999	0.90916514	heat saver
0.45023087	0.57456475	no signal equals no signal 
0.7591704	0.7108327	there wasn t enough info on the site a lot of details were hidden that made this a lot of wasted money 
0.13697842	0.7767470000000001	doesn t work too good
0.97537684	0.8303956	does what it says
0.0036999881	0.31424445	does not boost anything 
0.9776385000000001	0.9709065999999998	a good investment wilson s cellular signal booster a critical review
0.92585015	0.8378773000000002	not very powerful but sufficient
0.9779521000000001	0.85378623	works amazing once again a happy home 
0.9979315999999999	0.7954659000000001	cell phone booster did the trick
0.8579545	0.8537283000000001	works but has limitations
0.97349286	0.8743540999999999	simple to use but expensive cell phone signal boost system
0.9794489	0.74212325	good
0.92545056	0.822918	one word to the wise
0.4848999	0.75707567	signal strength
0.01832524	0.33408374	doesn t work with me
0.02787438	0.59111243	wilson desk signal booster not for everyone
0.9818127000000001	0.8335459000000001	great 
0.26225013	0.8952235000000001	new one works great but never buy a used one 
0.9993243	0.9246515	enabled cell use in my metal shop building
0.48780057	0.78511304	not what i expected
0.10781366	0.713148	purchase with caution 
0.97562563	0.8309735	read if you are considering buying 
0.89944315	0.83639634	excellent results went from one bar to five 
0.5026775	0.8762635	3g only
0.007190734	0.38569877	works very little once in a while and doesn t most of the time
0.9787103000000001	0.8896664000000001	wilson signal repeater
0.9988549999999999	0.9539912	works as marketed good signal boost for limited range great for basements 
0.32120433	0.83663255	wow how easy was that works wonderfully
0.9638658999999999	0.7240338000000001	no dropped call any more 
0.021123648	0.44649044	poor outside antenna
0.98461777	0.8394091	does exactly what it says it does 
0.9704044	0.76225007	cell phone booster
0.89542246	0.70591486	booster
0.9326956	0.8125498999999999	wonderfull product for those of you with a newly built home 
0.9938264000000001	0.92954725	simple to install and works
0.23213166	0.54233336	not any boost when used inside
0.13014522	0.66998947	not so good
0.20815509999999998	0.6975395999999999	not a good signal boost solution
