sentiment_scores	genuineness_scores	summary
0.0050296783	0.49822548	buy a samsung galaxy ace
0.013507247	0.66696346	unlocked samsung galaxy ace s5830
0.68820715	0.6949583	like phone
0.029924482000000002	0.61981523	the telephone shuts down itself permanently
0.98212564	0.77672225	samsung s5830l
0.9950711999999999	0.5508929	good
0.9987149	0.7354995	this is awesome phone 
0.012630343	0.55916464	cant use it 
0.8096566	0.7973473000000001	like it but had some trouble connecting to at t and language in spainish
0.07917443	0.62428236	phone is not worth it
0.038482994	0.64037293	bad product
0.9837799999999999	0.6842464	missing items
0.21167874	0.45745173	very low budget samsung
0.30598200000000003	0.44282126	nice phone 
0.03205073	0.51644665	beware
0.28643662	0.6422955	great for the price 
0.7836579	0.6992023	small internal memory
0.20787784	0.45676279999999997	bad business
0.92886305	0.8695659	great smartphone
0.47253242	0.55449367	dont buy this phone from this seller
0.058525442999999996	0.5178745	very disapointed 
0.082499355	0.6392498000000001	samsung s5830 galaxy ace unlocked phone black wireless phone accessory 
0.43977824	0.718023	works in india with south based carriers
0.50724626	0.83519936	this phone isn t worth the price don t buy it
0.9937891	0.8540015	great 
0.9683086	0.78979117	unlock is nice
0.99576175	0.7521175999999999	samsung s5830 galaxy ace
0.98703676	0.79589236	great phone
0.04694757	0.6668904	advertised as unlocked phone but in reality locked
0.08341807	0.46252042	out of date product
0.7988341	0.42897034	samsung
0.9772755999999999	0.77199197	good affordable phone 
0.76240695	0.6095029000000001	very nice
0.9905825999999999	0.7710519	luv this phone 
0.8356635	0.8669965000000001	pretty great except 
0.9634613999999999	0.63832545	worth the cost and more
0.053447127000000004	0.69802713	the phone starts off great
0.33744377	0.4106674	good phone 
0.9759257	0.76916456	beautiful little android
0.0036765933000000002	0.500881	terrible
0.8326657	0.63365376	great phone
0.015191078	0.78402245	severe quality control issues first and last samsung
0.06028828	0.6333432	do not buy this phone
0.998391	0.7560519	fast elegant confortable
0.09830311	0.41746759999999994	was not compatible with our plan
0.036852837	0.6249996999999999	this is not the s5830l
0.25692925	0.66187805	a good phone for the price but 
0.96516895	0.74243826	excellent
0.26510087	0.5700824999999999	good try samsung
0.23624164	0.5415803000000001	great phone 
0.8973066999999999	0.38282064	muy bueno
0.9192062	0.7282028	micro sd
0.98313147	0.56001985	are very nice
0.98860794	0.8418366	excellent price specs ratio
0.047996134	0.53011715	galaxy ace
0.9490626	0.8034828	samsung galaxy ace s5830
0.21694341	0.65084946	i had problems with the phone because it came locked
0.13382372	0.6501414000000001	samsung s5830 galaxy ace unlocked phone
0.031419486	0.6548155	it came with a different model number and instructions in spanish
0.06417161	0.4888508	terrible phone
0.06726503	0.6657324	my new phone
0.33509558	0.6173693	purty good
0.0038564205	0.52033657	broke quickly
0.91516566	0.82306594	samsung s5830 galaxy ace worse phone i have ever owned
0.30020416	0.56985927	small and slow not good for web cam but sufficient for basic use 
0.95168877	0.43487397	exelente 
0.81348264	0.34111756	excelente telefono
0.9945208000000001	0.8207691999999999	nice phone
0.055591583	0.6570651	warning do not buy this phone 
