sentiment_scores	genuineness_scores	summary
0.6461914000000001	0.81305003	good case but fit could be better 
0.9709718	0.8496651	love
0.9997553	0.92420614	perfect case
0.89383495	0.6543197	great product great customer service
0.99940383	0.90532607	excellent buy
0.9892498	0.78916883	works perfectly 
0.9860078000000001	0.76685965	love it 
0.022946984	0.4940347	two and a half feet from the floor was too far
0.97574025	0.6850629	effective and slim
0.6384678	0.79643804	excellent
0.48067440000000006	0.7065098000000001	black case clear case
0.8057964	0.6987901	exactly as described
0.98733985	0.87167937	no brainer
0.90736365	0.77674603	best 9 i ever spent 
0.47498035	0.6417335	ok not great 
0.98686266	0.7570511	totally worth it 
0.10021943	0.36000597	cimo flexible back case for droid razr m
0.8985274999999999	0.82284176	solid phone case
0.97378874	0.8280413000000001	very nice 
0.9972179	0.926731	just right
0.97939706	0.79478174	love the cover
0.9341851999999999	0.7904413	great fit for the motorola electrify m too
0.87884545	0.7151898	seems like plastic and not tpu material
0.9864608	0.8759037000000001	very good case for the galaxy note 2
0.848867	0.81245863	not as impressed as others
0.98320377	0.8705374	works well so far
0.00021058321	0.6601039000000001	horrible fitting case 
0.9705043999999999	0.87517506	better then expected
0.9969724	0.8588055	better than expected
0.20797515	0.40007734	wrong model case
0.99681246	0.8964890999999999	wife likes it
0.9937304	0.899272	great case also fits xt901 electrify m
0.98948145	0.7926091	great case
0.99551284	0.8649591999999999	perfect fit
0.8441360000000001	0.82086694	razor m case
0.99934125	0.806692	stop looking 
0.5744394	0.61901456	awesome case
0.97910154	0.75407314	surprisingly great quality for something so inexpensive buy it 
0.029337734	0.59999985	crappy but decent looking 
0.9078634	0.77250195	performs as expected
0.99885803	0.8317379999999999	great case
0.7913600000000001	0.79971707	awesome and beautiful 
0.9957590000000001	0.82526135	great fit great look great price 
0.9825200999999999	0.83913636	nice case for a nice price
0.9649556999999999	0.71792483	great case
0.008863449	0.34157709999999997	disappointed have not received this item as said by 3 7 13 very upset and will effect my future ordering from cimo
0.84401256	0.8584341000000001	perfect for me 
0.9697511000000001	0.82491374	nice case
0.8564002000000001	0.84764206	very nice case for note 2 exactly what it is described to be 
0.9981954	0.80899405	great case 
0.8813787000000001	0.81756955	just what i was hoping for
0.043477833	0.5153451	not what i expected
0.07375699	0.4827269	very disappointed 
0.99530375	0.88327795	very vibrant color blue and easy to put on my phone
0.99369633	0.78849244	as advertised
0.9008734	0.8606783000000001	best case for note ii
0.9910021999999999	0.8647799999999999	nice little case
0.99875236	0.8119639	great cover 
0.9089143	0.8342529000000001	great case for the price
0.99829036	0.8680700000000001	love it 
0.9005417	0.80622506	best phone i have ever owned
0.70946974	0.7913274	case fits phone great but it s not clear
0.008736401999999999	0.50356084	i don t like it 
0.99908936	0.86178803	great case
0.9110386	0.7584278	serves its purpose
0.9909029	0.7872983	great
0.87342864	0.81286466	works well
0.99512684	0.78306013	perfect fit
0.9177721999999999	0.7419965000000001	nice product
0.92899454	0.85507214	a very good value
0.76401293	0.7766249	just what i was looking for
0.99409497	0.8155754	perfect fit 
0.9945469000000001	0.81712973	value proposition
0.33580804	0.7435467	nice case 
0.97899085	0.8436167	works
0.99789965	0.80836743	perfect simple little case
0.98280656	0.84760725	great case for the summer 
0.9133395000000001	0.7694907	great little case inexpensive kinda strange color
0.41291744	0.61341697	flexible
0.96294385	0.7647121	good product 
0.8868731	0.85794926	perfect for what i wanted it
0.9994519000000001	0.86642975	great value provides protection without compromising sleek look of note ii 
0.9777030999999999	0.9030889000000001	super case super value
0.99715614	0.7891103	great
0.06226471	0.47783515	yellowing
0.029046386	0.44519132	wrong product
0.99317217	0.90603316	very good cover
0.9946339	0.83013153	great cover 
0.8416629000000001	0.79580486	great product great delivery speed
0.9969169	0.72569674	excellent
0.9968146000000001	0.87492055	good cover for razr m
0.9925163	0.8854985999999999	nice case
0.9571278	0.78108346	great product
0.6880338	0.7614758	good product would buy again
0.9850091000000001	0.9223271000000001	love this case finally the perfect case 
0.9988408999999999	0.8520886000000001	good case for razr m
0.95120406	0.8611718	nice
0.99042463	0.7434951999999999	this is the best cover for my phone
0.97057235	0.78132516	pretty good case
0.7068201	0.5619353	fits perfect
0.8919673	0.9192023000000001	quality case for a reasonable price 
0.9997355	0.8704280999999999	great case
0.9617316999999999	0.8144306	great price great look great feel
0.98769176	0.893991	great purchase 
