summary	sentiment	genuineness
Great!	0.8273531	0.55002475
Reliable, quiet, fast, and large capacity at a GREAT price!	0.9123856	0.8071199
Big data capacity, absurdly short data cord and downright dumb disk activity light placement...	0.30737224	0.73436236
Best of all drives	0.8606598	0.8282526
Great buy	0.99185354	0.76169044
Not for Linux users	0.13114706	0.6812972
Do not use the backup software	0.00798841	0.59765804
Broke 13 days after return window expired	0.025831835	0.57063913
All what I need	0.45683822	0.36730266
great drives but !	0.79500705	0.6144305
Fantastic HD	0.9931803	0.65947235
Horrible Product!! Went dead in just 3 months!!	0.005887863	0.6057653
May Crashed	0.16724327	0.35707462
DO NOT BUY THIS: It breaks immediately.	0.0055076387	0.423656
Two separate drives with the same major problem	0.024429657	0.80146086
Fast, Small, Light With USB3.0 Magic	0.7900686	0.8601298
Excellent	0.88596946	0.5263734
Started to fail after just over one year	0.07623771	0.737384
Silent Performer	0.9502146	0.65186757
Great Buy	0.9013912	0.6574898
Great product	0.99504566	0.7198339
Misleading.	0.30303237	0.5135491
Its ok.	0.32879975	0.5637329
Great product	0.57066053	0.40983492
Worst portable ever.	0.108924866	0.71855533
Very small disk with a lot of space	0.9176136	0.7694987
Good hard drive, terrible software	0.8019627	0.8350383
external hard drive	0.3902156	0.6093383
Incredibly thin!	0.9907934	0.57997304
my send WD	0.6163976	0.3894381
no password	0.47050187	0.29919732
Disco duro externo	0.85437036	0.18003921
Worst Portable Hard Drive Ever	0.0047070524	0.48758107
My Review	0.98301333	0.6844622
Easy to use	0.89070654	0.4738068
Great product	0.99859124	0.72072446
I thought it died, but it works great!!!	0.8514078	0.75042635
Just take care of it!	0.024987616	0.6013667
It's ok	0.43227452	0.536207
it dies one day just like that	0.78788584	0.5576636
Just Perfect	0.97902495	0.7275013
Excellent Device but not pleased with the service!	0.9687904	0.7202934
Good Hard Drive bad service	0.892086	0.6283967
Great - works with my Nexus 7 tablet	0.96274984	0.83552855
Very nice!	0.98615474	0.65492946
Stopped working after 31 days 1 day after return policy expired!	0.31895033	0.62702346
Don't buy it ! Buy the new model	0.18904755	0.46255782
WD Tech support needs to be improved.	0.04215235	0.54257673
The price was good but very complicated to get started.	0.20691353	0.3766619
Not Working	0.21932153	0.5116327
Perfect for my needs	0.99319977	0.6537899
This is not what I wanted to get.	0.3576001	0.28962004
What's not to like	0.94337994	0.51701236
wd my 2TB Portable ExternalUSB 3.0 Hard Driv e  Storage Black	0.34373903	0.2857911
Great compact external Hard Drive	0.8826908	0.8489745
Very happy customer!	0.986392	0.69410515
Hard Drive that Works	0.36167455	0.5884023
Works well	0.99438465	0.7544894
Dont like the firmware lock	0.008473036	0.50397325
Great!!	0.9878186	0.6108016
My Passport	0.97717535	0.62143725
This Sucks!	0.17795137	0.49087694
What a piece of crap	0.015996233	0.5920343
Biggest mistake ever	0.030471595	0.46739316
My 3rd Passport	0.51714814	0.7573948
Awful support and USB 3 cables	0.5012399	0.71397483
Nothing but problems	0.19417681	0.679893
Good Drive, but where is my 2TB?	0.8050687	0.79907864
Great hardware; software sucks	0.22912514	0.7162602
Great hardware - Skip the software	0.6918101	0.8130287
great buy	0.88506705	0.33295712
So small yet mighty	0.99825674	0.76461554
USB has loose connection	0.6121633	0.5204524
Works great with Mac	0.9928035	0.38849047
Is that a terabyte in your pocket, or are you just glad to see me?	0.9977188	0.8047098
F	0.4053668	0.4426783
Haven't used it yet	0.92408717	0.3100427
Mac users: requires reformatting	0.040271387	0.4941232
Not all models (colors) have the same firmware (handycam compatibility)	0.08585351	0.52531195
Lightning fast transfers and TINY	0.9002127	0.76675856
Dead on Arrival	0.005276396	0.41482645
buen entrega y compra	0.9360609	0.18304724
I wish if I can buy more of these :)	0.93479437	0.6994055
can't access files backed up	0.30962318	0.72440016
Useful. Does it's job.	0.9985435	0.6640564
