sentiment_scores	genuineness_scores	summary
0.95675504	0.7165413	good headset
0.9751698000000001	0.72909546	plantronics headset
0.99530816	0.8443463999999999	awesome headset
0.6763749	0.7992443	if only the battery would last longer
0.9880507	0.81013405	amazing
0.9661028	0.8927742000000001	great headset in a not so great package 
0.49874666	0.86123425	almost excellent
0.054670453	0.5212694999999999	clumsy
0.9370668	0.79885876	good headset great accessories
0.38267204	0.75522554	cool earpiece
0.9933485000000001	0.90323883	blue tooth plantronics 640
0.995381	0.8286671999999998	plantronics discovery 640 bluetooth cell phone headset
0.9666259	0.753711	so far so good
0.05814323	0.7114253	great design lousy sound quality 
0.1887581	0.72306305	sorry but i m still not excited after 2 days
0.5569116999999999	0.73520255	great with 2 drawbacks
0.9709924999999999	0.8443011999999999	best one i have tried yet 
0.96581185	0.8407289000000001	great headset better than motorola 850 
0.9545764999999999	0.90699613	great performance 1 drawback
0.9705565999999999	0.860165	good headset
0.04606262	0.723649	wouldn t buy it again
0.39171198	0.7577832	great but
0.9101933000000001	0.8635645000000001	buyers with problems using razr please read
0.97717786	0.8900474	small good audio quality
0.8335024	0.7055478000000001	great in quiet environment
0.4132769	0.58833927	not good when there is a lot of noise
0.60299593	0.7325286	handsfree
0.99486613	0.92686194	great little headset 
0.6914956	0.6980064	ear bud s don t stay in ear very well
0.044802547000000005	0.61528087	don t buy it
0.0072345138	0.7165799	very poor design
0.9420129	0.85605204	a very good product
0.06150353	0.7497868000000001	a couple of problems make this a so so headset
0.99460644	0.88637054	excellent 
0.57653487	0.8021686	my journey for bluetooth ends here 
0.010332048	0.8240291999999999	nice idea but poorly implemented
0.121408165	0.5104128	not for me
0.9732917999999999	0.9196898000000001	great unit except for the sound quality 
0.9885326999999999	0.8022272	outstanding
0.99858975	0.8630123	i love this thing 
0.80693734	0.875891	i love this headset
0.9572347	0.7163837	your voice sound is poor very delicate but doesn t connecto to my iphone 3gs 
0.35405585	0.82774144	piece of junk do not buy 
0.8727927	0.8077723000000001	very expensive piece of garbage
0.17444825	0.76667964	deteriorating quality
0.47553190000000006	0.71203405	annoyingly good
0.98570156	0.82640857	plantronics 640 is worth the discovery 
0.75424194	0.8577389000000001	great sound quality but piece has some drawbacks
0.9903216999999999	0.9728198	the best bluetooth headset i ve tried
0.93617904	0.8501728000000001	good performance and poor accessories
0.5968236	0.8557379999999999	innovative design highly functional great sound quality convenient and light what else can i look for 
0.40901148	0.32481509999999997	great little headset
0.78776014	0.8480761	good headset
0.24143973	0.7435839	performance good but uncomfortable
0.7414588000000001	0.68149585	run away 
0.6284463	0.538483	awesome device
0.093177706	0.7506709	do yourself a favor by not buying this 
0.22795182	0.6812443	the headset does not snap into the charger firmly
0.4018142	0.59856904	works well
0.97234005	0.8411876	the reviews are correct 
0.9579495000000001	0.82290137	no problems
0.06854376	0.6970284999999999	useless thing
0.9937904000000001	0.84976536	good sound and a comfortable cell phone headset
0.81936675	0.76188207	the best
0.017180234	0.72678965	poor charging unit
0.9868851000000001	0.71793056	when it s on you don t even know it i like that 
0.98435295	0.921919	best setup for my particular tastes 
0.84519243	0.78035986	can t complain
0.59312093	0.71909606	plantronics bluetooth
0.007407993000000001	0.43442956	poor performance
0.9412607	0.7612214	it works with skype
0.9339656999999999	0.83883595	excellent 
0.0853031	0.7297677	good but not great in the car
0.9975008	0.9391773999999999	the best bluetooth headset
0.9804504	0.8023833	best i ve seen 
0.8569481	0.8367398000000001	best bt headset yet
0.9946514999999999	0.86159563	great all around bluetooth headset
0.80779594	0.92039347	everything is relative 
0.67982894	0.83307135	pretty good
0.59836584	0.67074597	usually good but not this time
0.9386424999999999	0.88630056	fantastic so far 
0.68443775	0.7132323	it s all true the good the bad and the ugly
0.0958502	0.5917728	discounted for a reason
0.28272197	0.77868056	best i ve tried
0.5207474	0.75819075	great headset 4 5 stars 
0.003590405	0.65548044	disappointing purchase
0.9805280000000001	0.8652774	nice bluetooth headset
0.5535233	0.7955734999999999	great if you are not on the go
0.94654083	0.8922356	great headset but there are realities to it
0.29436105	0.82019055	good headset but not for noisy environments
0.9897166	0.8400776	am very pleased with purchase of the discovery 640
0.31178093	0.79573566	right about in the middle not a fan of the detachable earpiece 
0.8203349	0.9257405999999999	supper comfortable headset
0.085639745	0.7931355	nice headset difficult to manager
0.1211046	0.59324574	nice form poor performance
0.957541	0.86238635	treo 650 owner s get this headset 
0.85369664	0.8597056999999999	excellent device
0.061409622000000004	0.58031374	nbtech
0.9444891	0.81661004	it s great 
0.89945126	0.7090388000000001	great product very easy to lose
0.100674	0.6468203	for the price this product is a rip off
0.041124046000000004	0.7325116	great on paper
0.7442227	0.86123526	excellent headset
0.9466404	0.84907657	best avaliable
0.9420685999999999	0.81500113	absolutely fantastic 
0.8094819000000001	0.8415364	it works with treo 650 despite of reviews
0.9812068000000002	0.9021611999999999	the best i ve used yet 
0.9901260000000001	0.77622414	excellent headset 
