summary	sentiment	genuineness
DO NOT BUY THIS PIECE OF **** VACUUM	0.0006850453	0.7477733
Powerful	0.93883806	0.7228128
Product was on its' last leg.	0.0018152912	0.8468069
Have had for 2 years. Still happy with purchase!	0.9786865	0.88232493
Survives my pets!	0.92769873	0.86133385
Great Vacuum for a Great Price!	0.8771498	0.91409016
Hoover WindTunnel Pet Rewind Plus Upright Vacuum	0.880542	0.9193535
Great vacuum- does the job	0.98029697	0.87643653
Better than Dyson	0.9863165	0.9004258
Suck It Up	0.9908825	0.81611216
Good while it worked.	0.33262902	0.8596953
Great  Love It	0.8348909	0.9216563
Broken down junk	0.009590198	0.8062892
Great vacuum	0.9608247	0.8157463
so far so good	0.97564346	0.92026365
Great suction power!	0.9925701	0.8291524
So happy to give this little buddy a forever home.	0.9976278	0.92830247
Had to return it.	0.014407739	0.7560615
No what I thought	0.7699855	0.8405703
Suction good, cord, not so good.	0.91329974	0.77379686
Unless you're a weightlifter.....	0.08053361	0.7034097
Great Product	0.9830888	0.74504757
This vacuum sucks. Which is good for a vacuum.	0.76762855	0.91244256
Very Light	0.95256984	0.76852006
Good quality pet vac	0.3718489	0.7964216
Should be 6 stars...Amazing!!	0.99674714	0.8719363
I hated vacuuming. Now I don't mind!	0.4717717	0.8870663
Great vacuum	0.99671316	0.52235466
kendra	0.006688164	0.77402836
Good vacuum for the price	0.4039563	0.85779613
Worst purchase of my life	0.047274526	0.8366935
DEAD 5 months later	0.0055153933	0.71580154
Vacuum overheats and quits	0.01977456	0.77230525
Equal to the Kirby in pet hair and dirt removal	0.99790514	0.9161254
worked great THEN DIED!	0.022881255	0.84032935
I love this vacuum!	0.8431061	0.76439446
Husband and mom love it!	0.32368883	0.655821
Hoover in, Dyson out!!!	0.87465894	0.86594605
useless on bare floors	0.024795411	0.7411091
Refurbished or used product?	0.045965705	0.43904027
Moves itself	0.9615236	0.84655106
Great price, does the job	0.9658469	0.8639683
"This is our ""senior"" lifesaver!"	0.998396	0.87541413
Amazing Vacuum for the Price!	0.98969716	0.94125926
great vac	0.9936655	0.8404564
Great buy	0.9155424	0.73463225
Good, not great.  Poor Dirt Container Design .	0.05965963	0.69022477
Does not last- poor quality	0.34651035	0.79853046
love it	0.9931902	0.85116535
Great vacuum for a great price	0.9962955	0.80384964
Hoover WindTunnel advantages	0.9765523	0.79518306
retractable cord does not extend	0.07452813	0.47819993
Died 18 days after return window	0.003988581	0.6897145
If you're planning to use the hose and wand, pass this one by.	0.23518725	0.794451
awesome. highly recommend	0.9719301	0.92483455
Best. Vacuum. Ever.	0.9990879	0.8273094
Cord rewind will break!	0.18350501	0.7713479
JUNK!	0.11525804	0.7279138
