summary	sentiment	genuineness
Waste of money	0.2103859	0.29959887
Cookware for life!	0.9725123	0.89291495
Very rough and porous	0.111102685	0.7227662
Good for the money	0.832476	0.33232677
Great Product, Best Value	0.9987889	0.91531247
Okay for eggs if you don't mind them scrambled.	0.072290234	0.77058864
This IS the skillet you are looking for ((Jedi hand wave))	0.9740176	0.8686815
It seems like a good product on first inspection and I am ...	0.50896275	0.6705244
Great for someone who doesn't do much cooking	0.98849434	0.84482425
Nice Size	0.9228814	0.8258439
Lodge cast iron skillet	0.92392105	0.8415042
"Love Lodge, but hate ""Pre-Seasoned"""	0.2194534	0.783995
Rusted.	0.018586185	0.45195898
came damaged	0.31255525	0.71223056
As good as you're gonna get out of modern castiron	0.88266027	0.8042375
Awesome - especially for steaks and chops	0.9723914	0.95041543
Great skillet, but get the 10 inch first	0.7864922	0.8577294
Guys like me: Measure before purchase	0.55735344	0.5368695
Excellent every day Cast Iron Skillet	0.9979309	0.8633612
GREAT PAN	0.9689659	0.87187487
Found cheaper at Walmart	0.2989196	0.33654335
Great Skillet, The best part is that its MADE IN USA	0.99601114	0.90378255
A must have for the kitchen.	0.97550565	0.8919349
no sticking from the start	0.7701521	0.9008828
Good for baking dessert!	0.997837	0.872297
NOT FOR GLASS CERAMIC	0.058964852	0.8051096
Indestructible & a joy to cook with - best value for money in cookware	0.8115005	0.9638089
The most versitile and BEST non-stick pan you will ever own!	0.9996013	0.93012285
Just what i expected	0.86696595	0.78154784
Wiorth every penny	0.99922156	0.7996147
Do NOT season it... try this instead.	0.988332	0.95571
Love it so far	0.82356435	0.8170395
Happy friend	0.9959656	0.5816612
AWESOME PRODUCT	0.48227435	0.77404404
Overpriced!!!!!!!	0.5867801	0.2217089
Solid	0.5793126	0.6296277
Wonderful	0.89057755	0.9014221
I have no complaints.	0.895905	0.8568499
It's great	0.97286725	0.85129195
great cast iron skillet	0.992568	0.84001464
Can't live without it!	0.9911856	0.938144
Attention Cast Iron Newbies!  (keep the negative reviews in context)	0.3246106	0.9126076
Pizza Time!	0.8555223	0.40512833
Love my cast iron	0.9881583	0.8667789
New to cast iron	0.8261496	0.892254
Good	0.9775079	0.4550818
Great product, better price	0.9452219	0.9333578
Almost perfect pan.	0.98281646	0.9544711
GREAT buy	0.996005	0.8602542
Great Skillet!!	0.68821484	0.43153185
Great	0.99847203	0.9048998
Lodge Logic 12-inch skillet	0.7987243	0.88014644
New to Cast Iron Skillets	0.9367617	0.8775469
Best kitchen pan I ever bought!	0.95758474	0.8988764
10 1/4 Skillet holds ALOT	0.96664363	0.95965827
classic and well seasoned	0.19594215	0.67888147
Excellent Barbecue accessory	0.9107412	0.8908824
First ever cast iron pan	0.96505487	0.8796403
This Pan is Awesome!!!	0.99808145	0.76898175
Great Pan!	0.912063	0.88358533
Lodge 8 inch cast iron skillet	0.87703377	0.8264198
Poorly packed, cracked	0.8129783	0.7427103
I love these!!!	0.9967632	0.8181994
Will last a lifetime	0.83237004	0.845343
Best skillet for asian cooking	0.90096	0.8949227
It is very good	0.9281063	0.72830683
What a difference a QUALITY cast iron skillet makes!	0.99760616	0.81125396
Two handles are a great addition to this pan	0.9474027	0.75610256
Get the 12 incher!	0.8967491	0.7743646
Wish I'd known...	0.66513556	0.15200877
REALLY tiny!	0.07645147	0.59281856
