summary	sentiment	genuineness
Four Stars	0.9490564	0.4476736
Compact Air Cleaner	0.53596735	0.84695095
Helped our boys.	0.9242896	0.7595977
Good unit	0.35856566	0.75677955
Much too loud	0.31452042	0.59813786
Easy to maintain, compact, great white noise	0.91808593	0.8329425
Very Good Product	0.86894715	0.8950621
Not what I expected	0.0035471842	0.79175824
Almost too good.	0.2769194	0.6279044
International Shipping & Electrical Requirement	0.57660604	0.46821147
Helps with Allergies	0.9743799	0.9262323
Ok purifier	0.89940757	0.82216936
Glad I decided to try it!	0.84524274	0.8227302
Compact and handy	0.94558066	0.80493504
Extremely NOISY	0.061201733	0.6453711
Works Well	0.8837717	0.49754354
Not very powerfull but still gets the job done.	0.8618036	0.76925606
I love it!	0.14518546	0.6366538
Good Filtration, Too Noisey	0.12884672	0.66549283
great for smaller rooms	0.99565107	0.8653079
Love this air purifer!	0.8258421	0.89453685
I need another!!	0.9702764	0.8416387
works very well	0.9813463	0.81621945
Cleaned the Air of Smoke odors	0.2635128	0.71592224
Good but noisy	0.048505586	0.5237478
Good units	0.919462	0.8116645
Noisy but works well for cigarette smoke	0.7275273	0.81107235
A little too noisy for bedroom but works very well.	0.5306517	0.89512575
NOT WELL MADE	0.0034182325	0.7355762
Great for kids bedroom	0.9505216	0.8503085
Energy Usage	0.826433	0.6271622
Booger Reducer!	0.8077018	0.7822001
So far so good!	0.9874537	0.7964054
Honeywell HHT-011 Air Purifier	0.9858167	0.6231087
Removed Cooking Odors and Pet Dander	0.7431801	0.87111604
Just stopped working	0.00258924	0.54810506
Great Product!	0.91937166	0.7198031
It's good!	0.975177	0.789352
Just what I needed!	0.9907515	0.7502927
Great value.	0.9945036	0.7716684
Does the job I guess	0.5467814	0.7819257
Almost can't believe it!	0.92491794	0.8513216
works	0.90883815	0.7517248
this product broke down after 2 weeks of use	0.015648622	0.58420557
Good HEPA Purifier for Lg Room	0.99542856	0.8444606
Warning.  Burned out (literally smoked) in less than six months.	0.0049408306	0.645121
Compact and does the job....	0.59223914	0.77584344
Love it	0.99721485	0.84869486
Noisy, seems to do nothing.	0.009706038	0.621049
So far, excellent!	0.9877786	0.80928797
Excellent for cleaning air and removing dust	0.9290665	0.8294123
Poor quality	0.07982251	0.72733605
it does what it needs to	0.3957386	0.5624875
Tabletop - I Got a Good One	0.98815316	0.913303
Excellent purifier!	0.99884784	0.8670059
Loud, but works!	0.981499	0.9319415
Good for the price	0.9228858	0.85977596
Exactly what I was looking for.	0.95372194	0.888131
Noisy but it works	0.3753671	0.70191157
Love It	0.4306705	0.76418483
Right now I like it	0.21660005	0.47769538
Great Product for Price Range	0.97135633	0.9082145
So far so good!	0.79134786	0.82747424
Not so noisy	0.78951955	0.7723477
too noisy and not very effective, so far	0.11559178	0.92485726
Works well, relatively small, good price - gets louder with time.	0.36504078	0.8298393
Great Price, Works Great	0.99197465	0.8621694
Great air purifier for the price!	0.828072	0.79878885
poor quality	0.033435896	0.7298599
Dusty pollen allergies	0.9245063	0.8422966
Does what you expect	0.9781	0.75484496
I don't know how I breathed without it	0.5987902	0.7419695
Less Odor around litterboxes	0.69255304	0.824717
3 Stars reason why.	0.54412943	0.82465035
too noisy	0.48089272	0.6843917
Worked well until it died	0.002755094	0.80286217
Works great!	0.98377454	0.7873575
Noisy!	0.3660472	0.48922408
#1 best seller? Setting #1 didnt work out of the  box!	0.055032574	0.6443993
Quiet vs Silent	0.6072946	0.77646196
Great	0.290441	0.74592197
Just don't know	0.35104677	0.77221394
Excellent Value	0.90637994	0.89152783
loved holmes air purifiers	0.980785	0.88832647
Killer Air Purifier	0.9763559	0.88227564
Amazing Product	0.991091	0.9064296
Works OK for the price and upkeep, but 2 main caveats	0.68549633	0.89112085
I ordered 2 of these and am very happy with them!	0.98135364	0.8023519
Great Little Purifier for the $$$$	0.9446294	0.83063626
Not very good	0.008426298	0.71255434
I don't get it but it works fine	0.7585596	0.88433266
Use it in my bedroom	0.7426752	0.7145356
Worked well for exactly a year before it quit.	0.46808985	0.88743997
Doesn't work for smoke	0.22890688	0.5166554
Good, but LOUD	0.24098016	0.67618567
Works good, can't complain for the price.	0.90347457	0.74312127
Very effective for reasonably sized rooms, but a bit noisy...	0.9600705	0.8752763
Liked at first / hated after replacement filter	0.49325114	0.78740895
Great HEPA filter, easy to use	0.54292846	0.83467585
air feels better	0.8368562	0.7515304
I give this a 4.5/5	0.7927507	0.803626
Trilled	0.9918467	0.85091865
I bought this in May 2010 and it's still running strong.	0.99462306	0.8807102
Very Impressed!	0.90788245	0.8746975
Bad Odor Emits from this brand new purifier	0.0060735317	0.6796286
Worked great but broke after a few months - Fire risk?	0.016757756	0.84806573
No more headaches	0.9959478	0.8058201
Does absolutely nothing but make noise!	0.013506895	0.7034848
Good little air cleaner	0.88074046	0.73217374
Works Great	0.97403866	0.8251092
Severely disappointed.	0.005573436	0.7698539
Quit working after 4 months!	0.075945035	0.7332033
Works Great	0.11797223	0.66437674
Absolutely fabulous.	0.8384399	0.8034097
WOW	0.9686233	0.19328722
Air Purifier	0.9019888	0.8472548
Purifier	0.12333463	0.7250655
sleep like a dream	0.98488927	0.7901103
Works well	0.95109487	0.72665995
Gets the job done - no filters to change!	0.8331619	0.8880566
Good For Large or Small rooms	0.8995265	0.81635946
So far so good	0.85737	0.853022
Fan developed a rattle after about a week.	0.0042595775	0.78830165
Works alright, kinda loud	0.629675	0.5667391
Worked for a few months, then filtered air began emitting a funny odor	0.0050745183	0.9042715
Perfect small air purifier	0.99112284	0.8086714
not convinced	0.9508472	0.6741464
works wonderfully	0.73247844	0.7714911
A bit noisy, but good	0.8211525	0.8871909
Works well	0.9834479	0.6648263
