summary	sentiment	genuineness
Paderno World Cuisine A4982799 Tri-Blade Plastic Spiral Vegetable Slicer	0.9978775	0.7061825
It works!	0.9952596	0.8872041
Oodles of Zoodles	0.987501	0.72289217
chintzy	0.8131713	0.78678477
Pros and Cons	0.755599	0.8880973
Fun product	0.7815999	0.5527618
Horrible waste of money. Did not work. Made poorly out of cheap plastic .	0.00022939798	0.57199484
Making veggies fun	0.90315133	0.7661005
does not cut but rather mutilates	0.00081498694	0.76292586
Cute...,.but useless!!	0.2795242	0.3605947
Spaghetti made with Zucchini is the best	0.6052679	0.7904868
Ehhhhh	0.07600606	0.767336
Turning Slicer	0.99278885	0.835153
Great product	0.9907996	0.8156943
Love this slicer!	0.9979906	0.8765272
very nice	0.26590046	0.4185627
Actually spiralizes!	0.67512447	0.7522333
So Easy! So convenient	0.8179265	0.83859843
Great for any diet.	0.37418368	0.6324956
spiral vegetable slicer	0.03518171	0.73620963
Paderno World Cuisine Spiral Vegie Slicer	0.98837566	0.9272112
This is fun!	0.98102504	0.8172593
Deeply Flawed	0.014551257	0.7759864
Best kitchen gaget	0.9909972	0.7151067
Something good to have	0.9886996	0.80636144
flimsy and bulky	0.4357093	0.33763185
My favorite new toy!	0.943304	0.9048407
Better than I expected!	0.9720418	0.89117557
Works great, daughter loves the veggies!	0.94878083	0.809088
EXACTLY WHAT I WANTED	0.9965006	0.8303623
Love this product.	0.999108	0.77554506
Love it!	0.93189627	0.68683696
Really hard to manage product, returned	0.120332286	0.5182372
Not for me	0.261311	0.5144853
Everyone needs one!	0.9401802	0.8117242
Super fast and fun!	0.9990392	0.9544495
Amazing	0.9669043	0.67678976
I loved my new Paderno	0.922572	0.09188182
Must Buy	0.9550712	0.84848595
Great for Gluten Free Veggie Pasta!	0.7865432	0.7139653
Much easier to use than my julienne peeler	0.7029913	0.83186316
Wanted to like this....but it's just HORRIBLE	0.0046081347	0.75820833
Do Not Buy - very low quality	0.005603558	0.8402072
Great Buy	0.98852354	0.92705977
waste	0.015438057	0.7523019
awesome. until it broke	0.051855605	0.81802934
Love It!	0.9985661	0.9200444
Piece of junk.	0.0004522357	0.8005847
Knock off	0.15192272	0.78964657
awesome Product	0.9978325	0.9373752
Makes eating healthy so much Fun!!!	0.9906398	0.9478052
Having fun with this!	0.98381054	0.92033994
Don't like the cheap plastic	0.2798025	0.85832363
Great for zucchini noodles!	0.99933976	0.9055078
Best tool ever!	0.9439023	0.8780316
Be careful!	0.80281836	0.7581863
Fun & easy!	0.99677306	0.84506494
can't quite figure this out...	0.116687834	0.71244186
It isn't playing with your food if you are cooking it, right?	0.99976915	0.86458623
So easy to use	0.93294626	0.70664954
Love this!	0.99640626	0.79281384
don't buy	0.108909704	0.7414403
Fabulous tool that you didn't know you needed!	0.9629875	0.86643636
Amazon is good about returns!	0.046893355	0.6689843
Buy it	0.99760795	0.8073295
Awesome vegetable noodles	0.99163884	0.8380422
Ok slicer	0.92286354	0.8575473
Must have kitchen item!	0.98925906	0.89025474
Fantastic little accessorie	0.9908845	0.77191657
Oodles of zoodles	0.8519486	0.74281096
Works great, blades get stuck	0.41032067	0.6962138
poor quality	0.13706881	0.5851027
Product great, but gift wrapping sucks!!	0.23825571	0.56478727
Great Value for Price	0.9978288	0.9200974
Awesome	0.99688077	0.71191037
Awesome slicer, cleaning a pain	0.61729544	0.7938697
Good and Bad features	0.06775979	0.7436205
great product, great price!	0.9982803	0.8003743
This is a knock off!	0.0125428	0.79672456
Great kitchen tool	0.9990711	0.91049737
All around great item.	0.88445365	0.9302735
money so well spent	0.9923098	0.6754163
Piles of zucchini noodles in seconds	0.9881764	0.8888758
almost works	0.14637275	0.83805734
Great Peeler	0.9782842	0.8527518
Really cool!	0.99185294	0.8435455
Fun toy for the kitchen!	0.96711826	0.8770654
Cheap	0.018667996	0.70954275
This Veggie Slicer Is Super FUN	0.98290277	0.87303406
Love this!	0.99870145	0.85693
Awesome	0.97251207	0.4824092
good but not great.	0.039690834	0.8185262
"Love this for veggie ""pasta"""	0.80449593	0.8758197
Definitely a staple in my kitchen	0.99867	0.8738158
favorite kitchwn gadget	0.9880503	0.82332546
Works on Zuchinni	0.61411285	0.47241282
Three Stars	0.34936485	0.42406845
Fun kitchen gadget	0.9880042	0.8586813
Great product. You wont be disappointed	0.8393433	0.75198215
My daughter loves it!	0.04778915	0.49252102
Love almost everything about this machine	0.97983366	0.87065446
Useless!!! Dont Buy!	0.53205055	0.7242391
Good and bad - but does what is intended	0.4217173	0.84212613
Excellent - Especially for fries	0.94513094	0.8969156
its ok	0.9307958	0.66248775
fantastic product!	0.98388886	0.82144815
Great Product	0.26351282	0.40722117
Great for making french fries	0.9886624	0.77778155
Clunky and big	0.5211527	0.6941901
Love, Love, Love!	0.99688774	0.8154252
Spiral vegetable cutter	0.9796404	0.5771317
Do not waste your money	0.0016925354	0.7301131
Not just for raw foodies. The best addition to my kitchen in a long time	0.9979171	0.8922222
One Star is too generous - DO NOT BUY THIS	0.007975045	0.8148034
Overall this is a good machine	0.934655	0.8864337
Best thing ever!	0.99183077	0.9574193
Missing two blades	0.13764726	0.73326784
love the concept.	0.56250715	0.6906537
World Cuisine Spiral Vegetable slicer	0.5422032	0.68788016
Great for Gluten-Free diets!	0.72658557	0.85981536
most awesome Gadget	0.9986243	0.8027259
Fntastic Slicer	0.9555796	0.884871
Waste of money	0.019961089	0.52209336
Perfect for veggie spaghetti	0.13572107	0.8054417
great item!	0.9269888	0.8174462
complete piece of crap STAY AWAY !!!	0.001449375	0.7436208
My trick with the Spiralizer...read me	0.9389797	0.935925
Don't waste your money	0.0061457274	0.7859344
I can see myself using this for a very long time to come.	0.9985989	0.939798
This is great!	0.9931131	0.81712884
Love it	0.99444443	0.58849895
DISAPPOINTING - NO INSTRUCTIONS	0.6200191	0.45963666
Waste of money	0.12102111	0.80117476
Feels a Bit Flimsy	0.68332475	0.7718535
Sturdier than I thought it would be	0.5986689	0.88854116
PERFECT for zucchini and potatoes!	0.99635243	0.9225687
Perfect for my need	0.9910076	0.8987938
Works great	0.994418	0.74857974
Excellent raw pasta maker!	0.98355836	0.7533447
"""Pasta"" without the guilt!"	0.96926606	0.87241745
Surprise, surprise...this lightweight, inexpensive kitchen gadget works remarkably well	0.9709074	0.9668579
Sturdy and fun	0.9965125	0.9130863
Functional but not very robust - four stars with caveats	0.80264395	0.8715783
Paderno World Cuisine Tri-Blade Plastic Spiral Vegetable slicer	0.99538463	0.84180874
Absolutely great	0.9577298	0.8709715
YOU WILL LOVE THIS	0.9921788	0.38242602
Amazing!  Love it!  Even better than I thought!	0.99653625	0.9181448
Love this thinggg!	0.9981541	0.8432249
KNOCK OFF & BROKEN	0.0011090814	0.87153625
DON'T BUY IT	0.9899316	0.099069305
I'm in heaven!	0.99435127	0.8199351
Works best on veggies that are thick in diameter	0.9627968	0.94803596
Love this item	0.9742569	0.6221522
Num num num num	0.99322116	0.7189432
So far so good!	0.9497086	0.890586
Tri-blade Spiral veggie slicer	0.4083705	0.83540523
Plastic handle split within months	0.2222405	0.76618683
Beware! (knock-off!)	0.040325966	0.90549743
spiral cutter	0.67802805	0.7363731
Junk	0.042034883	0.6558589
A must have for those wanting to make 'noodles' that are not pasta.	0.9946209	0.8685037
Variety is the spice...	0.9982646	0.91861236
Love It!	0.9965417	0.8862112
Lack of instructions	0.92894095	0.7259635
Easy to use and clean, works well	0.80166185	0.9032231
Don't waste your money	0.14344108	0.52107596
Great Spiral	0.9504403	0.8393289
Fantastic product for making healthy raw noodles.	0.99748874	0.7276909
Broke within 5 minutes	0.08487382	0.7689038
Works great	0.8895154	0.827972
Not what I expected	0.004306571	0.7172098
Amazing!	0.9864877	0.639191
Don't buy if you plan to use it on sweet potatoes or other hard veggies!	0.012457728	0.84133804
Fresh Vegetables.... Here I come!	0.99668795	0.8725406
Run!	0.009562149	0.7635354
Makes zucchini fun!	0.9374619	0.7046072
Great Raw Pasta Maker	0.95449716	0.9174814
A worthy purchase	0.90852714	0.9236189
Cool Food	0.8734623	0.8028295
Soiral Veg Slicer	0.99590296	0.66767025
Broke with third use	0.20847063	0.77641016
Can't live without it!	0.9990054	0.82790005
This might have saved a marriage	0.99893373	0.9675165
difficult	0.34666604	0.39257696
One great use	0.3168371	0.81183356
Spirooli!	0.9851886	0.6422736
Great!	0.925129	0.8831858
Excellent alternative for noodles!	0.9880555	0.7426379
Loved it since the first slice!	0.9862359	0.868553
great machine !!!	0.9960807	0.7464027
Great Product!	0.99914	0.8591739
Love it!	0.84049827	0.8898015
Guess I'm stuck with it now	0.1366711	0.54978377
One of my favorite kitchen tools!!!	0.9942782	0.9171201
Nice little device	0.9915801	0.8317261
Spiral Vegegable Slicer	0.9594159	0.810614
Watch out for handle!	0.055182878	0.7249691
Disapointed.	0.46377847	0.73819387
Love the idea, but it broke easily.	0.7195086	0.86056536
Mind....BLOWN!	0.9985312	0.83936125
Unsteady and awkward to clean	0.9413743	0.8228012
Love my Spiralizer	0.113308035	0.63515145
Paderno Spiral Slicer	0.9369586	0.68433607
Wanted a thin, angel hair type of cut	0.06943169	0.714435
Unique in every way!	0.99785256	0.86935824
Spirooli Vegetable Slicer	0.9960794	0.87283546
AMAZING	0.9976872	0.8910671
WORKS GREAT!!!	0.9909752	0.8650238
Love making veggie pasta!	0.9709399	0.75278294
Cool tool	0.9950369	0.7140128
Love this product-and so easy to clean!	0.99943286	0.9000126
Great for slicing crap into spirals	0.77961236	0.7869333
Life Changing	0.96435136	0.68293285
Spiral Slicer	0.99396235	0.8089772
Great Gadget for the Price!	0.99717736	0.92604494
Neat little gadget	0.95503736	0.87504256
Great, especially if you've 'gone raw'!	0.99940777	0.89133686
Love my new spiralizer!	0.9504304	0.89207286
Wastes so much of the vegetable.	0.042738926	0.7107551
Haven't used but...	0.51972294	0.38944507
little hard to use	0.88977	0.73459363
Paderno World Cuisine Review	0.9971042	0.87770337
Practical, fun, and good quality!	0.9990952	0.9271673
Happy	0.9797204	0.65931576
Spiralize	0.98443764	0.5538127
Worst purchase ever	0.013521999	0.43537614
Great inexpensive vegetable noodle maker	0.9940958	0.9500751
Great so far!	0.9780741	0.7676179
Great product	0.9991842	0.8811651
I'm addicted!!!!	0.9995859	0.9060505
Good for Paleo Cooking	0.9954881	0.79104185
Spiral cutter is sturdy.	0.9864964	0.92745584
Makes eating raw salads fun!	0.9842412	0.94831234
Easy to use, easy to clean	0.72113425	0.915814
I have't used it yet.	0.7962761	0.23269355
It's okay but it is not quite what I expected.	0.3925885	0.74403185
Vegetable pasta	0.9978536	0.8844931
Easy to use.	0.97743124	0.84163094
Fun and easy to use!!	0.9981173	0.7500702
love love love it....just read the previous post and you will know what to expect	0.9984835	0.7642766
Works, but not durable.	0.8690237	0.6788058
Great for the price--very glad I purchased this!	0.9945582	0.95329404
Plastic junk	0.029963	0.41949895
Kid Friendly	0.99213386	0.9494194
Easy new way to prep my veggies	0.73980033	0.86921024
Not as good as I hoped	0.007018379	0.704839
Veggie Variety Fun for Kids	0.9987515	0.9063265
Difficult to operate	0.040741287	0.5783452
great product	0.9892729	0.6928537
Excellent Purchase	0.9846283	0.8874071
Awesome Kitchen Tool!	0.9900237	0.91764295
Great Kitchen Tool	0.9765747	0.7191978
Wonderful!	0.96998054	0.87622714
good, and i love it, but flimsy	0.63404816	0.73077536
Breaks easily	0.55388826	0.771708
Paderno World Cuisine A4982799 Tri-Blade Plastic Spiral Vegetable Slicer	0.9883233	0.6915615
Good idea, bad execution.	0.01752534	0.7978299
Turn every meal into something exiting.	0.9805505	0.841981
The best.	0.9786905	0.8528031
This thing is sharp	0.8399403	0.7868429
Neat	0.77832776	0.80741024
"Too big, doesn't work well with ""crooked"" produce"	0.59935516	0.74021274
Still learning to love	0.063742965	0.59388083
Lousy Instruction Booklet	0.3486575	0.7740623
LOVE LOVE LOVE	0.98985493	0.68624496
Fun veggies	0.9835805	0.76628923
Not reliable	0.022401895	0.7310768
Outstanding	0.99499243	0.87175375
Love this spiralizer	0.9976927	0.8353035
Sadly Disappointed	0.19563234	0.8602566
Breeze to use! Pain to clean.	0.9847851	0.8157954
Disappointing	0.03278506	0.71135217
You get what you pay for.	0.019872023	0.7100591
Great spiral cutter	0.8238782	0.89090234
Poor quality	0.03210461	0.5634938
Love at first use!	0.9969296	0.90084577
Spiral vegetable slicer	0.99744713	0.88119584
Junk save your money	0.14734976	0.70715195
Awesome slicer!	0.84721005	0.81262904
Not for Carrots	0.031368975	0.58518803
Fun tool!	0.99563223	0.73814803
New Take On Veggie Pasta	0.9920879	0.7322471
Hummm yeahhh	0.9924361	0.7372083
Loved It!	0.9975205	0.67540586
Completely Excellent & Easy To Use!	0.99939346	0.8908573
Good item	0.98891884	0.547925
Kind of fun and useful	0.83798057	0.729909
Call me 'chef'	0.81365967	0.93935907
Great tool for making grain-free noodles!	0.9993374	0.9027571
I wanted to like it	0.16790979	0.58915734
no way...returned it!	0.0708455	0.52371204
LOVE IT!	0.98446584	0.71317506
Solidly designed, incredibly innovative kitchen accessory	0.91283137	0.9162201
Plastic Spiral Vegetable Slicer	0.0065491977	0.42476547
Returned	0.023110442	0.75921255
Great for health and fun!	0.9996722	0.89480156
Perfect!  Don't hesitate	0.99410963	0.8900387
hubby loves it	0.99755895	0.91109824
Works great!	0.9965419	0.86065924
Great Gadget	0.6491937	0.60124296
It seems like something you can't live without....	0.9484567	0.5972829
Great Gadget If You're Lucky Enough to Get It On Sale!	0.4868477	0.8503119
Love my zoodles	0.9378338	0.8445348
Spiraled in love with it	0.98423135	0.9532865
happy	0.9915935	0.7499216
Amazing product!	0.99961936	0.8708859
Great Zucchini Pasta	0.96696967	0.8335029
Misleading and disappointing	0.011657065	0.65390223
Amazing!	0.98770833	0.8970568
Wonderful culinary oppotunities, craptastic durability	0.31028768	0.905322
This is awesome!!!	0.98867047	0.78706115
Spiral Cutter	0.7554185	0.8273568
Easy to use, not so easy to clean	0.19000354	0.80814236
Worked just a described	0.98261017	0.8741779
This is a great product and big child friendly!	0.96409947	0.8595618
Ugh!	0.11620484	0.51066124
How FUN is this?!?!?	0.9981634	0.90512365
Spiral Slicer	0.9960162	0.9168113
Worked but not well made	0.6114285	0.41127414
A Must Get!	0.9975877	0.90777695
Downward spiral for me	0.10208755	0.67346674
Awesome Kitchen Tool!	0.99258196	0.84573644
Works Great!	0.9990539	0.85923976
Not good	0.004553007	0.67595315
Excellent zucchini noodle maker.	0.99849534	0.8017784
No Veggie Noodles For Me!!!	0.008673739	0.75288594
Love the way it works but thinking of returning it because clean up is terrible!	0.3808093	0.79905635
Vegetable Cruelty	0.84293056	0.6884436
Very dangerous! NOT UL LISTED	0.8616234	0.86752665
Curious why the same product could get such a range of ratings	0.94228065	0.9063303
Great Food Fun	0.9915979	0.6169818
Spiral Vegitable Slicer	0.9721196	0.65069664
So easy to use!	0.5537597	0.87006736
FUN, FUN, FUFN!	0.9949537	0.58361495
Oh Spiralizer, wher have you been all my life?	0.99617493	0.8738387
You get what you pay for	0.18717694	0.6302149
Flimsy	0.05812255	0.76248056
Great Product!	0.9979188	0.80141294
Very happy with the spiralizer	0.99333125	0.65958077
Not fun to clean, seems cheap and lightweight, but works!	0.49550617	0.69317484
Better than hoped!	0.9406677	0.7416223
Must-have staple for any raw-vegan.	0.9970994	0.9307235
Tricking myself into eating pasta	0.9088276	0.6721053
Fun to use	0.9741754	0.69130754
Nice convenient vegetable-noodler	0.9952932	0.92054963
Love Love Love	0.9971138	0.9016178
Spiral's are great -- flimsy plastic difficult to use	0.70248437	0.7342155
Christmas gift	0.8747871	0.35599598
Paderno vegetable slicer	0.99870026	0.79559267
Sort of just what I was looking for	0.4667865	0.7839782
Great	0.97939175	0.9125704
A nice tool with minor limits.  Updated to 4 stars from 3 after 2 years of ownership	0.9370651	0.93531936
Great Product!	0.99192226	0.83618367
Love the vegetable slicer	0.9995652	0.83162844
"Amazing ""noodler"" for those who have gluten-intollerance/ IBS/ etc."	0.97033197	0.93188727
Highly recommend	0.9922576	0.8901405
Perfect for making spiral-sliced potato chips at home!	0.80376345	0.9596074
Sent me some cheap knock off product, NOT what I ordered!	0.0014419497	0.7210479
Anything that makes it easier for us to eat our veggies I love!	0.7333477	0.73990786
Love veggie pasta, not this spriralizer though	0.54807603	0.8601883
Waste of money	0.009272353	0.80846316
ehhh could be better disgned	0.5337038	0.80717856
Miracle Machine	0.835478	0.72709435
I love it!	0.9973738	0.8901297
It works well	0.9940157	0.8149588
Does what it says	0.9915025	0.82490873
Very Pleased.	0.95428133	0.9009276
Good product, but very very very sharp!	0.9307256	0.8615669
Easy and fast!	0.9689131	0.8184779
Parts Missing	0.22589666	0.17074817
Love my Spiralizer!	0.9974573	0.76660323
Awesome product!	0.9971775	0.84966654
Spiralizer! SO. AWESOME.	0.99845994	0.9092467
Awesome Spiralizer	0.99842584	0.9121932
Wonderful	0.9994098	0.906753
great product	0.9934649	0.793766
Make Healthy Food Look Artistic	0.9993594	0.85153663
It slices through a plethora of vegatables and fruits - and is so easy to use!	0.90972376	0.95979804
Manufacturer doesn't stand behind product	0.0047897315	0.8196878
never thought I'd use it so much	0.83095443	0.6606
We love it.	0.9484464	0.8964965
Don't buy it if you expect it to work.	0.016336303	0.7229699
AWESOME PRODUCT	0.99523973	0.8877514
Great little accessory	0.9962627	0.7874695
