sentiment_scores	genuineness_scores	summary
0.73281974	0.8323349	works ok
0.7896345	0.6984111999999999	works as advertised but there might be a catch
0.07234466	0.8337257	i m callin it
0.8767623999999999	0.84191144	buy this item now
0.0027860105	0.43251395	simply did not function
0.9243764999999999	0.83270013	works great
0.031898588	0.32646906	cobra
0.24635923	0.6756890999999999	didn t work for me
0.8860614	0.70303166	ditched the landline this product is great 
0.99767756	0.83192676	cobra phonelynx bluetooth
0.009211272	0.70997506	junk
0.10485494	0.69927925	this would have been perfect 
0.01595807	0.7529842	no caller id
0.96182084	0.8745221	fantastic
0.9596445	0.808978	add a phone line to your rv or camper 
0.8402115	0.8834390999999999	works but has some quirks
0.9306711999999999	0.7972114	does just what i needed it to do
0.92264557	0.7580673000000001	great product 
0.999424	0.85233283	unexpectedly awesome 
0.31739670000000003	0.64143395	not much range
0.019995809	0.65517306	maybe mine was defective 
0.58548266	0.8224459999999999	almost perfect updated
0.06435451	0.6025728	cool product
0.25133908	0.64900774	random busy signal
0.014883846000000001	0.66104174	bought three and returned one all failed after a month do not buy really 
0.51552224	0.42541263	base station
0.98431957	0.8514976000000001	this thing is awesome 
0.9389565999999999	0.72896963	neat little product 
0.16298816	0.7357765	lots of room for improvement but it does work
0.9965780000000001	0.7693966	cobra phonelynx
0.9974511	0.87441075	cobra phonrlynx
0.017996400000000003	0.5725205	does not reliably work
0.64882	0.6190542	a great idea but a somewhat disappointing
0.008880079	0.6608361999999999	problems when calling out
0.02170226	0.44727916	does not work with any smartphone
0.39481503	0.74190056	no voicemail support
0.052199543	0.78105843	very nice while it worked
0.012081772	0.6955911	not so great 
0.9868281999999999	0.76257163	good option
0.98831403	0.81429374	pretty cool
0.96048397	0.8064709	what a great product 
0.011879355	0.47458196	doesn t work this is in the category of a scam
0.9483198	0.78317535	outstanding
0.33446705	0.27054837	quite after four months 
0.90375733	0.7750649000000001	if you have a need for it 
0.9678078999999999	0.79990196	works brilliantly
0.0006513595599999999	0.63010323	junk
0.99480534	0.7896788	great device
0.9218854	0.8097751999999999	great product have recommended it to others 
0.6922031999999999	0.5240693000000001	restored faith
0.09742096	0.6349253	great item if it worked
0.24063015	0.5234364	not ready for prime time 
0.40396479999999996	0.46568339999999997	inconsistent
0.9887836	0.7768761	works as advertized
0.007293194499999999	0.64619446	stopped working after 2 months
0.9585896	0.77820617	 outstanding 
0.9943781999999999	0.8083275	great item
0.29909086	0.35283148	waste of money
0.15702605	0.78803563	needs to have the bugs worked out of it
0.9490629	0.76171196	great product i purchased a 2nd one 
0.9960912000000001	0.91555715	miracle device
0.010278760999999999	0.74496865	great concept terrible product execution
0.9825438	0.9423229999999999	works great our land line days are numbered 
0.7441531	0.79402936	easy to set up works as advertised 
0.9929283999999999	0.8181065	great product easy to use
0.98704505	0.8956736999999999	cobra phone lynx
0.8927338	0.7864270000000001	works flawlessly easy way to get mom grandma on cell plan
0.98423207	0.9100169	easily connects your house phones to your cell phone 
0.9613858000000001	0.81158996	use your cell phone like a land line
0.32563072	0.8465085999999999	stopped working after a few months
0.81515193	0.8657937	easy setup works great
0.9994699	0.9046426	update i use toi love this 
0.99360526	0.7566765999999999	works great 
0.85827774	0.8067529	works as advertised
0.9846691999999999	0.89198434	glad i found it it s making life easier 
0.85655814	0.8379003	the possibilties are endless
0.8199646	0.8848553	works fine if installed properly
0.9541987	0.73696434	useful gadget
0.05956614	0.63370323	missed opportunity
0.98486173	0.8469628	what a great idea works great 
0.18173224	0.48121163	easy to setup easy to use static was enough that we scrapped it
0.99615526	0.7442065999999999	works great for my senior mother
0.8671085999999999	0.886706	much better than i would have imagined
0.9970094999999999	0.8201193999999999	has worked as advertised 
0.08299416	0.61745065	annoying beeping with no way to turn off the beeps
0.14095548	0.42959008	all hype the biggest loser
0.00436607	0.58291084	junk do not buy could not give it zero stars
0.77669156	0.80457836	fantastic product what a great solution 
0.24544889	0.56666833	no dect6 tone generation
0.9954876	0.6874563	works awesome
0.99908626	0.8915905999999999	it works great for me 
0.7625163	0.7850020000000001	what a helpful money saving product 
0.02816242	0.4679481	doesn t work with iphone 4s
0.6288878000000001	0.58811194	great device for the price
0.1437473	0.73764485	it works not great 
0.031300217000000005	0.4916473	piece of crap
0.99847436	0.8128941	can talk from every room
0.004321277	0.6857295	great concept poor quality
0.8004071999999999	0.80423415	revised review
0.06032145	0.6659807	works with a few caveats
0.04793012	0.4248552	sounded like a good idea
0.99168473	0.9520655000000001	i was waiting for this device to be invented for years now 
0.7422522	0.6035434000000001	great product
0.8760716000000001	0.7735609	cobra phonelynx bt 215 1 android questions
0.039311618	0.53704065	short range
0.55000937	0.8022274	cell home phone link
0.57526344	0.7539433000000001	easy hook up it works
0.9790523999999999	0.94162226	finally 
0.9865482	0.8023092	good product
0.9529748	0.9198735	quick setup works perfect
0.53190297	0.8656064	better value than intellitouch xlink
0.5623973000000001	0.74485934	allows screening cell with answering machine
0.35523087	0.69085896	no caller id
0.9989046	0.83280337	phonelynx is the bomb 
0.34518647	0.8046824	if you got the time it usually works eventually
0.020088404	0.7162940999999999	waste of money
0.979828	0.8796742000000001	cobra phonelynx made using mobile phone home much easier 
0.16082823	0.6384041	cobra phonelynx bt 215 another reason you do not need a land line and cell phone
0.032238364	0.6439214	good stuff lots of bad stuff
0.09968302	0.27584988	doesn t stay connected
0.9909075	0.63515925	works like a charm
0.7998550999999999	0.78805554	it does work
0.9973496999999999	0.93474376	cobra phonelynx bluetooth cell to home phone
0.96728045	0.8918746999999999	amazed
0.99946415	0.9002138000000001	big money saver as opposed to landline phone
0.98060226	0.777465	dump the house line
0.031924725	0.64626944	set up went fine placed one call then no dial tone 
0.11103755	0.49974206	disappointed not good with iphones
0.4982201	0.46253043	very useful
0.9969584999999999	0.8707587999999999	outstanding quality exactly what you need to drop land line
0.11560136	0.3155875	tom blue
0.9580822	0.7733946999999999	reasonable if you know it s limitations
0.44435870000000005	0.5221100000000001	still waiting for help from customer support not working
