sentiment_scores	genuineness_scores	summary
0.9537156999999999	0.7854949000000001	love it
0.31582707	0.46002418	congratulations you ve invented the ziploc bag 
0.9966502	0.76632977	update it works 
0.86697876	0.56512773	not all that
0.9762703000000001	0.75711465	 
0.075258434	0.5191087999999999	too hard to open
0.004044771	0.5162426999999999	won t fit samsung note 2
0.98566246	0.8792117	perfect for beach vacation 
0.97493947	0.77102923	so far i love it
0.99392074	0.8470122999999999	it works 
0.8173342	0.6536084	wouldn t trust it
0.09016517	0.44744152	keeps it dry
0.28881797	0.72561306	still leaks
0.9786233	0.9176245000000001	very good
0.63172555	0.69389606	did the job 
0.6292255	0.30764645	comments
0.94564104	0.59833634	clean look and works 
0.814725	0.6058965000000001	tested it works great d
0.9935078000000002	0.81277466	cheap nearly perfect solution
0.98071915	0.760779	better than a waterproof camera 
0.2952112	0.56936175	can t beat it for the price 
0.84980875	0.6695055999999999	it works
0.9263014999999999	0.84860814	a ma zing works very well
0.7715211999999999	0.67409605	it worked but 
0.16992929999999998	0.5234867	htc one users might have a problem
0.99546057	0.82461953	loved this 
0.1367369	0.4549313	very good case
0.15581769	0.31283578	not delivered
0.030969858	0.6551011	not safe item
0.8939724	0.6269678000000001	not really put to the test yet
0.10200763	0.38471466	good
0.028743803999999998	0.66297007	non redundant mechanism for maintaining the watertight seal 
0.9990314	0.84210163	perfect
0.9954433000000001	0.778687	works great 
0.98757315	0.73939335	perfect for my river rafting 
0.22362077	0.36272585	works but not for headphone use
0.9985497	0.7554454	amazing results i will admit i was scared at 
0.6893792	0.7257644	perfect my nexus 5 fits in it 
0.92227376	0.58925956	great way to waterproof your cellphone
0.30256325	0.43737298	so disappointed doesn t work 
0.9906125	0.65825826	really liked them my daughter will use hers for the 
0.9962975000000001	0.86528397	ready for summer
0.95710146	0.76868105	fine case
0.98220253	0.77359176	depth tested
0.04794845	0.38368797	need to fix this
0.98709524	0.8797815999999999	great solution esp for the price
0.62614864	0.721635	a disappointment
0.99741805	0.8712708	great case 
0.85205126	0.7551066	great protection 
0.9498415000000001	0.8338058	i have my doubts seems ok but i still need to keep experimenting
0.99876666	0.8878391999999999	best waterproof case on the market
0.9957212999999999	0.81447554	excellent waterproof case
0.7823397	0.63423437	okay for very light protection
0.9932768	0.8367745000000001	amazing case for blackberry q10
0.93552923	0.5872891	can t open it
0.9939389000000001	0.71346664	best phone gadget for under water pictures
0.98236775	0.7150607	excellent snorkling jetskiing paddle boarding in bermuda and back 
0.5284789000000001	0.15661854	waterproof case
0.9775050999999999	0.6989481	phone saver
0.75654995	0.50107986	passed the leak test 
0.004597634000000001	0.64197886	i used it twice and it broke
0.75834554	0.6469745	great buy 
0.045909345	0.47773546	not working under water
0.9927974	0.7603866	worked perfectly 
0.43060240000000005	0.7013188	does its job but not durable
0.082775265	0.41854402	really really disappointed 
0.9554819999999999	0.7249124	get it 
0.04542038	0.40834879999999996	meh
0.18983218	0.43564415	purchased as a gift met all my expectations 
0.9844676	0.8197186	galaxy s4
0.54760057	0.32712078	water proofcase
0.858949	0.8432111999999999	excited for snorkeling 
0.93451893	0.4781932	awesome
0.9612296	0.8595271000000001	works great with my samsung galaxy s4
0.9925113000000001	0.7355144	i love it 
0.95414484	0.61527	great product
0.053928405	0.45183260000000003	one star
0.98535156	0.8533069999999999	perfect for my lg optimus f3 phone
0.9638834000000001	0.5264411999999999	really awesome 
0.97820926	0.62147534	dig it
0.7912321999999999	0.6643051	phone vs tomato sludge
0.03918299	0.44772485	not waterproof
0.59995556	0.58001167	waterproof case
0.8283903	0.49240264	great product for the price 
0.9603002	0.5965861	good product
0.99416757	0.7399395000000001	great product definitely worth the money 
0.6439486	0.4094942	worth your phone cost 
0.9663029000000001	0.8074434	great item for great price
0.9730144000000001	0.80413115	excellent case for the money love that it is clear on both sides
0.1197848	0.50256073	bought it for a cruise
0.7275993000000001	0.4621983	just as promised
0.99415284	0.821716	a must for waterfront activities
0.5395581	0.5806883	great for the price
0.9243418999999999	0.81202173	decent waerproof case
0.9098651	0.5684749	product looks great have not had chance to use it yet 
0.90968966	0.76078737	exactly what we wanted 
0.96960044	0.71941537	excellent waterproof case 
0.73811007	0.80162466	works great in the shower and by the pool never have to take off the case
0.9357260000000001	0.66684973	good waterproof phone case
0.16087598	0.4420411	not good in heat
0.9984975	0.86830986	novice kayaker took dog and phone
0.9658146999999999	0.8267095	awesome product for an awesome price
