sentiment_scores	genuineness_scores	summary
0.99086034	0.7255368000000001	case
0.007797718	0.8055859000000001	poor
0.011582643	0.34999293	coca cola red classic hard cover case for the samsung galaxy s 3
0.0029617548	0.68768466	actual product bad
0.084683865	0.57436883	it s ok
0.88428915	0.56219107	nice
0.9876628000000001	0.7537216	love it
0.0039336679999999995	0.5019114	unbelievable and ridiculous
0.0034929215999999997	0.6916739000000001	company is a joke 
0.23026845	0.63890564	not happy
0.980247	0.6378881	great
0.44566435	0.72209424	messy
0.9950544	0.7984319999999999	so cute 
0.13897142	0.5595989	almost perfect
0.6248762	0.6809181	good case for the price
0.0017784536	0.5482484999999999	one star
0.012728006000000002	0.45027524	was cheap
0.97395456	0.80386543	i really like the case 
0.9734204	0.76228255	very cool
0.027812302	0.4525669	awful do no buy from this company
0.99704826	0.7316104999999999	iphone case
0.83711064	0.5650069000000001	decent
0.053370416	0.6846953	pretty and basic
0.7306691999999999	0.44967994	i bought a thing
0.045648545	0.5660708000000001	cheap
0.29654318	0.36456954	problem
0.00058713555	0.85170174	cheap not as pictured 
0.19362748	0.55276793	okay
0.000320822	0.34900874	hideous
0.97806394	0.6762115	awesome case 
0.104141355	0.46582959999999995	they sent me the wrong one
0.45695519999999995	0.67094356	don t bother 
0.99509025	0.8030701	super cute
0.97756904	0.7406983	cute 
0.9834299999999999	0.89911985	perfect style and fit
0.22988582	0.59163857	its ok
0.15173224	0.5360204000000001	cute case but doea not fit well
0.23349497	0.43239933	nice case
0.031573087	0.5761595	unhappy
0.9871105	0.7873671999999999	coca cola phone cover
0.0015793443	0.6447825	cheap and screenprinted
0.012341619	0.48988366	coca cola hard cover
0.0034806728000000005	0.45137495	scratched
0.3688991	0.66219914	doesn t fit right
0.3499914	0.689866	super cute
0.20874089	0.5016338	you get what you pay for 
0.7985504	0.70422125	nice design not much protection
0.8799610000000001	0.7138884	happy with the product so far so good 
0.074395865	0.35301054	cocoa cola red classic review
0.22273168	0.59259295	only good for decoration 
0.0034243166	0.6089161	disappointed
0.99969673	0.88908076	best case scenario 
0.58769554	0.6459739000000001	beautiful case but tough to get on off
0.030169517000000003	0.3017347	ughhh
0.0044749975	0.6742635	flimsy and poorly made
0.039364755	0.68852675	not what i expected 
0.015379338999999999	0.43960950000000004	phone case
0.042227596	0.43193054	i hate it
0.19407016	0.28731602	deceitful
0.15045601	0.61409545	too small
0.4959037	0.7054640999999999	like the picture but quality only meehhh 
0.15466735	0.6446755	does not fit the galaxy s3 
0.9610270000000001	0.86032057	coca cola case
0.91754377	0.80977845	great little case 
0.07511991	0.55642205	wouldn t recommend
0.9864514000000001	0.7465321	loved it
0.9326114	0.7596592	case cover
0.026474833	0.5539278	cheap price cheap quality
0.43214133	0.28737205	never received
0.0020162165	0.6549638000000001	it sucks 
0.020893246	0.48781234	hated it 
0.7499764	0.75575876	cute case side buttons cant be used
0.0011016726	0.57552975	zero quality just junk 
0.8817617	0.75681597	my color
0.75709975	0.7545438	great protector 
0.028590857999999997	0.81629425	do not buy 
0.0036936402000000003	0.54348326	it came broken
0.0054532588	0.51579595	not at all what was advertized
0.33749887	0.65223193	waste of money 
0.9280431999999998	0.80183005	whimsical
0.92293334	0.563127	loveit 
0.99768007	0.7405019	great buy
0.9670476999999998	0.7405559	good pick
0.10767493	0.5960701	no customer services
0.99542403	0.75765276	better than expected
0.5411543000000001	0.36946088	finally got it
0.75029534	0.720094	finally 
0.01852715	0.46363562	pixelated colors both the chevron pattern and the wording 
0.9384484000000001	0.7388594	unique
0.049520463	0.38351882	good aesthetics poor protection
0.25075772	0.4154581	haven t even received it yet
0.99368143	0.7339906	 
0.018090934	0.6785043000000001	poor quality 
0.20831785	0.6407286999999999	case
0.0016333163	0.33144403	scammed
0.6805644000000001	0.77117527	offers stylish protection for galaxy s iii
0.9976169	0.8312476000000001	love it love it 
0.9979832000000001	0.69618124	cute
0.13103026	0.48819026	it was ordered as a gift
0.99787104	0.7422364	case
0.87159336	0.54538244	great product
0.05541715	0.6560446	buyer beware
0.0018765329999999999	0.6321733	joke
0.9183093000000001	0.825701	great product great price 
0.9858395000000001	0.7799598000000001	favorite
0.99894965	0.8520886999999999	coca cola red classic hard cover case for samsung galaxy s3
