sentiment_scores	genuineness_scores	summary
0.73489934	0.9535828000000002	senior cell phone a great phone for anyone especially the elderly
0.5001055999999999	0.78973335	works in latin america
0.67268074	0.67275673	small
0.10986811	0.65768385	warning only 2g phone
0.025742262999999998	0.69356763	phone works about 10 of the time an support can not be reached
0.7637783	0.7835276	everything is good except
0.41054317	0.6070943	just okay
0.8881723	0.7960472	nice phone easy to use decent battery life 
0.9953793	0.8638959999999999	awesome little machine 
0.98900247	0.8273113999999999	great phone
0.932523	0.71699035	ezone c senior cell phone by snapfon
0.9839601	0.8833462	simple easy to use 
0.95064485	0.8236948000000001	excellent for seniors and others
0.010234445	0.7165196	disapointed
0.76169324	0.65548444	they work 
0.99536407	0.8004017	great value
0.99494034	0.8085859999999999	just perfect
0.99261415	0.84911	all a phone needs to be 
0.68612516	0.7904482	stupedely made
0.7655984	0.7087302	great
0.093307555	0.6671808000000001	snapfon ezone c for seniors is just ok could be better for the price 
0.9966054	0.8130826999999999	wonderful to have
0.8551870999999999	0.7342999	great senior phone for t mobile
0.5198356	0.6819255	snapfon
0.98735744	0.8156897	perfect
0.030701399	0.65950924	unhappy
0.5023896999999999	0.69742435	overall seems like a good phone
0.9123009	0.8523369000000001	good not great
0.9775478999999999	0.8449880999999999	good for people with hearing or sight difficulties
0.9974643	0.851159	relief to find a phone for a senior
0.9851754	0.8395393	for my mom
0.66674745	0.8962538000000001	very good phone a few minor bugs excellent customer service 
0.8283289	0.9091357	pros and cons for snapfon ezone c senior cell phone
0.98556685	0.84204495	great phone
0.60088646	0.6736843000000001	initially was very satisfied 
0.83206314	0.7876536999999999	snapfon
0.99578905	0.8862554	great for senior citizens
0.56181055	0.9328868	this is for consumer cellular customers
0.74846315	0.8207646999999999	mother in law can use the phone
0.9692466000000001	0.8240645000000001	great phone
0.9819566999999999	0.8493502	simple easy cellphone
0.9778805	0.7530148	love my snapton 
0.00664562	0.44330055	power no you gotta be kidding 
0.9118361999999999	0.85304403	mom called me without prompting 
0.7777518	0.9356085	simple phone for simple people
0.024827718999999998	0.5571148	terrible phone died in a few weeks
0.99590516	0.91212785	my mother in law likes this elderly cell phone 
0.6825814	0.38513157	bought it for my 91 year old dad
0.9981537	0.889526	i love this phone
0.9995079	0.9284816999999999	great phone great price
0.87851423	0.84880924	senior cell phone
0.989224	0.84217167	great phone 
0.9984407	0.8633506999999999	my mother loves her new phone
0.9456992000000001	0.7822366999999999	great for low vision
0.29935014	0.8277064000000001	large buttons are good it s not simple to use however
0.6615787	0.7762611999999999	perfect for grandma or grandpa 
0.99928504	0.87228537	great help 
0.6718919	0.7552741999999999	nice senior phone
0.98998415	0.8084378000000001	gift for my mother
0.55688536	0.7635088000000001	would have been great if 
0.9862645	0.8543065999999999	great phone for poor eyesight
0.96071565	0.83433616	great for seniors
0.09967652	0.7123178000000001	do not buy if you have puretalkusa
0.98944986	0.8450687	great simple phone
0.027067542000000003	0.73592573	proceed with extreme caution 
0.6319726999999999	0.607635	good phone
0.011703818999999999	0.6880106	home charger plug doesn t fit
0.5839354999999999	0.81384575	mixed feelings on this device 
0.0023981929000000003	0.6410008	phone did not work 
0.7173496	0.68012464	great for seniors 
0.8192347	0.8632156999999999	not perfect but the best i could find
0.10551742	0.7510015	too many features making phone too complex to use
0.9833759	0.7180959	mom loves it 
0.99088025	0.902532	they are very happy with their new just5 cell phones
0.98903096	0.8801391	perfect for elderly with bad eyes
0.9851903000000001	0.9257566999999999	i loved this phone so much i wrote this on my blog
0.99522245	0.84058607	snapfon great for seniors
0.81485474	0.6966153	great phone but service coverage lacking
0.68387586	0.86328053	still too complicated for the elderly
0.31506068	0.5727013000000001	please send another battery or i ll be sending your phone and accessories back 
0.114133716	0.5903115	snapfon ezone
0.99392915	0.8347730999999999	well pleased 
0.97754484	0.8560439000000001	no title
0.08398712	0.63282657	flimzy screen broken in 6 months
0.99299264	0.8257431999999999	purchased this for my vision impaired grandfather in short 
0.96441436	0.7282274999999999	all problems with snapfon one have been fixed
0.9889505	0.8061851999999999	phone
0.13082403	0.613279	sorry to say i am disappointed
0.94959044	0.8060633	snapfon evaluation
0.9730561	0.9326985000000001	good points some challenges
0.5672578	0.817605	great for low vision not for elderly
0.02424413	0.67147404	low quality cell phone
0.98146665	0.8427103000000001	snapfon estwo for senior cell phone
0.07808995	0.449255	quit working after a week 
0.9907765	0.8306563	easy to use snapfon
0.15197092	0.68777406	not that good for seniors
0.9984096	0.83511424	snappfon ezone c senior cell phone
0.022843271000000002	0.6463977	it does not work keep asking insert sim even sim already in 
0.7829934000000001	0.6614598	came without the battery
0.1277749	0.7347073000000001	fragile charging cord careful
0.17504439	0.53050864	need better instructions
0.9934850000000001	0.79663646	snapfon senior cell phone
0.9809768	0.81647825	great for grandma 
0.007815808	0.60941154	horrible solution for elderly mother
0.93446887	0.82660115	one of the best unlocked phones available
0.8927335999999999	0.87413603	great phone despite minor flaw
0.7838586999999999	0.7736658000000001	good senior cell phone
0.9243239	0.813396	for father in law 79 low vision 
0.99477875	0.8325833	phone is good for seniors 
0.076110035	0.49126437	activating this phone is a royal pain in the arse
0.03884977	0.54497284	changes
0.74452424	0.7640551999999999	great for tired eyes simple to use 
0.9887098	0.81558686	basic and simple
0.011048793999999999	0.64579713	horrible for texting bad interface bad customer service
0.9979616	0.8266220999999999	excellent
0.9912351	0.7937546	very good cell phone
0.023195535	0.5093814	signal strength poor
