sentiment_scores	genuineness_scores	summary
0.7485056	0.6254025	too short 
0.01783064	0.65467966	horrible
0.052746087000000004	0.4602861	alright
0.6810861999999999	0.67698306	they ll do until i find more suitable ones 
0.8240552999999999	0.6589	very nice shipping should be free
0.06852576	0.40335062	i don t like it
0.9251523000000001	0.79582936	love these
0.97433317	0.8398025	cute carry along stylus
0.2712782	0.58458346	bad product
0.08522656599999999	0.6165039999999999	ok
0.7764437	0.6676122	i like using these
0.9928061	0.8337529	iclover stylus pens
0.9957403	0.82231474	awesome 
0.27327818	0.6544996	nice product misleading picture 
0.99844337	0.8107194000000001	clover bundle
0.9923042999999999	0.7352145	colorful
0.51745546	0.6179236	small stylist
0.6437548000000001	0.7168015999999999	low cost styluses
0.98032343	0.7209694000000001	multiple stylus works as planned
0.03897813	0.42844787	too small
0.97768074	0.7419710999999999	great
0.8531078999999999	0.76708394	good
0.18030766	0.6490608	they re okay ish
0.0011680126	0.631272	very poor quality 
0.009991497	0.5538933000000001	poor product
0.7122847	0.5082207000000001	stylus bundle
0.95324564	0.5974599	serves the purpose
0.99643016	0.7870053000000001	nice
0.979051	0.6679946999999999	bundle of 9 pcs short
0.03340769	0.3087781	what i did not like
0.998448	0.7125056	i clover stylus pens
0.7182969	0.25077838	great
0.6487096	0.70697945	kids loved them 
0.9955596	0.8527005	compact and fun colors
0.20995495	0.5003920999999999	nice
0.98169255	0.8038495	i like the iclover bundle of 9 pcs short colorful stylus pen set
0.99460185	0.75407684	very nice
0.99656427	0.7408176	exactly what i wanted
0.93765795	0.31332073	iclover paquete de 9 colores de l aacute piz stylus set corto
0.9884913000000001	0.8239464	great dea 
0.9512665000000001	0.70823777	a lot for a little
0.20787027	0.5761590999999999	refunded
0.9862312	0.60172117	nice articule
0.3001801	0.52450585	i would purchase these again and i may have to soon 
0.0224725	0.7048435000000001	color quickly wears away
0.9833079	0.80326754	love it
0.071872264	0.45333755	to small
0.95262814	0.56027305	like
0.9976860000000001	0.7363293000000001	love these
0.95106685	0.7031470000000001	fun 
0.017211497	0.7502661	missing pieces
0.9940966	0.7628809	great little stylus for a great price 
0.52101827	0.46412307	iclover bundle of 9 pcs short colorful stylus pen set black blue red yellow purple green pink more stylus touch screen cellu
0.25712624	0.5778426999999999	makes texting and searching so much easier 
0.2937497	0.6382076	cute at first 
0.77373326	0.59859544	recent order iclover styluses
0.05870840000000001	0.41898662	they do not deliver to your door 
0.9542345	0.6485687	i bought the iclover bundle and love it
0.9983040000000001	0.8297954	bought before
0.9947705	0.78810513	very short stylus
0.9912766	0.6715574000000001	ipens
0.9426302	0.7877204000000001	nice to have
0.79177916	0.6445595000000001	fit not snug enough 
0.99729073	0.87696064	wife loves them 
0.8428966999999998	0.7015325	love
0.9988190999999998	0.80171204	love it
0.39446956	0.6311083000000001	clever little stylus for your device 
0.29564464	0.6317339	great color selections
0.40726817	0.6652718000000001	pcs short stylus pen set
0.98653305	0.69038045	works well
0.9893149	0.65272784	rainbow stylus
0.9317305	0.83633816	love these
0.99422693	0.6814975999999999	loved it
0.99891067	0.77466834	exactly what i was looking for
0.9986870999999999	0.7658427	minis
0.9859832000000001	0.86475694	share them
0.99930227	0.8096651	great little tools 
0.9981313	0.79311156	amazing 
0.13560843	0.50989026	get what you pay for
0.99668384	0.7364427	nice to have
0.9292334999999999	0.6936966	pretty good value 
0.9445654	0.7814455	9pc stylus by iclover
0.9789494000000001	0.77073514	great deal 
0.99812984	0.8513963	great value
0.019750446	0.58438027	false advertising
0.11814934	0.5236980999999999	hate them stylus
0.14490032	0.36122417	small
0.02576539	0.59925944	not happy
0.32672346	0.46162242	small but colorful
0.09358594	0.37200117	the pens was to small
0.99756587	0.74981874	9 color stylus pen setl
0.93526804	0.6768225	nice enough great colors feels cheap 
0.9968028	0.82477915	exceeded expectations
0.97300327	0.61474454	love the colors
0.99426013	0.7221331999999999	stylus
0.06410667	0.5361392	stylus pen
0.9982681999999999	0.85204893	happy
0.10175812	0.56581724	not as expected
0.9982021000000001	0.7414944	love my magic fingers 
0.104139864	0.6259452	okay
0.23696485	0.6744861	not 2 99 h p it s really 9 98
