sentiment_scores	genuineness_scores	summary
0.0040483475	0.60754555	does not work
0.0035443902	0.6696883000000001	get what you pay for
0.06840736	0.44447583	does not work with iphone 4 with bumper on
0.01567176	0.53863263	i threw it away
0.00041329860000000003	0.52793443	no connection
0.04509175	0.50896174	not worth it
0.08099201	0.63000095	it works ok
0.9609287000000001	0.90756834	works great i m ordering more for all my spaces 2012 
0.008085996	0.5150298	not what i thought
0.6982848	0.51983994	really small and not as the picture pertrayed
0.037410527	0.40048325	crap don t waste your time
0.01625228	0.57254136	doesn t fit phone with case
0.013623476	0.59754235	do not buy these 
0.028650075	0.54242134	unusable
0.019739061999999998	0.31746690000000005	never arrived
0.0055151283999999995	0.6722648	terrible
0.0044939815999999995	0.69924396	defective
0.022477567	0.7409259	not what i hoped for but worth 5 00
0.003305167	0.36902827	really bad product
0.0078137815	0.63694316	charging not supported with this accessory 
0.06913596400000001	0.49890533	does not fit iphone 4 or iphone 3g
0.94873166	0.6665156999999999	great product
0.0024402738	0.53391814	this should sell for 0 50 cent 
0.018594712	0.6121335	small and displays a message on iphone about not authorized 
0.27137548	0.43865600000000005	total garbage stopped working in 3 weeks
0.9803369000000001	0.8394158000000002	why pay more 
0.26764023	0.45155185	good product
0.44094170000000005	0.6185393	does not fit with bumper
0.96936524	0.8075595999999999	great product for the price
0.073554486	0.47647405	junk
9.009242e-05	0.65298057	cheap chinese junk stay away 
0.111635685	0.5222555	it is just ok
0.005138248	0.61958814	doesn t work correctly and it s not really black
0.015145212	0.26989257	don t waste your money
0.008266419	0.6054933000000001	not compatible
0.025010407000000002	0.8118310000000001	false advertising
0.44090804	0.62085855	just what i thought 
0.049494177	0.4050802	pos
0.9917676	0.690387	product met all expectations 
0.07133478	0.7080678	fell apart the first time i plugged in my phone
0.16372102	0.5459165	cheap and very small to be used with any protective case
0.034973323	0.6511241999999999	knock off apple fake
0.34894264	0.7800114	does the job with modification
0.03530681	0.63208354	what a piece of cr p
0.6450698	0.8129661	cheap works well for ipod touch 4g
0.061403572999999996	0.56082207	didn t work
0.5677353	0.4727071	don t even think of getting this dock if you have a case on your phone
0.009035735999999999	0.58805406	junk
0.13786277	0.52567565	fell apart
0.84528804	0.61453587	needs to be udgraded
0.17427042	0.62440705	two months and broke
0.79024935	0.85128886	crummy design
0.008131474	0.39801267	bad
0.5249618	0.63444513	nice loose alternative to apple dock
0.043225795	0.6012734000000001	completely useless for ipod touch or iphone 3 4
0.015071273	0.48878968	total ripoff
0.031138687999999998	0.5478849	this item not for an iphone 4
0.011743933	0.48026648	i don t like the charger dock 
0.37539482	0.54263645	not entire satisfied
0.017323703	0.65383977	junk
0.00853765	0.4784685	bad product
0.0063205957	0.60171187	good for 1 day
0.012748121999999999	0.5555589	iphone with a case will not fit in this cradle
0.0022173524	0.5968838000000001	ordered two one didn t work
0.374477	0.7223731	youaregettinga 2product
0.006913304300000001	0.51373255	cheap piece of sh 
0.79716945	0.7380005999999999	worthless
0.030719101000000002	0.5493777	ordered 2 neither worked 
0.0028861165000000004	0.41857123	rip off only worked for 3 days then its over
0.09246111	0.62033165	the true reason why there are mixed reviews 
0.5665069	0.6258315	does not fit i phone 4 with a normal cover on it i received a white one for my girlfriend my phone fits on her s 
0.008831292	0.7697586999999999	don t waste your money 
0.05159679	0.726459	doesn t work 
0.0009268522	0.5326794	a piece of junk 
0.10427627	0.48142347	too small
0.35651812	0.5168015	save time money buy another charger cheap junk
0.00025773048	0.57620096	piece of crap does not work
0.022445798	0.251537	bad product
0.9973388000000001	0.75550985	good for the money
0.03286913	0.31916696	not compatable with case
0.22508007	0.61071336	connectors don t fit 
0.0006541312	0.6316725000000001	cheap and defective you get what you pay for 
0.9526100000000001	0.7394616999999999	worked fine for me 
0.10182762	0.72462785	terrible quality
0.0043728054	0.4582271	horrible
0.8380218	0.798821	simple and does what it shoud
0.6994946999999999	0.7784729	gets the job done 
0.99339235	0.77116346	love it
0.92686975	0.76722974	it actually works
0.0012757182	0.50696945	not as described
0.0089915395	0.6182575	don t waste your money 
0.47175363	0.6735796	doesn t fit ipod touch
0.0053398907	0.53738654	buyer beware had to send em back 
0.9671402	0.6680621999999999	ahhhhh nice 
0.0023398995	0.3729321	 would not charge phone
0.014332503	0.5346313	junk
0.010520071	0.46312349999999997	aweful do not buy 
0.058137774	0.7311631	bait and switch
0.700626	0.70835185	reviewers were right this unit is useless
0.025303215	0.67809916	only fits caseless iphone 4
