summary	sentiment	genuineness
Good Listening- Bad Talking	0.29191348	0.6444451
Not satisfy with this porduct	0.22193798	0.536724
Big heads need not apply	0.20722449	0.62263215
not the best bluetooth headphone..	0.95193434	0.61332005
Nice product, but one annoyance...	0.8141554	0.7775539
Kinivo BTH220 Bluetooth Stereo Headphone - Great Product, Good Value	0.9949929	0.85538375
Microphone's too quiet.  Great gym headphones.	0.5255338	0.7974864
I don't like this item at all	0.14813933	0.29476672
Great Gift!	0.98035794	0.7559228
Insanely great product!	0.98662347	0.80888265
Excellent until it started malfunctioning	0.0106997015	0.7219377
Kinivo BTH220 Bluetooth Stereo Headphones	0.9976567	0.9277054
Great for those with hearing loss	0.9505218	0.8609741
Great Headset. No Charger. LG Tone + Motorla S305 Comparison	0.9750036	0.8846849
Works well great value	0.99344563	0.7708827
workout worthy	0.7932714	0.8177858
Uncomfortable	0.04127441	0.3428843
Enjoying my tunes	0.99628747	0.84091586
Better Bang for your Buck	0.70685196	0.7091949
Good for only 2 months...maybe its a bad one I have received	0.0028823346	0.7285569
nice and loud	0.94929546	0.7922252
Good but does have a few drawbacks	0.46678716	0.715361
Great value	0.9992887	0.8677253
Good Quality at Low Cost	0.6402785	0.48507407
no 8.1	0.24247526	0.22386628
Manufacturer Replaced This Product	0.019181676	0.70163065
Love this Headphone set!	0.31572968	0.7914896
Kinivo Headset	0.98636913	0.6841236
love these	0.9832328	0.74265
It stopped charging (only had this for less than 2 months)	0.0064128996	0.4796605
Great buy!	0.99930215	0.7520446
Awesome!	0.45832896	0.75353
Great headset	0.6577856	0.7041228
Love it!	0.99552697	0.720059
These are friggin' awesome	0.9856888	0.80502826
Good Product	0.99074006	0.865054
Mostly Amazing... Great Sound quality.	0.8852594	0.79378426
Really good for a great price	0.99741566	0.77926683
Very Disappointed	0.60594165	0.6980668
Pretty darned good headset	0.7532859	0.89242077
Great for music, not for conversations	0.9216162	0.7497763
Are you kidding me?	0.98869866	0.8626292
