sentiment_scores	genuineness_scores	summary
0.79970443	0.7175831	excellent batttery but cords need work
0.9446256	0.82917094	great for travel 
0.24813843	0.64316875	not made for iphones tho it still works for them 
0.49969140000000006	0.7801640999999999	great little backup
0.9664704	0.8851738000000001	absolutely recommend for an inexpensive solution to battery hogging iphones
0.9893956	0.76778114	works great
0.8937282	0.87834734	impressive 9 10
0.877237	0.74559736	great but can only use plug it came with
0.91260445	0.781088	keeps you connected 
0.022345512999999997	0.53123254	stopped working after 3 months
0.8329698	0.5283081000000001	very nice
0.9809865	0.6585518	excellent choice
0.016217023	0.54732716	worked for 4 months then quit 
0.9901635	0.7024138000000001	great 
0.9439758	0.6402147	works perfect
0.014363825	0.59651625	this battery is absolutely not like expected
0.47308797	0.26797172	item
0.9974460999999999	0.7900389	portable powerhouse 
0.9487207000000001	0.65194005	great product and awesome customer service
0.58498377	0.2914825	not for tablets
0.13963866	0.5462928000000001	good while it lasted
0.9923738000000001	0.8291556000000001	i highly recommend
0.99152315	0.6922738	satisfied
0.9767549999999999	0.763188	great product for the price 
0.96055734	0.6339035	great external battery
0.99205405	0.8482350000000001	love it 
0.9941348	0.7142298	i love this battery 
0.9218616	0.75470555	a real advantage
0.9584005999999999	0.8051020999999999	must have for long distance motorcyclists 
0.9967706000000001	0.68359506	the best
0.22553164	0.7850725000000001	not for the samsung galaxy tablet
0.009410411	0.7089956000000001	broke after leaving it in charger over night
0.9955014000000001	0.8382709999999999	the perfect balance between size and capability plus it has some added business features 
0.078997284	0.57918644	not what i was hoping for
0.98578227	0.7321671	so worth it
0.97942615	0.77959514	an absolute lifesaver and top quality product
0.99374753	0.86018026	saves the day
0.9782728	0.567267	new trent itorch
0.9922061	0.82705224	nice little battery
0.9747238000000001	0.6904953	great great and one more time great
0.99746686	0.75393224	great
0.9970763000000001	0.70531875	perfect travel battery
0.9624232	0.9337690000000001	great gadget enables lots of phone usage
0.03399974	0.70971936	defective on arrival bummer i had high expectations not worth the risk
0.22747013	0.5067469	worked for about 30 seconds
0.5966134	0.8251755	great all in one battery pack with lots of power
0.95450765	0.78014696	great product 
0.7336823	0.5701096999999999	good external battery for iphone 3gs
0.039655626	0.45987704	new trent new crooks
0.9890654000000001	0.7439272	works as expected best review you can give
0.9775519	0.7405082	new tremt super pack imp500 external battery
0.985502	0.85437804	imp 5000 never fly without it 
0.9616380999999999	0.77308464	great charger holds charge 
0.8134314	0.5572666999999999	good but bulky
0.7327509	0.76745266	very good for rechargining fails whent the battery is dead with iphone
0.24433160000000004	0.2400038	save your money just make sure your phone is charged 
0.98138934	0.7452821999999999	i was skeptical and shouldn t have been
0.7092507	0.69886845	nicely built laser pointer led light are surprisingly helpful
0.78176695	0.6096284000000001	do you want to gamble when it works or not 
0.99433875	0.84637606	great product even after almost 2 years of use
0.99942863	0.92581415	the perfect everyday carry with you on the go charger 
0.89358985	0.80316556	fantastic 
0.9464036	0.8363754999999999	bulky but does the job 
0.11365938	0.6832597	lasts for 3 moths
0.9979566999999999	0.8398472	look no further 
0.83435285	0.78470504	very well made battery
0.08774069	0.5404031	tedious interface doesn t last long
0.008145601	0.39931023	wat 
0.97054905	0.6962818000000001	perfect 
0.9985946	0.785316	best iphone battery ever 
0.9900764000000001	0.75255406	great charger
0.036242843	0.61632884	do not buy this battery it will only last 3 month
0.9894905	0.7236491	great all in one business tool
0.96197665	0.5468425	wow 
0.99570787	0.81383526	lasts forever and is mobile
0.86210436	0.61512536	great mobile charger
0.97614044	0.65376776	exactly what i was looking for 
0.985798	0.6837517	good product
0.018726885	0.69549555	only worked a few times
0.028687477000000003	0.7827873000000001	worked well during the warranty
0.37609214	0.6421676	read the fine print does not include charger 
0.049091905	0.69524395	loved it but 
0.9992242	0.81707454	nice and sleek
0.09201974	0.74094963	not for ipad or mifi
0.99650574	0.7287239000000001	great battery life
0.9874610999999999	0.8148793000000001	clearly exceeds expectations 
0.9990671999999998	0.82044375	lots of power for my 3gs iphone
0.4488236	0.50662166	overall about 3 stars
0.8319055000000001	0.7146715	does not perform as advertised
0.99871814	0.8025123000000001	the best compact and powerful battery pack the frequent traveler can get and must have
0.0051982105	0.56799465	don t buy this 
0.98615575	0.8290148999999999	freedom and less anxiety love the sleek and powerful itorch 
0.19095007	0.49846828	ridiculous battery life connector doesn t fit ipod plug 
0.95219433	0.809862	wow very impressed 
0.98462427	0.6847088000000001	what a great product 
0.40235513	0.7580792	worked great but broke after the warranty period
0.9864163	0.87656945	solid reliable powerful charger for small portable devices
0.050718725	0.5037623999999999	its not what i was specting
0.020147651000000003	0.634794	less capacity than advertised
0.7655171	0.5849225	good product
0.86878324	0.7908122	love it 
0.9185251	0.67673045	awesome 
0.99910575	0.76356	best portable charger on the market 
0.9703884	0.834628	great as advertised
0.9902532	0.72325516	great device
0.018606693	0.6914607	terrible product
0.04151982	0.6521509	poorly made product
0.37611073	0.30115277	good gift idea
0.007621467	0.6923604999999999	faulty
0.7890394000000001	0.700108	hard to tell when it s charging
0.9358605999999999	0.8055744	super powerful and portable
0.28610945	0.7668903	exclude new ipad
0.8950935	0.5366861999999999	works like a charm 
0.02005595	0.7090633000000001	capacity is questionable not for droid razr maxx
0.7344106	0.7262198000000001	works decent but confusing
0.9987823	0.83139634	very happy with this purchase
0.9106828000000001	0.741282	nice for the money
0.9733984	0.6364685	power pack
0.98142254	0.8355017	good size and design
0.9782975	0.75412357	excellent battery pack
0.8707181999999999	0.6890013	good travel purchase
0.9939677	0.8079816999999999	great multi use battery with great support
0.49437929999999997	0.6624908	compact itorch
0.9781131	0.6174753000000001	good stuff 
0.9896311	0.67404354	perfect for the power hungry on the go
0.9904684000000001	0.8555805000000001	works for iphone and kindle too
0.9334662	0.727971	simply amazing
0.9982445	0.69166994	i love my imp 500 
0.9808905000000001	0.6900331999999999	so good i m getting a second one 
0.9995811	0.77711457	fabulous product
0.9858501000000001	0.6980819	great product
0.89230096	0.8736898999999999	excellent charger and can t beat the price
0.8382181000000001	0.37961940000000005	get for the soldier
0.9547177	0.8218681999999999	great price works great
0.47184354	0.64989996	product works as advertised
0.88736427	0.7809824000000001	great product solid and works as advertised 
0.17620695	0.57404506	great product but check the description carefully 
0.003070712	0.6272405	stopped working 
0.16455996	0.6441479	good product
0.99634886	0.8245218000000001	excellent power solution for iphone and ipad
0.9639496999999999	0.86119974	good small mobile charger
0.9973139999999999	0.81372184	really a great purchase 
0.6103596	0.7792364	does work and as advertised but the devil is in the details
0.8970127	0.78882813	fantastic battery at a super price
0.07276496	0.64448017	product works well except for the cord 
0.7601795	0.7425735	simple reliable useful interoperable undermarketed a great concept well implemented 
0.99133587	0.7871060000000001	perfect for the wife
0.98617995	0.77119815	not too bad i like it 
0.015493304	0.7707809	success story
0.059954077	0.7800722	beware short battery life
0.28443107	0.3961107	laser pointer feature makes this a bad choice for flyers
0.13184911	0.7089871	great for 2 months and stopped working
0.9804356	0.73792446	great back up battery
0.47791576	0.7622230999999999	warning for psp users
0.9945966	0.8097686	iphone geocacher s dream
0.7310498000000001	0.7584758	very good
0.98774004	0.7771939999999999	my best friend in the backcountry 
0.98829436	0.8171090999999999	great back up on the go
0.024440467	0.6459406999999999	first charge and no more
0.22532415	0.6846484	imp52d good but not great
0.81843626	0.7339394	lots of backup power
0.99811953	0.8640333	very effective and well designed
0.9280779	0.8301215000000001	more than just a battery backup for my ipod touch
0.049219668	0.7057084	buy from imax not dbroth 
0.99337727	0.8577939	big power in a highly portable format
0.99296284	0.74873817	fabulous service from imax directly
0.9699856	0.87327856	good compact charger
0.9963534	0.7936751	amazing battery product was shipped very very fast i will buy more products from new trent thank you so much for everything 
0.005163878	0.8626280999999999	steer clear
