sentiment_scores	genuineness_scores	summary
0.9972402	0.8055929000000001	fantastic 
0.01942724	0.78900445	broken on off switch and wireless keyboard
0.85357976	0.68821	good buy
0.015310228	0.59087914	junk
0.91384554	0.6652751	great 
0.99198836	0.7677096	nice keyboard case for the price 
0.99482334	0.74391097	perfect
0.9964395	0.76274884	very pleased
0.5947576	0.8345343000000001	protects the back of an ipad 2 and keeps it from sliding around so much
0.36503994	0.52833486	great grip
0.9895579	0.81497645	great item
0.99903005	0.8614434999999999	light blue leather case
0.20967877	0.64250314	everything s good except the fit
0.97751194	0.71595407	great
0.976141	0.7962395	this is an awesome case 
0.98014045	0.82570934	works like a charm
0.86526144	0.556908	exactly what i wanted
0.0019274651999999998	0.6076328000000001	don t buy this
0.9989768	0.7744755999999999	great case great price
0.033299685	0.6929448	not satisfied
0.9970889999999999	0.73604566	i love it so much i bought two 
0.9996594000000001	0.89630795	ipad case and keyboard
0.39914337	0.6475191	it s okay
0.88651896	0.7356975	great accessory for ipad 2
0.99320555	0.8658478000000001	buy this trust me
0.53047675	0.68927586	ipad 2 back
0.29123667	0.7961583999999999	leather cracking
0.99777246	0.8473948	ipad cover
0.9928037000000001	0.6912359	it works
0.9942135	0.8699319999999999	nice option for ipad
0.9986773000000001	0.8301446	great
0.9992349	0.82111263	like part of the ipad
0.74415386	0.58955485	i like it
0.99970746	0.90835875	perfect for protecting an ipad2
0.9692205	0.68329173	love it 
0.006265938299999999	0.76601505	keyboard didn t work as expected
0.051782608	0.5917318	great quality and prompt service 
0.9543431999999998	0.77776754	great little case
0.97017515	0.8134173000000001	loved it 
0.98738205	0.8089319	works great for ipad 2
0.99082494	0.7135123000000001	sweet deal 
0.915509	0.76584893	love it 
0.9990889000000001	0.7456510999999999	perfect 
0.99921584	0.8360299999999999	love it 
0.9513215	0.7228589	okay but complicated 
0.110542	0.74709797	not my favorite buy
0.1370089	0.67374206	easily broken
0.7956309	0.853467	deosnt fit well get something else
0.99493015	0.8171487	ipad keyboard
0.99483943	0.7929086	great 
0.99442273	0.6855649	works great with my apple cover
0.017019182	0.28154844	not obvious enough that it doesnt come with smart cover 
0.16121489	0.7282965	flexible case
0.0053798556	0.5932416	it was broken
0.99939203	0.8329498	ipad cover
0.33805478	0.55626446	cheap and was too big for my ipad2
0.9855870999999999	0.8294530999999999	this case is perfect 
0.020663321000000002	0.6724124	poor construction and even worse customer service
0.7517047	0.7353724	good for school
0.11889908	0.43770957	not complete
0.997549	0.7341829000000001	great product for the price
0.5103976	0.6505724	looks slick except for 
0.025348306	0.6817850000000001	ok item parts didn t function didn t hold ipad snuggly 
0.09268287	0.60321593	a bit of dissapointment
0.24335739	0.35107356	fine
0.9966431	0.7823933000000001	great product 
0.4958464	0.82004285	the ipad 3 protection i need at a great price
0.4047159	0.26312179999999996	need help to use
0.99829096	0.77303123	pleased
0.99159604	0.8811975000000001	fits the new ipad ipad 3 
0.9634681	0.8118327	good case for the price
0.008097947	0.61717063	it s nothing but joke 
0.9487919	0.8616147	picked one up for my ipad
0.99856764	0.840873	great
0.7187536999999999	0.80866504	it s missing a few key componants but we will give it a try 
0.3248132	0.5590856	nice however 
0.9891134	0.71636873	works great for a great price 
0.99029124	0.8209601000000001	great cover
0.18604690000000002	0.5824538	technical problems
0.23930990000000002	0.77750105	cute but not worth it 
0.0030133128000000005	0.5151622	horrible product
0.084189594	0.671818	i wouldn t recommend this
0.986132	0.8977013	almost perfect except for needing a bit more grip
0.99889123	0.82742894	cimo cover for ipad 2
0.99168867	0.74482816	purple wireless keyboard
0.9973308000000001	0.82285285	love this product 
0.9707743000000001	0.77706486	great product quality
0.0709784	0.43573365	good
0.90822494	0.8332212999999999	cheap and gets the job done 
0.08836183	0.5861305	don t waste your money 
0.09858149	0.14752233	not happy
0.41468513	0.6515177	so so
0.0031763016999999997	0.6627026999999999	dont buy it at all 
0.9806868000000001	0.70930284	blue tooth
0.9883325999999999	0.78914714	it works for my ipad 1
0.99944633	0.8839591999999998	great purchase
0.8606565	0.58034873	great deal 
0.03829658	0.6239121	terrible terrible terrible 
0.018182218	0.61478734	can t use headphone
0.99884707	0.9216274	love it 
0.0029343069	0.5435606	made of soft rubber silicone do not buy 
0.36104897	0.7068251	not satisfied
0.9974719000000001	0.78905964	fits ipad 3 too
0.0054622293	0.46903285	 not there yet 
