summary	sentiment	genuineness
Best Knife EVER	0.9830099	0.58371073
Fantastic Knife	0.97996014	0.76862913
Great blade, cheap features/accessories	0.38853243	0.62143767
An Embarrassment to Bear, Not made is USA.	0.040630307	0.723464
BUY IT NEW!!!	0.47163883	0.44632852
Very good	0.4206868	0.31521958
Doubtful that Bear Grylls would choose this knife	0.9233254	0.7943478
Love this thing!	0.8985151	0.553657
Best Knife I own	0.97599685	0.6867223
Great Value for money	0.9511442	0.7707226
For the price - excelent Purchase/updated: did not last long!	0.91036695	0.7649862
I love camping!	0.97117615	0.44089153
problems with the pommel	0.6449374	0.5661392
good knife, good price, arrived dull	0.2907032	0.47281218
Good one for the price	0.9188492	0.84361446
Sturdy knife but not that sharp	0.33919826	0.42493996
a tool you can rely on	0.99498343	0.81310946
10 of these might give you the ultimate survival knife	0.17029479	0.64059156
Solid and practical.	0.91340935	0.8257448
Great Knife!	0.9749228	0.669981
Great Product....	0.9978529	0.74116766
Suitable	0.7753801	0.7133067
Slightly disappointed	0.3775669	0.49939302
Awesome	0.97237355	0.5862543
Gerber knife review	0.9610083	0.59767383
A good value buy	0.72150797	0.7953232
Worth the money	0.99402076	0.5536705
Great product	0.9496247	0.5427244
Lets get somethings straight...	0.92237425	0.8937816
Great Knife	0.81727964	0.46159905
Quality product.	0.9989268	0.80391896
it sucks	0.09540157	0.29395646
Very poor quality	0.025633559	0.332599
Great Survival Knife	0.936192	0.21576151
Great tool !	0.653101	0.38906407
sturdy	0.9702185	0.71717316
Poor Placement of Fire-Starter	0.47072673	0.7956701
Alot of bang for your buck	0.9728328	0.7962282
Solid knife	0.8398505	0.55223626
as i want	0.23354723	0.13234092
well worth it!	0.9877101	0.625779
Great product	0.9974585	0.5743896
awesome	0.9860924	0.57467514
Best knife	0.9985079	0.61294067
As is	0.44148532	0.41580003
Excellent All-Around Knife at a Great Price!	0.9647574	0.81925017
Vary good knife	0.9489982	0.4423641
GREAT PRICE AND PRODUCT	0.9627308	0.58221155
Ultimate Knife	0.99545705	0.78187984
Man vs. Wild	0.9871961	0.4765582
Best Survival Gift	0.98175836	0.71890223
Great knife, horrible spot for striker	0.06351795	0.5691048
Awesome Knife!	0.9978206	0.766362
Pretty Sweet	0.85134447	0.6036515
OK	0.89089	0.7392461
BG	0.9206611	0.70221776
Great tool for the camper/survivalist	0.9391722	0.8495562
Great looking	0.99841225	0.64821583
I found this to be too much for my needs overseas	0.907325	0.56491965
gerber bear grylls ultimate knife	0.9919293	0.6088116
Nice knife	0.47046372	0.67961746
survival	0.9976526	0.7105992
Not well made	0.024338648	0.6121354
Novelty Survival Knife	0.008394775	0.41180807
Tough	0.7563675	0.60371685
Great gift	0.99064726	0.6365134
Good all around knife	0.9452855	0.64440936
Grsat Knife	0.9817857	0.7488882
Contacted Gerber for help, Make sure yours is the new version!	0.022918882	0.81369644
Love it!	0.99391264	0.8013758
Gerber Knife	0.99446183	0.6142683
Truly awesome knife	0.99386966	0.78182566
gerber ultimate knife	0.9962077	0.6869236
Very Good Knife Highly Recommend	0.41112083	0.6025398
Interesting combination of survival tools.	0.56621355	0.45722568
amazing knife	0.8669172	0.7891608
Bear Grylls...LEGIT KNIFE	0.9327412	0.8154324
Bought because of the BG name	0.3067697	0.53278166
QUESTION?????	0.44622573	0.1803303
Excellent Knife!	0.75500315	0.6492746
Great knife and great value	0.9856388	0.67809695
Everything you need in 1 great survival knife!	0.99960417	0.8313846
Knife vs. Wild and the Knife wins	0.9971752	0.76671904
Great Gift Item	0.9653046	0.6895977
great knife	0.9943704	0.7088635
Gerber 31-000751 Bear Grylls Survival Series Ultimate Knife Serrated Edge	0.99665725	0.6875179
Great Knife	0.98051226	0.58107483
Good Knife and sheath	0.7710991	0.8503921
Excellent knife	0.98764324	0.7164916
Gerber Bear Grylls Survival knife	0.743196	0.5682272
do it	0.93496627	0.14478579
happy	0.9876633	0.80035514
Great knife for hunting etc.	0.8102663	0.7443935
super firme	0.7801727	0.12795387
Great knife	0.53033423	0.72644967
Is what it is...	0.26117185	0.6502689
Best Knife Ever	0.99834883	0.7430338
Good product for less	0.87492156	0.5707488
One SWEET Survival Knife	0.98836935	0.82516813
Amazing Knife!!!	0.999273	0.72305083
good knife	0.7966473	0.5114641
Gerber Bear Grylls Ultimate Fixed Blade Knife  - Perfect!	0.9948184	0.30395526
Pretty good	0.88558066	0.78655684
i did NOT buy the knife after looking at it	0.8273988	0.5577354
It is good for what it is intended for.	0.9734918	0.72614557
It's a gift	0.5400386	0.26554084
this knife is awesome!!!	0.9744701	0.7268314
It really is a nice knife.	0.9748599	0.8682255
Good knife, but the extras aren't great	0.85002506	0.81548876
"Easy to ""Bear"""	0.98897153	0.8148682
Great knife	0.9957172	0.6305664
I love this knife set	0.9977685	0.6689447
Excellent knife and fire starter	0.9714286	0.7834711
awesome	0.99772877	0.82331365
Ultimate Knife	0.9578334	0.28172046
best knife for the money!	0.9392782	0.51444805
A amazing chore knife	0.990866	0.7970659
What a P.O.S	0.02688247	0.49352115
Good idea, cheap Chinese execution.	0.1200514	0.5698774
Super! Great Gift Item	0.99661094	0.6580479
Surprise present	0.9870745	0.50249046
Super great value.	0.99617624	0.74867344
One helova-knife	0.8446024	0.60161364
Awesome Knife	0.9961428	0.5519259
Survival knife	0.9962224	0.7356476
Well-made knife, silly accessories	0.66824716	0.65297
Great knife for the price point	0.921803	0.87477005
Great knife	0.99658656	0.66000944
Great Knife!	0.70081615	0.51322347
Well worth the price!	0.98991066	0.85637033
Good Knife, Better accessories	0.8439292	0.5880105
Gerber Knife	0.9770273	0.6611764
Nice Knife	0.99307644	0.7945488
A++++	0.9973725	0.7475335
best deal on the net	0.9575467	0.5884403
Fantastic Survival/Infantry Knife	0.11339179	0.68683666
Amazing!	0.99896157	0.5655282
On Heck of a Knife!!	0.8060961	0.22332694
Bear Grylis Survival Knife	0.91477126	0.70566636
Great Knife	0.98066944	0.7461869
Great Knife	0.994827	0.60186744
great value	0.94736296	0.49921682
Nice Knife	0.9506847	0.3528617
Bear-o-belia	0.5730878	0.71464175
Ultimate Survival Knife for a reason	0.79915875	0.70220643
A real man's knife	0.98980296	0.6764629
Solid Knife For A Solid Price	0.8445966	0.6266233
Nice Knife	0.587382	0.58625716
