sentiment_scores	genuineness_scores	summary
0.93944883	0.8611399	fits the iphone 5 perfectly
0.86507815	0.64763856	tune belt
0.48881182	0.5432026999999999	holds a phone 
0.9597886999999998	0.8549674	armband pretty good not perfect
0.9784700000000001	0.8229084000000001	fits droid x 
0.91359556	0.8424545	fits droid 2 great
0.99754226	0.8217790999999999	true to form
0.7827774000000001	0.7822732	works for my htc evo
0.9490874	0.8918214	phone fits and armband works 
0.79195726	0.7955075	great product
0.97530127	0.8413485	works well
0.99685997	0.86981386	just what i needed
0.92195404	0.8373188	good product that works well 
0.85128057	0.82568455	fits droid bionic with tpu case on 
0.89855486	0.7945492	great case for the droidx 
0.96307766	0.81819975	awesome fit
0.09726766	0.650323	tune belt for fascinate
0.092772424	0.6470909	cheap and does the job but sweating could be a problem
0.84597963	0.7993729	tune belt sport
0.9488851	0.64297974	not an apple product fan
0.9824415000000001	0.7618911	fits the droid x
0.84893537	0.7407893	great with droid x
0.3965101	0.6737491	ran a marathon in this 
0.988532	0.65944976	gift
0.78540456	0.7928588000000001	works well with droid2
0.7906456000000001	0.8642145	purchased for my wife for christmas bought a second one for myself several months later
0.7804922	0.84798545	the best it can be
0.90438884	0.88497704	pretty nice 
0.97336376	0.87442297	fits the samsung captivate perfectly 
0.92779624	0.7836506	great
0.53021836	0.6522039000000001	armband works well 
0.9648452	0.8638496999999999	thunderbolt w seidio case
0.9768617	0.77848935	perfect addition for iphone 4 folks with cases
0.87219286	0.87074673	great fit for my droid and ipod
0.21376958	0.63530225	way to snug
0.9992404	0.82929003	bought this for my wife
0.3207757	0.46074079999999995	exactly what i was looking for 
0.6581030999999999	0.76043475	perfect fit 
0.9194	0.76928544	works fine with my droid x
0.60147715	0.73928773	perfect armband for droid incredible
0.9478639000000001	0.6857843000000001	samsung galaxy s 4g fits great
0.94932353	0.8797705	great for larger phones
0.25156593	0.5007002	not very durable
0.9735719	0.82250774	works for the droid x
0.97466886	0.8623295	much better
0.99291205	0.83573675	works great with samsung galaxy s2
0.92704	0.6932963000000001	good enough but not perfect 
0.395962	0.72955614	fits droid3 nicely
0.6683378000000001	0.6539415	great for working out fits my htc incredible 
0.6723965999999999	0.809587	initial impressions are favorable fits droid x well 
0.7788236	0.70878845	this is great if you have skinny arms and a samsung captivate 
0.9670519000000001	0.9020046999999999	has held up to countless running and biking sessions
0.72403294	0.79812545	great case for the evo
0.9882528	0.9277586999999999	the truth about tune belt and evo 4g
0.9811901	0.86296725	fits my iphone 4s with speck case perfectly 
0.9981109	0.8654268	great product 
0.95864874	0.7988498	nice for the droid x
0.25595292	0.6101116	fits droid razr
0.03985876	0.53621185	unusable
0.99898064	0.87224925	incredible armband it s for an htc incredible 
0.8392354	0.8956858	a great armband for htc evo 4g
0.98653114	0.8382632999999999	zumba lover
0.99402714	0.8423423000000001	awesome
0.61099875	0.7733536999999999	tune belt
0.99820906	0.8816894000000001	best armband out there
0.5796873	0.6282889	tune belt armband
0.9787942	0.81853783	excellent for the droid x
0.97054625	0.8450059999999999	perfect for running with droid x2 
0.95643216	0.69127584	fits samsung galacsy s ii scyrocket and samsung captivate glide 
0.97083664	0.83159095	fits htc thunderbolt evo 4g perfectly
0.5295953	0.6609841	nice item 
0.9257261999999998	0.75035137	fits droid razr maxx
0.9300769	0.79689085	good product
0.98686004	0.84565794	great 
0.07459971	0.5719094	fits most phones not most arms 
0.56737506	0.8079064	it works for what i need it to do 
0.98701644	0.8137722	band
0.94003296	0.6595224000000001	great item
0.9922928	0.8780421999999999	fits htc incredible 2 and samsung galaxy s
0.96146464	0.85295594	great armband
0.9547969999999999	0.83006895	tight
0.9621896999999999	0.83510876	perfect for samsung captivate
0.16895822	0.55520874	well constructed does not work well with evo 4g
0.7129501	0.7516353	fits on my photon but not so well
0.81148547	0.7929429	nice product hard to get phone in and out tho
0.83698857	0.42008199999999996	satisfied
0.021681637	0.43864405	too short too tight
0.8541515	0.7991198	fits thunderbolt perfectly
0.8391036000000001	0.7550538	perfect for droid x 
0.7728524999999999	0.85029685	tune belt ab83 overview
0.8993993	0.80422235	excellent product
0.26146075	0.5477344	uncomfortable
0.36381209999999997	0.6841113	made it through rthe rain 
0.9496591999999999	0.84517276	works for samsung epic
0.3156485	0.5686730999999999	scratched my screen
0.42298585	0.78778386	doesn t work well with samsung epic
0.9264045	0.8268658999999999	good fit
0.70131737	0.7704456000000001	works great for droid x
0.99829125	0.8823254	tune belt armband for fascinate and droidx
0.99297214	0.8530072	works well
0.8660838	0.6519083999999999	perfect
0.98357785	0.80109894	armband for your smart phone
0.022278816	0.47645515	cheap and flimsy
0.855377	0.7842486	samsung galaxy s2 at t and tpu case
0.92235386	0.85363173	awesome product 
0.30084705	0.6971451	ok product
0.98476815	0.7392607	this is exactly what i was looking for
0.91548014	0.7761726	fits iphone 5s with case
0.24249125	0.6371368000000001	okay for samsung galaxy ii epic touch with case
0.73527026	0.8532449000000001	right size for motorola droid bionic
0.9958718000000001	0.9040004	the only sport band that fits properly
0.97549915	0.83597195	works perfectly highly recommend
0.76358503	0.87668836	finally an arm belt that holds my iphone4 along with its bumper case
0.98148453	0.7540859000000001	perfect 
0.034810066	0.546179	generic product doesn t fit evo 4g well 
0.94495773	0.8574480999999999	excellent so far
0.32383317	0.41535044	bear claw slippers
0.23574993	0.4637825	does not fit an iphone in an otterbox case
0.9796896	0.8845871999999999	works well with incipio case
0.95171106	0.8660796999999999	does it s job 
0.92630494	0.86156034	add droid 3 to the list of compatible devices
0.92398775	0.6989203	perfect for the ipod touch
0.49612492	0.77059245	not bad
