sentiment_scores	genuineness_scores	summary
0.96548766	0.70609397	excellent
0.98525405	0.9257021999999999	bright color
0.9452493000000001	0.7754036	perfect fit 
0.7669808000000001	0.7295451000000001	perfect for me
0.9958421999999999	0.81013334	nice case
0.0066592395	0.43258277	doesn t protect the phone at all 
0.95902973	0.7401129	does the job and does it well
0.9806216999999998	0.77899265	elegant and a perfect match
0.26954693	0.58051777	go for rearth
0.9445150999999999	0.83107644	great case
0.9972873999999999	0.81043446	awesome little case 
0.99460375	0.857677	not bulky
0.16082245	0.66814697	good try
0.46042097	0.7270465	decent hard case but also hard to use
0.9944774	0.8576071	lovely colour good value
0.8935440999999998	0.866017	snug fit but just as slippery as the battery cover itself
0.9873868	0.8155358	the best case for the price 
0.008529901500000001	0.62748885	pointless case
0.87561524	0.7488544	great case
0.98031044	0.83696544	fits and works great
0.13055250000000002	0.49107105	nice looking not protective
0.11807817	0.60849166	no protection
0.37239176	0.55806744	its ok
0.9956126000000001	0.8185893	just what i m looking for
0.91999763	0.7932825	it s a beauty
0.98952335	0.69247365	nice sleek case
0.15655985	0.6872463000000001	not protective
0.997958	0.80303043	awesome case 
0.17203537	0.7229538000000001	nice case but be warned
0.44594480000000003	0.6994961999999999	great product
0.09346557	0.43784806	gloop
0.911693	0.83485305	great slim case for s3
0.9783187	0.85273993	luv it great case 
0.033235997	0.23374	came cracked and chipped
0.98524964	0.82774425	nice case
0.9945610999999999	0.90665346	looks and feels great 
0.9991783999999999	0.8668219000000001	great case
0.92854905	0.86297756	great case great price
0.9151756999999999	0.80661035	pretty basic but rad
0.9434838	0.7917154000000001	fits perfectly and protects as expected
0.9909718000000001	0.8634013	impressed
0.99642813	0.8424736999999999	perfect sleek case
0.9987954	0.90980756	perfect gift
0.9621848	0.7912167	perfect case
0.046804517999999996	0.56839883	ultimately useless
0.99479234	0.7755384	great color
0.9924335999999999	0.8280603000000001	protect the galaxy 
0.97983044	0.6649019	great cover for phone
0.9952219999999999	0.75732243	great case for my galaxy siii 
0.004874021	0.59876657	whole on top right corner 
0.33876872	0.7997279	sleek and light but not durable
0.9940293	0.8280504000000001	keeps the sleek feeling of the phone not bulky
0.6872738	0.71056956	sleek but does not protect
0.9437542999999999	0.8545635	exactly what i was looking for 
0.9980241	0.84594905	best cool and ameazing case
0.9755594999999999	0.853985	elago slim fit galaxy s3
0.023384422000000002	0.49922982	good but failed to protect
0.9790529	0.84345853	pefect
0.9122728000000001	0.6115164000000001	love this case
0.026284426	0.69026136	all as advertised but the obvious flaws quickly realized
0.8839263	0.6536609999999999	positive rate
0.9931846999999999	0.80857056	best case i ve owned for my s3 and i ve owned 5
0.85987025	0.80038303	best case i ve found so far
0.6033041	0.8050393	well made poor protection from breakage
0.98296237	0.79096556	perfect
0.9450607	0.745312	love this case 
0.41703140000000005	0.58823293	elago makes the best cases for smartphone
0.9972693000000001	0.6340129	nice
0.7814161999999999	0.82024217	fits great and looks sharp
0.99768925	0.89951444	samsung galaxy s3 elago g5 case
0.8936939	0.81135803	great case great color just a few minor annoyances
0.99742854	0.8093382	exactly what i was looking for
0.9796450000000001	0.8478308000000001	great fit
0.74372274	0.7426988	good cover
0.83716106	0.8309184000000001	simple design 
0.98922443	0.90574026	completes the galaxy
0.9478693000000001	0.9379581	hot pink slim and sleek 
0.088749915	0.37262118	elago g5 slim fit case for galaxy s3 fits verizon at t t mobile sprint and other carriers soft feeling jean indigo eco
0.033423096	0.44706115	dont get this 
0.9988261999999999	0.91982377	high quality slim
0.99307984	0.74912924	excellent
0.9958283000000001	0.74817866	great 
0.9589033000000001	0.83645606	still going
0.98245823	0.8330466000000001	perfect case for the sgs iii
