sentiment_scores	genuineness_scores	summary
0.16567084	0.5716925	i ordered the wrong battery ad cant use it am waiting for my new battery now for a week n a half and still havent got it 
0.09821907	0.82858795	avoid
0.003435433	0.53797805	replacement battery
0.9670741	0.83396155	great battery replacement for my galaxy s 4g
0.99352574	0.7364606	nice product
0.0006490946	0.7853135	bad battery
0.92983997	0.7720816	amazing
0.9874674999999999	0.6907932	battery
0.19682592	0.40883565	it is not a galasy s4 
0.0048662126	0.5064466	read carefully
0.019405752	0.45531590000000005	doesn t work
0.057801127	0.44816604	not for samsung galaxy s4
0.10410932	0.72627985	does not charge in phone
0.07351634	0.47798783	warning does not fit phone listed 
0.06335735	0.5096823	samsung battery
0.9045291999999999	0.66005665	battery ok
0.0029927492	0.38423127	horrible
0.050608665	0.58819425	not a galaxy s4 battery 
0.34503314	0.703647	made in china
0.017226249	0.45703593	not the right battery
0.28323147	0.7656215999999999	time for a new battery
0.35639024	0.5340657	it works but 
0.026306599999999996	0.76056045	suspected knockoff
0.54954094	0.5688429	well its a battery
0.88786215	0.75044864	good one 
0.74421066	0.6754526999999999	does the job great price
0.883597	0.6387196999999999	holds less of a charge than the one it replaced 
0.006170869	0.68417126	horrible
0.98409235	0.6848164000000001	happy customer
0.017683655	0.39956495	does not work for the samsung galaxy s ii 
0.5854634	0.69701475	great product
0.02163878	0.7518523	does not work
0.9965103999999999	0.7011188	fantastic 
0.05796376	0.71858156	bad shipping and horrible battery
0.87061596	0.6176077	it s a battery
0.24660054	0.34024057	battery received on time
0.9817756	0.73963845	awesome
0.9851181999999998	0.7233734	inexpensive and in great condition 
0.39061308	0.8115678000000001	excellent battery
0.28582168	0.53269297	not their fault
0.7908286	0.5693919	just in time 
0.3259397	0.45407504	not for s4
0.04708028	0.5502387	does not fit samsung galaxy s4
0.94863653	0.5461302	fit my phone
0.021739125	0.35107768	mislead
0.013298005	0.5918975999999999	do not buy this battery 
0.20886970000000002	0.7097279000000001	didn t work
0.015242606	0.64125925	battery
0.0012985467999999999	0.6915526	galaxy s 4g oem battery eb575152la
0.9676064	0.7203979	yayy my phone finally works 
0.11892918	0.5116452	not for a s4
0.00024056435	0.5539531	crap 
0.05688429	0.6055246999999999	battery review
0.029114366000000003	0.4942335	battery
0.7701309000000001	0.7845701999999999	great price
0.9755988000000001	0.74478674	great
0.99277467	0.7173655	work good
0.92251027	0.7291502	works as advertized
0.52188504	0.47518146	this is what my phone needed
0.034796506	0.7674347	samsung replacement battery
0.97067916	0.6544509	it was great once it arrived took forever and didn t give me any other choice to get it sooner 
0.038220912	0.42857948	misleading
0.03220439	0.36848688	misleading
0.65851533	0.38054687	1650 mah samsung galxy 
0.021317244	0.54821765	false description heading 
0.96106195	0.7324354000000001	the same as the original
0.020413876	0.5627623	used
0.06186101	0.584777	incorrect battery replacement for smartphone
0.15518913	0.1505664	not the right battery
0.9981046999999998	0.6557814000000001	awesome
0.0034132302000000002	0.65483946	does not fit samsung galaxy s4 
0.060157865	0.45426837	my mistake
0.95600736	0.7062560999999999	the right battery for an odd phone
0.5766511	0.32518914	perfect
0.98954403	0.53682405	galaxy battery
0.95787126	0.60845625	battery works as it should 
0.006861299300000001	0.41485396	be careful not for galaxy s4
0.38622445	0.42887682	samsung battery
0.19275752	0.4929818	intentionally misleading 
0.269978	0.5791651999999999	the battery works great
0.81836057	0.6532173000000001	good battery for the price 
0.019709617	0.6714916999999999	does not fit galaxy s4
0.3231742	0.64200324	misleading descriotion
0.95639485	0.7566093	works just fine 
0.41925228	0.69400907	don t waste your money
0.99634105	0.7968265	best cheap product i ve ever buyed 
0.009503156	0.32331464	confusing not for galaxy s4
0.04885173	0.45137542	not even the right battery
0.11298275	0.5445248	doesnt work good
0.043775767	0.8279629000000001	fake battery
0.5829525	0.5615141	replacement battery for samsung
0.07420981	0.5892683000000001	bad battery
0.06515783	0.72424924	not oem battery 
0.01738733	0.38198707	its the wrong battery 
0.13538635	0.7465389	2 
0.8900111999999999	0.7791755	appreciated product price customer service
0.021219254	0.3986318	not a galaxy s4 battery
0.013240188	0.60890526	wrong and bad battery
0.88852227	0.44262514	samsung battery
0.98402065	0.7633045	great battery 
0.029811114	0.5752772	disappointed
0.9770627000000001	0.7268131999999999	great battery
0.9965997999999999	0.8103198	very happy 
0.013449788	0.47326540000000006	wrong size
0.95113915	0.71250033	galaxy batt
0.033869445	0.33331025	samsung galaxy s 4g oem battery eb575152la galaxys t959v
0.6648377	0.7511085	battery eb575152la galaxys t959v
0.102104515	0.5206654000000001	this is not correct battery for galaxy 4 
0.005266249000000001	0.39349505	didn t fit
0.23977533	0.75204724	was unsure because of conflicting reviews
0.9762440999999998	0.7164811	samsung galaxy battery
0.03111583	0.55774444	liars 
0.9283316999999999	0.673259	battery for my galaxsy s
0.9921123	0.7277137	good qualite
0.31451797	0.7534718	does as it should
0.99504626	0.7233586999999999	great working battery with a cheap price 
0.0008114576299999999	0.53457856	not for galaxy s4 
0.026350558	0.5546536999999999	mad
0.0038032532	0.72455245	this battery is not for the samsung galaxy s4
0.14474353	0.49524882	still waiting on it
0.35532838	0.53577864	no just no 
0.86102027	0.7086343	one works great and one works arrived quickly
0.30076352	0.64757025	new battery for the win 
0.13204795	0.71857846	made my phone crash
0.98005545	0.7135943	very strong battery 
0.005943507	0.44783357	you are liars
0.9848716000000001	0.6594595	great battery 
0.07748857	0.48070100000000004	wrong product
0.024127215	0.6848729	crummy battery not worth the money 
0.0075460373999999995	0.5457019000000001	fraudulent product packaged wrong battery in galaxy s4 box
0.16116005	0.6161316	wrong
0.03925985	0.6058054	not much of a difference
0.0071977973	0.46354502	it did not work 
0.008264929	0.43106714	do not buy 
0.013228833999999998	0.40681884	these are not s4 batteries
0.91821754	0.68529105	 
0.89449394	0.7865137	what i needed
0.86606705	0.80009645	samsung replacement battery for cell phone
0.016309708	0.47068962	wrong battery in description
0.02244386	0.47148746	wrong naming causing confusion
0.13480291	0.48587587	not the right phone
0.17760414	0.5583802	worked at first then you already know
0.90331995	0.5980681999999999	great deal
0.005513847	0.55356	battery did not work probably fake 
0.6655219	0.7478943	this is the perfect battery for a samsung galaxy phone
0.0043252707	0.62625486	battery suck
0.016963333	0.59370387	not for galaxy 3
0.9029571	0.42721903	how can this be an oem 
0.0025356412	0.5408161	yikes
0.5148639	0.7213205	as advertised
0.43296272	0.7061691	works great so far
0.95668447	0.6215944	prompt
0.9977928	0.7797904999999999	awesome priced cell phone batteries love it 
0.8013342	0.7312801	greate
0.0023542345	0.63681793	don t buy it
0.054956943	0.35193658	does not fit i9100
0.020906746	0.7545279	the product can not be charged
