summary	sentiment	genuineness
SHOULD BE MORE EXPENSIVE	0.98489225	0.028320352
Black & Decker Iron #D2030.	0.9925494	0.8790813
Fabulous!	0.86302453	0.88720906
Great Iron at a Great Price	0.99763167	0.9391117
Excellent iron at a great price!	0.99642867	0.9026414
Great iron!	0.9973592	0.8647101
Black$ Decker D2030 is Incredible!	0.9972754	0.920861
Great Iron	0.6964563	0.81467116
Great Iron!	0.9161892	0.90577394
Excellent Product.	0.86020964	0.7255687
Heats quickly, does a nice job	0.9985202	0.90232444
Crisply ironed shirts!	0.9851002	0.91139084
Expectations met.	0.8215956	0.85145706
Good but not Great	0.8887303	0.82163465
Not so happy	0.14608221	0.83928597
I love this iron!!	0.982116	0.8864124
Great Quality Iron.	0.96554327	0.9211414
Everything  is suppose to be	0.99675214	0.92128557
Very happy	0.9927857	0.896283
I agree this is a very good iron.	0.9935575	0.8494371
Nice iron	0.9627748	0.6646762
Its Okay	0.9874162	0.8382946
it is ok I dont love it,	0.63911885	0.7605281
Great Deal!	0.99937683	0.90463334
Great for Quilting	0.9821613	0.87303853
Great Value!	0.910584	0.878753
Works great	0.486818	0.7223837
working very well	0.995576	0.8115617
terrific iron at a terrific price	0.99722075	0.834389
Fire Hazard	0.23389101	0.301331
Great for the Price!	0.9545026	0.5356769
not  good	0.052703295	0.5775444
Black & Decker D2030 Auto-Off Digital Advantage Iron	0.600392	0.5829925
Bought TWO and they both died!	0.0025374831	0.87155
Wow!	0.99038917	0.89983064
Water leak on first use.	0.009757975	0.69021964
Heats Up Fast, Holds a Ton of Water, Heavy	0.75490236	0.9002021
A leaking iron is no use	0.09321735	0.8112736
Disappointed	0.55111814	0.6496702
My new Black & Decker D2030 arrived yesterday and it works like a champ	0.9860482	0.7861703
A great replacement	0.97245336	0.8686307
I love this iron!	0.92831016	0.83814335
Best iron	0.8592483	0.8817223
Good Luck Dealing With Warranty Issue	0.0072673657	0.81977904
It will get the wrinkles out	0.97288865	0.867859
Best Iron I've ever owned!	0.9896344	0.86810565
Nice Iron	0.93622607	0.77365905
best iron for a recently divoced man	0.873615	0.6996839
Great iron for the price!	0.99506265	0.9486137
Heats up fast, hot, cool looking.	0.946249	0.7765319
Great iron	0.9730987	0.8813659
Worst iron I have ever had,	0.042134542	0.7457576
Great iron while it lasted	0.46800753	0.84101254
black & decker D2030 Auto-off advantage iron	0.9407139	0.9171514
Leak issue from behind iron plate	0.018857222	0.8090774
Great product	0.99761033	0.89334786
U R GOIN TO LOVE THIS	0.7514812	0.87907803
Best Iron	0.99692935	0.8184949
Very Nice Reliable Iron	0.97423166	0.9050222
Great iron that died after only 3 years	0.3303049	0.8868226
Second Time A Charm	0.6430559	0.8470417
Awesome Iron	0.72343624	0.3758626
This is the iron.	0.84518856	0.8918412
Black and Decker easy to use	0.9561489	0.89038646
A great deal!	0.33303514	0.82831085
failed within 1 year	0.003466557	0.8627287
Loved it for first 6 months.....	0.0029508867	0.9025877
Good Product, GREAT CUSTOMER SERVICE.	0.8023295	0.77057153
Great Iron	0.9982857	0.87683046
Best iron I've used	0.95630425	0.95754105
Black and Decker D2030 ....	0.80335253	0.8714816
Did not work	0.21797223	0.5560144
Great Iron	0.77299213	0.7857976
reliable product	0.8810026	0.87463593
Best iron I have ever owned	0.96506596	0.8337902
Great small appliance to own	0.73395425	0.85887367
Best Iron Ever	0.9800495	0.90922606
Iron	0.9549608	0.8550668
Love this iron!	0.8749244	0.7887314
Great iron!	0.9747121	0.7462313
DO NOT PURCHASE	0.0041960906	0.6694384
Black & Decker Digital Steam Iron - Ranks with the best	0.84455115	0.8868583
Be very, very careful with this iron: fire hazard	0.03499639	0.79063827
one draw back	0.6154292	0.844535
Disappointed	0.033153094	0.8224766
finally an iron that works	0.45381966	0.85622275
Black & Decker D2030 Iron	0.23870236	0.68465644
Not quite a HR but a solid triple!	0.9802198	0.8894002
Short Life Span	0.03212525	0.80865854
HO  HO  HO	0.9804284	0.15818661
great Iron	0.99418044	0.77756655
pleasant	0.9911344	0.8866515
Nice iron would highly recommend it	0.99896264	0.7900434
working fine	0.9969627	0.93898624
No more ruined clothes!	0.9437848	0.83088136
excellent iron - great value	0.136248	0.6050939
Great ironing, poor auto-clean	0.071118	0.9028394
Great Iron	0.9902243	0.9393174
Christmas gift.	0.9828335	0.42356265
Purchased it July 22 , stopped working August 29	0.010532375	0.80649763
Very powerful overall iron - but watch out for RUST!	0.80463415	0.91798997
Wrinkle free!	0.9982797	0.8837796
Replacement	0.98076355	0.82817787
Great iron!	0.8361096	0.79016817
I LOVE TO IRON NOW!!!!	0.9806842	0.9251889
Love the iron	0.9974426	0.83473116
great buy	0.7738668	0.82648623
Muscle-Man Iron	0.097879216	0.7709961
Quilters & Sewers will love this iron!	0.99832255	0.9155563
Smooth Operation	0.978294	0.917924
B&D D2030 Iron	0.9584504	0.8358564
Pouring WATER	0.062015496	0.66104573
Every bit as good as an expensive iron	0.9990355	0.89367956
The Best	0.9864352	0.8743838
Great Iron	0.9926359	0.9336638
Just get and save the money from the Rowenta for dinner !!	0.9546937	0.9256687
WOW!	0.7262948	0.45043036
Great Iron!	0.7299098	0.853042
Black & Decker D2030 iron	0.99674654	0.8845477
JUST AS THE OTHER FOLKS ARE SAYING, THIS IRON IS THE BEST	0.9743885	0.8792315
Great Iron at Budget Price	0.9691144	0.8824001
Great iron - sputters a little	0.88697726	0.92225647
Worked Great but Quit Working Quickly!	0.0052801715	0.82551795
Best Iron Ever	0.99135923	0.8952587
Great lightweight iron.	0.9178599	0.79331285
Nice iron for the most part. Design could use some work.	0.4564855	0.8264146
Great Purchase!	0.93042606	0.69383574
Best iron we've ever owned!	0.8970557	0.8522917
Black & Decker D2030 Is The Best!	0.9691307	0.86099166
Great iron!	0.97596186	0.9229571
Iron	0.9662496	0.7723024
Great iron, just way over hyped	0.9732468	0.92941695
Black and Decker Iron	0.072904415	0.74439627
Mixed opinion....	0.83561003	0.90307355
Fair to middlin	0.20864825	0.824343
"Dave loves ""His new iron"""	0.9912248	0.70621616
B&D D2030 Steam Iron	0.9971464	0.81369823
the best iron yet!	0.9987984	0.866087
Very Pleased	0.99406177	0.84677476
Great product	0.9965939	0.8469574
My Second D2030	0.73985374	0.88124245
GREAT IRON! GREAT QUALITY!!!	0.9335543	0.81374925
Great iron	0.99090123	0.8793037
An outstanding iron for the price	0.96809745	0.93634635
Hefty Iron	0.9830344	0.88273036
ironing work is not painful anymore with this	0.8364215	0.81933963
Five Stars	0.995806	0.7601873
Oldie but Goodie	0.98037547	0.73379177
in myopinion	0.993923	0.8894221
almost makes me enjoy ironing	0.98573905	0.8576933
Excellent Choice!	0.8863769	0.8778499
Irons quite well!	0.28859034	0.8573504
4 years and still going strong	0.94742084	0.69691294
Great	0.9848467	0.8717576
Black & Decker Steam Iron	0.83881557	0.75519896
Lots of steam, easy controls.  Cord Management??	0.95317215	0.9342403
Black & Decker D2030: Nothing Iron-ic in this review	0.9868531	0.9031034
excellent iron	0.9050873	0.91207737
Best iron ever.	0.9956203	0.8820284
Black & Decker D2030 Auto-Off Digital Advantage Iron	0.9627894	0.90796363
works great	0.95582765	0.8404857
Perfect Temp.	0.9787991	0.69878227
Wife love this product!	0.99792117	0.8285486
Black and Decker D2030	0.9845301	0.81603515
The ironing power of a Rowenta for less than half the price	0.48181033	0.88265926
Black and Decker D2030 Digital Iron	0.9763299	0.8748382
