sentiment_scores	genuineness_scores	summary
0.9448498	0.7519298000000001	the best value design and functionality
0.0028977691999999998	0.7628691999999999	lowest quality possible
0.42431614	0.6692104999999999	you kind of get what you pay for
0.97329724	0.7266264	great case sleek design very reliable for your bucks 
0.81310844	0.67190707	satisfied
0.9986446	0.75845397	great product 
0.9276968000000001	0.6456115	my video review for the kinps 2 piece iphone battery case youtube video
0.9973521999999999	0.87154543	the perfect iphone battery backup case must have item couldn t do without it 
0.009727091	0.3224085	damaged chargeable case
0.8499848	0.7326349	works well
0.9352844000000001	0.7165811	more juice for your entertainment
0.23135859	0.71365607	works great broke three months later
0.9952081	0.70217085	perfect
0.82264954	0.6290661999999999	nice battery backup
0.0013145207999999999	0.38646206	it sucks
0.063563675	0.6538286	not much protection charging intermittent 
0.05469969	0.41606975	doesn t fit your iphone 5s correctly
0.0040350854	0.40908042	doesn t work
0.97786367	0.69930154	ok let s get real this rocks
0.04033947	0.37267816	trash 
0.98444915	0.763121	great product
0.24426013	0.54578996	good for the price
0.88035834	0.7402175	it s ok
0.09686771	0.5435628	help 
0.27879372	0.7214104	iphone 5s horrible design flaws shows some promise
0.018574536000000003	0.5009215	i don t recommend it to anyone unless u wanna waste money
0.4833732	0.72363424	kinps iphone 5 case
0.89695644	0.69726026	love it
0.026628852	0.6040337	wouldn t buy this product again
0.9172083000000001	0.8019203	the best battery case for iphone 5s at this value
0.007587045400000001	0.72423977	battery failed after one month
0.97831416	0.7682704	great product for the price
0.9734106	0.7608045	what a great tool
0.95989156	0.8215028	great case so far
0.97480106	0.79592866	great quality 
0.4260599	0.7707691	very flimsy top breaks easily
0.028909564	0.638279	updated review functions as promised
0.11985925	0.3287506	works but is not protective at all
0.0011697412	0.45049244	stopped working
0.6628864000000001	0.5187407999999999	charger case
0.83324677	0.65552974	kinps detacheble external battery chager
0.029438496	0.38050133	didn t work on iphone with ios 7
0.027616411	0.7537341	happy at first 
0.9993061	0.8493272	phone case for iphone 5c
0.98823655	0.6170334	iphone 5s charger
0.9970936	0.7379985	great product and amazing service
0.755708	0.8341721	for the price a good deal
0.75929564	0.63101906	best i have found
0.022974997999999996	0.4484624	kinps not working from the start
0.5590616	0.74840164	love it but 2 of the 4 i purchased died within two weeks 
0.0018960238	0.5991562	garbage stay away
0.99121946	0.8290187	outstanding device and exceptional service 
0.99175155	0.72067374	says what it does and does it well 
0.9934944	0.78894436	love it iphone 5c
0.9454751	0.7376835	worth the money 
0.032169223	0.42840618	disappointed
0.39980945	0.5927028	good product not great
0.95781934	0.8801068000000001	will definately buy it again
0.9343091	0.7695271	it works 
0.9978157	0.9415321	caught me by surprise
0.9218724	0.7872861999999999	great addition to phone
0.25659397	0.7422555000000001	good case bright lcd
0.06100154	0.6060956000000001	cheap plastic 
0.87473285	0.7336708000000001	its great except 
0.56600326	0.5805304	afraid it would not protect my phone
0.83965725	0.74571	recommend this product
0.99875593	0.76757455	great product 
0.15253207	0.55901384	great 
0.8941418999999999	0.48286662	it work
0.9987023000000002	0.8313296999999998	what i was looking for
0.9950514000000001	0.73429716	best cheap charging case
0.8773241	0.73919356	works as expected huge help for long days without a power source
0.0016919672	0.5672793	garbage product
0.9488915000000001	0.7591293	great case 
0.3149976	0.7302635999999999	you must be extremely careful removing top portion of case 
0.9964806	0.78357685	works great 
0.9067712	0.69813186	it s great
0.99195075	0.71164775	great battery life
0.96973085	0.64034635	stylish handy straight up awesome 
0.8265101	0.8358648999999999	kinps battery case fit phone ok volume buttons hard to use top of i phone 5s unprotected
0.0043676198	0.39111996	terrible do not work for iphone 5s
0.028612732999999998	0.70077	not compatible
0.99105394	0.76225275	great product
0.9863341999999998	0.73918253	buy it
0.0063375235	0.5222365	do not buy this
0.0031101406	0.55571944	don t waist your time and money 
0.88372636	0.7460392	item as describe 
0.9556228000000001	0.7898153	very good product
0.9994055000000001	0.7607292	works great 
0.020118773	0.5285178	don t drop this guy
0.9929478999999999	0.84289277	great case at a great price
0.99933445	0.7386723000000001	perfect product don t look further
0.8948518	0.78587186	excellent case
0.99942696	0.7782316	very pleased 
0.7820434	0.6210624	plenty of features in 1
0.99972236	0.67726594	amazing 
0.99409795	0.76848465	amazing little case
0.53339994	0.7459124	doesn t charge up sometimes
0.63319117	0.64544505	case is as described and works great 
0.5856776	0.653854	so great
0.11290476	0.5157066	not to good
0.0028707683	0.80942726	caution 
0.006377578	0.66028905	died in 1 day
0.04781568	0.8038758	hard plastic cracks and falls apart
0.9897419	0.7565436	best iphone 5 5s case i ve ever used 
0.53418916	0.78275585	solves the iphone 5 connection problem
0.14858302	0.67598027	so so
0.90170205	0.87936354	amazing product great price 25 00 
0.0027107894	0.535878	not good
0.9887728000000001	0.6972728	external recharable battery 
0.9303952	0.6953862	awesome case
0.9542345999999999	0.8768885000000001	very impressive w simplicity and little protection
0.5692461999999999	0.92196655	seems ok especially for the price
0.93973446	0.6432966999999999	extra battery
0.97915196	0.6543139	very good product
0.977351	0.71318275	apple backup battery
