summary	sentiment	genuineness
No external antenna = no range	0.07105335	0.5115114
Looks great but it has it's downtime	0.18550377	0.65191007
Amazingly simple setup - excellent wi-fi range extender	0.87737364	0.80604243
Easy to setup but quirky	0.9368645	0.79457533
excellent	0.9699071	0.7895992
Not Happy	0.0010244075	0.62088394
three minute set up....right...2 hours later and still didn't work	0.44439209	0.44567883
One Star	0.47292593	0.21890588
easy, great for smartphones	0.99005437	0.6086008
Will be returning the Almond	0.6323797	0.44412923
So much potential	0.60005844	0.69171673
Doesn't solve everything	0.6981933	0.60906094
Works as expected, so far.	0.1371643	0.5769614
Useless as a range extender	0.033114243	0.43920574
Great Device!	0.947731	0.7745365
Easy to set up. Works as described.	0.5002479	0.743888
Great Extender	0.8744839	0.47041702
Did almost nothing.	0.16853395	0.49113452
Disappointed	0.81921583	0.61070806
Disapointed but then Happy	0.8279886	0.70675045
I wasted my money!	0.06695356	0.3874928
THE BEST!	0.98933697	0.85099816
Easy Setup but Signal is Not Strong Enough	0.12463104	0.5310706
Nothing but problems	0.0027235395	0.58213407
Didn't work for us	0.38974652	0.5011127
Doesn't play well with all routers	0.84118617	0.69680846
Ineffective	0.013142454	0.41513312
It seemed great but.....................	0.21521254	0.6903306
Nice design but needs better antennas and range	0.21371269	0.5294991
securifialmond	0.68228763	0.46143135
Range extender is minimal	0.828041	0.7009792
the best router out there	0.9939711	0.6106654
Not for someone who needs a big, strong range.	0.6004872	0.624777
Hit and Miss	0.12611689	0.6898921
ok product	0.7114217	0.6369616
Not bad, not great	0.8273403	0.72141796
Extender needs reboot often	0.110024065	0.58982104
OKay	0.7816929	0.68864286
not bad but not great	0.9251249	0.64059687
Why is this sold here and I haven't received this yet?	0.50327116	0.44997305
Didn't work for me	0.0469235	0.63256013
Returning	0.12286952	0.6575954
Not working well on second floor	0.9724646	0.67151904
It works okay	0.1415101	0.50630367
It's a good idea, but does not work well as a range extender.	0.48057115	0.54948604
????	0.92592436	0.6259912
Quality of product	0.2798765	0.63920987
I like it!	0.8592407	0.7958549
Wireless Router	0.29092553	0.5144059
An Inconvenient Truth	0.096223414	0.6740621
Phenomenally easy to set up	0.9308904	0.7773265
so far so good	0.518373	0.6688878
Wont connect to PPPOE	0.16129372	0.46998435
Just didn't work.	0.004539261	0.4556231
Not Great for Range Extender	0.038974445	0.5909292
Seemed very interesting but not what I was looking for.	0.15321958	0.56553346
excellent value for the price	0.973438	0.811111
Did not work for me	0.049271252	0.36409977
Easy setup, cute look, but degrades speed	0.05814301	0.55727226
unable to reconnect despite factory reset	0.18025903	0.57292503
Doesn't seem to extend the signal for my application.	0.13571921	0.59065884
would have given 5 stars, but....	0.45906386	0.27687
Good as a wired router, horrible as a wi-fi router/range extender	0.4187377	0.8092044
Dead on Arrival	0.020432042	0.24303472
Extended wifi	0.67989075	0.7720454
Securifi Almond Router	0.31458738	0.25038624
Super easy setup. Might need some minor extra setup to get the best range	0.40592274	0.7642398
Didn't work for our two-story home	0.05945015	0.35265508
Quick and easy setup, unable to discover N150 or N300 networks	0.76274455	0.7240182
Decent inexpensive router - Securifi Almond	0.97016484	0.78261834
work for 45 days	0.016767014	0.27766946
Did not work as a repeater for me	0.031832423	0.28344375
Doesn't work	0.7350495	0.7116995
Does not work	0.020940272	0.46311533
product start losing IP's	0.851325	0.6033675
Failed to recognize my WiFi signal	0.04292257	0.53587604
Good at its job	0.84552747	0.79019415
Changed my rating for the better.  From 1 star to 4	0.6637963	0.6810011
Wireless just doesn't work.	0.006006505	0.57381815
As advertised	0.8050161	0.7730524
Does not work consistantly	0.029466232	0.48233533
Not so good	0.015994439	0.40303898
Not as good as I hoped	0.93574494	0.7363111
disappointed	0.019260231	0.32742596
Easy Set-up	0.5264357	0.6597532
Router that is people friendly!	0.27577555	0.43077797
Works Perfect	0.99687177	0.5117563
Worked as Advertised	0.9244484	0.73999274
High hopes	0.19318548	0.4525754
Excellent!	0.9456798	0.7846941
Drops connection frequently in repeater mode	0.020510903	0.4502985
Not dual band	0.3086979	0.24342136
DID WHAT I WANTED!	0.9329927	0.7553158
Extended network problem	0.88525087	0.7846924
Hit and Miss!!!	0.19893551	0.6177518
"May ""help"" with signal strength, but certainly can't support high download speed"	0.004977719	0.39453152
Biggest waste of money.	0.06441366	0.41712236
Works after 2 calls to India	0.21912065	0.498466
Easy setup, horrible range.	0.008402689	0.4556314
Not Needed	0.11186231	0.16094132
Not what I thought it would be.	0.0075785434	0.60559255
Defective!	0.027383586	0.57076204
No better than stock router.	0.32904008	0.27951214
almond review	0.47744954	0.2806338
Securifi Almond - (3 Minute Setup) Touchscreen Wireless Router Range / Extender	0.602962	0.54231757
Great interface, poor performance	0.4362165	0.7423236
Product is defective	0.0060390066	0.35528788
Great now	0.45789415	0.56845003
Customer Support is totally useless, their magical fix is to reboot everything	0.02360198	0.3822885
Took longer than said	0.43894154	0.21204571
Had to Return it.	0.41117427	0.31679606
Works great!..... for a month.  Customer service? What customer service?	0.2457745	0.73085237
OK	0.51849467	0.21667162
Junk junk junk	0.010852225	0.38616365
Totally different experience	0.013428116	0.5262122
Easy set up works well	0.7471088	0.54777974
A Snap to conifgure	0.97906667	0.7909614
The Jury is still out!	0.5667046	0.75979245
amazing!!	0.9845865	0.8169391
Small Setup Snag but Loving the Almond	0.76977366	0.8019999
Absolutely as advertised	0.9945696	0.8625169
Easy....Easy...Easy	0.7338489	0.67448384
Easy to understand	0.7677815	0.42477697
Best customer service in the history of ever!	0.27214018	0.6780668
Problem solved!	0.95517397	0.7901346
Yes, this works exactly as advertised	0.83120435	0.60037965
Small and powerful	0.7884808	0.813319
Easy, painless, very fast and solid router	0.972523	0.73060715
Great product	0.9484224	0.7304117
Simplicity	0.25036496	0.68318176
Easy Setup	0.9343106	0.7235835
Secuifi Almond Wireless Router/Range Extender	0.9761311	0.7938493
I am in love with a wireless router...	0.025062189	0.4296426
Just the ticket!	0.99897563	0.867521
So easy to setup.	0.91562057	0.67359
Happy with this product!	0.9855591	0.73988765
Great Product/Outstanding Customer Service	0.8593543	0.82956314
Almond works great as a Wifi range extender	0.99207485	0.8352073
must be lucky	0.9714958	0.75631076
User Friendly GUI-Quick set up	0.67569095	0.7729542
It just plain works!	0.9982632	0.81081855
Excellent product!	0.97972304	0.8490097
This is what you are looking for!	0.5592506	0.6384971
SUPER EASY SETUP	0.8462762	0.7325599
Great extender!	0.2212539	0.6378042
Didn't work for me	0.042453878	0.56036955
Ease of installation	0.96584374	0.37510106
Long range router supreme!	0.99824405	0.8913718
Loved it!	0.9940509	0.91985977
This is the ONE Range Extender that WORKS	0.2890775	0.7071749
A better mousetrap	0.9976937	0.7748574
A FANTASTIC ROUTER!!	0.96652305	0.4798258
Awesome	0.9587557	0.6452924
easy & very powerful	0.9194719	0.6006677
Almond	0.9871815	0.78944826
Very quick and easy to setup.	0.9647473	0.6131253
Easy,  breezy, beautiful	0.97890455	0.7237604
Almond - a wonderful new range extender	0.4814424	0.6885228
love the touchscreen!	0.9885308	0.70268935
Securifi Almond... used as a range extender	0.99508387	0.7463914
works	0.995652	0.7383245
Amazingly effective.	0.98147297	0.7787293
Great product.	0.9975313	0.6991426
Finally a Product that does what it says it does!!	0.58075005	0.6879285
Good Access Point	0.9641852	0.82991916
very easy set-up...	0.96836174	0.6703361
Securifi Almond - (3 Minute Setup) Touchscreen Wireless Router / Range Extender	0.9992545	0.7420038
Almond router	0.60296273	0.19877958
Exactly as Advertized	0.9507404	0.8735517
WOW, in a word describes the Almond	0.7565878	0.50236624
Works as advertised	0.98257667	0.8569801
Great extender.	0.98358387	0.7930149
You won't be sorry..	0.9654948	0.700578
Total satisfaction	0.36166748	0.56639105
It works	0.9346439	0.55415255
Effective, easy, tiny range extender	0.98709655	0.8183172
Works beautifully!	0.9566375	0.72800386
Simple, easy and good	0.9560471	0.81582296
Easy to set up	0.746949	0.8521805
Thanks for Inventing This!	0.9950606	0.76233006
easy to use	0.7462272	0.35107848
Real simple setup	0.4927771	0.6799192
Bravo Securifi Almond!	0.9855861	0.810916
BUY IT!	0.99464357	0.8259592
Firmware Upgrade and it's working fine	0.17325115	0.59398663
Amazing attractive extender, router, bridge, AP	0.99664354	0.6632062
vickie	0.99632144	0.72508574
Works Great Easy Setup	0.9879732	0.6479842
Reliable!	0.8699413	0.7684899
Great router/extender	0.972762	0.6856425
Completely idiot-proof.	0.99446774	0.83943814
Great buy	0.25618806	0.7246742
LOVE IT!	0.8085154	0.50385475
Excellent product, superb customer service	0.63503623	0.703986
