summary	sentiment	genuineness
Worth Every Penny	0.89861417	0.8252144
Love P90X	0.8760842	0.2932862
My husband loves it	0.7632557	0.54974854
Addicted to Bringing It	0.9980386	0.814529
Awesome program	0.9905103	0.72351813
Great product, even if your not just trying to loose weight!	0.90948594	0.4702144
A lot of work and other program offers better results	0.99358577	0.8291275
Love the Workout!!	0.6289388	0.44700682
deceived	0.22908592	0.33098367
Best workout ever!	0.92187965	0.5872983
Not what I expected.	0.27716786	0.3696889
Got this for my husband	0.9821046	0.7482776
good but not perfect	0.5819342	0.93860734
Great work out - if the disc works from the seller!!! Beware!	0.16335061	0.6336937
p90x	0.7422981	0.39127627
Awesome Workout	0.99001324	0.44847134
AMAZING	0.92607623	0.49826676
Can't say enough good about this work out.	0.9164481	0.8915888
Help me put back in shape	0.37508735	0.6858657
The only infomercial product worth buying	0.8951115	0.7358983
P90X rocks!	0.96971446	0.5187462
Kicks your butt, but works really fast!	0.9140133	0.4708732
Need equipment.	0.05791972	0.25815514
Anyone can benefit from the program!!	0.91518945	0.8953882
satisfied	0.96473175	0.6664977
If your looking at this stop playing games and buy it!	0.48715538	0.54410845
Not for the meek and mild, (aka, whimpy, unmotivated, whiners)	0.39323583	0.7446612
90X (X Stands for Xtreme)	0.8890541	0.68023795
Lost Weight and got in better shape.	0.9531606	0.67099327
Covers everything	0.8585684	0.81342256
Really works, if you do	0.97832835	0.86486346
Best product ever	0.6966706	0.72251594
Great workout system, but don't buy it here.	0.8246494	0.70250756
Tough, but Great!	0.9459403	0.59226364
fake	0.62507033	0.20279369
Great supplement to current workout routine or stand alone	0.95232195	0.7681979
Bring It	0.97903913	0.67549527
Dont give up!!!	0.26970738	0.6721232
P90X	0.9661922	0.42624712
Love it!!!	0.6633213	0.45529193
just another workout program	0.72669625	0.5244339
Great Experience	0.9611684	0.23208979
Exceeded all my expectations	0.9617975	0.8729641
Definitely Brings the Results!!!	0.89829767	0.71934086
It's No Secret, Sports Fans!	0.89327776	0.7731511
The most balanced workout system put on dvd	0.9979898	0.7370321
AWSOME!!!	0.9925915	0.6184151
Quite a workout	0.99052536	0.7160843
"""I hate this but I love it"""	0.93415904	0.5164806
Excellent product	0.82138485	0.7811573
Wonderful product	0.9666118	0.5765293
p90 x review	0.5578492	0.58380675
Great	0.9791199	0.58117515
Great seller	0.87555164	0.5192512
Not for the faint of heart.	0.9926508	0.83474535
LOVE IT LOVE IT LOVE IT	0.95969766	0.7801129
Great, if you are young and in great shape	0.39985606	0.8349179
A Great Workout Program	0.9006692	0.36768863
extreme	0.9100018	0.59499633
To succeed, you must BRING IT!!!	0.4157145	0.7483633
Timely and complete	0.9869146	0.46604228
Boyfriend loves it	0.99159145	0.7129582
Company doesn't support product.	0.23979153	0.63147575
Bring It	0.9148448	0.71102774
P90X	0.85772955	0.18180403
Intense!	0.97648495	0.5385678
P90X	0.98332596	0.80848926
Very in-depth and very intense	0.51848906	0.56994855
Great product	0.44853082	0.5174564
A bad way to exercise	0.12768215	0.7980245
Good hard workouts and variety	0.9694419	0.69195735
P90X works and its fun!	0.997306	0.81435883
P90X Rocks!	0.96327597	0.6348328
Great product	0.99655426	0.8821985
It worked!	0.9500201	0.6307475
Its Great We love it!!!!	0.9377824	0.46094078
P90X	0.9734504	0.4545511
Tony Horton Makes Workout Fun	0.9994455	0.9098374
Love it	0.99093086	0.812265
55 year old male	0.75339323	0.7203491
mediocre	0.51918954	0.45446754
Great Service	0.985113	0.6939299
beware of 3rd party sellers!	0.16951644	0.32879683
Good shape to extreme shape	0.6639511	0.65395033
Unless you're an Olympic athlete - save your money	0.09792633	0.6212491
Solid program	0.61291283	0.74237645
It's Magical	0.94747317	0.76925534
A workout which delivers results, believe the hype.	0.9651068	0.9780397
Great workout	0.52047086	0.31983328
took me a while ...	0.6171397	0.624429
Love it!	0.9140577	0.7396702
Ok, but ...	0.25954986	0.5524881
Damn!!	0.9782532	0.5771165
LOVE IT!	0.54704213	0.66697794
Not the complete set as advertised.	0.6865738	0.31392482
Not worth it	0.22405294	0.50956994
DIFFICULT	0.99607253	0.2322161
Great at first but lousy as time progressed	0.017700762	0.67998886
I hate it, but I love it!	0.9963606	0.64868534
p90x cd's	0.47111216	0.520881
Amazing! Better results in 3 months than I've seen with a year's worth of free-weight training	0.9518918	0.66789156
Warning: Some DVD;s did not work and customer service is non-existent	0.13811642	0.6631641
Good Fitness Program	0.009156453	0.50401694
Supplement your P90X	0.9828231	0.92832786
Intense, but it really does get results	0.25760633	0.5324162
Not all the DVDs worked.	0.48416412	0.56055444
Excellent	0.9212804	0.63890517
Stick with it.	0.63742435	0.34213844
P90X	0.9706342	0.35139304
the product was exactly what the seller advertised	0.62576157	0.518464
Great Workout!	0.80264205	0.531698
Not a penny wasted!	0.8229063	0.86344284
P90X	0.29589978	0.36832964
LOVE IT, LOVE IT!	0.9760375	0.85428315
Awesome	0.98737925	0.607068
i was going to buy this till i saw the reviews	0.5909532	0.550689
Amazing!!!!	0.99603564	0.6706873
Really Great	0.81761324	0.36882922
Good workout ....annoying trainer	0.74481416	0.61920774
P90X Make sure your ready.	0.9595478	0.5609388
Great Product	0.109553926	0.48357403
P90X: Tony Horton's 90-Day Extreme Home Fitness Workout DVD Program	0.9138783	0.2760225
This rocks...	0.9661314	0.9704276
You can do it - EVEN if you're out of shape to begin!	0.8551957	0.772322
P90X	0.8917544	0.37682822
Great workout	0.8787291	0.68249446
pace yoursellf	0.97309	0.8365074
Horrible Beach Body customer service.	0.05593783	0.36610597
Looking to get in shape quick?	0.9922273	0.80290765
Fantastic workout system	0.99587303	0.8763899
Wanna get ripped? Forget the Gym	0.9385436	0.8500363
Such a GREAT program!!!!!	0.7897221	0.32946625
The Results are Real..	0.99597	0.7969376
P90X is the best! BRING IT!!!!	0.9516973	0.76136446
Miracle results	0.86974394	0.8105851
Amazing	0.91458845	0.71487916
Better than I expected	0.9087067	0.75015485
P90X is a butt kicker!	0.79177356	0.6965057
P90X Review	0.98983496	0.45254892
Way Better Than Going To The Gym	0.95855236	0.775142
P90X	0.9866716	0.40270424
It arrived	0.8580483	0.15966856
Definitely not for the faint of heart	0.5877546	0.5692785
great service great price	0.686931	0.29902968
The results speak for themselves	0.812791	0.7048727
good work out faulty dvds	0.1659663	0.69743425
I'm sure it's great, I just wasn't ready.	0.62342596	0.8766922
AMAZING	0.9604031	0.5404043
Great workout but needs better tracking system	0.90730804	0.7550052
Fun and it works!	0.7181644	0.56739676
What a workout!	0.75554335	0.63508123
Outstanding workout; NOT a gimmick in any way!	0.72252554	0.5059826
p90x is bad to the bone	0.6803133	0.46103448
I use it six days a week	0.8670793	0.44231087
p90x	0.95027375	0.804784
Not for me	0.48306748	0.3872006
fantastic!!!!	0.9983889	0.68312883
tough	0.77918994	0.73297554
Must be willing	0.5358041	0.7180353
simple review of a great workout	0.9941361	0.7718136
Halfway awesome	0.6805815	0.79092085
p90x	0.9309242	0.84927684
Excited to start	0.95975655	0.72409356
Cheaper through Beachbody!	0.9318121	0.6188709
A Very Solid Home Workout Program	0.9704617	0.91058105
Fitness freaks - get ready for Tony!!	0.98145604	0.820394
Tony Horton Hears a Who;o)	0.04724101	0.6420951
Great Product, but some Trouble with the DVDs	0.5589421	0.6928408
It works! (but it hurts!)	0.8456282	0.41823542
P90X DVD Workout Review	0.9107601	0.684693
Quick and painless	0.69061315	0.6122915
Intense program. Be realistic with yourself before buying.	0.36336437	0.7326983
Good workout.	0.80399674	0.42769498
Fantastic system	0.8991804	0.6658667
Surpassed my expectations!	0.73187095	0.32990712
From a guy's perspective	0.98102427	0.9600163
p90x delivery	0.7811458	0.43017298
totally ripped	0.97604203	0.6894805
It works - I'm in the best shape of my life	0.9621271	0.56673926
P90X	0.9958931	0.53898036
dvds defective	0.7017512	0.22700159
Not the whole package.	0.38156217	0.59331036
Great results will come	0.7476452	0.6015763
Great Product But Make Sure You Are Buying The Real Deal	0.5168485	0.7613148
Excellent Regimen For Those That Can Commit	0.92746514	0.7762293
Love the DVD's. This is the real deal of excercise	0.9783634	0.6950843
Not a Wise purchase.  Should have spent the money and purchased new	0.8386496	0.59443474
Excellent, no-nonsense product	0.9733425	0.72992706
Best Hard Core workout Since U.S. NAVY & EOD, DIVE SCHOOL, & EOD EVERY DAY 2 Hour workout	0.9554859	0.83097863
just as stated	0.99339205	0.7314676
Many Thanks!	0.9436235	0.278055
P90X	0.12252098	0.60937506
P90X Review	0.98924315	0.9088223
Don't buy	0.5843102	0.5249434
Great exercise program, but time consuming	0.8299292	0.81049985
Lame	0.042875946	0.37600532
P90X Extreme Home Fitness Workout	0.30399477	0.11991766
P90X	0.9407864	0.5579532
Fantastic workouts	0.9809949	0.758619
THE best workout DVDs ever...one thing though...	0.77609843	0.7836266
Awful	0.24861918	0.6544252
Good Workouts, Might Need to Customize	0.90874314	0.77128226
"A Different Kind of ""Hard"""	0.9451268	0.8840808
This only works if you work with it.	0.22164151	0.5618008
Great Product	0.99810624	0.6410818
Awesome workout	0.9955591	0.6083224
The best workout routine.	0.9813927	0.7978115
P90X will change your life	0.97063714	0.85446024
Not in that good of condition	0.02648812	0.66242474
Great workout	0.9511951	0.26073205
It will change your life.	0.99352115	0.9227289
Perfect Condition and is intense. But in a good way.	0.9801748	0.5279823
Kickin my butt	0.95802927	0.8066968
Great Product	0.9411124	0.7946683
Great Workout!	0.9970739	0.73886454
Wow	0.9530496	0.71805364
brand new, but slow shipping	0.20053883	0.48152816
Don't Buy From This Vendor!!!	0.012536246	0.4846972
Tony rocks	0.69095427	0.8516894
Hell of a workout	0.9273935	0.6782866
P90x review	0.8748511	0.36294198
Great Workout!	0.98910856	0.8733995
"BEWARE ""USED"" or ""CHEAP"" COPIES"	0.032688223	0.31012148
DGHallBiz Selling Counterfeit P90X Copies on Amazon	0.15034918	0.369681
Gift for son in law	0.9726821	0.46223035
p90x	0.9780449	0.7286981
Dope	0.5761012	0.6015625
We shall see	0.86187845	0.4455584
I am cut	0.55030173	0.33342865
P90X Delivers!	0.89528286	0.69846743
worth the effort	0.6229396	0.6689689
Excellent so far!	0.7155255	0.66657746
The secret to fitness!	0.99629873	0.73902637
P90x rocks!	0.9748854	0.61320424
good program	0.9839638	0.7107469
the P90X	0.9810338	0.7467933
Great Fitness Program	0.89684516	0.5489362
great workout	0.61072534	0.39078707
great for athletes	0.80484337	0.73395926
P90X definitely extreme	0.9450626	0.7469454
Just Plain Good...	0.9648001	0.84240884
Extreme fitness!	0.85160905	0.713906
Amazing	0.941204	0.3558133
All The Review you need	0.9832735	0.8480998
Great workout - but results NOT as seen on TV	0.9924689	0.79141575
P90X	0.9971769	0.66426086
Thanks	0.940856	0.12693681
P90X	0.8543486	0.21304269
great workout, best out there	0.9603496	0.4989865
Have not recieve it yet!!!	0.7058159	0.16095613
P90X	0.9337821	0.7462167
excellent	0.9940035	0.6317419
Px90 note	0.1424256	0.37112352
Excellent	0.9519878	0.80735034
fast shipping	0.67186743	0.15472984
great workout	0.90174216	0.6908825
Life-Changing Product	0.98559976	0.62098676
Fantastic...BUT!!!!!	0.7334261	0.29218054
Close but no cigar...	0.5279754	0.865243
Completly satified	0.8820797	0.47103956
P90 X Extreme Home Fitness with Tony Horton	0.5912979	0.5770296
... or you could just do anything else?	0.32800305	0.69479233
Great workout program	0.913168	0.3259726
did not appear to be new	0.059485156	0.48901874
Yea P90X	0.9868825	0.82934105
Great - IF you are committed	0.7509682	0.82928234
Be Prepared, be dedicated	0.7604797	0.8122022
Good workout program but reality check	0.63158727	0.9139569
P90X	0.85688895	0.7761634
Horrible quality, I returned item!	0.23294736	0.6114688
Makes Working Out Fun!!!!	0.8637615	0.3801485
Whoa........What a workout!!!	0.99047625	0.767296
Do You Enjoy Pain?	0.489432	0.5066431
great workout	0.94491184	0.7639022
defective DVD in set - cannot exchange just one	0.08417813	0.53700286
Only for certain types of people, very challenging	0.47942442	0.8411914
Better to get from amazon	0.74631876	0.604258
vendor will not fix bad disc	0.19458108	0.55687237
Injured after only a few weeks.....	0.3564119	0.785066
Awesome workout!	0.8023459	0.61320907
Good product	0.7987753	0.6937232
The real thing!  But someone tell Wesley. . . .	0.8968349	0.7533137
Good program, great workout!	0.87228465	0.834966
Great quality	0.87131023	0.6024472
Extreme!!!	0.93197614	0.6422638
Fantastic Direction; Challenging and Engaging Workout	0.83659494	0.70565987
During the Craze	0.37711155	0.38217488
OMG	0.9644461	0.8474454
Dream Bod	0.96844214	0.65829444
Great home fitness with room to grow	0.96431524	0.8574115
Excellent well-rounded program!	0.8411168	0.91719633
Effective--with Caveats...	0.93843883	0.99015385
Amazon sent me Indian Porn	0.19221911	0.42620564
Workin It Hard!	0.40383485	0.63269037
Great Workout(s)	0.9600697	0.42345738
this is no joke	0.9951892	0.6265262
I love causing myself pain	0.7295441	0.7064719
P90x DVD Set	0.91692156	0.22717279
Phil farts in X Stretch DVD!!! No kidding!	0.46388566	0.83250296
P90X review	0.753187	0.63333344
"Great workout, use the ""Music & Cues"" option"	0.83675987	0.72220415
Soft core fitness porn	0.9900512	0.63497216
Great system	0.9131866	0.43467137
bought used looks like new	0.9689023	0.7033519
Excellent - Changed My Workout Routine Forever	0.9259138	0.7774983
P90X is amazing!	0.9884282	0.55510265
For the working professional who is losing their fitness.	0.9170924	0.8750465
P90X	0.28429386	0.37849066
P90X box set	0.98589003	0.36241937
Challenging in more ways thant one	0.8134418	0.78793675
i guess you get what you pay for	0.03969791	0.4096064
Boring	0.32951546	0.26377025
P90x great workout!	0.992241	0.68055236
I HAD PREVIOUSLY SAID THAT THE SELLER CHARGED ME TWICE BUT I MADE A MISTAKE, SORRY.	0.4440379	0.44493222
P90-X Review	0.7653446	0.5948112
good stuff	0.81047523	0.5231784
p90x	0.44325182	0.5155355
Good	0.76214135	0.58705634
P90X	0.99165815	0.78824055
Awesome program!	0.78545415	0.6640487
Great price for a great workout	0.69475037	0.7889118
P90X Rocks	0.98686254	0.7239978
Life Style Changer	0.98136765	0.8712447
Extremely Satisfied with P90X Extreme Home Fitness	0.97290254	0.7055952
Tony is pretty neat	0.9278676	0.577745
Nice product	0.6675008	0.58136946
Plain	0.368105	0.34825495
It's boot legged. avoid it	0.026069589	0.5240121
Just like new	0.935466	0.33446643
