sentiment_scores	genuineness_scores	summary
0.18559778	0.35082865	rubbish
0.012341052	0.68609715	junk
0.80849934	0.69711256	works great with samsung galaxy s3
0.9483701999999999	0.7965778	good value
0.96102977	0.86202335	great 
0.9334169	0.7975205	works fine low cost
0.16137874	0.69779277	won t work with blackberry but works great with samsung galaxy
0.9962456000000001	0.6819753000000001	four stars
0.01701662	0.6400998	static
0.3495748	0.77627075	lasted almost a year i am mnow re ordering
0.50955176	0.42335403	my purchases
0.03208965	0.5322106	would not work if you try to use it as a microphone only phone talk microphone
0.98854804	0.8068516	works great
0.9986974000000001	0.86919767	excellent product
0.9815724	0.76857245	excellent 
0.8978324000000001	0.8060191999999999	good price bad quality 
0.6849911999999999	0.6978793000000001	three stars
0.009814352	0.60266757	should have listened to all the bad reviews 
0.007818937	0.6339108	not quality construction
0.011374742	0.62705797	can you hear me now 
0.008249342	0.487811	headset
0.007764578	0.5044864	waste of cash
0.9838357	0.7456210999999999	right tool for the job
0.2911803	0.5979646	on the road
0.35657686	0.7564069	toshiba pc not compatible
0.97511137	0.66211677	great with blackberry curve
0.04625603599999999	0.38411078	head set
0.86588275	0.8302742000000001	not going to beat this price
0.96373516	0.6791411999999999	good product
0.13665226	0.50903916	will not work on a computer
0.62768465	0.59003305	clearer sound but has no amp
0.9762586999999999	0.68120337	might not look like the latest technology but is very practical easy to use and good microphone
0.96274316	0.65966797	simple and sleek
0.053462207000000005	0.55173993	flakey product
0.827664	0.91071105	comfortable but dull sound to others
0.94781387	0.8248291999999999	good sound and speech volume 
0.2679847	0.6384795	total junk 
0.9817138000000001	0.82209814	works great 
0.98983586	0.66079384	wow great volume
0.29486093	0.7389433000000001	just okay
0.15255338	0.5327991	not great not horrible 
0.028178573	0.5700006	does not work
0.688712	0.6904461	works great and fantastic buy for the price 
0.099439174	0.50720364	it is not hands free 
0.03112799	0.67309546	only works for awhile
0.9934523999999999	0.86431384	just what i needed
0.7875731	0.7161443000000001	great product 
0.94224346	0.85185075	7 bucks really 
0.81108785	0.6669164000000001	great sound but too big for a little head
0.017342895	0.5961675999999999	decent sound but crap mic
0.02758646	0.54873693	cellet 3 5mm headset not worth buying 
0.7750026	0.77165127	it is what it is
0.119814485	0.5760021	be careful
0.9726241	0.6525535	love it
0.9851426	0.7972208000000001	great headset
0.08863065	0.6893459	works ok at first but no durability
0.8239738000000001	0.7325518	for those who don t go wireless
0.008412926999999999	0.78622043	works well until it breaks
0.011034398999999999	0.61163574	one star
0.9150735999999999	0.8099013	boom headset
0.93082935	0.8431245999999999	it works fine 
0.06512779	0.5406976	too large for my head
0.39966196	0.80221117	good sound too large headband no noise reduction 
0.95372784	0.7097914000000001	hands free boom headset
0.31664073	0.6244084	ok but not great
0.9480133	0.8596878000000001	i was woried but this thing is great
0.09956953	0.70904523	they changed the plug
