summary	sentiment	genuineness
not the best ones I've used	0.17152573	0.5799287
GREAT PRODUCT	0.9989273	0.1991549
Handles are Easy to Clean, Short, and Weak	0.037591957	0.87481546
Work great and very heat resistant.	0.94322157	0.82352364
I mean really?	0.98561424	0.81138504
Pretty and sturdy	0.9880762	0.85890347
Works great	0.68356097	0.8765801
Changed product.	0.06908461	0.8275921
Good spatulas	0.99255294	0.8422404
Great	0.98591727	0.8451917
Handle is not heat resistant, tomatoes stain silicone	0.05364199	0.7339477
flimsy	0.46829936	0.6749912
They are great	0.99391973	0.81516945
Great!	0.9924361	0.82772654
The best set spatula ever!	0.56162417	0.8253527
Best spatulas!	0.97974694	0.92352873
Easy Flex Silicone Spatula	0.9907128	0.85775894
Good value spatulas!	0.6860272	0.881341
They're Great	0.9933206	0.81721467
They work great and are inexpensive.	0.8332109	0.6068981
How I ever got along without these...	0.80279416	0.8265678
short handle life	0.0228059	0.89832836
Nice set	0.97425145	0.73675424
Prepare yourself for that last drop of cookie dough	0.9946616	0.858428
Nice set	0.9855605	0.8255763
skinny spatula!!!	0.7576068	0.8167602
I LOVE these!	0.987478	0.74668163
Have to be careful	0.15312777	0.70780426
Good, but loose color	0.9292818	0.8114227
Great Spatula set	0.98851776	0.8578935
Nice set	0.99319756	0.83417225
Great replacements for the rubber ones	0.9781473	0.8843862
Don't use anything else	0.96992874	0.7866859
Pretty & Functional	0.8698683	0.8688252
Excellent, but not long lasting	0.26303652	0.8763545
Okayish	0.06387463	0.6666348
broke the middle one	0.72164595	0.72153556
Quality Silicone Spatulas at a great price	0.71438396	0.8915541
Exactly what I was looking for!	0.99498004	0.89597344
Stem broke	0.027827177	0.8088522
top notch	0.8909985	0.7186734
Sturdy Silicone Spatula Set	0.99763525	0.8307134
great find. would be willing to pay more for these.	0.9389618	0.8873562
Very Good Quality Spatulas!	0.99602795	0.80051416
Spatula set	0.9984471	0.8430906
Like these	0.9565083	0.8459009
Silicone spatula set	0.92367625	0.756217
Gift for my mom...	0.9742492	0.38277256
Too weak for me	0.8517623	0.81721294
not sturdy	0.040456604	0.80206597
Great Product	0.9830792	0.7982345
